"IDRSSD"	RCON0211	RCON1287	RCON1709	RCON1713	RCON1733	RCON1736	RCON1752	RCON1754	RCON1773	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCON8492	RCON8495	RCON8496	RCON8499	RCONA511	RCONB989	RCONB995	RCONG389	RCONG390	RCONG393	RCONG394	RCONG397	RCONG398	RCONG399	RCONG400	
	US TREAS SECS-HLD-TO-MAT-AMRTZ COST	US TREAS SECS-AVL-FOR-SLE-FAIR VALUE	OTHR PASS-THRU SECS-HLD-AMORTZD COST	OTHR PASS-THRU SECS-AVL-FAIR VALUE	MBS-CMOS&REMICS-ALL OTHER-HLD-AMRTZ	MBS-CMOS&REMICS-ALL OTHER-AVL-FAIR	HISTCL COST OF ALL OTH AVL-FOR-SALE	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	US GOVT AGCY&CORP OBLIGS-AMRTZ COST	US GOVT AGCY&CORP OBLIGS-FAIR VALUE	SECS ISSD BY US ST&POL SUBDYS-AMRTZ	SECS ISSD BY US ST&POL SUBDYS-FAIR	FAIR VAL OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	MBS PT SCTY ISS FFG AMRTZ HTM SCTY	MBS PT SCTY ISS FFGNMA FV AFS SCTY	OTHR MBS ISS FFG AMRTZ HTM SCTY	OTHR MBS ISS FFG FV AFS SCTY	OTHR DMSTC DEBT SCTY AMRTZ HTM SCTY	OTHR DMSTC DEBT SCTY FV AFS SCTY	FOREIGN DEBT SCTY AMRTZ HTM SCTY	FOREIGN DEBT SCTY FV AFS SCTY	
26765	0	0					2146	149	36914					0			45	0	0	0	0									
26859	1005	0					495	1005	0					1181			0	0	0	0	0									
27548	0	0					4114	0	154523					9155			0	29334	0	20602	0									
27614	0	0					1606	0	121733					10000			0	53487	1804	0	0									
27847	0	0					1972	5992	126063					25599			952	52564	0	0	0									
28152	0	0					294	4430	8632					1529			2901	2266	0	0	0									
28255	0	11669					410	0	18439					0			0	0	540	0	0									
28349	0	0					1309	6828	0					10000			6828	0	0	0	1									
28406	0	39760					4724	0	515362					0			0	507	2580	0	0									
28572	0	0					1122	141	4286					9126			0	0	0	0	0									
28732	0	0					216	0	19027					5000			0	1322	0	0	0									
29104	0	0					9146	0	410085					120000			0	55994	4572	0	76917									
29636	0	0					4671	0	336576					84737			0	95455	0	0	110198									
29953	0	9519					1729	3532	9519					12463			3532	0	0	0	0									
30052	0	0					111	0	0					2372			0	0	0	0	0									
30258	0	0					2544	0	31318					28000			0	963	0	0	1001									
30418	0	0					0	0	323322					0			0	458	0	0	159078									
30502	0	24928					5325	0	226621					85967			0	45463	8040	0	28088									
30650	0	0					1308	0	32642					19000			0	94	0	0	1099									
30810	0	2055520	0	0	0	0	44878	51576	7280232	630	63338971	0	56969025	18468020	0	2364142	43025	0	1314120	0	0	8551	0	0	0	0	1546450	0	0	
31134	0	0					674	0	26548					10000			0	12974	0	0	0									
31255	0	0					834	0	150508					10551			0	16733	0	0	8306									
31657	0	0					159	55582	0					0			0	0	0	0	0									
31826	0	0					779	0	48106					0			0	20279	119	0	0									
31835	0	0					1053	0	27600					11200			0	13115	907	0	0									
32234	0	11628					82	0	41233					0			0	399	0	0	16467									
32766	0	0					24	17037	36					0			17037	0	0	0	0									
33147	0	0					1063	0	17975					10009			0	9564	0	0	3710									
33259	0	46154					794	3731	51435					0			3731	0	0	0	4384									
33268	0	0					0	1135	88069					0			1135	35129	0	0	0									
33727	0	1399					1323	0	71771					0			0	20626	0	0	19394									
33754	0	0					0	1500	18000					0			0	9143	0	0	0									
33839	0	0					122	0	7515					0			0	4080	0	0	0									
33857	0	0					602	0	7467					7880			0	0	0	0	0									
34153	0	2043					2428	0	70842					12436			0	0	0	0	0									
34359	0	401					425	0	11288					0			0	2931	0	0	0									
34425	0	0					2359	0	30314					30000			0	24617	0	0	6548									
34434	0	0					635	11904	36883					0			11904	729	0	0	0									
34452	0	0					57	871	37884					0			151	17655	0	0	0									
34537	0	4208					12578	25835	514150					50000			7713	1412	2746	0	118702									
34555	0	0					2570	0	84827					3200			0	37737	0	0	0									
34742	0	0					759	0	35161					0			0	2999	0	0	0									
34836	0	404					0	0	8461					0			0	91	0	0	0									
35057	0	7567					2754	0	28006					2664			0	11980	0	0	0									
35301	0	6429352	2639174	1331085	1594687	751674	305089	10427314	76623504	0	125110891	57532503	50026114	3905105	0	1027755	125541	6605989	244439	1419910	7102576	261767	4725971	101968	22101900	74366	30538115	5629811	2867224	
35570	0	0					91737	422778	655667					1603696			9085	0	0	0	500000									
35646	0	0					111	18254	5123					0			17248	2972	341	0	0									
35842	0	0					489	0	34484					6000			0	6483	0	0	0									
36054	0	0					6096	425	1177					19263			425	382	0	0	0									
36344	0	0					2308	0	99947					15000			0	23887	0	0	26718									
36456	0	0					213	11	20668					0			10	6238	0	0	0									
36858	0	0					776	0	93530					3995			0	0	0	0	4089									
36933	0	2503					209	0	8543					76			0	2092	0	0	0									
37051	0	0					280	0	9916					2500			0	1266	0	0	0									
37341	0	0					17	220	0					0			220	0	0	0	0									
37378	1661	528					513	5253	4503					0			1172	909	0	0	0									
37435	0	0					2630	2000	239640					0			2000	23501	3002	0	24027									
37640	0	0					9863	1444	468010					52384			1444	38505	0	0	20005									
37659	0	0					0	3732	3425					0			3732	326	0	0	0									
37743	0	0					276	0	19482					0			0	14128	0	0	0									
37949	0	0					696	0	90000					3255			0	30907	0	0	9434									
38535	0	0					1527	0	102445					5000			0	28779	0	0	5486									
38740	0	0					1841	0	33022					16781			0	7379	0	0	0									
39327	27477	42481					0	43669	42772					0			6190	291	0	0	4573									
39420	0	0					5741	0	235563					42500			0	25135	0	0	581									
39475	0	0					10698	0	156283					600			0	50496	2978	0	0									
39756	0	0					4320	0	35132					1550			0	15286	0	0	7547									
40033	0	0					435	196	27971					0			50	2135	0	0	0									
40350	0	0					265	1229	7140					3556			1229	927	0	0	0									
40707	0	0					1060	326	22249					3690			0	1383	0	0	0									
40855	0	0					710	0	14148					6073			0	8144	0	0	0									
41245	0	1758					45	5862	5569					0			5412	2019	0	0	788									
41553	495	1277					99	7239	41657					0			6734	0	0	0	0									
41629	0	0					947	0	10955					8000			0	3962	0	0	0									
41759	0	0					66	0	14792					0			0	6766	0	0	0									
41825	0	2014					0	0	52650					0			0	0	0	0	0									
41937	0	0					130	0	28220					142			0	10839	0	0	0									
41955	0	0					216	582	12448					2009			577	0	0	0	0									
42037	0	0					0	0	13113					0			0	4441	0	0	0									
42055	0	0					415	401	17202					0			90	3431	0	0	0									
42354	0	0					240	0	48370					0			0	9681	0	0	0									
42420	0	0					47986	0	987683					76003			0	3701	1698	0	150233									
42448	0	779					3016	0	110555					57500			0	80825	4607	0	0									
42457	0	0					2	8863	0					0			2239	0	0	0	0									
43052	0	0					1426	0	14982					10091			0	15	52	0	0									
43351	0	614					0	0	2480					0			0	914	0	0	0									
43454	0	206					27	0	5270					0			0	1371	0	0	0									
43511	0	0					3406	0	34200					10834			0	23893	0	0	0									
43744	0	0					661	0	10090					9500			0	0	0	0	0									
43856	0	0					144	1578	11820					0			1578	2342	0	0	0									
43959	0	6194					58	0	49077					0			0	10565	0	0	0									
44040	0	0					1505	0	110104					450			0	15691	0	0	0									
44433	0	1126					3466	0	44783					35000			0	932	1137	0	552									
44741	0	0					1007	24271	45067					0			24271	9923	98	0	9374									
44750	0	0					733	0	42971					0			0	10963	0	0	0									
44929	6008	17762					1237	6008	18676					0			0	896	0	0	0									
45038	0	0					267	2359	30797					1250			2359	16705	0	0	6741									
45047	0	0					765	0	9313					1282			0	422	0	0	0									
45056	0	0					185	2575	8626					0			2550	3472	0	0	0									
45430	0	0					664	5699	7446					7229			5699	0	0	0	0									
45458	0	0					34	0	3612					0			0	0	0	0	0									
45551	0	0					2633	0	144548					13622			0	39037	0	0	36236									
45560	0	0					3913	64485	172797					37605			18872	14330	0	0	0									
45775	0	0					1191	12933	0					5000			716	0	0	0	0									
46053	0	0					1969	0	66394					250			0	7977	0	0	488									
46941	0	0					516	7646	30789					4990			7646	6012	0	0	0									
47153	0	0					0	3360	0					0			1060	0	0	0	0									
47247	0	0					1597	890	66564					21100			845	25379	0	0	0									
47256	0	0					214	0	3223					0			0	1091	0	0	0									
47452	491	13786					36	491	16280					2000			0	213	0	0	0									
47500	0	1039					2207	0	40146					19500			0	1105	9748	0	0									
48057	0	3184					321	0	15569					0			0	10343	0	0	0									
48150	0	0					122	0	2155					325			0	1146	0	0	0									
48374	0	0					6713	0	20845					108195			0	0	3088	0	1187									
48440	0	0					378	0	23746					3000			0	12442	0	0	0									
49054	0	0					776	0	24447					6500			0	0	0	0	0									
49148	0	0					403	0	55453					0			0	12502	0	0	0									
49241	0	0					1417	17985	54064					754			3660	13688	0	0	0									
49344	0	763					2242	500	15580					26850			0	6598	0	0	0									
49643	0	0					451	13323	0					0			9973	0	0	0	0									
49652	0	0					713	0	47550					10774			0	26886	0	0	0									
49821	0	0					3702	0	146123					48686			0	49739	602	0	21000									
49858	0	0					243	0	10321					0			0	0	0	0	0									
49951	0	0					0	0	16427					0			0	0	0	0	0									
50144	0	0					217	19547	0					0			7250	0	0	0	0									
50461	0	0					0	819	0					0			819	0	0	0	0									
50546	0	0					39	0	9817					0			0	178	0	0	0									
50854	0	0					0	1683	18299					0			1683	4120	0	0	0									
50957	0	0					1583	0	12995					6181			0	0	0	0	0									
51253	0	500					648	0	32005					19237			0	22928	0	0	0									
51356	0	6053					0	0	18634					0			0	0	0	0	0									
51459	0	0					434	0	110121					144			0	26946	0	0	0									
51730	0	0					94	1642	8825					0			0	0	398	0	0									
51842	0	0					1286	0	15244					4050			0	15232	12	0	0									
52410	0	0					377	0	34887					6070			0	22152	0	0	0									
52719	0	0					4891	205302	0					352559			205302	0	0	559858	0									
52951	0	0					253	0	23131					0			0	7360	0	0	0									
53015	0	0					9	16460	0					0			7962	0	0	0	0									
53033	0	0					8515	350	694395					10000			0	33148	11842	0	175036									
53051	0	0					255	25912	0					0			0	0	0	0	0									
53239	0	6841					0	0	27405					0			0	11256	0	0	0									
53453	0	0					140	0	26608					0			0	12156	0	0	0									
53752	0	0					47	23104	12327					0			816	0	0	0	0									
54049	0	0					521	975	8893					2000			975	192	0	0	0									
54058	0	0					988	0	72765					3011			0	21269	0	0	0									
54375	0	0					5472	0	181727					35736			0	58387	246	0	48391									
54441	0	0					136	0	9352					2000			0	1718	0	0	0									
54656	0	1486					525	0	326992					0			0	152958	0	0	0									
55176	0	0					2209	16120	178					24600			0	0	0	0	0									
55336	0	2058					1171	0	70657					396			0	2952	0	0	0									
55635	0	0					265	0	15754					1550			0	2961	0	0	0									
55653	0	0					624	0	25970					350			0	8085	0	0	4423									
56258	0	1969					291	0	46884					500			0	300	0	0	0									
56351	0	17688					2243	0	320977					1000			0	76752	0	0	0									
56427	0	0					313	0	30967					400			0	15431	0	0	0									
56548	0	0					2106	0	18117					0			0	5990	131	0	0									
56557	0	0	0	0	0	2390	5801	255	607421	0	2361874	113914	2035694	0	0	55454	0	303	0	0	157674	255	398394	0	0	0	150855	0	25	
56717	0	0					1709	0	82514					19077			0	32489	131	0	17908									
57040	0	1007					9	0	31435					0			0	15837	3	0	0									
57228	0	0					520	0	16442					0			0	1310	15	0	848									
57255	0	0					30	932	16273					0			932	4099	0	0	0									
57451	0	0					1036	0	205136					14000			0	44766	0	0	41113									
57572	0	0					1110	0	14404					10915			0	254	7	0	0									
57956	0	0					126	974	41290					0			974	10210	116	0	7245									
58074	0	0					2941	0	18401					27500			0	612	7	0	0									
58207	0	1506					778	0	25532					5559			0	6944	909	0	843									
58225	0	2599					577	0	41281					5000			0	23858	0	0	680									
58243	0	138046	0	0	0	0	26443	0	576662	0	4492366	199429	4038703	24932	0	0	0	72645	0	0	291416	0	56735	0	289461	0	19775	0	0	
58355	0	0					0	0	6					0			0	0	0	0	0									
58551	0	0					0	0	66785					0			0	18831	0	0	0									
58636	0	0					992	495	71756					17528			0	12905	0	0	0									
58757	0	0					155	0	8620					552			0	5544	0	0	0									
58971	0	9813					15660	0	997345					7000			0	23095	0	0	164272									
59316	0	0					3238	170	142839					35198			170	46015	234	0	25267									
59352	0	0					118	0	152858					0			0	42327	0	0	0									
59679	0	0					194	0	1592					0			0	0	1592	0	0									
59754	0	0					242	425	3050					0			0	3050	0	0	0									
60143	0	130284	0	0	0	28	507925	0	7334885	0	54030931	365193	47692180	3563498	0	0	0	25498	51158	0	48905	0	6537102	0	85455	0	505360	0	0	
60330	0	2356					3091	0	69878					39700			0	12420	0	0	0									
