"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ944	RCONJ945	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	AMT NONINT ACTS GT 250K DODD FRANK A	NBR NONINT ACT GT 250K DODD FRANK AC	PB/PSA FDIC CERTIFICATE NUMBER	
822846																0	6649	411	0	0	87851	5949	12273	22	106773	0			0	0	0	0	0	0	0	0	0	1977	6		
823133																0	10303	601	337	1	155737	15206	42996	48	209373	0			0	0	0	0	0	0	0	0	0	5634	10		
823142																0	1994	221	0	0	53120	5208	23488	21	78602	0			0	0	0	0	0	0	0	0	0	1325	3		
823450																0	5488	239	653	2	128453	13644	83114	98	217708	0			0	0	0	0	0	0	0	0	0	15816	25		
823553																0	363	23	0	0	9259	1057	1871	4	11493	0			0	0	0	0	0	0	0	0	0	288	1		
823638																0	4051	156	531	2	59476	4991	38959	26	103017	0			0	0	0	0	0	0	0	0	0	2371	3		
823656																0	7657	463	651	2	130350	11112	17266	37	155924	0			0	0	0	0	0	0	0	0	0	2133	5		
824000															95618	0	33384	1624	2684	9	535202	47145	714674	346	1285944	0	1028764	0	0	0	0	0	0	0	0	0	800	534936	87		
824242																0	2048	98	0	0	19475	1903	3889	6	25412	0			0	0	0	0	0	0	0	0	0	840	1		
824550																0	12333	989	2691	3	270069	27510	211302	270	496397	0	487239	0	0	0	0	0	0	0	0	0	0	50062	76		
824653																0	5457	213	305	1	73634	5291	8133	12	87529	0			0	0	0	0	0	0	0	0	0	739	1		
824738																0	3277	224	0	0	44030	4575	4026	10	51333	0			0	0	0	0	0	0	0	0	0	678	2		
825146															384478	0	83135	3592	11277	27	1409684	77865	572049	646	2076146	0	2109758	0	0	0	0	0	0	0	0	0	99640	30598	64		
825454																0	4931	160	677	2	99646	6410	19512	36	124766	0			0	0	0	0	0	0	0	0	0	2791	7		
825548																0	11398	888	265	1	127426	12149	37227	52	176316	0			0	0	0	0	0	0	0	0	0	1553	3		
825753																0	15861	1068	1553	5	172691	14476	53081	90	243186	0	245350	0	0	0	0	0	0	0	0	0	0	19579	39		
825847																0	14850	755	1595	5	97997	8237	18162	30	132604	0			0	0	0	0	0	0	0	0	0	5247	7		
825940																0	4252	307	714	2	42073	4125	3700	10	50739	0			0	0	0	0	0	0	0	0	0	511	1		
825977																0	5082	230	0	0	65290	6299	8587	22	78960	0			0	0	0	0	0	0	0	0	0	0	0		
826255																0	1815	204	333	1	28916	3860	2376	7	33439	0			0	0	0	0	0	0	0	0	0	283	1		
826451																0	0	0	0	0	30113	2630	7474	12	37587	0			0	0	0	0	0	0	0	0	0	1106	3		
826648																0	11055	561	974	3	73636	5653	15433	29	101098	0			0	0	0	0	0	0	0	0	0	1187	2		
826956																0	9619	379	260	1	327447	19238	169822	293	507148	0			0	0	0	0	0	0	0	0	8439	28312	37		
