"IDRSSD"	RCONC223	RCONC224	RCONC968	RCONC969	RCONC970	RCONC971	RCONC972	RCONC973	RCONC974	RCONC975	RCONC978	RCONF164	RCONF165	RCONG401	RCONG402	RCONG403	RCONG404	RCONG405	RCONG406	RCONG407	RCONG408	RCONG409	RCONG410	RCONG411	RCONG412	RCONG413	RCONG414	RCONG415	RCONG416	RCONG417	RCONG418	RCONG419	RCONG420	RCONG421	RCONG422	RCONG423	RCONG424	RCONG425	RCONG426	RCONG427	RCONG428	RCONG429	RCONG430	RCONG431	RCONG432	RCONG433	RCONG434	RCONG435	RCONG436	RCONG437	RCONG438	RCONG439	RCONG440	RCONG441	RCONG442	RCONG443	RCONG444	RCONG445	RCONG446	RCONG447	RCONG448	RCONG449	RCONG450	RCONG451	RCONG452	RCONG453	RCONG454	RCONG455	RCONG456	RCONG457	RCONG458	RCONG459	RCONG460	RCONG461	RCONG462	RCONJ455	RCONJ456	RCONJ457	RCONJ458	RCONJ459	RCONJ477	RCONJ478	TEXT3555	TEXT3556	TEXT3557	TEXT5592	TEXT5593	TEXT5594	TEXT5595	
3458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																152	0	447										
3720	0	0	0	0	0	0	0	0	0	0	5000	307	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																653	0	6344										
3953	0	0	0	0	0	0	0	0	0	0	0	23	1028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3010	0	15796										
4156	0	0	0	0	0	0	0	0	0	0	0	331	3542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3342	0	5095										
4231	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1387	0	2719										
4437	0	0	0	0	0	0	0	0	0	0	0	0	3149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																5867	0	3812										
4839	0	0	0	0	0	0	0	0	0	0	0	2784	17008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	1583	0	2805										
5005	0	0	0	0	0	0	0	0	0	0	0	2413	2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	1949	0	2331										
5069	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	346	0	0										
5135	0	0	0	0	0	0	0	0	0	0	0	682	1569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														1239	516	2631	0	40148										
5210	0	0	0	0	0	0	0	0	0	0	0	2023	20423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	21531	0	28503										
5331	0	0	0	0	0	0	0	0	0	0	0	1784	3106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	294	0	2912										
5461	0	0	0	0	0	0	0	0	0	0	0	614	3735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	14793	0	10423										
5751	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																829	0	14239										
6039	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																721	0	3247										
6141	0	0	0	0	0	0	0	0	0	0	0	522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	1031										
6329	0	0	0	0	0	0	0	0	0	0	0	1469	3159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														1602	507	6705	0	11917										
6972	0	0	0	0	0	0	0	0	0	0	0	3820	8349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	47322	0	22060										
7009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	0	0	0										
7045	0	0	0	0	0	0	0	0	0	0	0	52	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																468	0	4316										
7157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	1846										
7456	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3029	0	9352										
7634	0	0	0	0	0	0	0	0	0	0	0	237	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																44	0	310										
8033	0	0	0	0	0	0	0	0	0	0	0	2723	2176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																3310	0	5485										
8462	0	615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1417	0	6014										
8631	0	0	0	0	0	0	0	0	0	0	0	237	249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1954	0	0										
9357	0	678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	143443	0	3823										
9553	0	0	0	0	0	0	0	0	0	0	0	195	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1325	0	26490										
9807	0	0	0	0	0	0	0	0	0	0	0	174240	68027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	8254	0	10617										
9955	0	0	0	0	0	0	0	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																2468	0	9515										
10250	0	0	0	0	0	0	0	0	0	0	0	0	5497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														549	343	17117	0	1765										
10849	0	0	0	0	0	0	0	0	0	0	0	1905	1911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10090										
10858	0	0	0	0	0	0	0	0	0	0	765	1185	3609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	27232	0	28571										
11145	0	0	0	0	0	0	0	0	0	0	0	206	7978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																1374	0	2784										
11640	0	0	0	0	0	0	0	0	0	0	0	1267	2750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	8265	0	34266										
11837	0	0	0	0	0	0	0	0	0	0	0	0	873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																0	0	693										
12030	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																														0	0	256	0	3542										
12142	0	0	0	0	0	0	0	0	0	0	0	370	2375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																																5255	0	6810										
