"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	
362940	415	0	0	0	424	9	0	0	0	0	
363264	668	0	1	0	516	30	181	0	0	0	
363415	107751	28019	1797	0	77877	10395	10453	0	0	0	
363442	73	0	0	0	73	0	0	0	0	0	
363648	651	100	16	0	689	154	0	0	0	0	
363657	1705	270	120	0	1686	371	0	0	0	0	
363956	98699	76198	7184	0	91600	76342	59	0	7686	0	
364056	202	30	43	0	164	35	0	0	0	0	
364131	1403	400	119	0	1153	269	0	0	0	0	
364337	450	50	1	0	450	51	0	0	0	0	
364430	784	140	24	0	778	158	0	0	0	0	
364449	13046	2491	1257	0	13849	4448	-103	0	0	0	
364850	285	165	40	0	187	107	0	0	0	0	
364971	118	0	0	0	118	0	0	0	0	0	
365325	16411	100	240	0	21625	1031	-4523			0	
365455	1149	228	15	0	992	86	0	0	0	0	
365651	675	105	55	0	641	126	0	0	0	0	
365745	393	0	12	0	403	22	0	0	0	0	
365848	567	50	10	0	612	105	0	0	0	0	
365941	464	122	30	0	448	136	0	0	0	0	
365950	294	30	0	0	285	21	0	0	0	0	
366078	2616	812	152	0	2294	642	0	0	0	0	
366238	3337	1290	338	0	2638	929	0	0	0	0	
366247	645	32	29	0	616	32	0	0	0	0	
366359	643	535	116	0	577	585	0	0	0	0	
366658	590	120	91	0	541	162	0	0	0	0	
366854	193	0	0	0	203	10	0	0	0	0	
367150	398	37	14	0	384	37	0	0	0	0	
367208	5671	809	805	0	5218	1161	0	0	0	0	
367244	714	0	3	0	726	15	0	0	0	0	
367431	1212	410	133	0	1204	535	0	0	0	0	
367543	1413	135	40	0	1437	199	0	0	0	0	
367552	102	-21	21	0	102	0	0	0	0	0	
367673	1143	217	108	0	960	142	0	0	0	0	
367851	1146	80	6	0	1091	31	0	0	0	0	
367954	1524	952	257	0	1652	1337	0	0	0	0	
368054	532	0	35	0	563	66	0	0	0	0	
368111	349	-175	0	0	524	0	0	0	0	0	
368175	6489	1656	215	0	5568	950	0	0	0	0	
368344	156	0	21	0	140	5	0	0	0	0	
368429	1332	100	29	0	1331	128	0	0	0	0	
368447	4368	375	214	0	4185	406	0	0	0	0	
368522	683	120	57	0	652	144	-2	0	0	0	
368755	102	17	2	0	103	20	0	0	0	0	
368933	354	42	19	0	349	56	0	0	0	0	
368951	1060	80	156	0	1009	185	0	0	0	0	
369257	532	61	7	0	508	450	406	0	0	0	
369426	1316	1581	262	0	645	1172	0	0	0	0	
369435	1982	795	101	0	1295	209	0	0	0	0	
369453	499	81	4	0	471	57	0	0	0	0	
369659	2009	381	41	0	2214	627	0	0	0	0	
370020	1094	183	35	0	1052	176	0	0	0	0	
370150	271	0	19	0	255	3	0	0	0	0	
370338	1554	0	0	0	1554	0	0	0	0	0	
370347	404	84	6	0	378	64	0	0	0	0	
370646	586	135	22	0	486	57	0	0	0	0	
370721	1707	2013	198	0	1475	1979	0	0	0	0	
370730	526	181	4	0	483	142	0	0	0	0	
370758	185	6	3	0	188	12	0	0	0	0	
370833	172	50	58	0	148	84	0	0	0	0	
370954	206	40	6	0	206	46	0	0	0	0	
371223	773	874	278	0	704	1083	0	0	0	0	
371232	622	173	15	0	580	146	0	0	0	0	
371353	2228	900	3	0	1807	482	0	0	0	0	
371362	863	122	139	0	794	192	0			0	
371559	328	5	15	0	313	5	0	0	0	0	
371755	387	87	17	0	413	130	0	0	0	0	
371849	419	148	53	0	330	112	0	0	0	0	
371858	632	380	81	0	580	409	0	0	0	0	
371924	2470	967	207	0	2366	1138	68	0	0	0	
371942	493	60	16	0	474	57	0	0	0	0	
372248	510	0	3	0	511	4	0	0	0	0	
372257	115	45	3	0	72	5	0	0	0	0	
372444	454	84	133	0	577	340	0	0	0	0	
372538	3706	580	85	0	3411	370	0	0	0	0	
372556	1146	1191	20	0	585	650	0	0	0	0	
372640	469	0	3	0	473	7	0	0	0	0	
372855	333	226	117	0	773	783	0	0	0	0	
373058	582	120	3	0	487	28	0	0	0	0	
373115	4163	840	191	0	3820	688	0	0	0	0	
373553	390	0	2	0	400	12	0	0	0	0	
373601	629	0	35	0	594	0	0	0	0	0	
374130	1634	660	28	0	946	0	0	0	0	0	
374149	141642	48811	18632	0	100582	25960	-423	0	0	0	
374354	212	0	0	0	213	1	0	0	0	0	
374653	148588	143890	10816	0	115180	121298	0	191956	0	0	
374774	958	24	40	0	894	0	0	0	0	0	
374934	1827	165	51	0	1705	94	0	0	0	0	
375034	10527	200	471	0	14420	4564	0	0	0	0	
375043	3984	715	140	0	3559	430	0	0	0	0	
375155	359	0	29	0	341	11	0	0	0	0	
375502	2189	28	10	0	2221	70	0	0	0	0	
375566	1202	180	6	0	1442	426	0	0	0	0	
375650	107	10	0	0	122	25	0	0	0	0	
375735	1771	580	6	0	1631	446	0	0	0	0	
376068	475	0	15	0	471	11	0	0	0	0	
376125	1921	0	152	0	1969	200	0	0	0	0	
376237	255	249	55	0	205	254	0			0	
376433	827	200	47	0	704	124	0	0	0	0	
376442	1168	8	87	0	1119	46	0	0	0	0	
376657	444	60	4	0	383	3	0			0	
376947	834	120	71	166	809	0	0	0	0	0	
377506	621	-36	133	0	701	177	0	0	0	0	
377663	339	50	6	0	299	16	0	0	0	0	
377850	300	0	22	0	288	10	0	0	0	0	
377908	9001	300	240	0	8769	308	0	0	0	0	
378026	1215	170	173	0	1125	253	0	0	0	0	
