RIAD4097,RIAD4235,RIAD4239,RIAD4341,RIAD4797,RIAD4843,RIAD4844,RIAD4845,RIAD4846,RIADB523,RIADB524,RIADB525,RIADC899,RIADC900,RIADC902,RIADC903,RIADC904,RIADC905,RIADC907,RIADC908,RIADC909,RIADC911,RIADC913,RIADC914,RIADGW64,RIADJA28,RIADKW02,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,24855,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,24949,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,25357,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,25647,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,26149,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,26242,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,26457,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,26765,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,26859,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,26916,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,27548,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,27614,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,27847,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,28152,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,28255,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,28349,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,28406,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,28572,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,28732,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,29104,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,29252,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,29636,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,29850,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,29944,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,29953,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,30052,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,30155,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,30258,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,30418,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,30502,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,30650,2008-12-31
,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,30810,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,31134,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,31255,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,31657,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,31826,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,31835,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,32234,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,32766,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,33147,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,33259,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,33268,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,33549,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,33727,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,33754,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,33839,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,33857,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,34153,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,34359,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,34425,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,34434,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,34452,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,34537,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,34555,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,34742,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,34836,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,34863,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,35057,2008-12-31
,,,,,,,,,,,,,,,,,,,,,,,,,,,35244,2008-12-31
