"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
706058																0	234	0	736	0	63	48	0	0	0	0	439	0	0	0	Computer Software			
706151																97	249	245	1214	121	224	0	0	0	0	0	496	0	0	0				
706236																0	0	356	1316	84	148	0	0	0	0	0	812	0	0	0				
706254																8	665	605	2785	270	474	184	0	0	0	0	1041	0	0	0	COMPUTER SOFTWARE NET OF DEPRECIATION			
706450																36	435	52	1376	44	83	0	0	0	0	0	265	541	0	0				
706656																0	139	303	1650	50	176	81	0	0	0	0	774	258	0	0	Computer Software			
707354																0	2820	1136	23336	0	694	0	0	0	0	0	2979	15707	0	0				
708052																0	355	239	1240	45	46	0	0	0	0	0	600	0	0	0				
708137																41	1485	966	5622	79	235	114	0	0	0	0	2628	308	0	0	Computer Software			
708164																0	210	0	2016	86	243	97	0	0	0	0	614	949	0	0	Cash Collections			
708333																0	810	317	1965	125	192	0	0	0	0	0	646	0	0	0				
708379																0	996	496	5692	174	181	0	0	0	0	0	1303	2716	0	0				
708454																0	871	1107	3762	204	383	144	0	0	0	0	1401	0	0	0	Prepaid Income Tax			
708753																0	34	0	340	0	0	0	0	0	0	0	306	0	0	0				
709031																0	481	0	2619	164	186	0	0	0	0	0	1371	581	0	0				
709143																0	2555	3026	15623	0	724	0	0	0	0	0	2665	6653	0	0				
709358																0	850	333	2939	171	269	83	0	0	0	0	1487	0	0	0	Accounts Receivable			
709451																0	495	133	1239	130	130	0	0	0	0	0	481	0	0	0				
709554																0	114	0	1457	0	323	0	0	0	0	0	1020	0	0	0				
709602																0	3261	4621	20915	1721	3282	0	0	0	0	0	3274	6477	0	0				
709639																0	0	1542	9075	189	361	0	0	0	0	0	2186	4986	0	0				
709648																0	792	1130	6363	88	361	113	0	0	0	0	1305	2775	0	0	AR LATE FEES LOANS			
709675																0	237	554	1414	50	149	0	0	0	0	0	474	0	0	0				
709956																0	59	64	455	34	34	0	0	0	0	0	298	0	0	0				
710176																0	542	53	1672	140	192	0	0	0	0	0	885	0	0	0				
710251																0	664	120	2316	35	126	77	0	0	0	0	1406	0	0	0	Debit card revenue			
710859																0	731	0	3509	328	353	0	0	0	0	0	2425	0	0	0				
711472	0	2198	2734	17169	5653	9175	0	0	0	0	0	3062	0	0	0		2198																	
711520																0	127	279	1228	220	448	0	0	0	0	0	374	0	0	0				
711548																0	1013	527	6175	128	202	0	0	0	0	0	964	3469	0	0				
711753																0	130	0	939	28	191	132	31	0	0	0	618	0	0	0	Scribner Insurance Agency Accts Receivable	DDA Suspense		
711801																0	1788	11	16015	0	1269	0	0	0	0	0	1936	11011	0	0				
711959																0	0	0	100	18	20	2	0	0	0	0	80	0	0	0	Interest Earned not Collected			
712031																757	3449	0	18644	1138	2515	0	0	0	0	0	4252	8428	0	0				
712059																0	2085	0	12047	586	632	0	0	0	0	0	5273	4057	0	0				
712648																0	603	0	948	31	32	1	0	0	0	0	313	0	0	0	Coin Account			
712750																0	593	360	3138	96	98	0	0	0	0	0	374	1713	0	0				
712956																12	0	660	5193	78	154	59	0	0	0	0	2293	2086	0	0	Unposted debits			
713038																0	204	20	545	62	101	0	0	0	0	0	220	0	0	0				
713047																0	0	106	417	44	45	0	0	0	0	0	266	0	0	0				
713140																0	122	253	930	71	107	11	25	0	0	0	448	0	0	0	Assessed late charges	Unposted Debits		
713252																0	2	1	394	46	74	28	0	0	0	0	317	0	0	0	software			
713926																0	2836	583	13659	0	2941	0	0	0	0	0	1482	5817	0	0				
714165																0	66	142	789	150	150	0	0	0	0	0	431	0	0	0				
714437																0	0	0	702	96	96	0	0	0	0	0	499	107	0	0				
714811	0	0	580	5498	436	2802	476	1013	591	0	0	2116	0	0	0		0														Computer Software	Investment in Limited Partnership	Bank's Liability on acceptances	
714839																0	913	0	3378	377	718	0	0	0	0	0	1305	442	0	0				
714978																0	2491	1725	11835	167	407	209	0	0	0	0	1576	5636	0	0	Income tax recievable			
715032																0	228	130	1496	89	157	56	0	0	0	0	630	351	0	0	Unposted Debits			
715144																0	251	0	5584	0	2453	2244	0	0	0	0	1838	1042	0	0	ACCOUNTS RECEIVABLE			
715340																5	1387	1105	4532	106	169	14	0	0	0	0	876	995	0	0	Computer Software			
715630																0	1064	827	6111	40	118	0	0	0	0	0	1219	2883	0	0				
715751																0	35	0	393	35	35	0	0	0	0	0	323	0	0	0				
716413																0	0	12383	32574	3361	15068	4182	2164	0	0	0	5123	0	0	0	PREPAID INCOME TAX	PENSION ASSETS		
716655																0	1443	0	6663	241	379	106	0	0	0	0	2502	2339	0	0	Advance fo credit card clgs			
716833																0	7349	5214	36693	1183	4389	1559	1182	0	0	0	7775	11966	0	0	Deferred Compensation Assets	LTD Partnership Investments		
716851																0	532	0	2436	90	153	0	0	0	0	0	597	1154	0	0				
716954																0	233	0	1007	57	57	0	0	0	0	0	717	0	0	0				
717232																0	114	0	536	43	247	204	0	0	0	0	175	0	0	0	Investment Receivables			
717513																580	1751	1676	6690	0	903	0	0	0	0	0	1501	859	0	0				
717737																0	5534	157	16779	547	648	0	0	0	0	0	2796	7644	37	0				
717867																0	92	0	935	71	71	0	0	0	0	0	772	0	0	0				
717924																0	0	0	7939	0	1304	500	0	0	0	0	6635	0	0	0	Investment Low Income Housing			
718079																0	345	45	1935	70	70	0	0	0	0	0	448	1027	0	0				
718145																0	1904	1059	18807	0	5742	4327	0	0	0	0	4451	5651	0	0	Customer Liability/Acceptances			
718275																0	0	0	702	98	120	0	0	0	0	0	582	0	0	0				
718538																0	749	967	6510	0	108	0	0	0	0	0	1060	3626	0	0				
718547																0	1051	440	2210	79	137	57	0	0	0	0	582	0	0	0	Principle Receivable - MBS			
718556																9	39	33	799	77	89	0	0	0	0	0	638	0	0	0				
718930																0	702	1061	3527	23	166	31	0	112	0	0	1393	205	0	0	A/R Misc		Participation Clearing	
719030																0	13	179	622	16	118	87	15	0	0	0	244	68	0	0	Prepaid Income Tax	Investment Principal Receivable		
719441																0	522	297	1585	89	89	0	0	0	0	0	677	0	0	0				
719610																38	399	552	2308	132	322	150	0	0	0	0	1035	0	0	0	Prepaid income taxes			
719656																0	2531	948	6170	220	547	161	0	0	0	0	2144	0	0	0	Software			
719955																0	779	52	4000	274	275	0	0	0	0	0	784	2110	0	0				
