RCON5562,RCON5563,RCON5564,RCON5565,RCON5566,RCON5567,RCON5568,RCON5569,RCON5570,RCON5571,RCON5572,RCON5573,RCON5574,RCON5575,RCON5576,RCON5577,RCON5578,RCON5579,RCON5580,RCON5581,RCON5582,RCON5583,RCON5584,RCON5585,RCON5586,RCON5587,RCON5588,RCON5589,RCON6860,RCON6999,IDRSSD,RCON9999
0,0,44,1559,26,3105,23,9475,101,2164,20,2285,4,1090,0,0,19,735,2,241,7,2502,29,656,4,489,5,1633,false,false,12142,2006-06-30
0,0,117,4828,64,8421,24,8808,93,1620,9,1009,0,0,0,0,0,0,2,72,1,278,1,12,1,180,0,0,false,false,12245,2006-06-30
0,0,2275,98747,2631,328433,2918,1139288,11441,313584,1772,188717,1657,515995,0,490,102,3880,76,8131,29,7604,371,9151,76,8158,19,3996,false,false,12311,2006-06-30
0,0,11,613,22,3522,19,6731,119,2688,27,3522,7,3050,0,0,13,331,11,1210,9,3517,42,766,13,1513,5,2373,false,false,12647,2006-06-30
13,44,0,0,0,0,0,0,0,0,0,0,0,0,14,44,0,0,0,0,0,0,0,0,0,0,0,0,true,true,12656,2006-06-30
0,0,16,933,17,3205,42,22154,62,1744,6,1103,12,6124,0,0,0,0,0,0,1,257,0,0,0,0,0,0,false,false,12937,2006-06-30
0,0,99,3261,67,7875,49,20891,592,9744,68,6168,37,9199,0,0,16,748,15,1721,10,2763,20,448,3,335,2,551,false,false,12946,2006-06-30
0,0,29,965,20,2670,37,18405,122,2793,28,2602,20,5632,0,0,1,11,1,61,2,787,0,0,0,0,0,0,false,false,12955,2006-06-30
0,0,65,5637,20,1791,24,8160,199,7256,10,1038,10,1779,8,0,0,0,0,0,0,0,0,0,0,0,0,0,true,false,13037,2006-06-30
0,0,81,363,135,18837,197,81821,411,11257,92,10604,64,22711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,13103,2006-06-30
146,726,0,0,0,0,0,0,0,0,0,0,0,0,30,424,0,0,0,0,0,0,0,0,0,0,0,0,true,true,13251,2006-06-30
16,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,742,12,1434,4,1051,175,2689,21,2356,4,1050,false,true,13457,2006-06-30
0,0,73,2697,26,3768,11,4769,238,3772,24,2793,6,2290,48,37,0,0,0,0,0,0,0,0,0,0,0,0,true,false,14052,2006-06-30
72,507,0,0,0,0,0,0,0,0,0,0,0,0,50,539,0,0,0,0,0,0,0,0,0,0,0,0,true,true,14155,2006-06-30
0,0,15,696,42,5607,102,45572,281,4085,91,10577,75,21380,0,0,4,195,2,318,2,686,5,105,4,470,2,850,false,false,14258,2006-06-30
0,0,159,6177,446,50901,633,243295,6574,201479,912,100814,1053,393893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,false,14409,2006-06-30
0,0,49,830,5,504,4,1341,11,672,3,279,7,1148,12,57,0,0,0,0,0,0,0,0,0,0,0,0,true,false,14454,2006-06-30
26,103,0,0,0,0,0,0,0,0,0,0,0,0,2,57,0,0,0,0,0,0,0,0,0,0,0,0,true,true,14650,2006-06-30
7,75,0,0,0,0,0,0,0,0,0,0,0,0,28,255,0,0,0,0,0,0,0,0,0,0,0,0,true,true,14753,2006-06-30
0,0,36,1520,30,4128,19,7816,150,3429,20,2896,11,4460,0,0,35,1727,30,4249,17,5074,190,5137,69,7482,30,6753,false,false,14865,2006-06-30
0,0,327,17103,193,26872,258,106180,271,10462,74,8643,96,33758,0,0,0,0,0,0,3,939,0,0,0,0,0,0,false,false,15536,2006-06-30
0,0,57,2198,48,6683,72,31256,379,8176,70,7577,57,20333,0,0,2,108,1,76,1,332,3,33,1,190,0,0,false,false,16337,2006-06-30
0,0,26,1074,45,5624,51,18984,244,5288,49,4790,9,2677,0,0,8,289,6,574,0,0,14,150,2,205,1,237,false,false,16458,2006-06-30
0,0,51,2413,31,3962,26,7446,153,3488,20,1933,16,3895,0,0,9,423,5,654,2,677,18,340,294,294,2,663,false,false,16551,2006-06-30
