RCFDHU20,RCFDHU21,RCFDHU22,RCFDHU23,RCFDJ981,RCFDJF77,RCFDJF78,RCFDJF84,RCFDJF85,RCFDJF86,RCFDJF87,RCFDJF88,RCFDJF89,RCFDJF90,RCFDJF91,RCFDJF92,RCFDJF93,RCFDK009,RCFDK030,RCFDK033,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,55176,2013-09-30
,,,,,,,,,,,,,,,,,,,,55336,2013-09-30
,,,,,,,,,,,,,,,,,,,,55635,2013-09-30
,,,,,,,,,,,,,,,,,,,,55653,2013-09-30
,,,,,,,,,,,,,,,,,,,,55970,2013-09-30
,,,,,,,,,,,,,,,,,,,,56258,2013-09-30
,,,,,,,,,,,,,,,,,,,,56351,2013-09-30
,,,,,,,,,,,,,,,,,,,,56427,2013-09-30
,,,,,,,,,,,,,,,,,,,,56548,2013-09-30
,,,,,,,,,,,,,,,,,,,,56557,2013-09-30
,,,,,,,,,,,,,,,,,,,,56717,2013-09-30
,,,,,,,,,,,,,,,,,,,,57040,2013-09-30
,,,,,,,,,,,,,,,,,,,,57228,2013-09-30
,,,,,,,,,,,,,,,,,,,,57255,2013-09-30
,,,,,,,,,,,,,,,,,,,,57451,2013-09-30
,,,,,,,,,,,,,,,,,,,,57572,2013-09-30
,,,,,,,,,,,,,,,,,,,,58177,2013-09-30
,,,,,,,,,,,,,,,,,,,,58207,2013-09-30
,,,,,,,,,,,,,,,,,,,,58225,2013-09-30
,,,,,,,,,,,,,,,,,,,,58243,2013-09-30
,,,,,,,,,,,,,,,,,,,,58355,2013-09-30
,,,,,,,,,,,,,,,,,,,,58551,2013-09-30
,,,,,,,,,,,,,,,,,,,,58636,2013-09-30
,,,,,,,,,,,,,,,,,,,,58757,2013-09-30
,,,,,,,,,,,,,,,,,,,,58971,2013-09-30
,,,,,,,,,,,,,,,,,,,,59316,2013-09-30
,,,,,,,,,,,,,,,,,,,,59352,2013-09-30
,,,,,,,,,,,,,,,,,,,,59370,2013-09-30
,,,,,,,,,,,,,,,,,,,,59754,2013-09-30
,,,,0,,,,,,,,,,,,,0,0,0,60143,2013-09-30
,,,,,,,,,,,,,,,,,,,,60330,2013-09-30
,,,,,,,,,,,,,,,,,,,,60545,2013-09-30
,,,,,,,,,,,,,,,,,,,,60554,2013-09-30
,,,,,,,,,,,,,,,,,,,,60648,2013-09-30
,,,,,,,,,,,,,,,,,,,,61122,2013-09-30
,,,,,,,,,,,,,,,,,,,,61177,2013-09-30
,,,,,,,,,,,,,,,,,,,,61355,2013-09-30
,,,,,,,,,,,,,,,,,,,,61476,2013-09-30
,,,,,,,,,,,,,,,,,,,,61757,2013-09-30
,,,,,,,,,,,,,,,,,,,,61832,2013-09-30
,,,,,,,,,,,,,,,,,,,,61953,2013-09-30
,,,,,,,,,,,,,,,,,,,,62044,2013-09-30
,,,,,,,,,,,,,,,,,,,,62110,2013-09-30
,,,,,,,,,,,,,,,,,,,,62147,2013-09-30
,,,,,,,,,,,,,,,,,,,,62772,2013-09-30
,,,,,,,,,,,,,,,,,,,,63050,2013-09-30
,,,,0,,,,,,,,,,,,,0,0,0,63069,2013-09-30
,,,,,,,,,,,,,,,,,,,,63078,2013-09-30
,,,,,,,,,,,,,,,,,,,,63201,2013-09-30
,,,,,,,,,,,,,,,,,,,,63573,2013-09-30
,,,,,,,,,,,,,,,,,,,,63733,2013-09-30
,,,,,,,,,,,,,,,,,,,,63742,2013-09-30
,,,,,,,,,,,,,,,,,,,,63751,2013-09-30
,,,,,,,,,,,,,,,,,,,,64150,2013-09-30
,,,,,,,,,,,,,,,,,,,,64543,2013-09-30
,,,,,,,,,,,,,,,,,,,,64552,2013-09-30
,,,,,,,,,,,,,,,,,,,,64619,2013-09-30
,,,,,,,,,,,,,,,,,,,,64730,2013-09-30
,,,,,,,,,,,,,,,,,,,,65205,2013-09-30
,,,,,,,,,,,,,,,,,,,,65241,2013-09-30
,,,,0,,,,,,,,,,,,,0,0,0,65513,2013-09-30
,,,,,,,,,,,,,,,,,,,,65559,2013-09-30
,,,,,,,,,,,,,,,,,,,,65746,2013-09-30
,,,,,,,,,,,,,,,,,,,,65858,2013-09-30
,,,,0,,,,,,,,,,,,,0,0,0,66015,2013-09-30
,,,,,,,,,,,,,,,,,,,,66154,2013-09-30
,,,,,,,,,,,,,,,,,,,,66275,2013-09-30
,,,,,,,,,,,,,,,,,,,,66677,2013-09-30
,,,,,,,,,,,,,,,,,,,,67142,2013-09-30
,,,,,,,,,,,,,,,,,,,,67151,2013-09-30
,,,,,,,,,,,,,,,,,,,,67209,2013-09-30
,,,,,,,,,,,,,,,,,,,,67254,2013-09-30
,,,,,,,,,,,,,,,,,,,,67311,2013-09-30
,,,,,,,,,,,,,,,,,,,,67656,2013-09-30
,,,,,,,,,,,,,,,,,,,,67870,2013-09-30
,,,,,,,,,,,,,,,,,,,,68345,2013-09-30
,,,,,,,,,,,,,,,,,,,,68448,2013-09-30
,,,,,,,,,,,,,,,,,,,,68671,2013-09-30
,,,,,,,,,,,,,,,,,,,,68756,2013-09-30
,,,,,,,,,,,,,,,,,,,,68831,2013-09-30
,,,,,,,,,,,,,,,,,,,,68840,2013-09-30
,,,,,,,,,,,,,,,,,,,,68859,2013-09-30
,,,,,,,,,,,,,,,,,,,,68943,2013-09-30
,,,,,,,,,,,,,,,,,,,,69333,2013-09-30
,,,,,,,,,,,,,,,,,,,,69678,2013-09-30
,,,,,,,,,,,,,,,,,,,,70049,2013-09-30
,,,,,,,,,,,,,,,,,,,,70058,2013-09-30
,,,,,,,,,,,,,,,,,,,,70218,2013-09-30
,,,,,,,,,,,,,,,,,,,,70414,2013-09-30
,,,,,,,,,,,,,,,,,,,,70638,2013-09-30
,,,,,,,,,,,,,,,,,,,,70955,2013-09-30
,,,,,,,,,,,,,,,,,,,,71073,2013-09-30
,,,,,,,,,,,,,,,,,,,,71318,2013-09-30
,,,,,,,,,,,,,,,,,,,,71457,2013-09-30
,,,,,,,,,,,,,,,,,,,,71859,2013-09-30
,,,,,,,,,,,,,,,,,,,,72258,2013-09-30
,,,,,,,,,,,,,,,,,,,,72351,2013-09-30
,,,,,,,,,,,,,,,,,,,,72454,2013-09-30
,,,,,,,,,,,,,,,,,,,,72678,2013-09-30
,,,,,,,,,,,,,,,,,,,,73116,2013-09-30
,,,,,,,,,,,,,,,,,,,,73152,2013-09-30
,,,,,,,,,,,,,,,,,,,,73554,2013-09-30
,,,,,,,,,,,,,,,,,,,,73956,2013-09-30
,,,,,,,,,,,,,,,,,,,,74056,2013-09-30
,,,,,,,,,,,,,,,,,,,,74140,2013-09-30
,,,,,,,,,,,,,,,,,,,,74159,2013-09-30
,,,,,,,,,,,,,,,,,,,,74403,2013-09-30
,,,,,,,,,,,,,,,,,,,,74449,2013-09-30
,,,,,,,,,,,,,,,,,,,,75053,2013-09-30
,,,,,,,,,,,,,,,,,,,,75259,2013-09-30
,,,,,,,,,,,,,,,,,,,,75446,2013-09-30
,,,,,,,,,,,,,,,,,,,,75455,2013-09-30
,,,,,,,,,,,,,,,,,,,,75558,2013-09-30
,,,,0,,,,,,,,,,,,,0,0,0,75633,2013-09-30
,,,,,,,,,,,,,,,,,,,,75651,2013-09-30
,,,,,,,,,,,,,,,,,,,,76135,2013-09-30
,,,,,,,,,,,,,,,,,,,,76153,2013-09-30
,,,,,,,,,,,,,,,,,,,,76443,2013-09-30
,,,,,,,,,,,,,,,,,,,,76854,2013-09-30
,,,,,,,,,,,,,,,,,,,,77150,2013-09-30
,,,,,,,,,,,,,,,,,,,,77253,2013-09-30
,,,,,,,,,,,,,,,,,,,,77422,2013-09-30
,,,,,,,,,,,,,,,,,,,,77758,2013-09-30
,,,,,,,,,,,,,,,,,,,,77851,2013-09-30
,,,,,,,,,,,,,,,,,,,,78036,2013-09-30
,,,,,,,,,,,,,,,,,,,,78157,2013-09-30
,,,,,,,,,,,,,,,,,,,,78241,2013-09-30
,,,,,,,,,,,,,,,,,,,,78559,2013-09-30
,,,,,,,,,,,,,,,,,,,,78858,2013-09-30
,,,,,,,,,,,,,,,,,,,,79042,2013-09-30
,,,,,,,,,,,,,,,,,,,,79127,2013-09-30
,,,,,,,,,,,,,,,,,,,,79145,2013-09-30
,,,,,,,,,,,,,,,,,,,,79257,2013-09-30
,,,,,,,,,,,,,,,,,,,,79855,2013-09-30
,,,,,,,,,,,,,,,,,,,,80020,2013-09-30
,,,,,,,,,,,,,,,,,,,,80150,2013-09-30
,,,,,,,,,,,,,,,,,,,,80374,2013-09-30
,,,,,,,,,,,,,,,,,,,,80431,2013-09-30
,,,,,,,,,,,,,,,,,,,,80552,2013-09-30
,,,,,,,,,,,,,,,,,,,,80936,2013-09-30
,,,,,,,,,,,,,,,,,,,,81175,2013-09-30
,,,,,,,,,,,,,,,,,,,,81429,2013-09-30
,,,,,,,,,,,,,,,,,,,,82033,2013-09-30
,,,,,,,,,,,,,,,,,,,,82079,2013-09-30
,,,,,,,,,,,,,,,,,,,,82257,2013-09-30
,,,,,,,,,,,,,,,,,,,,82350,2013-09-30
