RCFD3353,RCFD3355,RCFD3365,RCFD3368,RCFD3381,RCFD3401,RCFD3484,RCFDB558,RCFDB559,RCFDB560,RCFN3360,RCFN3404,RCON3353,RCON3355,RCON3360,RCON3365,RCON3368,RCON3381,RCON3385,RCON3386,RCON3387,RCON3465,RCON3466,RCON3484,RCON3485,RCONA514,RCONA529,RCONB558,RCONB559,RCONB560,RCONB561,RCONB562,RCONB563,RCONHK16,RCONHK17,IDRSSD,RCON9999
,,,,,,,,,,,,0,7650,82194,18817,141893,25699,60246,0,20956,,,0,16072,12583,47172,3823,0,4023,0,1377,24760,,,9160,2001-09-30
,,,,,,,,,,,,8964,30532,221242,0,294558,2253,190703,0,14180,,,0,40365,41237,98412,5393,29186,11540,0,16358,26329,,,9339,2001-09-30
,,,,,,,,,,,,2370,26410,216518,1,267777,1947,131159,0,81025,,,0,12619,26025,1717,18539,8580,0,0,3449,105576,,,9357,2001-09-30
,,,,,,,,,,,,1674,,43148,426,51793,29,17214,20496,2606,,,0,6634,8559,22314,3291,70,1533,0,1300,2146,,,9553,2001-09-30
,,,,,,,,,,,,38027,98296,1186414,87875,1629622,4447,1111808,0,71884,,,0,9327,252838,195545,43678,157733,115230,0,1566,715240,,,9807,2001-09-30
,,,,,,,,,,,,16,,45015,2380,85887,3,20247,14300,5851,,,1775,13028,8417,21408,23667,9,818,0,4851,26618,,,9955,2001-09-30
,,,,,,,,,,,,4,,42432,5443,74690,11,10672,25079,3318,,,0,5060,4445,29229,7758,13840,70,0,1974,10198,,,10157,2001-09-30
,,,,,,,,,,,,0,0,157320,9042,208852,0,82682,0,30879,,,0,27079,30943,82709,3297,17879,7668,235,42589,25408,,,10250,2001-09-30
,,,,,,,,,,,,84,,30359,1367,52853,80,22459,,4964,,,0,4114,1361,17516,10597,4171,2127,0,2253,13531,,,10577,2001-09-30
,,,,,,,,,,,,0,6885,108349,1012,157513,10652,81287,9264,7476,,,5,17693,33693,47014,4102,12805,10692,438,3790,23179,,,10849,2001-09-30
,,,,,,,,,,,,7141,5500,255223,4647,320379,24,60030,17622,20412,,,133,24906,38758,135385,42245,0,305,100000,41918,52933,,,10858,2001-09-30
,,,,,,,,,,,,502,,83526,1292,112647,57,56889,0,20102,,,0,23347,6407,30170,5659,1421,9734,1,6534,21342,,,11145,2001-09-30
,,,,,,,,,,,,182,,23870,1248,44769,1290,8185,7703,5961,,,0,4762,3298,13307,1773,2911,8295,0,2021,11842,,,11350,2001-09-30
,,,,,,,,,,,,359,16940,98891,1742,162079,0,44130,18196,21311,,,0,14085,33072,35140,5184,17042,23967,0,14255,15155,,,11640,2001-09-30
,,,,,,,,,,,,962,,38632,1097,61528,0,23423,,12481,,,0,12982,8653,21186,3018,3764,11868,165,2526,3279,,,11837,2001-09-30
,,,,,,,,,,,,0,0,156666,5507,177878,500,100370,3579,32972,,,0,11227,43912,83168,4146,0,1488,0,23322,6172,,,12030,2001-09-30
,,,,,,,,,,,,0,,73517,3083,104926,0,41406,6127,10990,,,0,5185,16018,47088,18322,0,3156,0,15113,16703,,,12058,2001-09-30
,,,,,,,,,,,,0,2000,71016,1837,168633,213,40756,8188,5741,,,0,19277,44422,31938,28154,30390,25193,0,16331,25211,,,12142,2001-09-30
,,,,,,,,,,,,197,,51507,1636,85945,30,44002,0,2332,,,0,4722,10427,21433,6046,3166,18682,124,4424,21269,,,12245,2001-09-30
2049960,2068120,81295,27681984,1332,2126,3224272,898902,1735358,291160,0,321271,,,18408488,,,,9343501,62649,5262797,,,,1662870,1477966,5844146,,,,0,3449273,8482816,,,12311,2001-09-30
,,,,,,,,,,,,0,,9112,2675,29191,1128,3838,3488,961,,,0,3124,2001,12512,13879,0,428,0,825,4628,,,12357,2001-09-30
,,,,,,,,,,,,43193,896,472676,4232,979985,0,246019,16793,47612,,,77777,107230,179009,270130,47777,218235,106695,116,121287,212911,,,12405,2001-09-30
,,,,,,,,,,,,0,,31421,1145,42759,15,22616,2161,4868,,,0,2035,4338,12543,1752,3257,2488,94,1685,13055,,,12647,2001-09-30
,,,,,,,,,,,,2,,8376,841,10926,0,,,,,,3,1248,2775,3484,0,200,146,,,830,,,12656,2001-09-30
,,,,,,,,,,,,4405,2098,92315,0,115903,862,65951,0,12595,,,0,9472,24708,14989,5209,0,8174,0,1686,24541,,,12937,2001-09-30
,,,,,,,,,,,,667,14818,192586,7180,389664,0,139648,2326,28569,,,0,42594,91456,121202,33706,76747,52020,0,21094,47123,,,12946,2001-09-30
,,,,,,,,,,,,269,,59187,1352,87892,40,29107,0,14255,,,3217,6618,12262,21073,12138,997,4606,0,11461,19426,,,12955,2001-09-30
,,,,,,,,,,,,11,0,104752,2333,125781,0,36124,,58285,,,0,4907,8358,51623,6124,0,5058,366,5876,28407,,,13037,2001-09-30
,,,,,,,,,,,,6891,3225,389062,40173,612303,149,349339,0,33147,,,0,33946,39963,164822,48129,24667,85457,0,6713,262456,,,13103,2001-09-30
,,,,,,,,,,,,0,,16959,1854,29380,1212,9597,1907,2573,,,0,1861,1814,12334,2435,3052,2449,0,3533,6657,,,13251,2001-09-30
,,,,,,,,,,,,54423,220085,1537642,74366,2115062,7225,711848,2126,479183,,,0,23159,386093,462528,93156,261182,25723,15314,331298,613818,,,13309,2001-09-30
,,,,,,,,,,,,0,,13195,866,20579,98,,,,,,323,2264,1726,7053,1099,70,2661,,,4030,,,13457,2001-09-30
,,,,,,,,,,,,0,,45251,2104,57145,1191,30772,0,9192,,,0,5354,5089,12401,4162,0,103,0,5285,19070,,,14052,2001-09-30
,,,,,,,,,,,,467,,53793,23,69237,10,24092,9213,11698,,,10,4912,7293,23388,2857,3237,2565,0,8524,13618,,,14155,2001-09-30
,,,,,,,,,,,,26098,7826,369206,31837,462831,0,272466,665,81399,,,0,26455,59473,34373,17081,14803,5608,0,10687,192487,,,14258,2001-09-30
1397748,322847,110054,16698033,27864,0,579506,68375,3674822,360374,1738,214219,,,10320062,,,,3770081,14445,4212248,,,,158818,878712,2252020,,,,0,1088071,7929544,,,14409,2001-09-30
,,,,,,,,,,,,111,,24129,629,47891,0,17406,3483,2634,,,3774,1427,10785,16362,1856,15882,380,0,606,7830,,,14454,2001-09-30
,,,,,,,,,,,,0,,19342,1028,30072,1000,9200,1564,485,,,0,3774,5946,7801,3204,0,2887,0,7403,4734,,,14650,2001-09-30
,,,,,,,,,,,,2,,13708,723,24300,0,4167,7111,1468,,,0,949,2105,9716,5771,1292,923,0,963,3807,,,14753,2001-09-30
,,,,,,,,,,,,591,,56286,429,76589,1505,26055,15447,8255,,,0,8008,21193,16561,4535,597,6287,382,2374,12338,,,14865,2001-09-30
,,,,,,,,,,,,44,,11374,3864,27154,0,6114,,2191,,,0,1988,3023,3812,4228,6257,54,0,2440,5281,,,14931,2001-09-30
,,,,,,,,,,,,4523,0,74877,551,128240,0,65578,0,4092,,,0,1317,13441,19267,16759,21643,10446,0,5206,72168,,,14940,2001-09-30
,,,,,,,,,,,,12427,0,890292,20634,1040933,861,548759,0,300873,,,0,3210,124296,354069,500,47554,13885,0,11285,301648,,,15536,2001-09-30
,,,,,,,,,,,,2766,0,216423,364,244777,0,160238,0,32946,,,1577,13540,49605,60262,3890,12512,500,0,24311,71392,,,15732,2001-09-30
,,,,,,,,,,,,946,17117,129630,11075,191037,47,86064,0,16086,,,0,22180,32714,48487,14387,8847,8233,0,26146,24545,,,16337,2001-09-30
,,,,,,,,,,,,48,,26842,1823,39987,3,18054,578,5778,,,0,4624,6301,7812,264,313,7399,0,2406,9974,,,16355,2001-09-30
,,,,,,,,,,,,0,2008,88875,6467,163546,3,65952,0,16664,,,0,6277,14811,29989,36704,210,16997,0,5020,57532,,,16458,2001-09-30
,,,,,,,,,,,,0,,50853,3279,62047,519,34866,0,7681,,,0,4146,5432,21221,1219,290,3468,0,6496,12786,,,16551,2001-09-30
,,,,,,,,,,,,0,,31671,3253,48314,37,23127,,3403,,,0,3164,3809,21635,4292,2610,2571,0,4341,6781,,,16748,2001-09-30
,,,,,,,,,,,,73496,72728,236132,1935,418713,737,182315,,50912,,,61,1968,86183,18680,2004,140950,17110,0,2600,127729,,,16766,2001-09-30
,,,,,,,,,,,,0,,13992,4157,31291,0,10589,0,1465,,,0,6287,1111,7174,4313,518,5803,0,1367,7638,,,16944,2001-09-30
,,,,,,,,,,,,0,,9188,3087,29146,100,2303,3710,1475,,,0,3716,1076,10526,14549,0,829,0,1700,4948,,,16953,2001-09-30
,,,,,,,,,,,,0,,44556,15526,73920,3381,264,,153,,,0,0,53320,5534,1054,0,0,0,38657,239,,,17110,2001-09-30
,,,,,,,,,,,,70743,71984,560757,20227,777431,474,320939,8373,140873,,,0,75658,80523,141864,15885,83021,45667,0,92020,182584,,,17147,2001-09-30
,,,,,,,,,,,,104,,27544,253,45619,5,19718,0,1952,,,152,3492,4804,18317,2774,4497,6930,0,4930,6455,,,17259,2001-09-30
,,,,,,,,,,,,514,11693,407809,2237,472562,0,314256,865,44697,,,0,12853,38305,38637,2450,16220,1246,4448,39338,261058,,,17464,2001-09-30
,,,,,,,,,,,,99,0,105543,25122,192347,878,99235,0,4597,,,30296,12813,43217,22793,7157,4605,3625,0,1710,60705,,,17549,2001-09-30
,,,,,,,,,,,,0,,21761,8842,39788,0,12050,1203,1563,,,124,5428,6947,14907,5819,0,160,0,6861,3283,,,17642,2001-09-30
,,,,,,,,,,,,6842,0,136341,962,170192,2,78068,12704,33546,,,0,16184,32803,38554,22228,2044,683,3,9508,37893,,,17839,2001-09-30
,,,,,,,,,,,,0,,21503,1889,43489,291,12940,1382,3436,,,0,6889,7357,10906,8657,7253,1518,0,3233,8980,,,17950,2001-09-30
,,,,,,,,,,,,0,4445,120216,8853,204228,771,91236,0,8851,,,0,28905,30269,49856,19171,27095,14387,605,16280,29367,,,18050,2001-09-30
,,,,,,,,,,,,365,204781,587418,22831,1046514,5061,494753,0,77731,,,0,47242,115585,309943,24854,309006,33183,0,14936,160407,,,18126,2001-09-30
,,,,,,,,,,,,6670,3031,88705,8468,131364,754,69375,0,7411,,,0,12745,22348,16262,9014,0,11510,0,11919,35255,,,18135,2001-09-30
,,,,,,,,,,,,0,6562,253327,17587,380259,24,205427,0,49894,,,12800,3670,33514,30504,27088,0,42496,831,1789,252810,,,18368,2001-09-30
,,,,,,,,,,,,0,,9549,0,13777,2813,,,,,,0,0,525,9626,198,908,0,,,1640,,,18377,2001-09-30
,,,,,,,,,,,,0,757,74204,9553,129319,220,51079,0,7238,,,0,25189,5742,32118,18797,2232,16976,0,16090,34636,,,18827,2001-09-30
,,,,,,,,,,,,12,,84148,2775,106203,2644,50921,,1831,,,0,5681,22960,41245,1235,2803,4515,0,30558,14170,,,18836,2001-09-30
,,,,,,,,,,,,1,,14518,2730,24724,694,5506,4728,3683,,,0,4709,3919,10147,4621,22,18,0,601,1357,,,18854,2001-09-30
,,,,,,,,,,,,394,20966,188381,4539,348840,1289,141011,0,38683,,,0,7145,45960,34462,1018,89270,27607,638,5622,167764,,,18863,2001-09-30
,,,,,,,,,,,,0,,26149,2382,47226,150,15078,2480,4509,,,0,6934,9033,14716,7355,5613,2294,116,3496,5721,,,18957,2001-09-30
,,,,,,,,,,,,553,0,49109,4546,87427,500,28530,0,13246,,,0,12760,6298,36807,17966,0,9910,0,6719,8205,,,19356,2001-09-30
,,,,,,,,,,,,20222,10000,625147,70784,873736,169,476817,2731,90944,,,0,12000,135736,179710,91441,19,6401,0,26765,317368,,,19730,2001-09-30
,,,,,,,,,,,,4637,0,76858,6103,128325,448,45304,4091,10324,,,0,20762,19607,34370,5622,27837,1321,0,12088,14773,,,19936,2001-09-30
,,,,,,,,,,,,0,,24080,0,40749,7103,23806,0,0,,,0,0,0,0,6365,554,446,0,273,32562,,,19972,2001-09-30
,,,,,,,,,,,,1619,,15546,394,25994,125,,,,,,0,1870,1750,8780,5070,5,3933,,,3961,,,20053,2001-09-30
,,,,,,,,,,,,0,,24436,1492,40638,0,17775,1745,1831,,,0,2642,1553,11051,3371,3337,3180,341,3490,14240,,,20147,2001-09-30
,,,,,,,,,,,,0,,15276,3975,34831,360,5137,1445,7251,,,0,7836,399,485,148,8247,2485,0,1236,7957,,,20259,2001-09-30
,,,,,,,,,,,,0,,82352,867,104951,380,60161,0,16078,,,0,11186,13604,22722,36,3941,7314,102,5835,26383,,,20370,2001-09-30
,,,,,,,,,,,,7,,50959,553,82120,6267,41147,0,1754,,,0,5512,10556,25820,2470,2609,14819,0,3377,12486,,,20512,2001-09-30
,,,,,,,,,,,,1071,239,53145,248,117091,7,41953,0,1710,,,0,11979,8604,13668,28849,13544,16525,0,7494,34824,,,20633,2001-09-30
,,,,,,,,,,,,0,,6483,354,12148,0,,,,,,0,1145,475,6937,4008,0,399,,,1252,,,20754,2001-09-30
,,,,,,,,,,,,0,,52187,2451,67187,40,41340,0,8984,,,0,6344,10354,28602,0,3665,4623,0,2244,5399,,,20839,2001-09-30
,,,,,,,,,,,,13,,22903,3077,42374,207,8491,9159,3574,,,0,8713,5365,10898,3334,1001,7774,0,1902,5951,,,20857,2001-09-30
,,,,,,,,,,,,0,,43760,7883,62170,37,28653,,6497,,,0,18086,3818,13619,1737,623,1240,307,8276,14536,,,20866,2001-09-30
,,,,,,,,,,,,0,,4865,1314,8905,0,,,,,,0,1077,920,2511,1175,0,290,,,1541,,,21256,2001-09-30
,,,,,,,,,,,,0,,8580,627,13932,289,,,,,,0,1098,901,4091,1428,154,792,,,4491,,,21359,2001-09-30
,,,,,,,,,,,,0,,29578,1482,53293,1370,22787,0,3778,,,0,5287,12080,12761,2654,13952,533,0,2991,5671,,,21630,2001-09-30
,,,,,,,,,,,,0,,53514,3237,73162,48,35568,8296,5494,,,0,12910,3470,26479,9269,201,3423,131,4409,13547,,,21658,2001-09-30
,,,,,,,,,,,,2020,856,110294,12658,161454,3,33832,4225,56805,,,0,16990,45691,51766,21316,1556,6806,0,14453,11379,,,22048,2001-09-30
,,,,,,,,,,,,52,16659,167945,3762,212435,4121,124955,10212,6761,,,0,14594,35153,106585,500,15972,8942,0,23639,15503,,,22235,2001-09-30
,,,,,,,,,,,,3884,484,127051,9483,199343,6008,61512,16191,33623,,,0,40566,34137,60588,12089,11681,14085,2323,13402,21654,,,22356,2001-09-30
,,,,,,,,,,,,2149,,64833,5062,86477,22,34179,0,5099,,,86,9724,5524,34297,10683,58,957,282,22792,11237,,,22459,2001-09-30
,,,,,,,,,,,,0,,31900,8979,53298,16,25712,0,3507,,,0,13602,5308,12876,4069,660,3674,0,2486,6082,,,22543,2001-09-30
,,,,,,,,,,,,652,,31343,0,37938,0,13299,11004,4223,,,0,4498,3764,15393,1671,57,2801,0,2804,4166,,,22552,2001-09-30
,,,,,,,,,,,,0,0,47596,2210,84563,0,33661,0,5626,,,0,3228,3891,40964,15530,10322,6319,0,8270,15345,,,22730,2001-09-30
,,,,,,,,,,,,0,55326,316924,0,807402,0,0,0,0,,,0,0,528712,0,0,0,36714,316924,0,0,,,22860,2001-09-30
,,,,,,,,,,,,37,,80757,3212,110860,58,52492,3053,18574,,,0,6739,22473,30318,7014,6074,4481,0,9691,15608,,,22936,2001-09-30
,,,,,,,,,,,,539,,36808,142,47432,563,17469,8530,4820,,,0,5111,4664,21302,2960,2918,337,0,5416,5764,,,22954,2001-09-30
,,,,,,,,,,,,0,113,198197,0,249995,0,133834,0,30646,,,0,28671,32248,83882,32762,5663,764,0,18523,45441,,,23036,2001-09-30
,,,,,,,,,,,,0,,11530,7046,28217,0,9008,560,1272,,,0,5609,2637,3503,7156,0,415,0,440,4593,,,23045,2001-09-30
,,,,,,,,,,,,319012,571626,1725656,62794,3295367,318,1108237,49818,342349,,,13042,55137,341386,827481,256642,443165,517129,6190,116236,788901,,,23241,2001-09-30
,,,,,,,,,,,,367,11511,64504,5995,108243,6,55352,0,5321,,,0,10147,9873,21568,0,25883,4037,0,3619,32988,,,23344,2001-09-30
