RCFA2170,RCFA3128,RCFA3792,RCFA5310,RCFA5311,RCFA7204,RCFA7205,RCFA7206,RCFA8274,RCFAA223,RCFAA224,RCFAB530,RCFAB596,RCFAH015,RCFAH036,RCFAH311,RCFAH313,RCFAH314,RCFAJJ30,RCFAJJ31,RCFAJJ32,RCFAKW00,RCFAKW03,RCFAKX77,RCFAKX78,RCFAKX79,RCFAKX80,RCFAKX81,RCFAKX82,RCFAKX83,RCFALB58,RCFALB59,RCFALB60,RCFALB61,RCFAP742,RCFAP793,RCFAP839,RCFAP840,RCFAP841,RCFAP842,RCFAP843,RCFAP844,RCFAP846,RCFAP847,RCFAP848,RCFAP849,RCFAP850,RCFAP852,RCFAP857,RCFAP858,RCFAP859,RCFAP860,RCFAP861,RCFAP862,RCFAP863,RCFAP864,RCFAP865,RCFAP866,RCFAP867,RCFAP868,RCFAP870,RCFAP872,RCFAP875,RCFAQ258,RCFAS540,RCFW3792,RCFW5310,RCFW5311,RCFW7205,RCFW7206,RCFWA223,RCFWH312,RCFWP793,RCFWP851,RCFWP852,RCFWP853,RCFWP854,RCFWP855,RCFWP856,RCFWP857,RCFWP858,RCFWP859,RCFWP870,RCOA2170,RCOA3128,RCOA3792,RCOA5310,RCOA5311,RCOA7204,RCOA7205,RCOA7206,RCOA8274,RCOAA223,RCOAA224,RCOAB530,RCOAB596,RCOAH311,RCOAH313,RCOAH314,RCOAJJ29,RCOAJJ30,RCOAJJ31,RCOAJJ32,RCOAKW00,RCOAKX77,RCOAKX78,RCOAKX79,RCOAKX80,RCOAKX81,RCOAKX82,RCOAKX83,RCOALB58,RCOALB59,RCOALB60,RCOALB61,RCOALE74,RCOANC99,RCOAP742,RCOAP793,RCOAP838,RCOAP839,RCOAP840,RCOAP841,RCOAP842,RCOAP843,RCOAP844,RCOAP846,RCOAP847,RCOAP848,RCOAP849,RCOAP850,RCOAP852,RCOAP857,RCOAP858,RCOAP859,RCOAP860,RCOAP861,RCOAP862,RCOAP863,RCOAP864,RCOAP865,RCOAP866,RCOAP867,RCOAP868,RCOAP870,RCOAP872,RCOAP875,RCOAQ258,RCOAS540,IDRSSD,RCON9999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37192,1631,1631,13.2830%,21.6083%,20.6607%,35561,172119,267718,-181,0,13.6083%,,,,,,,,,,,,,,,,,,,,,21000,20.6607%,1,0,35790,0,0,0,229,0,0,0,,0,35561,0,0,35561,0,0,0,0,0,0,0,0,0,1631,0,0,0,,3720,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113590,9242,9243,12.5519%,15.3917%,14.1393%,104347,737995,831324,60,0,7.3917%,,,,,,,,,,,,,,,,,,,,,176278,14.1393%,1,0,113538,8995,72,51,60,0,0,0,,0,104360,13,13,104347,0,0,0,0,13,0,0,0,0,9243,0,9131,0,,3971,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23039,1935,1935,10.0366%,14.8854%,13.6352%,21104,154776,210270,-113,0,6.8854%,,,,,,,,,,,,,,,,,,,,,7857,13.6352%,1,0,22774,1783,0,0,-113,0,0,0,,0,21104,0,0,21104,0,0,0,0,0,0,0,0,0,1935,0,1783,0,,4156,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17039,672,672,14.4882%,30.5671%,29.3615%,16367,55743,112968,-227,0,22.5671%,,,,,,,,,,,,,,,,,,,,,12600,29.3615%,1,0,16376,0,0,189,-227,0,0,0,,0,16414,47,47,16367,0,0,0,0,47,0,0,0,0,672,0,236,0,,4231,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44480,3549,3549,11.8605%,15.7215%,14.4671%,40931,282925,345103,-628,0,7.7215%,,,,,,,,,,,,,,,,,,,,,16715,14.4671%,1,0,40303,0,0,0,-653,25,0,0,,0,40931,0,0,40931,0,0,0,0,0,0,0,0,0,3549,0,0,0,,4839,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185609,5537,5537,36.6769%,42.6411%,41.3690%,180072,435282,490968,3103,0,34.6411%,,,,,,,,,,,,,,,,,,,,,8628,41.3690%,1,0,183191,0,0,0,3111,0,0,0,,0,180072,0,0,180072,0,0,0,0,0,0,0,0,0,5537,0,0,0,,5069,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67347,4036,4036,13.8101%,19.1421%,17.9949%,63311,351827,458439,-228,0,11.1421%,,,,,,,,,,,,,,,,,,,,,25042,17.9949%,1,0,64124,1042,0,0,-229,0,0,0,,0,63311,0,0,63311,0,0,0,0,0,0,0,0,0,4036,0,1042,0,,5135,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120406,10860,10860,8.7989%,13.9122%,12.6574%,109546,865468,1244992,-5619,-5539,5.9122%,,,,,,,,,,,,,,,,,,,,,10253,12.6574%,1,0,103931,0,0,0,-78,0,-5539,0,,0,109546,0,0,109546,0,0,0,0,0,0,0,0,0,10860,0,0,0,,5210,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60324,5384,5384,9.1620%,14.0161%,12.7652%,54940,430390,599648,-237,0,6.0161%,,,,,,,,,,,,,,,,,,,,,6300,12.7652%,1,0,54703,0,0,0,-237,0,0,0,,0,54940,0,0,54940,0,0,0,0,0,0,0,0,0,5384,0,0,0,,5461,2017-06-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34209,1876,1876,16.4701%,22.8159%,21.5647%,32333,149935,196313,935,0,14.8159%,,,,,,,,,,,,,,,,,,,,,9352,21.5647%,1,0,34520,1089,163,0,935,0,0,0,,0,32333,0,0,32333,0,0,0,0,0,0,0,0,0,1876,0,1252,0,,5751,2017-06-30
