"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2155	RCON2163	RCON2192	RCON2920	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	CUSTOMERS LIABILITY ON ACCEPTANCES	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	ACCEPTANCES EXECUTED FOR ACCT. & OUT	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
942454											135	0			0			0	0	0	0	
942539											608	0			0			2000	1141	0	0	
942838											7466	0			0			3000	0	0	1244	
942847											0	0			0			0	0	0	0	
942874											1386	0			0			13565	14748	0	0	
942959											94	0			0			1281	0	0	0	
943059											1138	0			0			1046	0	0	0	
943068											10535	0			0			185000	0	0	0	
943143											233	0			0			2597	0	0	0	
943152											67	0			0			0	0	0	0	
943255											909	0			0			1510	281	0	0	
943675											2116	0			0			0	746	0	0	
943853											0	0			0			0	0	0	0	
944047											251	0			0			1175	0	0	0	
944337											0	0			0			0	138	0	0	
944355											339	0			0			0	0	0	0	
944551											0	0			0			0	0	0	0	
944627											837	0			0			0	0	0	0	
944739											144	0			0			0	515	0	491	
944748											2	0			0			0	0	0	0	
944841											150	0			0			0	0	0	0	
944935											0	0			0			0	0	0	0	
945026											5523	0			0			100087	0	0	0	
945053											3133	0			0			17377	0	0	3054	
945343											0	0			0			0	0	0	0	
945941											3003	0			0			34231	0	0	50126	
945950											551	0			0			8600	0	0	0	
945969											259	0			0			310	0	0	0	
946171											1735	0			0			18400	719	0	0	
946461											115	0			0			0	0	0	0	
946555											69	0			0			0	0	0	0	
946948											4632	0			0			30266	0	0	0	
947150											38	0			0			0	0	0	0	
947178											5176	0			0			103512	254	0	6894	
947525											582	0			0			1749	0	0	0	
947543											325	0			0			2477	0	0	0	
947628											529	0			0			0	0	0	0	
947655											415	0			0			4249	0	0	0	
947749											697	0			0			5833	0	0	3008	
947776											1082	0			0			9020	3056	0	0	
947842											554	0			0			0	0	0	0	
948036											102	0			0			500	0	0	0	
948250											584	0			0			8500	0	0	6347	
948278											454	0			0			0	2607	0	0	
948531											0	0			0			0	0	0	0	
948643											291	0			0			517	0	0	0	
948942											342	0			0			5065	0	0	0	
948951											78	0			0			0	0	0	703	
949154											1947	0			0			15028	31837	0	0	
949257											948	0			0			10213	0	0	0	
949305											625	0			0			11500	11172	0	0	
949453											61	0			0			1000	0	0	0	
949556											54	0			0			0	0	0	0	
949752											0	0			0			0	0	0	0	
949949											0	0			0			300	0	0	0	
950141											1313	0			0			18173	0	2180	0	
950356											302	0			0			3682	0	0	0	
950365											50	0			0			0	0	0	0	
950758											309	0			0			350	0	0	0	
950936											1749	0			0			8700	0	0	0	
951102											821	0			0			10000	7119	0	0	
951371											444	0			0			0	32	0	0	
951456											695	0			0			10000	0	0	806	
952172											2162	0			0			4000	4479	0	843	
952257											110	0			0			1722	0	0	0	
952453											398	0			0			5001	0	0	4619	
952547											554	0			0			4399	0	0	0	
952846											191	0			0			855	0	0	0	
953357											189	0			0			0	0	0	0	
953450											30	0			0			0	0	0	0	
953535											620	0			0			11050	0	0	248	
953843											307	0			0			3700	0	0	0	
953852											707	0			0			240	0	0	0	
953955											78	0			0			0	0	0	0	
954158											0	0			0			0	0	0	0	
954251											54	0			0			0	0	0	0	
954279											4628	0			0			77121	6736	0	1000	
954457											859	0			0			7970	0	0	10390	
