"IDRSSD"	RCFD3561	RCFD3562	RCFD7701	RCFD7702	RCON3561	RCON3562	RCON7701	RCON7702	
	NO. OF LOANS TO EXECUTIVE OFFICERS	TOT DOLLAR AMT OF LNS TO EXEC OFFCRS	RGE OF INT CHG ON LNS TO EXEC OFF-FR	RGE OF INT CHG ON LNS TO EXEC OFF-TO	NO. OF LOANS TO EXECUTIVE OFFICERS	TOT DOLLAR AMT OF LNS TO EXEC OFFCRS	RGE OF INT CHG ON LNS TO EXEC OFF-FR	RGE OF INT CHG ON LNS TO EXEC OFF-TO	
41647					0	0	0.0000	0.0000	
41759					0	0	0.0000	0.0000	
41825					0	0	0.0000	0.0000	
41937					0	0	0.0000	0.0000	
41955					0	0	0.0000	0.0000	
42037					0	0	0.0000	0.0000	
42055					1	20	0.0725	0.0725	
42354					0	0	0.0000	0.0000	
42420					0	0	0.0000	0.0000	
42448					0	0	0.0000	0.0000	
42457					0	0	0.0000	0.0000	
42541	0	0	0.0000	0.0000					
43052					1	10	0.0595	0.0595	
43155					1	160	0.0350	0.0350	
43173	0	0	0.0000	0.0000					
43324					1	5	0.18	0.18	
43351					0	0	0.0000	0.0000	
43454					0	0	0.0000	0.0000	
43511					1	69	0.0500	0.0500	
43641					0	0	0.0000	0.0000	
43744					0	0	0.0000	0.0000	
43856					0	0	0.0000	0.0000	
43959					2	51	0.0599	0.0650	
44040					0	0	0.0000	0.0000	
44134	0	0	0.0000	0.0000					
44433					0	0	0.0000	0.0000	
44451					0	0	0.0000	0.0000	
44602					1	20	0.0750	0.0750	
44741					0	0	0.0000	0.0000	
44750					1	13	0.0600	0.0600	
44929					2	37	0.0575	0.0575	
45038					2	225	0.0525	0.0575	
45047					1	30	0.0650	0.0650	
45056					1	8	0.0825	0.0825	
45270					0	0	0.0000	0.0000	
45430					0	0	0.0000	0.0000	
45458					1	23	0.0750	0.0750	
45551					0	0	0.0000	0.0000	
45560					0	0	0.0000	0.0000	
45627					0	0	0.0000	0.0000	
45775					0	0	0.0000	0.0000	
46053					0	0	0.0000	0.0000	
46941					1	24	0.0595	0.0595	
47153					0	0	0.0000	0.0000	
47247					1	188	0.0525	0.0525	
47256					1	66	0.0600	0.0600	
47377					0	0	0.0000	0.0000	
47452					3	12	0.0400	0.0700	
47500					1	1	0.1150	0.1150	
48057					1	3	0.0700	0.0700	
48150					0	0	0.0000	0.0000	
48374					3	343	0.0250	0.0450	
48440					2	124	0.0550	0.0625	
48552					0	0	0.0000	0.0000	
48673					0	0	0.0000	0.0000	
48730					0	0	0.0000	0.0000	
49054					0	0	0.0000	0.0000	
49148					0	0	0.0000	0.0000	
49241					5	208	0.0400	0.0725	
49344					1	99	0.0350	0.0350	
49540					0	0	0.0000	0.0000	
49643					0	0	0.0000	0.0000	
49652					0	0	0.0000	0.0000	
49821					0	0	0.0000	0.0000	
49858					0	0	0.0000	0.0000	
49951					0	0	0.0000	0.0000	
50144					4	18	0.0275	0.1325	
50461					0	0	0.0000	0.0000	
50546					1	100	0.0600	0.0600	
50854					0	0	0.0000	0.0000	
50957					0	0	0.0000	0.0000	
51253					0	0	0.0000	0.0000	
51347					0	0	0.0000	0.0000	
51356					0	0	0.0000	0.0000	
51459					5	169	0.0500	0.0700	
51730					0	0	0.0000	0.0000	
51842					0	0	0.0000	0.0000	
51972					0	0	0.0000	0.0000	
52410					0	0	0.0000	0.0000	
52456					0	0	0.0000	0.0000	
52719					0	0	0.0000	0.0000	
52951					0	0	0.0000	0.0000	
53015					0	0	0.0000	0.0000	
53033	0	0	0.0000	0.0000					
53051					0	0	0.0000	0.0000	
53239					0	0	0.0000	0.0000	
53453					0	0	0.0000	0.0000	
53752					3	96	0.0290	0.0650	
54049					0	0	0.0000	0.0000	
54058					0	0	0.0000	0.0000	
54357					0	0	0.0000	0.0000	
54375					11	20896	0.0400	0.0850	
54441					0	0	0.0000	0.0000	
54656					0	0	0.0000	0.0000	
55176					0	0	0.0000	0.0000	
55251					0	0	0.0000	0.0000	
55336					0	0	0.0000	0.0000	
55635					0	0	0.0000	0.0000	
55653					0	0	0.0000	0.0000	
56230					0	0	0.0000	0.0000	
56258					0	0	0.0000	0.0000	
56351					5	545	0.0376	0.0475	
56427					3	184	0.0165	0.065	
56548					0	0	0.0000	0.0000	
56557					0	0	0.0000	0.0000	
56717					0	0	0.0000	0.0000	
56726					2	85	0.0500	0.0575	
57040					0	0	0.0000	0.0000	
57134					0	0	0.0000	0.0000	
57228					1	5	0.1475	0.1475	
57255					2	8	0.0675	0.0675	
57451					0	0	0.0000	0.0000	
57572					2	168	0.0400	0.0438	
57956					0	0	0.0000	0.0000	
58074					4	92	0.0550	0.1400	
58207					0	0	0.0000	0.0000	
58225					0	0	0.0000	0.0000	
58243	1	637	0.0500	0.0500					
58355					0	0	0.0000	0.0000	
58551					0	0	0.0000	0.0000	
58636					1	40	0.0400	0.0400	
58757					1	13	0.0650	0.0650	
58971					0	0	0.0000	0.0000	
59259					0	0	0.0000	0.0000	
59316					0	0	0.0000	0.0000	
59352					0	0	0.0000	0.0000	
59679					1	20	0.0650	0.0650	
59754					0	0	0.0000	0.0000	
60143	0	0	0.0000	0.0000					
60219					1	70	0.0475	0.0475	
60330					1	50	0.0300	0.0300	
60433					0	0	0.0000	0.0000	
60545					3	177	0.0448	0.0575	
60554					0	0	0.0000	0.0000	
60648					0	0	0.0000	0.0000	
61001					2	338	0.0300	0.0300	
61122					7	2196	0.0500	0.0525	
61355					0	0	0.0000	0.0000	
61476					1	283	0.0500	0.0600	
61533					0	0	0.0000	0.0000	
61757					0	0	0.0000	0.0000	
61832					1	6	0.0625	0.0625	
61953					0	0	0.0000	0.0000	
62044					0	0	0.0000	0.0000	
62101					0	0	0.0000	0.0000	
62147					0	0	0.0000	0.0000	
62651					0	0	0.0000	0.0000	
63050					1	91	0.0700	0.0700	
63069	0	0	0.0000	0.0000					
63078					1	25	0.0399	0.0399	
63201					0	0	0.0000	0.0000	
63359					2	27	0.0750	0.0775	
63573					0	0	0.0000	0.0000	
63733					0	0	0.0000	0.0000	
63742					0	0	0	0	
63751					0	0	0.0000	0.0000	
64150					0	0	0.0000	0.0000	
64253					0	0	0.0000	0.0000	
64543					0	0	0.0000	0.0000	
64552					0	0	0.0000	0.0000	
64619	0	0	0.0000	0.0000					
64646					0	0	0.0000	0.0000	
64730					0	0	0.0000	0.0000	
64758					0	0	0.0000	0.0000	
65205					0	0	0.0000	0.0000	
65241					0	0	0.0000	0.0000	
65513	1	14	0.0500	0.0500					
65559					9	134	0.0425	0.0600	
65746					1	53	0.0400	0.0400	
65858					3	1733	0.0400	0.0575	
66015	0	0	0.0000	0.0000					
66154					0	0	0.0000	0.0000	
66172					0	0	0.0000	0.0000	
66275					0	0	0.0000	0.0000	
66837					0	0	0.0000	0.0000	
66846					1	50	0.0525	0.0525	
66903					0	0	0.0000	0.0000	
67142					3	294	0.0375	0.0625	
67151					0	0	0.0000	0.0000	
67209					0	0	0.0000	0.0000	
67254					0	0	0.0000	0.0000	
67311					0	0	0.0000	0.0000	
67414					3	38	0.0330	0.0449	
67777					0	0	0.0000	0.0000	
68345					1	4	0.0695	0.0695	
68448					1	2	0.0448	0.0448	
68756					2	8	0.0700	0.0725	
68831					0	0	0.0000	0.0000	
68840					0	0	0.0000	0.0000	
68859					0	0	0.0000	0.0000	
68943					0	0	0.0000	0.0000	
