RCON9224,RCON9999,RSSD9017,RSSD9130,RSSD9200,RSSD9220,IDRSSD
,2011-12-31,DIAMOND BANK,MURFREESBORO,AR,71958,27847
,2011-12-31,State Bank of Kimball,Kimball,MN,55353,28152
,2011-12-31,The First National Bank of Beeville,Beeville,TX,78102,28255
,2011-12-31,ALLIED BANK,MULBERRY,AR,72947,28349
,2011-12-31,Blue Hills Bank,Hyde Park,MA,021369935,28406
,2011-12-31,Columbia Savings Bank,Cincinnati,OH,45220,28572
,2011-12-31,Peoples Bank & Trust Co,Manchester,TN,37355,28732
,2011-12-31,UNION CENTER NATIONAL BANK,UNION,NJ,07083,29104
,2011-12-31,The Citizens Bank,Philadelphia,MS,393500209,29636
,2011-12-31,Home State Bank,Louisville,NE,68037,29953
,2011-12-31,Amistad Bank,Del Rio,TX,78840,30052
,2011-12-31,College Savings Bank,Princeton,NJ,08540,30418
,2011-12-31,NORTHWAY BANK,BERLIN,NH,3570,30502
,2011-12-31,Lake Community Bank,Long Lake,MN,55356,30650
,2011-12-31,Discover Bank,New Castle,DE,19720,30810
,2011-12-31,The First National Bank of Waynesboro,Waynesboro,GA,308300647,31134
,2011-12-31,Central Bank,Houston,TX,77041,31255
,2011-12-31,"First State Bank of Ben Wheeler, Texas",Ben Wheeler,TX,75754,31657
,2011-12-31,POWELL VALLEY NATIONAL BANK,JONESVILLE,VA,242630100,31826
,2011-12-31,BANK OF ANGUILLA,ANGUILLA,MS,38721,31835
,2011-12-31,FIRST NATIONAL BANK AND TRUST CO.,CLINTON,IL,61727,32234
,2011-12-31,LAKESIDE NATIONAL BANK,ROCKWALL,TX,75032,32766
,2011-12-31,Farmers Bank & Trust Co.,Blytheville,AR,723150688,33147
,2011-12-31,Premier Bank,Maplewood,MN,55109,33259
,2011-12-31,THE ROSCOE STATE BANK,ROSCOE,TX,795450609,33268
,2011-12-31,Farmers State Bank,Bertram,TX,78605,33754
,2011-12-31,Peoples State Bank of Colfax,Colfax,IL,617280527,33839
,2011-12-31,FRONTIER BANK,MADISON,NE,687480610,33857
,2011-12-31,American Bank of St. Paul,St. Paul,MN,551043908,34153
,2011-12-31,BANK OF MARQUETTE,MARQUETTE,NE,68854,34359
,2011-12-31,Bank of Lancaster,Kilmarnock,VA,22482,34425
,2011-12-31,MAGNOLIA STATE BANK,BAY SPRINGS,MS,39422,34434
,2011-12-31,First National Bank of Park Falls,Park Falls,WI,54552,34452
,2011-12-31,Seacoast National Bank,Stuart,FL,349959012,34537
,2011-12-31,MACON-ATLANTA STATE BANK,MACON,MO,635520128,34555
,2011-12-31,First Western Bank,Booneville,AR,729270238,34742
,2011-12-31,THE WOODBURY BANKING COMPANY,WOODBURY,GA,30293,34836
,2011-12-31,Alliant Bank,Madison,MO,65263,35057
,2011-12-31,State Street Bank and Trust Company,Boston,MA,02110,35301
,2011-12-31,Investors Bank,Short Hills,NJ,07078,35570
,2011-12-31,BONDUEL STATE BANK,BONDUEL,WI,54107,35646
,2011-12-31,PREMIER BANK OF JACKSONVILLE,JACKSONVILLE,IL,62650,35842
,2011-12-31,Coppermark Bank,Oklahoma City,OK,731250676,36054
,2011-12-31,Farmers State Bank,Maywood,NE,69038,36456
,2011-12-31,PREMIER BANK,LENEXA,KS,66219,36858
,2011-12-31,First State Bank,Wrens,GA,30833,36933
,2011-12-31,PIGEON FALLS STATE B ANK,PIGEON FALLS,WI,547600489,37051
,2011-12-31,BANK OF ONTARIO,ONTARIO,WI,54651,37341
,2011-12-31,Central Valley Bank,Toppenish,WA,98948,37378
,2011-12-31,United Bank,Zebulon,GA,30295,37435
,2011-12-31,GERMAN AMERICAN BANCORP,JASPER,IN,47547,37640
,2011-12-31,FARMERS STATE BANK,ALLEN,OK,748250467,37659
,2011-12-31,Calumet County Bank,Brillion,WI,54110,37743
,2011-12-31,Bank of Rantoul,Rantoul,IL,61866,37949
,2011-12-31,First United Bank,Crete,IL,60417,38535
,2011-12-31,Owen County State Bank,Spencer,IN,47460,38740
,2011-12-31,"Calvin B Taylor Banking Company of Berlin, Maryland",Berlin,MD,218110005,39327
,2011-12-31,The Lorain National Bank,Lorain,OH,440521739,39420
,2011-12-31,AmericanWest Bank,Spokane,WA,99201,39475
,2011-12-31,NBC Oklahoma,Oklahoma City,OK,73156,39756
,2011-12-31,Richton Bank & Trust Company,Richton,MS,39476,40033
,2011-12-31,MURRAY STATE BANK,MURRAY,NE,684090076,40350
,2011-12-31,"Connecticut River Bank, N.A.",Springfield,VT,05156,40707
,2011-12-31,Eitzen State Bank,Caledonia,MN,55921,40855
,2011-12-31,Farmers   Merchants Bank of Orfordville,Orfordville,WI,53576,41245
,2011-12-31,First State Bank,Anadarko,OK,73005,41553
,2011-12-31,PIONEER  BANK,Stanley,VA,22851,41629
,2011-12-31,FARMERS STATE BANK OF ELKTON,ELKTON,MN,55933,41759
,2011-12-31,Middletown Valley Bank,Middletown,MD,217690075,41825
,2011-12-31,FARMERS STATE BANK OF DANFORTH,DANFORTH,IL,609300168,41937
,2011-12-31,Bank of Newman Grove,Newman Grove,NE,68758,41955
,2011-12-31,Peoples Exchange Bank of Monroe County,Monroeville,AL,36461,42037
,2011-12-31,ANADARKO BANK AND TRUST COMPANY,ANADARKO,OK,73005,42055
,2011-12-31,THE COMMERCIAL NATIONAL BANK OF BRADY,BRADY,TX,768250591,42354
,2011-12-31,FIRST COMMONWEALTH BANK,INDIANA,PA,157010400,42420
,2011-12-31,FIRST NATIONAL BANK,PARAGOULD,AR,72451,42448
,2011-12-31,COMMERCIAL BANK,Nelson,NE,68961,42457
,2011-12-31,SECURITY STATE BANK,IRON RIVER,WI,54847,43052
,2011-12-31,Leonardville State Bank,Leonardville,KS,664490125,43351
,2011-12-31,American State Bank of Erskine,Erskine,MN,56535,43454
,2011-12-31,Cambridge State Bank,Cambridge,WI,53523,43744
,2011-12-31,THE MINERS NATIONAL BANK OF EVELETH,EVELETH,MN,55734,43856
,2011-12-31,Bridge City State Bank,Bridge City,TX,776110887,43959
,2011-12-31,"First National Bank Of Monterey, The",Monterey,IN,46960,44040
,2011-12-31,"Intercredit Bank, National Association",Miami,FL,33131,44433
,2011-12-31,Citizens Bank,Mooresville,IN,46158,44741
,2011-12-31,Citizens Bank of Newburg,Newburg,MO,65550,44750
,2011-12-31,First National Bank,McConnelsville,OH,437560208,44929
,2011-12-31,STATE BANK OF DAVIS,DAVIS,IL,61019,45038
,2011-12-31,The First National Bank at Paris,Paris,AR,72855,45047
,2011-12-31,Platte Valley Bank,North Bend,NE,686490500,45056
,2011-12-31,Johnson County Bank,Mountain City,TN,37683,45430
,2011-12-31,THE STATE BANK OF LEON,LEON,KS,67074,45458
,2011-12-31,Bank Midwest,Spirit Lake,IA,51360,45551
,2011-12-31,Jefferson Bank,San Antonio,TX,782010190,45560
,2011-12-31,Iron Workers Bank,Aston,PA,19014,45775
,2011-12-31,The State Bank of Faribault,Faribault,MN,55021,46053
,2011-12-31,FARMERS BANK & TRUST COMPANY,PRINCETON,KY,424450559,46941
,2011-12-31,NORTH LOUP VALLEY BANK,NORTH LOUP,NE,688590006,47153
,2011-12-31,The Dart Bank,Mason,MI,48854,47247
,2011-12-31,COMMUNITY FINANCIAL BANK,PRENTICE,WI,545560115,47256
,2011-12-31,FIRST NATIONAL BANK OF BENTON,BENTON,LA,71006,47452
,2011-12-31,Claremont Savings Bank,Claremont,NH,3743,47500
,2011-12-31,FARMERS NATIONAL BANK,STAFFORD,KS,67578,48057
,2011-12-31,Franklin State Bank,Franklin,MN,55333,48150
,2011-12-31,First Financial Bank,El Dorado,AR,71730,48374
,2011-12-31,CLEVELAND STATE BANK,CLEVELAND,WI,53015,48440
,2011-12-31,Comerce Bank,Geneva,MN,56035,49054
,2011-12-31,RUSHVILLE STATE BANK,RUSHVILLE,IL,626810050,49148
,2011-12-31,Pine Bluff National Bank,Pine Bluff,AR,716117878,49241
,2011-12-31,Mason State Bank,Mason,MI,48854,49344
,2011-12-31,Palmyra State Bank,Palmyra,WI,53156,49643
,2011-12-31,First Bank,Sterling,KS,67579,49652
,2011-12-31,High Point Bank and Trust Company,High Point,NC,27261,49821
,2011-12-31,Bank of South Texas,McAllen,TX,78504,49858
,2011-12-31,The First Security Bank,Beaver,OK,739320947,49951
,2011-12-31,State Bank of Medora,Medora,IN,47260,50144
,2011-12-31,California Pacific Bank,San Francisco,CA,94104,50461
,2011-12-31,LITTLE RIVER BANK,LEPANTO,AR,72354,50546
,2011-12-31,WILBURTON STATE BANK,"WILBURTON, OK  74578",OK,74578,50854
,2011-12-31,Alterra Bank,Overland Park,KS,66221,50957
,2011-12-31,Bank of Camden,Camden,TN,38320,51253
,2011-12-31,latimer state bank,wilburton,OK,745780070,51356
,2011-12-31,Centera Bank,Sublette,KS,67877,51459
,2011-12-31,City Bank of Hartford,Hartford,AL,36344,51730
,2011-12-31,FARMERS & MERCHANTS UNION BANK,COLUMBUS,WI,53925,51842
,2011-12-31,BARTLETT FARMERS BANK,BARTLETT,OH,45713,52410
,2011-12-31,The Depository Trust Company,New York,NY,10041,52719
,2011-12-31,"Security State Bank Of Wewoka, Oklahoma",Wewoka,OK,74884,52951
,2011-12-31,"Sabadell United Bank, N.A.",Miami,FL,331313128,53033
,2011-12-31,Buckholts State Bank,Buckholts,TX,76518,53051
,2011-12-31,Guaranty Bank,Mamou,LA,70554,53239
,2011-12-31,FIRST NATIONAL BANK IN WEWOKA,WEWOKA,OK,748840750,53453
,2011-12-31,"FIRST STATE BANK, HEMPHILL, TEXAS",HEMPHILL,TX,75948,53752
,2011-12-31,Bank of Poynette,Poynette,WI,53955,54049
,2011-12-31,The Bank of Tescott,Tescott,KS,67484,54058
,2011-12-31,YOUR COMMUNITY BANK,NEW ALBANY,IN,471510939,54375
,2011-12-31,AMERICAN BANK & TRUST WISCONSIN,CUBA CITY,WI,538070827,54441
,2011-12-31,Citizens State Bank,Buffalo,TX,75831,54656
,2011-12-31,"Home Savings Bank of Albemarle, SSB",Albemarle,NC,280020489,55176
,2011-12-31,METAIRIE BANK & TRUST,METAIRIE,LA,70004,55336
,2011-12-31,Citizens Savings Bank & Trust,Nashville,TN,37208,55635
,2011-12-31,Fidelity State Bank   Trust Co.,Topeka,KS,66603,55653
,2011-12-31,"Citizens Bank & Trust Co., Hutchinson, Minn.",Hutchinson,MN,553500339,56258
,2011-12-31,Citizens National Bank,Henderson,TX,756531009,56351
,2011-12-31,The Citizens National Bank of Meyersdale,Meyersdale,PA,15552,56427
,2011-12-31,DMB Community Bank,DeForest,WI,535321156,56548
,2011-12-31,CoBiz Bank,Denver,CO,80202,56557
,2011-12-31,The Dime Bank,Honesdale,PA,18431,56717
,2011-12-31,First National Bank at Darlington,Darlington,WI,535300050,57040
,2011-12-31,New Windsor State Bank,New Windsor,MD,217760489,57228
,2011-12-31,FIRST NATIONAL BANK OF BYERS,BYERS,TX,76357,57255
,2011-12-31,Dairy State Bank,Rice Lake,WI,54868,57451
,2011-12-31,FAMILYFIRST BANK,WARE,MA,10820849,57572
,2011-12-31,"First Financial Bank, Hereford",Hereford,TX,79045,57956
,2011-12-31,Adams Co-Operative Bank,Adams,MA,01220,58074
,2011-12-31,First Colebrook Bank,Colebrook,NH,3576,58207
,2011-12-31,FARMERS BANK & SAVINGS CO.,Pomeroy,OH,45769,58225
,2011-12-31,Johnson Bank,Racine,WI,53403,58243
,2011-12-31,KENT STATE BANK,KENT,MN,565530051,58355
,2011-12-31,SECURITY STATE BANK,CHEYENNE,OK,73628,58551
,2011-12-31,CENTURY BANK,LUCEDALE,MS,39452,58636
,2011-12-31,First State Bank of Kensington,Kensington,MN,56343,58757
,2011-12-31,Washington Trust Bank,Spokane,WA,992102127,58971
,2011-12-31,Wayne Bank,Honesdale,PA,184310269,59316
,2011-12-31,CITIZENS NATIONAL BANK,CAMERON,TX,76520,59352
,2011-12-31,ECONOMY CO-OPERATIVE BANK,Merrimac,MA,1860,59679
,2011-12-31,THE BANK OF WYANDOTTE,WYANDOTTE,OK,74370,59754
,2011-12-31,Comerica Bank,Dallas,TX,75201,60143
,2011-12-31,PEOPLES BANK OF ALABAMA,CULLMAN,AL,35055,60330
,2011-12-31,"Community Bank, National Association",Mobile,AL,36608,60433
,2011-12-31,THE HOME TRUST & SAVINGS BANK,OSAGE,IA,50461,60545
,2011-12-31,First State Bank Minnesota,LeRoy,MN,559510369,60554
,2011-12-31,First National Bank,Cloverdale,IN,46120,60648
,2011-12-31,First United Bank & Trust,Oakland,MD,21550,61122
,2011-12-31,"CorTrust Bank, N.A.",Mitchell,SD,57301,61355
,2011-12-31,Pilgrim Bank,Cohasset,MA,2025,61476
,2011-12-31,American Heritage National Bank,Long Prairie,MN,563470509,61757
,2011-12-31,The First National Bank of Mount Dora,Mount Dora,Fl,32757,61832
,2011-12-31,FIRST NATIONAL BANK OF COWETA,COWETA,OK,74429,61953
