RCFD2930,RCFD2932,RCFD2938,RCFD3049,RCFD3066,RCFD3552,RCFD3553,RCFD3554,RCFD3646,RCFDB557,RCFDC011,RCFDC012,RCFDLB56,RCON2930,RCON2932,RCON2938,RCON3049,RCON3066,RCON3552,RCON3553,RCON3554,RCON3645,RCON3646,RCONB557,RCONC011,RCONC012,RCONLB56,IDRSSD,RCON9999
,,,,,,,,,,,,,533,0,443,0,139,304,0,0,5,85,0,0,0,,17978,2012-09-30
,,,,,,,,,,,,,1542,0,383,0,0,188,152,0,155,1004,0,0,0,,18050,2012-09-30
,,,,,,,,,,,,,671,0,10,0,0,0,0,0,72,589,0,0,0,,18135,2012-09-30
,,,,,,,,,,,,,145,0,20,6,0,0,0,0,82,37,0,0,0,,18377,2012-09-30
,,,,,,,,,,,,,2272,0,1806,0,0,0,0,0,182,284,0,0,0,,18827,2012-09-30
,,,,,,,,,,,,,1335,0,698,0,0,0,0,0,92,545,0,596,0,,18836,2012-09-30
,,,,,,,,,,,,,3106,0,2937,0,50,1101,512,345,169,0,0,584,0,,18854,2012-09-30
,,,,,,,,,,,,,913,0,795,0,0,0,0,0,31,87,0,791,0,,19356,2012-09-30
,,,,,,,,,,,,,9231,0,145,0,145,0,0,0,561,8525,0,0,0,,19730,2012-09-30
,,,,,,,,,,,,,802,452,565,0,0,0,0,0,60,177,0,0,0,,19936,2012-09-30
,,,,,,,,,,,,,847,0,776,0,0,736,0,0,1,70,0,0,0,,19972,2012-09-30
,,,,,,,,,,,,,362,0,211,0,0,142,69,0,49,102,0,0,0,,20053,2012-09-30
,,,,,,,,,,,,,5574,0,5002,0,0,0,0,0,29,540,3,0,0,,20512,2012-09-30
,,,,,,,,,,,,,2178,0,0,0,0,0,0,0,231,1947,0,0,0,,20633,2012-09-30
,,,,,,,,,,,,,2450,2000,2028,0,0,0,0,0,81,341,0,28,0,,20857,2012-09-30
,,,,,,,,,,,,,9,0,0,0,0,0,0,0,9,0,0,0,0,,21256,2012-09-30
,,,,,,,,,,,,,32,0,0,0,0,0,0,0,11,21,0,0,0,,21359,2012-09-30
,,,,,,,,,,,,,339,0,54,0,0,47,0,0,28,257,0,0,0,,21630,2012-09-30
,,,,,,,,,,,,,1248,0,820,0,0,0,0,0,114,314,0,820,0,,21658,2012-09-30
,,,,,,,,,,,,,1528,0,775,194,19,0,0,0,133,426,0,714,0,,22048,2012-09-30
,,,,,,,,,,,,,313,0,4,0,0,0,0,0,19,290,0,0,0,,22543,2012-09-30
,,,,,,,,,,,,,351,0,158,0,0,0,0,0,99,94,0,0,0,,22552,2012-09-30
,,,,,,,,,,,,,475,0,140,151,41,0,0,0,25,159,0,0,0,,22730,2012-09-30
,,,,,,,,,,,,,730,0,435,2,0,115,0,0,115,178,0,0,0,,22936,2012-09-30
,,,,,,,,,,,,,67,0,47,0,31,0,0,0,9,11,0,0,0,,23045,2012-09-30
,,,,,,,,,,,,,393,0,0,0,0,0,0,0,152,241,0,0,0,,23456,2012-09-30
,,,,,,,,,,,,,25974,0,22139,0,0,17874,0,0,172,3638,25,0,0,,23504,2012-09-30
,,,,,,,,,,,,,1135,0,1,923,0,0,0,0,60,151,0,0,0,,23540,2012-09-30
,,,,,,,,,,,,,638,0,514,0,0,0,0,0,123,1,0,379,0,,23643,2012-09-30
,,,,,,,,,,,,,951,0,0,0,0,0,0,0,69,882,0,0,0,,23755,2012-09-30
,,,,,,,,,,,,,7223,0,558,0,0,298,0,0,26,6639,0,161,0,,24006,2012-09-30
,,,,,,,,,,,,,210,0,2,0,0,0,0,0,0,208,0,0,0,,24378,2012-09-30
,,,,,,,,,,,,,907,0,119,0,0,94,0,0,47,741,0,0,0,,24453,2012-09-30
,,,,,,,,,,,,,188,0,56,0,0,56,0,0,22,110,0,0,0,,24659,2012-09-30
,,,,,,,,,,,,,610,0,127,0,0,0,0,0,61,422,0,108,0,,24668,2012-09-30
,,,,,,,,,,,,,28,0,0,1,0,0,0,0,11,16,0,0,0,,24855,2012-09-30
,,,,,,,,,,,,,4578,0,3596,0,0,0,0,0,465,517,0,3596,0,,24949,2012-09-30
,,,,,,,,,,,,,267,0,230,0,228,2,0,0,23,14,0,0,0,,25357,2012-09-30
,,,,,,,,,,,,,128,0,0,0,0,0,0,0,60,68,0,0,0,,25647,2012-09-30
,,,,,,,,,,,,,2603,0,1254,0,0,0,0,0,25,1324,0,977,0,,26176,2012-09-30
,,,,,,,,,,,,,2015,0,0,483,0,0,0,0,105,1399,28,0,0,,26242,2012-09-30
,,,,,,,,,,,,,124,0,0,6,0,0,0,0,19,99,0,0,0,,26457,2012-09-30
,,,,,,,,,,,,,1552,0,879,0,0,611,0,0,76,408,189,0,0,,26765,2012-09-30
,,,,,,,,,,,,,1383,0,1,0,0,0,0,0,84,1257,41,0,0,,26859,2012-09-30
,,,,,,,,,,,,,1241,0,53,490,0,0,0,0,397,301,0,0,0,,27070,2012-09-30
