RCFN2200,RCFN2625,RCFN2650,RCFNA245,RCFNB553,RCFNB554,RCFNB555,IDRSSD,RCON9999
,,,,,,,62147,2014-06-30
,,,,,,,62772,2014-06-30
,,,,,,,63050,2014-06-30
0,0,0,0,0,0,0,63069,2014-06-30
,,,,,,,63201,2014-06-30
,,,,,,,63573,2014-06-30
,,,,,,,63733,2014-06-30
,,,,,,,63742,2014-06-30
,,,,,,,63751,2014-06-30
,,,,,,,64150,2014-06-30
,,,,,,,64543,2014-06-30
,,,,,,,64552,2014-06-30
,,,,,,,64730,2014-06-30
,,,,,,,65205,2014-06-30
,,,,,,,65241,2014-06-30
0,0,0,0,0,0,0,65513,2014-06-30
,,,,,,,65559,2014-06-30
,,,,,,,65746,2014-06-30
,,,,,,,65858,2014-06-30
,,,,,,,66154,2014-06-30
,,,,,,,66275,2014-06-30
,,,,,,,66677,2014-06-30
,,,,,,,67142,2014-06-30
,,,,,,,67151,2014-06-30
,,,,,,,67209,2014-06-30
,,,,,,,67254,2014-06-30
,,,,,,,67311,2014-06-30
,,,,,,,67656,2014-06-30
,,,,,,,67870,2014-06-30
,,,,,,,68345,2014-06-30
,,,,,,,68448,2014-06-30
,,,,,,,68671,2014-06-30
,,,,,,,68756,2014-06-30
,,,,,,,68831,2014-06-30
,,,,,,,68840,2014-06-30
,,,,,,,68859,2014-06-30
,,,,,,,68943,2014-06-30
,,,,,,,69333,2014-06-30
,,,,,,,69678,2014-06-30
,,,,,,,70049,2014-06-30
,,,,,,,70058,2014-06-30
,,,,,,,70218,2014-06-30
,,,,,,,70414,2014-06-30
,,,,,,,70638,2014-06-30
,,,,,,,70955,2014-06-30
,,,,,,,71073,2014-06-30
,,,,,,,71318,2014-06-30
,,,,,,,71457,2014-06-30
,,,,,,,71859,2014-06-30
,,,,,,,72258,2014-06-30
,,,,,,,72351,2014-06-30
,,,,,,,72454,2014-06-30
,,,,,,,72678,2014-06-30
,,,,,,,73116,2014-06-30
,,,,,,,73152,2014-06-30
,,,,,,,73554,2014-06-30
,,,,,,,73956,2014-06-30
,,,,,,,74056,2014-06-30
,,,,,,,74140,2014-06-30
,,,,,,,74159,2014-06-30
,,,,,,,74403,2014-06-30
,,,,,,,74449,2014-06-30
,,,,,,,75053,2014-06-30
,,,,,,,75259,2014-06-30
,,,,,,,75446,2014-06-30
,,,,,,,75455,2014-06-30
,,,,,,,75558,2014-06-30
380770,0,0,380770,380770,0,0,75633,2014-06-30
,,,,,,,75651,2014-06-30
,,,,,,,76135,2014-06-30
,,,,,,,76153,2014-06-30
,,,,,,,76443,2014-06-30
,,,,,,,76854,2014-06-30
,,,,,,,77150,2014-06-30
,,,,,,,77253,2014-06-30
,,,,,,,77422,2014-06-30
,,,,,,,77851,2014-06-30
,,,,,,,78036,2014-06-30
,,,,,,,78157,2014-06-30
,,,,,,,78241,2014-06-30
,,,,,,,78559,2014-06-30
,,,,,,,78858,2014-06-30
,,,,,,,79042,2014-06-30
,,,,,,,79127,2014-06-30
,,,,,,,79145,2014-06-30
,,,,,,,79257,2014-06-30
,,,,,,,79855,2014-06-30
,,,,,,,80020,2014-06-30
,,,,,,,80150,2014-06-30
,,,,,,,80374,2014-06-30
,,,,,,,80431,2014-06-30
,,,,,,,80552,2014-06-30
,,,,,,,80936,2014-06-30
,,,,,,,81175,2014-06-30
,,,,,,,81429,2014-06-30
,,,,,,,82033,2014-06-30
,,,,,,,82257,2014-06-30
,,,,,,,82350,2014-06-30
,,,,,,,82659,2014-06-30
,,,,,,,83151,2014-06-30
,,,,,,,83236,2014-06-30
,,,,,,,83375,2014-06-30
0,0,0,0,0,0,0,83638,2014-06-30
,,,,,,,83834,2014-06-30
,,,,,,,83852,2014-06-30
,,,,,,,83955,2014-06-30
,,,,,,,84046,2014-06-30
,,,,,,,84055,2014-06-30
,,,,,,,84251,2014-06-30
,,,,,,,84541,2014-06-30
,,,,,,,84804,2014-06-30
,,,,,,,85052,2014-06-30
,,,,,,,85258,2014-06-30
,,,,,,,85454,2014-06-30
,,,,,,,85472,2014-06-30
,,,,,,,85931,2014-06-30
,,,,,,,86349,2014-06-30
,,,,,,,86358,2014-06-30
,,,,,,,86554,2014-06-30
,,,,,,,86675,2014-06-30
,,,,,,,87047,2014-06-30
,,,,,,,87159,2014-06-30
,,,,,,,87177,2014-06-30
,,,,,,,87234,2014-06-30
,,,,,,,87476,2014-06-30
,,,,,,,87579,2014-06-30
,,,,,,,88231,2014-06-30
,,,,,,,88240,2014-06-30
,,,,,,,88259,2014-06-30
,,,,,,,88352,2014-06-30
,,,,,,,88455,2014-06-30
,,,,,,,88530,2014-06-30
,,,,,,,88772,2014-06-30
,,,,,,,88950,2014-06-30
,,,,,,,89032,2014-06-30
,,,,,,,89135,2014-06-30
,,,,,,,89751,2014-06-30
,,,,,,,89854,2014-06-30
,,,,,,,89957,2014-06-30
,,,,,,,90047,2014-06-30
,,,,,,,90177,2014-06-30
,,,,,,,90328,2014-06-30
,,,,,,,90337,2014-06-30
,,,,,,,90579,2014-06-30
,,,,,,,90645,2014-06-30
,,,,,,,90739,2014-06-30
,,,,,,,91101,2014-06-30
,,,,,,,91156,2014-06-30
,,,,,,,91615,2014-06-30
,,,,,,,91651,2014-06-30
,,,,,,,91754,2014-06-30
,,,,,,,91950,2014-06-30
,,,,,,,92050,2014-06-30
,,,,,,,92144,2014-06-30
,,,,,,,92676,2014-06-30
,,,,,,,92706,2014-06-30
,,,,,,,92902,2014-06-30
,,,,,,,93244,2014-06-30
,,,,,,,93543,2014-06-30
,,,,,,,93619,2014-06-30
,,,,,,,93721,2014-06-30
,,,,,,,93758,2014-06-30
,,,,,,,94139,2014-06-30
,,,,,,,94456,2014-06-30
,,,,,,,94522,2014-06-30
,,,,,,,94755,2014-06-30
,,,,,,,94858,2014-06-30
,,,,,,,95051,2014-06-30
,,,,,,,95659,2014-06-30
,,,,,,,95677,2014-06-30
,,,,,,,96553,2014-06-30
,,,,,,,97055,2014-06-30
,,,,,,,97279,2014-06-30
,,,,,,,97457,2014-06-30
,,,,,,,97804,2014-06-30
,,,,,,,97943,2014-06-30
,,,,,,,98351,2014-06-30
,,,,,,,98463,2014-06-30
,,,,,,,98717,2014-06-30
,,,,,,,99143,2014-06-30
,,,,,,,99255,2014-06-30
,,,,,,,99376,2014-06-30
,,,,,,,99442,2014-06-30
,,,,,,,99536,2014-06-30
,,,,,,,99853,2014-06-30
,,,,,,,99974,2014-06-30
,,,,,,,100236,2014-06-30
,,,,,,,100357,2014-06-30
,,,,,,,100562,2014-06-30
,,,,,,,100777,2014-06-30
,,,,,,,100843,2014-06-30
93060,42658,50402,42658,0,0,0,101019,2014-06-30
,,,,,,,101037,2014-06-30
,,,,,,,101439,2014-06-30
,,,,,,,101671,2014-06-30
,,,,,,,101738,2014-06-30
,,,,,,,101952,2014-06-30
,,,,,,,102155,2014-06-30
,,,,,,,102173,2014-06-30
,,,,,,,102333,2014-06-30
