"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB565	RCFDB566	RCFDB567	RCFDB568	RCFDB569	RCFDB570	RCFDB571	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB565	RCONB566	RCONB567	RCONB568	RCONB569	RCONB570	RCONB571	TEXT4087	
10849																								0	0	0	3977	0	9905	true	0	0	0	0	0	0	0	0	0	2895	2	0	0	3928	2000	0	0	true	0	0		
10858																								328	0	0	0	0	6387	true	0	0	0	328	0	0	0	0	0	2237	1	0	0	0	6007	0	0	true	0	380		
11145																								137	0	498	0	0	14589	false	0	0	0	137	0	0	160	0	338	1233	0	0	0	2000	12589	0	0	false	0	0		
11640																								0	0	0	0	0	28504	true	0	0	0	0	0	0	0	0	0	4627	1	0	0	10000	10004	0	0	false	0	8500		
11837																								0	0	0	0	0	6500	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6500	0	0	false	0	0		
12030																								0	0	50	2000	0	8000	false	0	0	0	0	0	0	0	0	50	3991	3	0	0	4000	2000	0	0	false	0	0		
12058																								0	0	377	0	0	2039	false	0	0	0	0	0	101	216	0	60	624	7	0	0	0	2000	0	0	false	0	39		
12142																								0	0	154	0	0	0	true	0	0	0	0	0	0	154	0	0	296	0	0	0	0	0	0	0	false	0	0		
12245																								0	0	0	0	0	3000	false	0	0	0	0	0	0	0	0	0	1597	1	0	0	2000	1000	0	0	false	0	0		
12311	73588	7262	15196	3000	64546	4850961	true	0	6962	300	0	311148	14	70121	9042	100000	1170000	1404332	1200574	true	2875633	973055	0						4850961						195	0	8705	0	6296													
12357																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	false	0	0		
12647																								0	0	94	0	0	0	false	0	0	0	0	0	0	94	0	0	578	1	0	0	0	0	0	0	false	0	0		
12656																								0	0	32	0	0	0	false	0	0	0	0	0	0	32	0	0	216	2	0	0	0	0	0	0	false	0	0		
12937																								0	67	0	0	0	129	false	0	0	67	0	0	0	0	0	0	3378	2	0	0	0	0	0	0	false	0	129		
12946																								2427	905	523	0	0	6694	true	0	878	27	2427	12	0	145	0	366	3290	1	0	0	0	6468	0	0	false	0	226		
12955																								0	0	0	1000	0	6500	true	0	0	0	0	0	0	0	0	0	3248	2	0	0	3000	2500	0	0	false	0	0		
13037																								0	0	982	0	0	0	true	0	0	0	0	78	0	767	137	0	7027	4	0	0	0	0	0	0	false	0	0		
13103																								0	0	0	0	0	3225	true	0	0	0	0	0	0	0	0	0	2130	7	0	0	0	3225	0	0	false	0	0		
13251																								0	0	133	0	0	0	false	0	0	0	0	0	0	133	0	0	0	0	0	0	0	0	0	0	false	0	0		
13309																								661	0	1343	105000	661	427026	true	0	0	0	0	28	0	50	0	1265	9388	2	661	0	135000	185835	0	0	true	0	1191		
13457																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	false	0	0		
14052																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	1225	1	0	0	0	0	0	0	false	0	0		
14155																								0	0	30	1185	0	5940	false	0	0	0	0	0	0	30	0	0	358	0	0	0	2845	1910	0	0	false	0	0		
14258																								0	0	0	5000	0	25000	true	0	0	0	0	0	0	0	0	0	34111	6	0	0	14000	6000	0	0	true	0	0		
14409	144381	0	23580	225315	603	512882	true	23549	0	0	143778	24680	5	603	0	70000	217520	15	32	true	0	0	0						512882						0	0	31	0	0													
14454																								0	0	14	0	0	10	true	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	false	0	10		
14650																								0	0	92	0	0	0	false	0	0	0	0	0	0	92	0	0	14	0	0	0	0	0	0	0	false	0	0		
14753																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	475	0	0	0	0	0	0	0	false	0	0		
14865																								0	0	394	0	0	0	true	0	0	0	0	0	0	394	0	0	1070	1	0	0	0	0	0	0	true	0	0		
14931																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	820	1	0	0	0	0	0	0	false	0	0		
14940																								0	0	0	0	0	564	true	0	0	0	0	0	0	0	0	0	1212	1	0	0	0	0	0	0	true	0	564		
15536																								0	0	7186	5000	0	5000	true	0	0	0	0	100	0	0	0	7086	1358	1	0	0	0	0	0	0	false	0	0		
16337																								0	0	569	0	0	17070	true	0	0	0	0	0	0	0	0	569	1793	1	0	0	0	17070	0	0	false	0	0		
16458																								0	0	0	0	0	5851	true	0	0	0	0	0	0	0	0	0	5560	3	0	0	0	5851	0	0	true	0	0		
16551																								0	0	0	1000	0	12549	true	0	0	0	0	0	0	0	0	0	372	0	0	0	2000	9549	0	0	false	0	0		
16748																								281	0	0	0	281	2000	false	0	0	0	0	0	0	0	0	0	1042	2	281	0	0	2000	0	0	false	0	0		
16766																								11	0	0	90000	0	100000	true	0	0	0	0	0	0	0	0	0	1929	2	0	11	10000	0	0	0	false	0	0		
16944																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	733	2	0	0	0	0	0	0	false	0	0		
16953																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	false	0	0		
17110																								710	0	0	0	0	0	false	0	0	0	710	0	0	0	0	0	3868	3	0	0	0	0	0	0	false	0	0		
17147																								491	0	234	9000	491	67514	true	0	0	0	0	0	0	234	0	0	16951	7	491	0	15000	43489	0	0	true	0	25		
17259																								0	0	0	0	0	1750	false	0	0	0	0	0	0	0	0	0	873	1	0	0	1000	750	0	0	false	0	0		
17464																								4188	10	0	0	4188	13914	true	0	10	0	0	0	0	0	0	0	2950	1	4188	0	4000	9914	0	0	true	0	0		
17549																								0	0	3764	0	0	0	true	0	0	0	0	0	0	0	0	3764	5	0	0	0	0	0	0	0	false	0	0		
17839																								0	0	347	0	0	5000	true	0	0	0	0	309	0	23	0	15	4280	2	0	0	0	5000	0	0	true	337	0		
17950																								0	0	138	1000	0	7026	false	0	0	0	0	0	0	138	0	0	99	0	0	0	5026	1000	0	0	false	0	0		
18050																								1347	0	180	0	0	4500	true	0	0	0	1347	0	0	180	0	0	2664	2	0	0	0	4500	0	0	true	0	0		
18135																								0	0	0	2195	0	9012	false	0	0	0	0	0	0	0	0	0	510	0	0	0	6817	0	0	0	true	8124	0		
18368																								0	0	0	0	0	28132	true	0	0	0	0	0	0	0	0	0	0	0	0	0	5197	22935	0	0	false	0	0		
18377																								0	0	0	600	0	600	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0		
18827																								0	0	191	0	0	757	false	0	0	0	0	0	0	56	135	0	425	0	0	0	0	0	0	757	false	0	0		
18836																								0	0	46	0	0	1868	false	0	0	0	0	46	0	0	0	0	1395	1	0	0	0	1868	0	0	false	0	0		
18854																								0	0	10	0	0	0	false	0	0	0	0	0	0	0	0	10	413	1	0	0	0	0	0	0	false	0	0		
18863																								1784	1427	935	16225	0	16225	true	0	0	1427	1534	935	0	0	0	0	5561	3	0	250	0	0	0	0	false	0	0		
18957																								0	0	0	0	0	4315	false	0	0	0	0	0	0	0	0	0	499	1	0	0	508	3807	0	0	false	0	0		
19356																								0	0	707	0	0	0	false	0	0	0	0	0	0	9	0	698	28	0	0	0	0	0	0	0	false	0	0		
19730																								10480	0	875	47402	1290	68383	true	0	0	0	9190	53	0	397	0	425	68433	3	1290	0	7336	13645	0	0	true	0	0		
19936																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	1894	9	0	0	0	0	0	0	false	0	0		
19972																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	false	0	0		
20053																								0	0	7	2400	0	3100	false	0	0	0	0	0	0	0	0	7	21	0	0	0	700	0	0	0	false	0	0		
20147																								0	0	369	0	0	4034	false	0	0	0	0	0	0	369	0	0	447	0	0	0	0	534	0	3500	false	0	0		
20259																								0	0	349	0	0	0	false	0	0	0	0	0	0	253	0	96	189	0	0	0	0	0	0	0	false	0	0		
20370																								0	0	732	1800	0	1800	true	0	0	0	0	216	0	516	0	0	0	0	0	0	0	0	0	0	false	0	0		
20512																								0	0	863	0	0	10600	false	0	0	0	0	0	0	0	0	863	312	0	0	0	0	10600	0	0	false	0	0		
20633																								0	0	76	0	0	2240	false	0	0	0	0	0	0	76	0	0	2910	2	0	0	1000	1240	0	0	false	0	0		
20754																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	false	0	0		
20839																								0	0	0	0	0	9000	true	0	0	0	0	0	0	0	0	0	2046	2	0	0	0	9000	0	0	false	0	0		
20857																								0	0	0	912	0	4605	true	0	0	0	0	0	0	0	0	0	518	1	0	0	1072	2621	0	0	false	0	0		
20866																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	931	3	0	0	0	0	0	0	false	0	0		
21256																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	false	0	0		
21359																								0	0	0	0	0	393	false	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	393	false	0	0		
21630																								0	0	133	0	0	7109	false	0	0	0	0	0	0	0	0	133	2144	3	0	0	0	7109	0	0	false	0	0		
21658																								0	0	0	0	0	1756	false	0	0	0	0	0	0	0	0	0	1460	1	0	0	1700	0	0	0	true	0	56		
22048																								0	266	62	0	0	3573	true	0	0	266	0	0	0	29	0	33	12256	3	0	0	0	3273	0	0	false	0	300		
22235																								0	0	526	0	0	12000	true	0	0	0	0	0	0	53	0	473	920	0	0	0	2000	10000	0	0	false	0	0		
22356																								0	0	319	0	0	323	true	0	0	0	0	0	319	0	0	0	2990	1	0	0	0	0	0	0	true	0	323		
22459																								0	0	0	0	0	183	true	0	0	0	0	0	0	0	0	0	4418	3	0	0	0	0	0	0	false	0	183		
22543																								0	0	0	0	0	77	true	0	0	0	0	0	0	0	0	0	785	1	0	0	77	0	0	0	false	0	0		
22552																								0	0	0	0	0	500	false	0	0	0	0	0	0	0	0	0	490	2	0	0	500	0	0	0	true	0	0		
22730																								0	0	90	47	0	939	false	0	0	0	0	20	0	70	0	0	347	0	0	0	103	789	0	0	false	0	0		
22936																								0	0	0	0	0	447	true	0	0	0	0	0	0	0	0	0	3075	3	0	0	0	428	0	19	false	0	0		
22954																								0	0	0	1585	0	6732	true	0	0	0	0	0	0	0	0	0	610	1	0	0	994	4153	0	0	true	0	0		
23036																								0	0	0	0	0	310	true	0	0	0	0	0	0	0	0	0	6911	6	0	0	0	0	0	0	true	0	310		
23045																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	396	0	0	0	0	0	0	0	false	0	0		
23241																								13075	18383	1542	7638	2361	497965	true	0	0	18383	10714	0	0	699	0	843	3865	2	2361	0	145659	336109	0	8559	true	0	0		
23456																								0	0	120	0	0	599	true	0	0	0	0	0	0	120	0	0	666	0	0	0	0	599	0	0	true	0	0		
23504																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	3169	1	0	0	0	0	0	0	false	0	0		
23540																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	475	0	0	0	0	0	0	0	false	0	0		
23643																								0	0	297	44	0	542	false	0	0	0	0	0	0	84	0	213	845	1	0	0	97	401	0	0	false	0	0		
23755																								1243	0	107	1000	1243	1000	true	0	0	0	0	0	0	0	0	107	2366	2	1503	0	0	0	0	0	true	0	0		
23812																								0	0	0	15294	0	45958	true	0	0	0	0	0	0	0	0	0	5547	2	0	0	1465	29199	0	0	true	0	0		
24006																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0		
24266																								8769	0	3732	0	2071	7908	true	0	0	0	6698	0	0	0	0	3732	3046	2	2071	0	0	2000	42	0	false	0	5866		
24453																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	2168	1	0	0	0	0	0	0	false	0	0		
24659																								0	0	409	0	0	0	false	0	0	0	0	0	409	0	0	0	293	1	0	0	0	0	0	0	false	0	0		
24668																								792	0	0	0	131	476	true	0	0	0	661	0	0	0	0	0	672	0	131	0	0	476	0	0	false	0	0		
24855																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	224	1	0	0	0	0	0	0	false	0	0		
24949																								147	0	23	8100	0	25260	true	0	0	0	147	0	0	23	0	0	1825	2	0	0	17160	0	0	0	true	0	0		
25357																								0	0	156	0	0	6000	false	0	0	0	0	0	0	156	0	0	0	0	0	0	6000	0	0	0	false	0	0		
25647																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	2526	3	0	0	0	0	0	0	false	0	0		
25852																								119	0	287	4000	0	21025	true	0	0	0	119	214	0	73	0	0	445	0	0	0	15000	2000	0	0	true	0	25		
26149																								0	1258	460	0	0	0	true	0	0	1258	0	0	0	0	0	460	763	1	0	0	0	0	0	0	false	0	0		
26233																								0	0	0	0	0	370	true	0	0	0	0	0	0	0	0	0	922	1	0	0	0	0	0	0	true	0	370		
26242																								0	0	570	0	0	17250	true	0	0	0	0	0	0	380	0	190	3613	1	0	0	11250	6000	0	0	true	0	0		
26457																								0	0	138	0	0	0	false	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	false	0	0		
26756																								0	0	90	200	0	1100	false	0	0	0	0	0	0	68	0	22	50	1	0	0	300	600	0	0	true	0	0		
26765																								0	0	5	0	0	0	false	0	0	0	0	0	0	5	0	0	318	0	0	0	0	0	0	0	false	0	0		
26859																								0	0	2881	20012	0	21424	true	0	0	0	0	1536	0	370	0	975	472	0	0	0	0	1155	0	0	false	0	257		
26916																								2378	48	0	1000	124	5000	true	0	48	0	2254	0	0	0	0	0	5741	3	124	0	0	4000	0	0	true	0	0		
27548																								1181	0	336	6200	57	46600	true	0	0	0	1124	46	0	132	0	158	7632	2	57	0	20450	19950	0	0	true	0	0		
27614																								0	0	4	0	0	3000	true	0	0	0	0	0	0	4	0	0	715	0	0	0	3000	0	0	0	false	0	0		
27838																								0	0	0	0	0	200	true	0	0	0	0	0	0	0	0	0	1811	2	0	0	0	0	0	0	true	0	200		
27847																								81	0	125	0	0	7880	false	0	0	0	81	0	125	0	0	0	280	0	0	0	0	0	0	7880	false	0	0		
28013																								2685	0	0	14000	0	16765	true	0	0	0	2685	0	0	0	0	0	1377	0	0	0	0	0	0	2758	true	0	7		
28152																								0	0	0	0	0	2288	false	0	0	0	0	0	0	0	0	0	10	0	0	0	468	1820	0	0	false	0	0		
28255																								0	0	8	10000	0	10000	true	0	0	0	0	0	0	8	0	0	632	0	0	0	0	0	0	0	true	0	0		
28349																								0	0	185	0	0	0	false	0	0	0	0	65	120	0	0	0	1489	0	0	0	0	0	0	0	false	0	0		
28406																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0		
28572																								123	0	66	0	123	8836	false	0	0	0	0	0	0	0	60	6	16	0	123	0	675	8161	0	0	false	0	0		
28732																								102	0	54	0	0	0	false	0	0	0	102	0	0	54	0	0	1508	1	0	0	0	0	0	0	true	0	0		
29104																								6	0	0	100000	6	125000	true	0	0	0	0	0	0	0	0	0	4205	3	6	0	0	25000	0	0	false	0	0		
29159																								0	0	71	0	0	289	false	0	0	0	0	71	0	0	0	0	873	3	0	0	181	108	0	0	false	0	0		
29252																								0	0	185	0	0	7500	true	0	0	0	0	0	0	0	0	185	2481	2	0	0	0	7500	0	0	false	0	0		
