RCON8725,RCONA126,RCONC391,RCONFT00,RCONFT01,RCONFT02,RCONFT03,RCONFT04,RCONFT05,RCONFT06,RCONFT07,RCONFT08,RCONFT09,RCONFT10,RCONFT11,RCONFT12,RCONFT13,RCONFT14,RCONFT15,RCONFT16,RCONHK18,RCONHK19,RIADC388,RIADC389,RIADC390,RIADF551,RIADF553,IDRSSD,RCON9999
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,23643,2017-09-30
380,1121,,true,0,0,false,,,false,true,184496,true,277,true,184496,false,,,false,,,,,,,,23755,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,24006,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,24378,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,24453,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,24659,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,24668,2017-09-30
,,,false,,,false,,,false,false,,false,,true,179785,false,,,false,,,,,,,,24949,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,25357,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,25647,2017-09-30
,,,false,,,false,,,false,false,,false,,true,431,false,,,false,,,,,,,,26176,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,26242,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,26457,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,26765,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,27070,2017-09-30
30360,0,,,,,,,,,,,,,,,,,,,,,,,,,,27548,2017-09-30
,,,false,,,false,,,false,false,,true,413,true,39873,false,,,false,,,,,,,,27614,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,27847,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,28013,2017-09-30
15109,0,,,,,,,,,,,,,,,,,,,,,,,,,,28152,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,28255,2017-09-30
74237,1077825,,,,,,,,,,,,,,,,,,,,,,,,,,28406,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,28675,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,28732,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,29476,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,29636,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,29878,2017-09-30
,,,false,,,false,,,false,false,,true,1593,false,,false,,,false,,,,,,,,30052,2017-09-30
0,65752,,,,,,,,,,,,,,,,,,,,,,,,,,30502,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,30650,2017-09-30
9159041,0,3737510,,,,,,,,,,,,,,,,,,,,361530,0,170661,,,30810,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,31134,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,31255,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,31657,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,31826,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,31835,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,32234,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,32766,2017-09-30
,,,false,,,false,,,false,false,,false,,true,83523,false,,,false,,,,,,,,32971,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,33147,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,33259,2017-09-30
492,0,,,,,,,,,,,,,,,,,,,,,,,,,,33268,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,33370,2017-09-30
,,,false,,,false,,,false,false,,true,3842,false,,false,,,false,,,,,,,,33839,2017-09-30
8403,0,,,,,,,,,,,,,,,,,,,,,,,,,,33857,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,9,0,34425,2017-09-30
1253,1044,,true,0,0,false,,,false,false,,false,,false,,false,,,false,,,,,,,,34434,2017-09-30
,,,false,,,false,,,false,false,,false,,false,,false,,,false,,,,,,,,34452,2017-09-30
77047,0,,,,,,,,,,,,,,,,,,,,,,,,665,0,34537,2017-09-30
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,34555,2017-09-30
,,,false,,,true,9650,1376,false,false,,true,9041,false,,false,,,false,,,,,,,,34742,2017-09-30
3116,0,,,,,,,,,,,,,,,,,,,,,,,,,,35057,2017-09-30
,,,,,,,,,,,,,,,,,,,,,,,,,,,35301,2017-09-30
