"IDRSSD"	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	RCONC980	RCONC981	RCONC982	RCONC983	RCONC984	RCONC985	
2398596	0	0	0	0	560	303811	343457	0	0	0	0	0	283535	0	0	0	2455	2455	0	0	0	2455	0	0	0	0	0	0	0	0	0	10134	510	0	0	179	77	0	0	-192	2206	29726	799	0	0	0	0	510	0	0	0	740	22864	259931	0	0	0	0	0	15391	0	10	1721	427	-4428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6649	0	0	0	6649	0	0	0	12529	49014	24600	282268	0	9803	12300	282268	304371	0	16240	16240	30436	0	0	0	0	0	0	0	0	
2398701																																																																																																																																			
2399119	0	0	0	0	0	230578	261939	0	0	0	0	0	225493	0	0	0	2157	2157	0	0	0	2157	0	0	0	0	0	0	0	0	0	308	1486	0	0	0	0	0	0	-367	0	9153	0	0	0	0	0	888	0	0	0	52	49417	176024	0	0	0	0	0	17520	0	0	2664	273	-1502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7658	0	0	0	7658	0	0	0	308	24337	50578	200422	0	4867	25289	200422	230578	0	10982	10982	25006	0	0	0	0	0	0	0	0	
2409997	532	0	77	2114	0	245251	339921	0	0	0	0	0	196462	0	0	0	70	70	0	0	0	70	0	0	0	0	0	0	0	0	0	1019	5439	0	0	768	25824	2956	11487	626	0	16970	16677	33170	0	0	504	551	0	0	0	784	72979	122699	0	0	0	0	0	14931	0	0	2691	0	-1065	164	0	0	0	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4863	0	0	0	4863	0	0	77	1787	69692	93240	184693	0	13938	46620	184693	245251	0	17480	17480	27100	0	0	0	0	0	0	0	0	
2412072	0	0	0	0	0	155624	177779	0	0	0	0	0	145652	0	0	0	131	131	0	0	0	131	0	0	0	0	0	0	0	0	0	2876	15248	0	0	0	0	0	0	-27	0	2499	0	0	0	0	0	365	0	0	0	1358	11165	133129	0	0	0	0	0	3669	0	0	687	41	-1406	0	0	0	0	0	8	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8195	0	0	248	7947	0	0	0	2876	27792	11819	144156	0	5558	5910	144156	155624	0	8000	8000	16177	0	0	0	0	0	0	0	0	
2413510	0	0	0	0	135	38577	48341	0	0	0	0	0	35343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	1033	0	0	0	0	0	0	0	0	9202	0	0	0	0	0	0	0	0	31	869	0	34443	0	0	0	0	0	2391	0	0	479	0	-591	0	0	0	0	0	40	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	11583	0	36395	0	2317	0	36395	38712	0	0	0	5042	0	0	0	0	0	0	0	0	
2428381	0	0	0	0	3958	93256	134469	0	0	0	0	0	100823	0	0	0	593	593	0	0	0	593	0	0	0	0	0	0	0	0	0	1925	3665	0	0	0	0	0	0	-18	0	5567	0	0	0	0	0	0	0	0	5512	0	21876	73435	0	0	0	0	0	5795	0	203	560	0	-5191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1215	0	0	0	1215	0	0	0	7640	30006	21876	80275	0	6001	10938	80275	97214	0	20214	20214	10651	0	0	0	0	0	0	0	0	
2433451	0	0	0	0	0	58072	70064	0	0	0	0	0	55236	0	0	0	91	91	0	0	0	91	0	0	326	0	0	0	0	0	0	0	2043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15061	40175	0	0	0	0	0	2980	326	0	0	0	-211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5598	0	0	1045	4553	0	0	0	0	12730	16106	47473	0	2546	8053	47473	58072	0	10687	10687	7184	0	0	0	0	0	0	0	0	
2434113	0	0	0	0	0	997523	1446689	0	0	0	0	0	1008148	0	0	0	2614	2614	0	0	0	2614	0	0	11317	0	0	0	0	0	0	6048	16803	0	0	0	0	0	0	-5070	18887	295070	0	44319	0	0	0	0	0	0	0	43533	381572	583043	0	0	0	0	0	77793	11317	0	16530	0	-6054	0	0	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43022	0	0	0	43022	0	0	0	24935	418911	381572	722955	0	83782	190786	722955	997523	0	46975	46975	98434	0	0	0	0	0	0	0	0	
2435615	0	0	0	0	0	291888	302800	0	0	0	0	0	250040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1209	3510	0	0	0	0	0	0	-321	0	35102	881	6643	0	0	0	0	0	0	0	0	13550	236490	0	0	0	0	0	13632	0	0	0	0	-3515	227	0	0	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19758	0	0	0	19758	0	0	0	1209	39612	14431	276750	0	7922	7216	276750	291888	0	1000	1000	26777	0	0	0	0	0	0	0	0	
