"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	TEXT4087	
595337																														0	0	112	0	0	0	true	0	0	0	0	0	0	112	0	0	3988	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://www.valleystate.com	
595430																														7304	0	0	5059	2694	16059	true	0	0	0	4610	0	0	0	0	0	19276	5	2694	0	false	0	0	0	5059	6000	5000	0	5000	0	0	0	0	0	0	www.statebankofthelakes.com	
595449																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	3439	3	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	http://Marathonstatebank.com	
595560																														0	0	0	4000	0	4000	true	0	0	0	0	0	0	0	0	0	819	0	0	0	false	0	0	0	4000	0	0	0	0	0	0	0	0	0	0	www.fnbfairfield.com	
595869																														43258	0	80247	450000	0	615191	true	75900	0	0	43258	0	0	4347	0	0	50509	2	0	0	true	0	0	0	450000	0	145180	0	0	0	0	0	20011	0	0	www.cathaybank.com	
595944																														4	0	0	116	0	3581	true	0	0	0	4	0	0	0	0	0	315	0	0	0	false	0	0	0	116	833	2632	0	0	0	0	0	0	1250	0	sanbornbank.com	
595953																														0	0	44	0	0	0	false	0	0	0	0	0	0	0	0	44	277	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
596053																														0	16	0	0	0	1521	false	0	0	16	0	0	0	0	0	0	435	0	0	0	true	0	0	0	0	567	153	801	0	0	0	0	0	0	0	http://www.tetonbanks.com	
596062																														986	0	160	0	0	11500	true	0	0	0	986	0	0	0	0	160	2393	1	0	0	false	0	0	0	11500	0	0	0	0	0	0	0	0	0	0	www.bankatcnb.com	
596156																														0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1601	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	capitalbanktx.com	
596361																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
596455																														0	0	30	1475	0	1475	true	0	0	0	0	0	0	30	0	0	473	0	0	0	false	0	0	0	1475	0	0	0	0	0	0	0	0	0	0	http://www.bankingonthefuture.com	
596642																														0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	790	1	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
