"IDRSSD"	RCON1039	RCON1041	RCON1042	RCON1043	RCON1044	RCON1209	RCON1280	RCON1281	RCON1282	RCON1374	RCON1752	RCON2163	RCON2192	RCON2941	RCON3129	RCON3190	RCONA510	RCONB989	RCONB995	
	AMORT COST HTM & AFS- US TREAS SEC	AMORT COST HTM & AFS- US GOVT AGEN	AMORT COST HTM & AFS- ST & POL SEC	AMORT COST HTM & AFS- PT MBS: GUAR	AMORT COST HTM & AFS- PT MBS: OTHR	AMORT COST HTM & AFS- OTH MBS: QUAR	AMORT COST HTM & AFS- OTH MBS: OTHR	AMORT COST HTM & AFS- OTH DEBT SEC	AMORT COST HTM & AFS- FGN DEB SEC	AMORT COST HTM & AFS- TOTL DOM SEC	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DUE FROM FOREIGN OFFICES	TOTAL ASSETS	NET DUE TO FOREIGN OFFICES	TOTAL LIABILITIES, EXCL NET DUE TO	OTHER BORROWED MONEY	AMTZ COS OF AVL-FOR-SL INVES MUTL FD	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	
44134	0	64859	23656	77382	0	9207	0	0	0	175104	0	0	1974900	69517	1722409	20000	0	0	4074	
44433											2776					21550	2378	0	4334	
44451											56					1382	0	0	0	
44602											15329					125	0	0	0	
44741											470					5000	1508	0	8707	
44750											785					0	0	0	0	
44929											435					6322	0	0	982	
45038											229					3750	0	0	169	
45047											738					1493	0	0	0	
45056											96					0	0	0	0	
45430											596					9463	175	0	0	
45458											34					0	0	0	0	
45551											3544					29529	0	0	0	
45560											3899					64928	0	0	0	
45627											51296					751953	0	0	199343	
45775											404					0	0	0	8389	
46053											1275					3190	0	0	0	
46941											482					153	0	0	0	
47153											2					1000	0	0	0	
47247											778					1100	0	0	0	
47256											215					0	0	0	0	
47452											36					0	0	0	0	
47500											1820					23028	2762	0	0	
48057											281					0	0	0	0	
48150											116					563	0	0	0	
48374											4435					62256	4171	0	1177	
48440											165					1000	0	0	0	
48552											478					2700	0	0	0	
48730											1378					22500	100	0	0	
49054											541					5450	0	0	0	
49148											403					0	0	0	0	
49241											2060					7358	0	0	0	
49344											2465					37194	0	0	0	
49643											639					0	0	0	0	
49652											420					2583	0	0	0	
49821											3577					49998	500	0	0	
49858											173					3186	0	0	0	
49951											0					0	0	0	0	
50144											0					0	0	0	0	
50461											0					0	0	0	0	
50546											347					5000	0	0	0	
50854											0					0	0	0	0	
50957											599					5803	0	0	1636	
51253											386					5308	0	0	0	
51356											0					0	0	0	0	
51459											480					5225	0	0	0	
51730											173					0	475	0	0	
51842											828					15000	192	0	0	
52410											355					2860	0	0	0	
52456											10					0	0	0	0	
52719											2334					304310	0	1390645	0	
52951											88					0	0	0	0	
53015											9					0	0	0	0	
53033	32983	200000	23993	59049	0	451358	0	0	0	767383	11889	0	2470677	0	2035448	0	0	0	571425	
53051											5					0	0	0	0	
53239											0					0	0	0	0	
53453											154					0	0	0	0	
53752											47					0	1285	0	0	
54049											659					1640	0	0	0	
54058											879					11977	0	0	0	
54357											0					0	0	0	0	
54375											7050					87341	250	0	59338	
54441											136					1500	0	0	1605	
54656											354					4000	0	0	0	
55176											1266					10000	0	0	0	
55251											1477					8586	0	0	1439	
55336											1085					0	0	0	0	
55635											347					2690	0	0	0	
55653											465					1500	0	0	11349	
56230											128					0	0	0	0	
56258											310					2155	0	0	0	
56351											1914					2462	0	0	0	
56427											221					0	0	0	0	
56548											708					5000	121	0	0	
56557											13103					200482	0	0	246346	
56717											909					13963	0	0	16370	
56726											323					0	0	0	0	
57040											9					0	4	0	0	
57228											533					4000	250	0	1647	
57255											30					0	0	0	0	
57451											679					11600	0	0	12231	
57572											884					11411	153	0	0	
57956											115					0	113	0	3710	
58074											2534					31000	6	0	0	
58207											536					3775	5737	0	0	
58225											546					2500	0	0	0	
58243	29434	149361	72142	189071	0	52257	5	0	100	503415	22865	0	3802652	381340	3134114	201468	11045	0	0	
58355											0					0	0	0	0	
58551											0					0	0	0	0	
58636											704					10593	5476	0	0	
58757											13					57	0	0	1050	
58971											11663					210319	0	0	199513	
59259											197					399	0	0	0	
59316											1679					19000	58	0	14087	
59352											118					0	0	0	0	
59679											194					0	1486	0	0	
59754											166					0	0	0	0	
60143	30931	0	3218	1328337	0	2437989	70	1469	0	3839524	335321	0	57373652	1185522	50440935	2925756	37510	0	8416	
60219											417					0	0	0	0	
60330											4460					65796	0	0	0	
60433											576					0	0	0	0	
60545											120					221	0	0	0	
60554											218					2534	0	0	0	
60648											1042					91	0	0	0	
61122											9519					152662	0	0	72736	
61355											2500					25000	0	0	7224	
