"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	
1351																																	0	0	9310	0	10072		149		5040	0			15532	0	9240	0	0	59055	0	139			0	9573	0	8663	48693	1970	6873	354	67	171	0	14875	24975	5721	3486	176	0								0	0		0	0	0	
1454																																	0	9609	4448	4521	44224	0	51	51	3625	0	35184	0	35184	1664	30084	0	0	197874	476	122	122	0	0	55239	6981	5257	41391	7064	3328	2994	4790	26335	10728	41281	8503	23852	42449	23692	3114	0	0	0	0	0	0	0	1450	1148	0		0	0	
1557																																	0	0	4098	0	1713		1		7122	0			1003	0	779	0	0	16922	0	0			0	2206	0	0	6042	0	180	1104	599	323	0	1292	4570	3540	3551	1113	650								0	0		0	0	0	
1632																																	0	190531	10055	13431	109865	1297	2015	718	6507	71	62952	0	62952	25292	10300	0	0	502979	0	0	0	0	0	64026	7068	18201	339614	23597	13799	20440	3480	907	1803	249216	53002	74922	40483	19999	898	0	0	0	0	0	0	0	0	937	0		0	0	
1669																																	0	1042	66	0	8080		95		1689	19			8180	0	10274	0	0	70416	0	0			0	39121	1869	23595	8182	2156	6477	3954	2059	15328	9140	3673	9126	7698	6420	4301	60								0	0			0	0	
1829																																	0	4140	0	17985	48841	0	32	32	0	0	26899	0	26899	6302	1549	0	70	244389	262	22459	22459	0	0	96664	17067	0	26646	446	156	2597	7197	50532	35649	23611	2433	15245	39011	61271	5750	0	0	0	0	0	0	0	576	2067	0		0	0	
1856																																	0	92	1781	0	6172		13		1084	0			3770	0	820	0	0	15986	0	0			0	2254	0	1783	4387	1738	78	122	36	0	0	11480	775	848	457	0	0								0	0			0	0	
2040																																	0	12160	2991	3388	55144		44		3183	0			17899	993	6040	0	60	133783	0	0			0	30018	1449	1244	63597	5240	6942	15893	195	296	201	30770	20645	35162	14389	2356	0								414	0			0	0	
2161																																	0	488	608	0	3866		170		1860	229			9523	0	9992	0	0	56026	7	0			0	29125	0	22326	19166	1385	7079	8716	6280	5011	654	5827	4875	8538	5549	2112	0								401	0			0	0	
2376																																	0	40316	0	196884	173314	0	0	0	0	0	808	0	808	7049	434	0	0	655632	0	0	0	0	0	190699	46128	19507	58325	195	1685	5914	5785	118764	58285	45347	28271	25383	24466	195586	145539	0	0	0	0	0	0	0	0	0	0		0	0	
2451																																	0	331	6499	407	2670		536		3495	0			5757	177	743	0	0	28921	0	0			0	8017	289	6079	7743	2512	4234	214	19	162	876	14596	4401	510	271	1008	118								0	0			0	0	
2554																																	0	0	535	0	172		0		1341	0			487	0	486	0	0	3287	0	0			0	266	0	0	0	0	0	46	32	189	0	511	920	634	352	481	123								0	0			0	0	
2732																																	0	60283	173	98149	144031	0	305	305	0	0	72976	0	72976	9659	4246	0	0	399074	1023	0	0	0	0	8827	1448	2281	119839	4446	1249	671	770	200	1491	133371	50368	131076	50363	7774	17248	0	0	0	0	0	0	0	0	0	0		0	0	
2750																																	0	194	7596	0	3270		29		15931	0			2514	0	2003	0	4	35317	0	0			0	3555	85	361	14216	410	328	2048	734	5	0	13016	5729	7236	3832	1193	79								0	136			0	0	
2938																																	0	57201	6314	14260	81783	689	2521	1832	4307	0	58710	0	58710	16907	7349	0	0	310556	0	0	0	0	3	55981	5223	19904	157000	22961	5833	20074	5596	1290	30	146007	27360	55842	19777	2156	0	0	0	0	0	0	0	0	0	0	0		0	0	
3252																																	0	541	10874	49	3496		780		22948	0			5350	0	3430	0	147	48837	0	0			0	1222	0	940	0	384	482	245	0	95	0	16899	25451	2928	1389	443	0								0	0			0	0	
3458																																	0	204	3140	0	676		7		857	0			2829	0	466	0	0	10426	0	679			0	1566	2	0	1951	7	239	1101	152	24	0	2144	1452	4182	753	53	25								0	0			0	0	
3506																																	0	110538	0	3479	546400	0	338	338	0	1013	149425	0	149425	61623	2289	0	0	1140064	0	20345	20345	0	0	191457	54169	31283	88931	736	5440	16945	19205	113071	35881	263376	55618	227014	260670	107577	31826	0	0	0	0	0	0	0	1	0	0		0	0	
3720																																	0	9079	6415	244	29927		146		2939	0			7454	3105	5501	0	1772	96261	0	0			0	28963	519	1649	24719	3211	2742	9404	10712	2493	372	24490	8741	10818	19096	3212	940								0	197			0	0	
3953																																	0	2964	9469	2130	11722		82		13844	0			18745	0	5004	0	0	75273	0	40			0	9330	1943	425	35245	2275	1878	3933	1101	30	0	42822	9024	8633	1997	1157	265								0	0			0	0	
4138																																	0	15073	686	2017	30557		0		0	208			13200	2693	14653	0	7	132792	1032	0			0	53975	766	37795	21025	3333	10023	26434	3563	6269	4353	28780	15604	5111	9615	5881	14714								0	197			0	0	
4147																																	0	6003	419	7114	25550		10		22	0			6100	4624	1857	0	70	71859	0	0			0	17000	2307	7439	17022	1523	4790	9381	1123	0	87	4826	20488	20553	8500	488	0								695	88			0	0	
4156																																	0	15713	7010	793	19035		43		15350	0			21114	2444	4270	0	0	105599	0	958			0	18168	701	0	42050	1569	853	3070	1793	9371	1501	37578	20179	10182	10388	8217	131								0	0			0	0	
4231																																	0	2925	10598	0	19239		412		1698	0			3609	0	6243	0	2187	59095	0	0			0	12184	0	23	15787	392	2322	5121	3556	704	0	15844	11619	9984	7009	2400	0								0	0			0	0	
4437																																	0	19374	999	1620	48361		116		1416	0			29443	7212	9721	0	0	167411	236	0			0	41311	1896	34625	63716	3334	7114	13686	7457	4739	4878	72232	14093	15799	14157	6844	2002								0	6178			0	0	
4839																																	0	36501	0	28587	102039		1095		0	0			10378	4636	2661	0	0	198834	0	0			0	11008	1755	1833	76650	2030	1154	5032	2695	68	0	59828	19045	49272	52466	4116	9								0	174			0	0	
5005																																	0	53941	0	22842	69267	0	29	29	0	0	9880	0	9880	6139	190	0	0	262747	0	0	0	0	0	93144	7221	26826	62012	280	3897	8705	10053	26705	43123	68111	17702	22860	18567	39547	2816	0	0	0	0	0	0	0	0	94	0		0	0	
5069																																	0	59966	0	1707	167333	0	32	32	0	0	1858	0	1858	0	0	0	0	266544	3703	0	0	0	0	29421	9930	21304	117914	21304	0	157	0	2729	0	183349	16357	1312	16079	4191	1063	0	0	0	0	0	0	0	0	0	264		0	0	
5135																																	0	12630	42339	3424	32327		92		22050	29			32988	1193	11552	0	3909	206208	0	0			0	40031	3179	29211	111208	24513	9147	5395	373	164	439	124200	24737	13715	3002	211	260								494	0			0	0	
5210																																	0	44079	5920	26750	112367	0	3562	3562	3254	0	30093	0	30093	41553	9616	0	3975	529428	0	0	0	0	0	226166	20909	1669	23103	16214	21099	19248	32937	74139	62529	81856	9849	85071	87677	28739	6056	0	0	0	0	0	0	0	0	1184	0		0	0	
5331																																	0	29530	0	71558	33989	0	2592	2592	0	0	4735	0	4735	9630	242	0	0	166646	463	0	0	0	641	14040	684	2056	33536	2311	1195	7098	2581	115	740	42013	5457	47801	49100	8489	0	0	0	0	0	0	0	0	0	109	0		0	0	
5461																																	0	48032	2379	8867	146665	0	9925	9925	1321	0	41698	0	41698	10334	5014	0	0	283594	435	0	0	0	20796	7281	2233	515	10505	1532	843	1184	3457	265	0	46260	42179	63676	103027	18357	1935	0	0	0	0	0	0	0	0	280	0		0	0	
5751																																	0	520	4579	77	547		6		31367	0			3668	0	1774	0	302	51649	0	0			0	8665	128	4293	23504	386	1107	3149	587	2620	816	24742	5640	3608	3698	5076	217								0	16			0	0	
6039																																	0	3348	2471	0	20686		61		1130	479			15774	0	4190	0	1979	55575	24	0			0	4961	488	225	18071	502	801	2839	441	238	82	33085	4863	5975	2050	3428	0								453	58			0	0	
6057																																	0	142	2403	0	1063		0		1703	0			1797	0	823	0	0	12275	0	0			0	3857	487	0	3752	271	820	2641	74	8	0	1058	3247	2948	836	327	0								0	0			0	0	
6141																																	0	0	2731	0	3591		27		2547	0			593	0	3842	0	179	17788	0	0			0	4278	0	508	7770	215	285	1072	1663	971	72	2564	4706	1544	2941	1197	398								0	0			0	0	
6329																																	0	47160	7112	312	35397		0		4888	0			38793	1657	63268	0	707	256632	15	0			0	50598	4591	4377	107247	10918	8964	17858	9261	3243	128	61928	43299	52409	40838	4847	388								899	1265			0	0	
6972																																	0	335265	1865	9442	118174	2	3625	3623	1554	0	89888	0	89888	16109	2042	0	11209	632239	0	0	0	0	10632	34713	7388	6086	313046	25534	390	2131	2959	2826	873	424464	16495	77517	40705	18806	12277	0	0	0	0	0	0	0	0	965	0		0	0	
7009																																	0	0	0	0	0	0	7826	7826	0	0	0	0	0	0	205442	0	0	213268	0	0	0	0	0	0	0	0	193073	0	0	0	0	0	0	183362	9711	7698	12497	0	0	0	0	0	0	0	0	0	0	0	0		0	0	
7045																																	0	0	4007	0	8581		10		4317	0			3681	516	12202	0	1269	52807	0	0			0	17750	0	15269	7458	211	325	131	1846	4146	11091	2479	4470	10303	8125	3439	6189								462	12		0	0	0	
7157																																	0	0	1893	309	966		3		2807	0			4023	0	3788	0	0	20390	0	0			0	6601	0	0	8452	190	1504	4734	80	93	0	3704	3090	5614	1131	198	0								0	0			0	0	
7456																																	0	270	1743	0	834		0		8942	0			7454	21	2012	0	0	22890	0	0			0	1411	203	0	10587	53	2	591	765	0	0	8776	1921	2680	6835	1166	0								0	0		0	0	0	
7634																																	0	2020	1453	0	3472		392		1538	0			12023	0	3400	0	0	30193	0	0			0	5267	628	0	13017	1581	975	2203	389	119	0	8348	6515	6775	2373	179	0								0	0			0	0	
8033																																	0	8491	2503	193	626		120		7863	0			31865	1723	7387	0	0	71912	0	0			0	8861	2280	3489	24211	3922	623	2593	1530	155	38	35897	5742	10961	8802	1559	63								0	0			0	0	
8417																																	0	0	0	0	0	0	469634	469634	0	0	0	0	0	0	0	0	0	469634	0	0	0	0	0	0	0	0	469634	0	0	0	0	0	0	468899	735	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	
8462																																	0	233	2119	0	2267		0		9647	0			7228	0	7540	0	754	31471	0	0			0	1425	258	0	11809	0	91	21	111	473	729	16146	4020	4286	3012	1864	157								0	0			0	0	
8631																																	0	443	140	0	4864		112		58	70			5258	0	7158	0	0	30742	0	0			0	12291	418	0	3426	62	92	77	462	8400	3180	2876	627	3222	4456	7044	188								0	0			0	0	
9357																																	0	0	0	0	38149	0	422	422	0	0	129320	0	129320	3895	5114	0	0	267219	0	0	0	0	0	85140	4878	0	199393	85140	0	0	0	0	0	136589	3649	18498	19774	3475	0	0	0	0	0	0	0	0	0	301	0		0	0	
9553																																	0	1024	15678	0	1047		1140		32914	0			3234	10	1429	0	0	60776	0	0			0	4158	142	201	27106	385	117	1730	1777	67	82	47495	1464	3004	2090	2565	0								0	0			0	0	
9807																																	0	1102855	0	50827	420849	0	1438	1438	0	6280	84968	0	84968	76574	460	0	0	2184373	5133	0	0	0	0	391513	59796	30277	875505	55145	10360	14625	36895	171600	97930	1255856	48906	132151	158178	107656	6038	0	0	0	0	0	0	0	0	226	0		0	0	
9955																																	0	502	8131	136	4794		80		9979	0			5477	1019	3192	0	0	44151	0	2453			0	8351	18	6520	20666	410	888	2510	2821	1722	0	9361	10007	5610	7651	2159	999								0	19			0	0	
10157																																	0	1784	6674	0	1552		39		9530	2039			4755	35	1437	0	886	28251	0	0			0	1559	0	892	11424	93	758	87	0	502	88	8341	6798	4260	2620	3028	1156								0	0			0	0	
10250																																	0	72649	502	10218	64156	0	124	124	37	0	63942	0	63942	11088	27334	0	866	308688	0	0	0	0	0	31305	24844	14754	81482	2157	4649	11347	8620	4532	0	75809	26005	66293	83605	25594	0	0	0	0	0	0	0	0	295	1328	0		0	0	
10849																																	0	51700	14022	17627	65105		2221		7536	0			15265	691	2290	0	2465	208002	105	0			0	28256	929	19474	79194	6638	11240	7620	761	1366	42	60760	23548	59652	18163	14936	1782								0	0			0	0	
10858																																	0	9518	17766	7775	53063	0	490	490	39002	0	61521	2	61523	4594	37329	0	1832	295758	0	0	0	0	0	15718	6919	1568	148723	1385	3298	2895	4268	1398	2474	111211	34987	50319	63792	16153	748	0	0	0	0	0	0	0	39128	1101	0	0	0	0	
11145																																	0	1452	0	0	31910		37		112	0			1485	2015	5496	0	619	117948	0	0			0	71654	3168	12786	10198	715	4777	11980	17367	35191	933	8309	2991	15336	14923	3522	45								0	0			0	0	
11640																																	0	6670	26644	1725	21766		159		29588	611			33503	0	16431	0	219	155024	0	0			0	16947	1372	12532	76688	4064	7421	2312	1486	1035	629	75782	26975	16586	12296	3436	2788								0	0			0	0	
11837																																	0	24330	1414	1547	18912		425		133	0			8954	462	1020	0	3850	70973	61	0			0	9849	0	1049	43216	1354	3731	4497	138	129	0	33289	4842	21198	963	126	0								138	0			0	0	
12030																																	0	35902	35837	875	71018		0		4576	0			30268	0	22730	0	1563	254068	0	0			0	48647	2597	473	175201	7813	16353	20883	2342	1256	0	111632	40358	36273	13587	3571	0								0	55			0	0	
12058																																	0	7676	8517	866	10831		169		5334	0			11858	0	4087	0	9	70663	0	0			0	20370	923	1237	26873	2206	5280	9283	2459	566	297	8897	15114	17065	7121	1843	129								0	23		0	0	0	
12142																																	0	3132	4458	481	19500		0		4205	0			5419	437	11762	0	0	70997	1	151			0	18975	2186	17040	16055	886	2130	13405	2125	354	75	8355	9899	17441	13818	1953	35								292	0			0	0	
12245																																	0	3186	336	0	28776		7		56	0			4065	330	2592	0	1537	71274	0	0			0	30279	45	5032	19813	563	3533	5355	2210	18580	0	7291	8429	13872	5837	4851	0								65	0			0	0	
12311	16809460	185913	28427	0	4003241	0	2907463	0	22231	26460335	0	2442260	0	204782	8275924	12234203	1389478	2847778	2600217	1782348	448165	0	139	150	0	0	0	61051	0		11542	9138	289	2227562	40935	275454	4112321	10571	185913	175342	28427		4003241	0	4003241	3351241	2907463	0	22231	26460335	0	2442260				5071058	1730889	2881378		448824	772611	1216854	1016423	511040	1065974							139			150	0			0	61051					
12647																																	0	7079	5478	0	11398		43		4643	0			10080	831	1261	0	20	53551	0	0			0	11604	1085	0	31819	1824	6408	2941	165	0	0	14444	17679	7866	1782	176	0								0	29			0	0	
12656																																	0	87	835	556	581		0		913	0			643	0	981	0	0	9902	0	0			0	5296	10	4884	1536	760	1493	1558	1341	144	0	1144	1354	1014	763	324	0								0	0			0	0	
12937																																	0	0	256	25446	42587		869		0	0			10479	17637	2093	0	0	131197	60	0			0	27000	4890	0	14425	1306	1963	11119	11687	395	530	50061	1932	36036	15177	1051	0								0	0			0	0	
12946																																	800	73825	7910	2074	82456	0	229	229	1788	110	31234	0	31234	234	21596	0	419	316738	0	0	0	0	0	89006	5167	1480	98102	3832	6814	29570	37047	9979	664	103494	22065	59232	35070	6715	105	0	0	0	800	0	0	0	0	0	415		0	0	
12955																																	0	16606	986	2991	33656		0		0	0			15225	2675	950	0	601	82364	0	83			0	6803	1702	2631	37013	838	1017	3245	1324	379	0	25479	9939	26557	11583	1691	0								49	37			0	0	
13037																																	0	1044	143	200	9797		0		0	1019			13049	99	4217	0	0	50167	0	0			0	20742	572	17413	8125	3911	11618	3089	681	673	0	17081	3195	2032	1034	2407	12								304	0			0	0	
13103																																	0	57989	0	15955	219163	0	701	701	0	0	51454	0	51454	14878	130500	0	0	711072	0	0	0	0	0	206005	14295	41489	40352	3231	3941	8534	26440	47600	116023	61005	23552	101973	219522	94203	4144	0	0	0	0	0	0	0	0	132	0		0	0	
13251																																	0	0	1725	0	5013		0		2151	0			4412	0	2662	0	346	22010	0	0			0	5701	0	0	9976	547	440	3672	44	588	0	2695	6670	5816	524	331	0								0	0			0	0	
13457																																	0	0	3223	0	402		31		7220	0			1274	10	489	0	0	13184	0	56			0	474	5	69	6181	49	121	255	27	22	0	10640	1084	481	76	195	0								0	0			0	0	
14052																																	0	2317	3302	0	11637		5		915	0			8504	642	3884	0	1151	50852	0	0			0	16297	2198	0	35512	4066	8728	3187	206	14	0	8531	14187	6210	4013	1249	335								0	0			0	0	
14155																																	0	11248	5890	351	3494		133		17387	0			19129	0	6373	0	5	88527	0	0			6325	23254	1263	5716	31668	2717	5926	11202	2759	481	0	10426	22844	16778	10246	3836	782								0	0			0	0	
14258																																	0	246251	20711	4378	162128	27	6949	6922	3880	0	106348	0	106348	20841	7066	0	1109	723932	1886	175	175	0	21738	128966	13640	79259	281532	15969	22973	62773	13716	3570	9965	330732	79415	119857	41827	24039	782	0	0	0	0	0	0	0	0	3376	2160		0	0	
14409	12238551	21054	0	0	5613704	7971	4911059	0	19055	24613883	0	701250	0	0	2262144	10041793	825459	2029117	2833619	4309617	820266	0	0	0	0	0	1047688	53551	0	16996	0	0	0	173705	0	110706	1891217	0	21054	21054	0		5613704	7971	5621675	3100445	4911059	0	19055	24613883	0	701250				3721578	3240900	685424		45901	112762	400491	297562	1215277	1642637							0			0	0			1047688	53551					
14454																																	0	6281	650	0	4933		8		1764	0			4480	115	326	0	0	22930	0	3372			0	961	36	300	9266	41	597	197	126	0	0	10553	2727	5817	2482	390	0								0	4			0	0	
14650																																	0	157	14	0	609		6		374	0			2280	99	4489	0	0	15481	57	718			0	6785	7	5483	2641	136	105	5724	500	320	0	1452	1830	3562	1699	210	0								0	0			0	0	
14753																																	0	24	2524	0	395		0		7354	397			1542	0	628	0	0	13432	0	0			0	924	0	94	6933	22	283	610	9	0	0	3890	7282	984	172	0	0								0	41			0	0	
14865																																	0	18137	23373	439	18093		46		32792	168			15097	135	3161	0	6339	124950	305	0			0	4312	1784	669	50622	122	115	574	350	1943	1208	52748	9230	8575	10799	12837	26700								495	1052			0	0	
15536																																	0	541440	4836	618853	1211330	19553	23029	3476	0	0	104674	0	104674	95974	6146	0	748	3039088	0	161495	161495	0	0	254043	15781	194998	636718	20166	32669	73234	101281	13573	12620	949753	238988	575048	420925	537047	42576	0	0	0	0	0	0	0	0	739	10595		9256	4645	
16337																																	0	112950	614	7360	58936	0	163	163	222	19	48334	0	48334	2240	30628	0	542	329378	0	0	0	0	0	60393	5292	58208	124382	17920	14060	11121	547	9895	6485	128498	72796	24759	20106	13505	9188	0	0	0	0	0	0	0	0	1704	0		0	0	
16458																																	0	10604	1200	7046	57172		35		817	0			11815	1875	2198	0	0	111037	15	148			268	14951	3075	4559	32070	1271	4451	5699	967	977	1586	21398	15274	28100	25837	5239	253								0	116			0	0	
16551																																	0	48086	2686	1294	14736		182		1348	97			9240	3822	5881	0	319	127580	0	336			0	38205	1369	3507	34103	2422	7306	14288	6045	7509	238	17131	18796	26505	14043	10973	482								0	76			0	0	
16748																																	0	1071	1209	0	1266		172		303	0			3545	3344	9544	0	0	32051	7	0			0	11300	304	6496	2685	563	1087	2443	1034	3256	2919	4947	2463	2293	6828	3842	337								0	0			0	0	
16944																																	0	587	1275	0	1581		5		315	0			1371	83	1225	0	384	14092	0	0			0	7130	136	0	2070	29	275	1448	2933	2447	0	1572	357	1582	2214	1220	0								0	0			0	0	
16953																																	0	0	779	0	1686		48		4204	0			2798	0	2044	0	0	12827	0	0			0	1268	0	0	6943	99	52	264	773	80	0	2385	4407	2241	2313	213	0								0	0			0	0	
17110																																	0	0	0	0	0		5562		0	0			4501	488	73582	0	0	84790	0	0			0	657	0	657	38454	657	0	0	0	0	0	84133	0	0	0	0	0								0	0			0	0	
17147																																	0	29385	8599	15866	175805	0	1359	1359	6109	30	151196	0	151196	18384	62351	0	1773	649613	0	3003	3003	0	0	152913	19082	83329	184746	14374	16786	19080	30807	37377	34026	261425	29789	49105	84914	53628	13266	0	0	0	0	0	0	0	0	3788	0		0	0	
17259																																	0	610	6566	504	5674		26		1250	0			3367	23	6741	0	0	33574	48	103			610	8272	486	5152	28666	3770	3296	576	373	226	0	16235	5365	2671	520	485	0								0	0			0	0	
