"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	
1829																																	0	1715	0	12956	41856	0	62	62	0	0	26429	0	26429	7067	1534	0	0	181477	194	19224	19224	0	0	58328	11156	0	25170	493	18	1875	7046	27023	21818	23976	683	14617	37353	42886	3573	0	0	0	0	0	0	0	557	787	0		0	0	
1856																																	0	93	1113	2100	5973		0		1342	0			2652	0	766	0	0	16610	0	0			0	2571	0	2212	4718	2140	105	133	0	0	0	11802	526	1031	554	0	0								0	0			0	0	
2040																																	150	7442	3676	5119	48310		26		3110	0			16288	885	6121	0	0	124064	0	0			0	31348	1191	1174	56563	4505	5923	19028	343	306	204	29918	16216	34112	10261	1712	0								398	0			0	0	
2161																																	0	401	653	0	6847		194		1975	0			6198	0	10056	0	0	56259	11	0			0	29559	0	22110	17529	1340	6591	9772	5811	5583	462	4937	4661	8075	6400	2638	0								387	0			0	0	
2376																																	0	35760	0	189627	150194	0	0	0	0	0	2110	0	2110	5215	470	0	0	612462	0	0	0	0	0	185512	43574	25157	34050	763	951	5385	5438	117920	54916	39404	4692	48815	17801	181784	134106	0	0	0	0	0	0	0	0	0	0		0	0	
2451																																	0	6	5972	265	4259		596		3589	0			4871	330	580	0	0	26494	0	0			0	5831	195	4217	7424	1277	3947	166	10	110	321	13136	5442	823	475	787	0								0	0			0	0	
2554																																	0	0	837	0	0		0		1130	0			572	0	418	0	0	3173	0	0			0	216	0	0	0	0	1	0	18	159	37	605	790	586	443	407	126								0	0			0	0	
2732																																	0	46640	174	90112	151734	0	274	274	0	0	81640	0	81640	10125	45225	0	0	435177	1366	0	0	0	0	9800	819	2598	120346	5458	768	1168	741	0	1665	200906	33478	132286	37987	3175	18897	0	0	0	0	0	0	0	0	0	0		0	0	
2750																																	0	0	6906	0	3160	0	116	116	14575	0	2225	0	2225	0	1723	0	0	32462	0	0	0	0	0	3518	89	112	13084	371	160	1841	1115	0	0	14229	2828	4626	4604	1321	200	0	0	0	0	0	0	0	0	150	0	0	0	0	
2938																																	0	58768	5898	14538	79320	1048	2527	1479	4226	0	53005	0	53005	15322	7294	0	0	306813	0	0	0	0	0	60189	5726	22786	145765	26376	5125	19464	7784	1300	99	143533	20166	59218	19969	1699	201	0	0	0	0	0	0	0	0	0	0		0	0	
3252																																	0	352	12363	49	2973		15		21159	0			5053	0	3263	0	210	46581	0	0			0	1144	0	994	0	179	624	248	0	77	0	15066	24331	3916	1310	300	0								0	0			0	0	
3458																																	0	0	3268	0	435		10		783	0			2181	0	458	0	0	9453	0	725			0	1593	0	0	2292	61	189	1047	221	25	0	2115	1560	3612	549	0	25								0	0			0	0	
3506																																	0	102836	0	4345	539328	0	552	552	0	0	137069	0	137069	61586	2037	0	0	1124091	0	23724	23724	0	0	200645	51458	32279	85671	1195	2880	11689	28849	117530	37688	257976	37846	181189	315923	102263	25540	0	0	0	0	0	0	0	511	0	0		0	0	
3720																																	0	10069	1827	248	27368		295		2201	0			5906	3336	5531	0	1982	89936	0	0			0	30493	495	2257	19750	4245	2768	7477	12869	2739	375	20797	6276	8709	19911	2913	847								0	185			0	0	
3953																																	0	2517	9429	2978	12364		144		19378	0			20130	0	4649	0	0	81817	0	47			0	8579	1602	471	37979	1867	2225	3183	1127	30	0	47820	10725	7620	2271	1235	297								0	0			0	0	
4138																																	0	11354	695	2075	25611		65		0	91			11818	2600	12775	0	65	121987	791	0			0	55189	484	39849	18949	3747	11019	26284	5081	5393	3663	25987	13586	4646	9147	4827	9381								0	47			0	0	
4147																																	0	9077	483	7526	26106		163		11	0			6201	4470	1786	0	73	74253	0	0			0	15861	1688	6800	13758	506	2650	6991	5714	0	0	3998	16273	23675	12673	1133	625								736	72			0	0	
4156																																	0	8780	6401	846	17292		58		16763	0			22108	2470	4133	0	0	96382	0	833			0	16515	183	0	33650	373	2319	3386	2125	8043	269	31159	19510	14403	8450	5367	83								0	0			0	0	
4231																																	0	1955	9580	0	17899		121		1140	0			3527	0	6354	0	2228	54398	0	0			0	11594	0	29	20699	230	1640	4953	4003	693	0	11993	12389	8687	7367	2236	0								0	0			0	0	
4437																																	0	16899	1413	1229	47410	0	1489	1489	1286	0	27872	0	27872	8342	8919	0	0	164767	225	8	8	0	0	42762	1316	35340	61215	5234	4261	15334	6632	5258	5816	71952	12203	15720	11564	6691	2436	0	0	0	0	0	0	0	0	6047	0	0	0	0	
4839																																	0	26953	0	21345	109213		1099		0	0			10738	5226	2808	0	0	191333	0	0			0	12051	1741	2117	77773	2863	1314	4052	3293	85	445	64134	14959	46859	49074	4004	14								0	159			0	0	
5005																																	0	43620	0	20490	57788	0	5	5	0	0	6009	0	6009	5824	205	0	0	228809	0	0	0	0	0	89732	5041	21846	58122	1387	7266	7908	5060	23680	43354	54804	16256	18402	26552	22951	112	0	0	0	0	0	0	0	0	95	0		0	0	
5050																																	0	14625	0	95	11041		25		479	0			9853	103	5348	0	0	54080	0	0			0	11422	948	9371	20787	2295	8325	505	193	55	49	14731	15752	9111	2924	95	0								141	0			0	0	
5069																																	0	53799	0	1729	178920	0	46	46	0	0	1830	0	1830	0	0	0	0	254710	3928	0	0	0	0	19314	3000	13914	114080	13914	0	169	0	0	0	212066	14660	0	2217	0	0	0	0	0	0	0	0	0	0	0	264		0	0	
5135																																	0	3406	32689	5763	28800		199		14664	263			47906	607	10646	0	3787	183693	0	0			0	32537	2160	23861	93389	12946	11284	6659	1000	255	385	107642	26146	13284	3584	169	264								529	0			0	0	
5210																																	0	42377	6430	27929	104476	0	3201	3201	3392	0	29081	0	29081	38953	9340	0	3761	518922	0	0	0	0	0	229649	19344	1202	15895	18665	22920	20062	30433	75551	61921	80182	5919	76369	87170	28187	6813	0	0	0	0	0	0	0	0	989	0		0	0	
5274																																	0	9613	294	3035	43134		11		0	0			11593	2176	1010	0	405	102516	0	369			2	27472	3300	158	25442	117	313	3362	4183	11580	7718	23953	6366	13341	27334	4041	0								0	104			0	0	
5331																																	2	21485	0	79548	35805	0	3087	3087	0	0	7568	0	7568	10403	281	0	0	173381	538	0	0	0	378	15016	619	1977	28483	978	1627	7968	3556	134	753	36067	8313	33729	74346	6448	0	2	0	2	0	0	0	0	0	105	0		0	0	
5461																																	0	39418	2720	8179	126704	0	9221	9221	676	0	38797	0	38797	9835	4895	0	0	250096	477	0	0	0	21272	7134	2739	373	71516	706	658	1878	3892	0	0	31778	47137	49387	89921	23094	1916	0	0	0	0	0	0	0	0	255	0		0	0	
5751																																	0	379	4622	77	544		5		27053	0			4402	0	1788	0	254	48182	0	0			0	8888	152	4511	17155	1057	1135	2456	709	2570	961	25546	3785	3770	2616	3442	103								0	18			0	0	
6039																																	0	1351	3127	0	17378		23		995	0			17852	0	4034	0	2212	53124	24	0			0	5095	560	364	17755	257	814	3168	372	314	84	31385	4315	5438	2219	3641	0								463	58			0	0	
6057																																	0	204	2513	0	1189		0		1398	0			1583	0	599	0	0	11600	0	0			0	3687	427	0	3255	193	829	2568	65	0	0	1048	2982	2979	623	145	0								0	0			0	0	
6141																																	0	0	2334	0	3218		84		1492	0			964	0	3759	0	193	16434	0	0			0	4390	0	628	6853	249	517	839	1743	968	74	3001	3086	1313	3160	1145	142								0	0			0	0	
6329																																	0	38683	5692	309	31939		0		4278	0			35704	1660	54255	0	778	229588	35	0			0	49959	4419	3802	96453	8135	10936	16971	10371	3156	86	51002	44316	42517	35746	4196	395								830	1117			0	0	
6972																																	0	280711	1898	7316	101331	0	3360	3360	1510	0	67121	0	67121	17317	3197	0	4896	512837	0	0	0	0	11899	19511	4077	4963	273420	10254	652	2538	2362	2820	884	332877	41441	64659	33820	13594	5364	0	0	0	0	0	0	0	0	592	0		0	0	
7009																																	0	0	0	0	0	0	4638	4638	0	0	0	0	0	0	210011	0	0	214649	0	0	0	0	0	0	0	0	194007	0	0	0	0	0	0	184291	9716	8359	12283	0	0	0	0	0	0	0	0	0	0	0	0		0	0	
7045																																	0	0	4089	0	7265		9		3731	0			3686	475	12404	0	1263	51313	0	0			0	17905	0	14652	6530	287	665	184	345	5308	11051	2049	3529	9529	8924	3294	6012								475	11		0	0	0	
7157																																	0	0	1690	95	636		18		2607	0			3011	0	3218	0	0	18147	0	0			0	6872	0	0	6631	413	1121	5145	95	98	0	2494	2603	4886	1118	108	0								0	0			0	0	
7166																																	0	167522	835	9245	228082	0	3089	3089	1073	0	42944	0	42944	13928	246	0	0	502329	1809	243	243	0	0	36574	95	30793	165088	5125	1690	5111	13042	10746	842	215343	32147	61143	24427	128205	5505	0	0	0	0	0	0	0	0	262	0		0	0	
7456																																	0	435	1830	0	494		0		7992	0			6763	22	2238	0	0	21370	0	0			0	1389	207	0	9687	0	114	370	836	70	0	9275	710	2619	5906	1342	30								0	0		0	0	0	
7634																																	0	3177	1396	0	3520		256		1577	0			10209	0	3291	0	0	28456	0	0			0	4434	596	0	14939	467	1632	1642	554	139	0	3939	8901	7066	2870	350	0								0	0			0	0	
8033																																	0	6911	1647	228	1275		218		6432	0			27549	1543	6955	0	0	62654	0	0			0	8301	1595	2980	21372	2722	547	3655	1192	57	38	29656	7610	8961	6507	1151	152								0	0			0	0	
8417																																	0	0	0	0	0	0	270162	270162	0	0	0	0	0	0	1688190	0	0	1958352	0	0	0	0	0	0	0	0	1956602	0	0	0	0	0	0	270162	1686440	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	
8462																																	0	304	1607	0	2449		0		8059	0			6828	0	7228	0	827	29079	0	0			0	1523	254	0	9808	0	174	36	114	580	619	15156	2471	4280	3059	1874	160								0	0			0	0	
8631																																	0	409	109	0	5367		200		107	49			3599	0	6828	0	0	27657	0	0			0	10906	132	0	2567	42	11	85	358	7917	2493	2455	341	3386	4147	5466	741								0	0			0	0	
9357																																	0	0	0	0	35349	0	424	424	0	0	116928	0	116928	3843	6166	0	0	260038	0	0	0	0	0	90095	6953	0	195841	90095	0	0	0	0	0	128289	3971	11016	22626	1453	2481	0	0	0	0	0	0	0	0	280	0	0	0	0	
9553																																	0	614	16063	0	1065		858		26627	0			3838	0	1612	0	0	54894	0	0			0	4149	68	207	20186	387	433	1434	1794	101	0	42258	530	3380	2300	2081	196								0	0			0	0	
9807																																	0	977016	0	54002	445603	0	1625	1625	0	0	82308	0	82308	87135	506	0	0	2086931	5629	0	0	0	0	392563	51554	28338	793524	51559	10380	15939	30170	187239	92276	1189776	32610	111002	164241	190793	5069	0	0	0	0	0	0	0	0	248	0		0	0	
9955																																	0	273	6896	115	3221		28		9689	0			5481	978	3169	0	0	39843	0	2749			0	7225	0	5677	11086	37	1578	1845	2274	1491	0	7470	10241	5615	7346	1727	215								0	19			0	0	
10157																																	0	2068	6917	0	2310		45		10050	1310			3369	0	1109	0	1113	28456	0	0			0	1475	0	641	11614	135	507	45	15	597	143	5397	10330	3029	3791	1963	1167								0	0			0	0	
10250																																	0	61289	511	9214	59751	0	94	94	54	0	60167	0	60167	12045	25923	0	871	280913	0	0	0	0	0	30365	19321	15071	69735	860	4648	11590	8958	4033	101	68238	19927	58667	83934	19570	0	0	0	0	0	0	0	0	270	1038	0		0	0	
10849																																	0	60206	11490	10348	57557		10002		4738	0			13647	352	2251	0	2700	204586	109	0			0	30524	880	10567	90038	5072	15613	7166	955	1373	237	72480	25682	40249	18753	15212	1797								0	0			0	0	
10858																																	0	8319	18173	5976	53984	0	349	349	30980	0	64725	3	64728	4832	44050	0	1345	284144	0	0	0	0	0	13174	5890	1448	140697	1189	3104	2626	3726	1143	1386	113421	19080	44105	68872	21138	748	0	0	0	0	0	0	0	31552	792	0	259	0	0	
11145																																	0	960	75	0	31052		15		119	0			1418	2172	4811	0	833	113081	0	0			0	68849	2777	10748	12435	1655	2604	8133	17350	37475	1122	9589	4950	12557	11942	3725	46								0	0			0	0	
11640																																	0	5366	21849	2788	21868		283		17966	502			35992	0	14116	165	0	138844	1	0			0	16960	1492	13224	62006	4023	7614	1611	1043	1456	1213	55123	31472	13581	13893	4988	2827								0	0			0	0	
11837																																	0	14599	1023	1525	32655		204		133	0			9725	601	1081	0	0	70496	77	0			0	8905	0	540	43918	686	1537	6478	113	92	0	36258	5438	19087	756	129	0								122	0			0	0	
12030																																	0	25095	29155	905	78864		5		2644	0			30624	0	25266	0	1258	235595	0	0			0	39341	2438	674	164562	7790	11207	17875	1567	902	0	107698	37867	33573	13435	3681	0								0	0			0	0	
12058																																	0	8906	7988	882	10928		350		4747	0			10831	0	4063	0	9	69138	0	0			0	19456	959	1533	24944	1771	5578	8478	2398	674	365	10425	13164	16994	6934	1771	280								0	19		0	0	0	
12142																																	0	2812	4451	503	19424		0		1536	0			5107	407	12323	0	0	67107	2	65			0	18251	1948	16223	22412	1638	2466	10825	2852	393	76	8598	9359	15866	12052	2897	0								282	0			0	0	
12245																																	0	2610	320	0	26048	9	9	0	18	0	3851	0	3851	148	2883	0	1682	66892	0	0	0	0	0	29252	0	2230	15214	309	1608	4746	2498	20048	0	7994	5303	14148	4005	5553	0	0	0	0	0	0	0	0	71	0	0	0	0	0	
12311	16627367	171891	30521	0	3947586	0	2814025	0	22602	26294495	0	2621165	0	186151	8738888	12295093	1422648	2962631	2643743	1492768	362766	341	0	151	0	0	0	58846	0		11542	9138	492	2066882	47546	300407	3936735	14685	171891	157206	30521		3947586	0	3947586	3799744	2814025	0	22602	26294495	0	2621165				5014720	1461333	2544648		410701	542521	1234481	1064537	567167	1161995							341			151	0			0	58846					
12647																																	0	5239	3019	0	8879		20		4100	0			7664	475	1294	0	30	44176	0	0			0	12605	820	0	25388	4443	5177	2790	175	20	0	11559	11933	5907	1986	167	0								0	31			0	0	
12656																																	0	31	784	480	620		0		1026	0			608	0	781	0	0	9161	0	0			0	4831	0	4465	1176	533	1974	856	1365	103	0	395	1846	1055	873	161	0								0	0			0	0	
12937																																	0	0	257	18903	45191		658		0	0			11779	17135	2002	0	0	130758	52	0			0	27146	7739	0	22050	638	2585	10072	13043	562	245	52610	3744	29845	15635	1810	20								0	0			0	0	
12946																																	500	66906	8093	2410	83903	0	195	195	1864	115	31102	0	31102	264	19433	0	20	307409	0	0	0	0	0	87063	5595	1974	89974	3073	7646	25974	37826	11032	506	105990	20049	49200	34475	9400	106	0	0	0	500	0	0	0	0	61	443		0	0	
12955																																	0	17130	850	2871	33030		0		0	0			14505	978	1117	0	266	78794	0	176			0	6140	1685	2398	36861	1015	231	2980	1569	345	0	24942	9771	22474	10499	3694	0								46	0			0	0	
13037																																	0	1204	165	202	17098		0		0	1200			11973	36	3454	0	0	55950	21	0			0	20937	603	19556	12317	4913	13027	1231	180	732	263	19510	5041	2637	1966	3336	133								299	0			0	0	
13103																																	0	45211	0	16624	216807	0	682	682	0	0	48986	0	48986	16951	104763	0	0	650467	0	0	0	0	0	191661	8660	36260	36317	3051	5482	7557	21143	48811	105226	65630	23708	74286	204969	85761	3819	0	0	0	0	0	0	0	0	122	0		0	0	
13251																																	0	0	1863	0	4844		0		1976	0			3655	0	2822	0	367	21914	0	0			0	6387	0	0	10922	1059	1127	3767	66	0	0	3691	5986	5155	299	100	0								0	0			0	0	
13457																																	0	0	3183	0	409		31		4783	0			684	3	427	0	0	10125	0	60			0	523	22	89	3426	74	24	375	25	25	0	7590	1183	295	46	252	0								0	0			0	0	
14052																																	0	2140	3014	0	10759		8		699	0			8937	913	3968	0	1182	48926	0	0			0	15775	1531	0	35508	4687	7887	2964	174	15	0	11565	11369	4572	4104	1097	334								0	0			0	0	
14155																																	0	9980	4572	353	2451		87		16391	0			19878	0	6107	0	0	83172	0	0			6571	22331	1022	1321	31353	1692	5346	13275	1315	300	122	15000	16707	16289	8708	3169	433								0	0			0	0	
14258																																	0	190291	17490	9100	156610	52	6889	6837	3821	0	96316	0	96316	18944	5747	0	1162	645439	2121	213	213	0	16470	125738	12294	82547	196888	15865	15862	71907	12533	5495	4076	282310	48246	110378	51067	28245	1500	0	0	0	0	0	0	0	0	2945	2645		0	0	
14409	11346619	8844	0	0	5128403	5463	5387857	0	6290	23630376	0	624073	0	0	1938501	9720763	1038733	1902676	3211712	3272421	931817	0	0	0	0	0	1074114	48713	0	6176	0	0	0	65708	0	120475	2028838	0	8844	8844	0		5128403	5463	5133866	3383686	5387857	0	6290	23630376	0	624073				3529834	2218078	943148		30776	79566	213123	299845	1593539	1308644							0			0	0			1074114	48713					
14454																																	0	6959	723	0	8368		8		1444	0			3320	107	292	0	0	26930	0	4760			0	928	5	300	9628	44	168	716	0	0	0	13461	3069	6730	1599	1142	0								0	16			0	0	
14650																																	0	159	26	0	745		6		375	0			1975	100	4314	0	0	15787	60	802			0	7337	8	5872	2961	272	196	6017	503	349	0	1211	1800	3812	1530	122	0								0	0			0	0	
14753																																	0	28	2229	0	433		0		8800	302			1432	0	603	0	0	14500	0	0			0	941	0	110	8092	73	192	662	14	0	0	1973	10350	937	119	0	0								0	34			0	0	
14865																																	0	13117	21069	704	19617		809		26839	177			13817	115	3512	0	2938	110201	300	0			0	4576	1804	921	41440	124	129	212	715	1893	1503	42581	9130	5466	9073	12116	27536								467	1117			0	0	
15536																																	0	431818	4165	645963	1275752	19924	23310	3386	0	0	115171	0	115171	55717	5500	0	2951	2979215	0	153830	153830	0	0	250144	14210	0	706947	33471	33420	65578	98086	6320	12359	910607	205987	518005	427946	604566	46025	0	0	0	0	0	0	0	0	684	0		12333	5744	
16337																																	0	104807	1921	7056	61379	0	186	186	224	19	45635	0	45635	1820	31266	0	586	322704	0	0	0	0	0	61964	4506	59405	111146	15348	14725	6868	1117	15113	8793	115919	62325	19930	19358	20172	23027	0	0	0	0	0	0	0	0	1354	0		0	0	
16458																																	0	14513	1088	7317	50179		34		394	0			13369	1417	2524	0	0	112650	16	197			1369	18574	2941	4770	34854	1962	5616	6906	2008	246	1708	26782	12523	30089	20338	4220	140								0	119			0	0	
16551																																	0	42828	2322	1191	12723		280		931	108			9032	3784	5963	0	291	118757	0	428			0	37314	1596	2563	26672	1857	4768	15272	7500	7535	214	18120	13070	25073	13392	10962	524								0	74			0	0	
16748																																	0	1018	1187	0	590		170		254	0			3870	3743	9519	0	0	31130	8	0			0	10594	193	7305	2940	97	1034	2012	1377	3136	2926	6440	2221	1554	5825	4336	133								0	0			0	0	
16944																																	0	478	1257	0	1607		10		141	0			1216	58	1099	0	447	13531	0	0			0	7047	171	0	1910	15	262	1073	3022	2674	0	1382	433	1154	2233	1280	0								0	0			0	0	
16953																																	0	0	784	0	1707		4		3434	0			2859	0	2010	0	0	12144	0	0			0	1346	0	0	6927	224	242	325	537	18	0	2465	3996	1760	2550	27	0								0	0			0	0	
