"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD5523	RIADB522	RIADC079	RIADC233	RIADC389	RIADC390	RIADC435	RIADC781	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	WRITE DOWN ARISING FRM TRNSFR TO HFS	BEGIN BALANCE (MOST RECENT) IN ALLL	CHRG-OFFS ON ALLWNCE FOR L&L LOSSES	ADJUSTMENTS	SEPARATE VAL ALLOW CRED/FIN CHGS	AMT ALLOW LN&LSE LOSS CC/FIN CHGS	ALLOCATED TRANSFER RISK RESERVE	AMT OF ALLOWNCE FOR POST-ACQUISTN LO	
853970	201	21	0	0	180	0	0			0	0	
854052	549	0	0	0	549	0	0			0	0	
854173	186	8	3	0	202	27	0			0	0	
854258	1119	0	1	0	1119	1	0	0	0	0	0	
854351	160	0	12	0	148	0	0			0	0	
854418	574	45	11	0	549	31	0			0	0	
854454	6087	105	76	0	5994	88	0			0	0	
854520	3108	0	23	0	3094	14	5			0	0	
854548	489	0	11	0	552	74	0			0	0	
854753	460	15	0	0	460	15	0			0	0	
854847	291	0	3	0	302	14	0			0	0	
855134	336	7	2	0	336	9	0			0	0	
855143	437	10	1	0	439	13	0			0	0	
855264	425	11	2	0	419	7	0			0	0	
855303	161	8	0	0	153	0	0			0	0	
855563	644	24	3	0	620	3	0			0	0	
855648	370	0	1	0	369	0	0			0	0	
855741	945	0	1	0	1009	65	0			0	0	
855778	733	21	0	0	712	0	0			0	0	
855844	858	15	12	0	868	37	0	0	0	0	0	
855956	350	47	2	0	338	37	0			0	0	
856140	441	0	0	0	441	0	0			0	0	
856159	140	0	0	0	140	0	0			0	0	
856243	1336	45	15	0	1344	68	0			0	0	
856337	2334	0	3	0	2339	8	0			0	0	
856346	1151	300	46	0	807	2	0			0	0	
856458	243	0	0	0	243	0	0			0	0	
856542	385	0	2	0	383	0	0			0	0	
856748	4640	100	118	0	4998	576	0			0	0	
856869	193	15	9	0	182	13	0	0	0	0	0	
856944	89	0	0	0	89	0	0	0	0	0	0	
856971	2022	21	2	0	2007	8	0			0	0	
857017	175	0	3	0	210	2	-36			0	0	
857147	288	0	0	0	292	4	0			0	0	
857259	256	0	1	0	255	0	0			0	0	
857455	105	0	1	0	104	0	0			0	0	
857576	137	0	1	0	136	0	0			0	0	
857745	798	15	1	0	801	19	0			0	0	
857811	1434	35	1	0	1406	8	0			0	0	
857941	620	0	39	0	591	10	0			0	0	
858153	136	0	0	0	141	5	0			0	0	
858210	1086	13	4	0	1075	6	0	0	0	0	0	
858443	556	0	10	0	560	14	0			0	0	
858452	113	15	0	0	103	5	0			0	0	
858528	2932	40	44	0	2937	89	0	0	0	0	0	
858818	508	0	0	0	508	0	0			0	0	
858854	447	30	7	0	413	3	0			0	0	
859002	3291	62	10	0	3257	38	0			0	0	
859141	1573	45	2	0	1563	37	0			0	0	
859150	290	0	0	0	290	0	0			0	0	
859543	299	-33	0	0	410	78	0			0	0	
859552	1892	53	81	0	1853	95	0			0	0	
859655	1009	45	0	0	971	7	0			0	0	
859712	2500	50	0	0	2450	0	0			0	0	
859851	550	27	0	0	523	0	0			0	0	
859945	3252	117	2	0	3164	31	0			0	0	
860053	1636	20	24	0	1594	2	0			0	0	
860147	949	0	1	0	953	5	0			0	0	
860156	1520	0	29	0	1516	25	0			0	0	
860231	55	0	0	0	55	0	0			0	0	
860259	537	0	63	0	474	0	0			0	0	
860334	896	0	11	0	895	10	0			0	0	
860352	485	8	3	0	483	9	0			0	0	
861153	218	0	2	0	216	0	0			0	0	
