"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	
928618																															0	15869	183	10003	170572	0	5111	5111	0	0	45294	0	45294	33576	22627	0	8183	503387	0	21454	21454	0	0	149914	14893	31700	55312	21367	35668	30971	16616	13139	30658	172443	42966	62014	38502	28262	0	0	0	0	0	0	0	0	0	5708	0		
928645																															0	6	1349	2006	3110		7		6	0			400	0	5549	0	0	29991	0	0			0	17512	46	0	5631	660	1634	5247	9136	835	0	1369	1968	5572	3396	156	0								0	0		0	
928850																															0	31920	41565	25971	149385	5837	10635	4798	94800	0	208200	12	208212	25909	40436	0	8734	692764	0	0	0	0	39993	26749	18509	7895	207014	4907	3569	2548	7729	4583	3186	382290	17589	70595	137510	39657	7567	0	0	0	0	0	0	0	33	9906	0	0	
929044																															0	4160	6849	833	6839		76		4548	0			8067	1216	2072	0	0	49498	7	0			0	14699	146	14699	17592	1181	2055	1562	6359	1915	1594	9612	5837	4281	12395	2401	255								0	0			
929352																															0	36229	14622	50535	180092	0	612	612	46675	0	236891	0	236891	9968	160254	0	5200	890095	468	26054	26054	0	0	91267	29565	1917	242235	1355	1393	8378	42292	29407	8345	326654	41136	103455	248457	78154	23	0	0	0	0	0	0	0	0	2599	0	0	
929802																															0	2169	96	42	28934		5		0	0			26502	10280	34230	0	150	177636	0	0			0	70146	2268	0	17865	2251	66	2086	3300	43917	17844	48895	3584	18494	20502	13372	1278								1764	1050		0	
929932																															0	5703	5669	205	25998		111		2123	0			23381	5965	8058	0	657	111313	67	0			1897	29997	1984	4981	52373	19405	2306	3673	1231	1704	1678	59509	6920	6832	7746	376	0								0	1529		0	
930358																															4574	8881	597	1209	36314		62190		914	0			19217	1305	90	0	393	143116	0	0			0	1615	0	0	70895	0	0	1171	14	430	0	74688	23331	20458	18831	2674	211								5817	0		0	
930442																															0	2070	6281	446	29265		343		9256	6			16267	671	17516	0	612	147794	75	0			0	59101	5922	0	40060	1167	8901	22963	6732	12122	6522	22346	17714	25560	18171	3750	595								0	119		0	
930853																															0	0	2726	0	1589		524		6136	37			4100	0	6021	0	448	29039	0	0			0	7432	63	7432	17521	1017	2659	2475	1070	85	0	7343	6568	4207	2869	283	0								0	0		0	
