"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
243955																																						3367	439	0	0	368	0	85	0	998	19660	17193	22	17215	0	154	0	0	0	2445	100	19660	0	0	1688	0	650	0	1644	15549	4	1231	0	12218	12064	7	2339	0	0	0	2445	
244037																																						35	773	0	0	18799	0	2538	271	1220	69450	50314	171	62878	0	594	0	11890	0	6572	105	69450	0	0	5326	0	1879	0	6274	44040	1	1231	0	46408	45814	-738	0	0	503	0	6572	
244149																																						5	4029	40	13374	12556	0	3294	1973	6235	170410	146983	1802	153891	0	1319	148	3431	0	16519	0	170410	0	0	14124	1500	850	12482	23894	123089	1	1231	0	117593	116274	45	0	0	1675	0	16519	
244158																																						0	3332	253	0	45114	0	687	0	5559	196156	175003	639	178802	0	2851	1220	3160	0	17354	400	196156	0	0	7660	0	10996	0	22859	152143	4	1231	0	140242	137391	-1702	2600	0	0	0	17354	
244251																																						232	9366	0	0	134142	0	3357	0	8430	290545	263433	2249	268878	0	2603	0	350	0	21667	3000	290545	0	0	13488	0	3000	0	47342	216091	1	1231	0	137621	135018	2179	0	0	0	2846	21667	
245016	218378	12903	0	18031	3080	0	3292	0	4238	540986	3988	488762	0	4049	2596	1942	0	52224	5000	540986	0	0	46200	0	1000	0	1	0	282517	278468	24	0	0	52224	122206	0	122206										538167	360626		485943				1942											82914	277712		1231					0	0	0	0		
245276																																						8800	18798	3467	0	4459819	0	17942	9681	397527	6115465	1823891	145121	5848322	0	15147	0	429310	0	267143	7925	6115465	0	0	318612	0	35971	34278	98177	1725714	1	1231	0	1180300	1165153	-95365	0	0	0	3450000	267143	
245351																																						3482	4110	0	0	182234	0	3073	13	6468	283756	183564	1672	257057	0	806	100	62500	0	26699	1000	283756	0	0	22031	0	1000	91	22564	161000	2	0331	0	80491	79685	2668	4500	0	0	9321	26699	
245557																																						1326	10279	0	0	91274	0	7663	1253	4192	391886	344059	2500	346559	0	4010	169	0	0	45327	600	391886	0	0	38739	0	4997	1548	39773	304286	2	1231	0	275148	271138	991	3044	0	0	0	45327	
245856																																						13	487	0	559	10976	0	26	0	1126	28882	24739	327	25716	0	377	0	650	0	3166	250	28882	0	0	1599	0	1150	0	4828	19911	9	1231	0	14332	13955	167	1740	0	0	0	3166	
246022																																						8	10648	0	0	37656	0	2383	0	1284	247075	216885	1043	220331	0	1447	0	403	0	26744	5300	247075	0	0	13945	0	6700	4713	46956	169929	1	1231	0	190772	189325	799	1058	0	2000	0	26744	
246134																																						0	23631	1486	5	78627	0	10629	1417	12482	332257	274013	3405	297418	0	1999	2714	20000	0	34839	50	332257	0	0	20005	0	14903	0	27613	246400	1	1231	0	203265	201266	-119	0	0	0	0	34839	
246237																																						758	1725	12	5734	3	0	218	58	391	22448	18545	218	18763	0	109	503	0	0	3685	216	22448	0	0	497	0	2972	0	2338	16207	1	1231	0	11748	11639	0	1407	0	0	0	3685	
246451																																						3604	2677	0	0	10055	0	1907	998	1608	61374	55949	261	56710	0	575	0	500	0	4664	150	61374	0	0	3290	0	900	0	11888	44061	8	1231	0	41100	40525	324	0	0	0	0	4664	
246657																																						28	7790	0	0	210858	0	12672	0	11115	560895	387668	3469	503013	0	6856	4714	63067	0	57882	4000	560895	0	0	36476	0	13534	0	25021	362647	1	1231	0	320574	313718	3872	0	0	12000	36809	57882	
246947																																						100	1303	0	460	25072	0	1448	0	2850	67386	58305	840	59172	0	444	0	27	0	8214	100	67386	0	0	7493	0	300	0	6678	51627	1	1231	0	33194	32750	321	3403	0	0	0	8214	
246956																																						1377	1547	0	143	39921	0	124	141	5437	178477	138574	291	149465	0	2346	0	6800	0	29012	128	178477	0	0	22281	0	6000	0	27442	111132	2	1231	0	132133	129787	603	0	0	3800	0	29012	
247140																																						1091	3139	0	4819	16841	25	3947	4591	2242	215230	173538	671	189209	0	1479	0	15000	0	26021	500	215230	0	0	20948	0	4500	2437	21491	152047	5	0630	0	176351	174872	73	1226	0	0	0	26021	
247355																																						9950	12387	0	35049	98283	0	12508	5354	4844	600971	482004	1912	511444	0	3721	0	10258	0	89527	500	600971	0	0	52153	0	35591	0	140156	341848	2	1231	-91	424117	420396	1374	2200	0	0	17270	89527	
247449																																						4	1422	0	0	15361	792	543	975	2580	52496	44076	976	47737	0	278	959	2450	0	4760	380	52497	0	0	210	0	3913	0	6582	37494	1	1231	0	27192	26914	257	2946	0	0	235	4760	
247476																																						3748	1181	0	3587	4	0	989	95	1462	52875	40122	316	45038	0	264	0	4600	0	7837	0	52875	0	0	7837	0	0	0	1127	38994	1	1231	0	39372	39108	0	2701	0	0	0	7837	
247551																																						2354	1742	0	200	9844	0	993	1765	1765	89632	74797	457	80174	0	2983	0	4920	0	9458	300	89632	0	0	7086	0	1786	0	13383	61414	4	1231	0	72252	69269	286	1700	0	0	0	9458	
247645																																						72	1249	280	0	20866	0	752	165	1598	77544	64314	294	68608	0	622	2221	4000	0	8936	100	77544	0	0	4062	0	4400	0	11813	52501	2	1231	0	50731	50109	374	232	0	0	0	8936	
247908																																						1	12485	835	0	93710	0	15742	800	40635	822541	672950	16374	753201	0	12483	850	63877	0	69340	0	822541	0	0	66875	0	9000	4638	102653	570297	1	1231	0	656495	644012	-6535	0	8833	0	0	69340	
248147																																						0	1656	0	0	6301	0	968	0	553	28553	22843	353	24202	0	290	0	506	0	4351	95	28553	0	0	3456	0	700	0	2149	20694	3	1231	0	19365	19075	100	0	0	500	0	4351	
248240																																						33784	4630	3851	0	17120	0	14755	3992	14002	565693	489630	5148	518058	0	4584	0	23280	0	47635	901	565693	0	0	28621	0	17910	8711	83533	406097	2	1231	0	468908	464324	203	524	0	0	0	47635	
248352																																						20	2272	0	145	6008	0	151	0	507	26256	21901	81	23616	0	132	0	1367	0	2640	250	26256	0	0	1902	0	750	0	2502	19399	4	1231	0	17285	17153	-262	0	0	267	0	2640	
248455																																						10369	10063	0	0	65568	0	2380	1563	2475	242042	208750	936	221174	0	1144	2057	2112	0	20868	6600	242042	0	0	4479	0	8965	0	29526	179224	8	1231	0	122261	121117	824	26450	0	0	9376	20868	
248633																																						202	2938	0	12452	33447	0	8802	1007	6754	186747	138885	1406	168091	0	1056	0	20000	0	18656	112	186747	0	0	19019	0	1469	0	11390	127495	5	1231	0	122201	121145	-1944	0	0	7800	0	18656	
248745																																						1505	1841	136	16153	9949	0	3189	0	5407	141277	104035	1593	122139	0	1523	0	16083	0	19138	199	141277	0	0	12980	0	5801	0	14704	89331	3	1231	0	104620	103097	158	0	0	428	0	19138	
248950																																						2677	1879	0	0	0	0	2461	15	1344	84393	74708	245	74953	0	787	804	0	0	9440	1000	84393	0	0	764	0	7676	0	22661	52047	1	1231	0	76000	75213	0	0	0	0	0	9440	
248969	54847	3144	0	7524	0	0	27	0	3079	188025	678	158026	0	1273	0	39770	0	29999	10000	188025	0	0	19999	0	0	0	1	0	120677	119404	0	0	0	29999	40381	4352	36029										175543	77197		145541				39770											9463	67734		0930					0	0	0	0		
249153																																						153	1281	0	61187	1201	0	349	495	5031	120731	67526	495	111591	0	465	0	42500	0	9140	441	120731	0	0	2627	0	6049	0	3159	64367	4	1231	0	49437	48972	23	2062	0	1070	0	9140	
249304																																						9093	1751	0	0	11274	0	1744	318	2520	90957	68631	648	85071	0	1407	0	15792	0	5886	219	90957	0	0	2024	0	3527	0	10788	57843	2	1231	0	64770	63363	116	894	0	0	0	5886	
249416																																						137	2398	0	0	30171	0	2942	52	1851	113155	100125	1182	102734	0	496	0	1427	0	10421	300	113155	0	0	8533	0	1631	0	13083	87042	1	1231	0	76100	75604	-43	0	0	0	0	10421	
249546																																						178	2055	339	1462	2843	0	469	482	1703	52622	48085	171	48256	0	414	0	0	0	4367	592	52623	0	0	3156	0	592	702	5289	42796	4	1231	0	42803	42389	27	0	0	0	0	4367	
249555																																						9	4003	0	405	9532	0	1989	410	6329	105469	99830	447	100277	0	4725	0	0	0	5192	400	105469	0	0	3168	0	1400	0	12617	87213	4	1231	0	83733	79008	224	3784	0	0	0	5192	
249564																																						4059	745	0	0	74426	0	334	0	2476	136644	120708	1283	121991	0	231	0	0	0	14653	250	136644	0	0	12073	0	1441	0	24273	96435	2	1231	0	47835	47604	889	7000	0	0	0	14653	
249612																																						1201172	32490	0	2913871	568379	0	26488	2585	93751	6628240	5971221	52095	6024227	2351	5146	3251	911	0	601662	1	6628240	60395	0	613891	0	9270	0	107573	5863648	1	1231	0	1731004	1725858	-21500	0	0	0	0	604013	
249658																																						143	7532	86	0	128804	0	3334	1910	7954	223479	196877	382	217259	0	2905	0	20000	0	6220	177	223479	0	0	7292	0	9621	0	127621	69256	4	1231	0	76621	73716	-10870	0	0	0	0	6220	
249872																																						75275	15500	4013	520195	37269	0	18190	6475	59790	1905358	1511995	14965	1734374	0	15810	25634	201905	0	170984	1700	1905358	0	0	51193	0	118229	522	81579	1430416	2	0630	0	1158305	1142495	-138	0	0	0	5509	170984	
249957																																						10395	528	0	33	7090	0	190	0	1010	36521	27330	114	32590	0	147	0	2100	0	3931	400	36521	0	0	1027	0	2400	0	2281	25049	4	1231	0	15570	15423	104	1852	0	0	3046	3931	
250047																																						1130	3680	0	615	54258	0	776	240	4215	131837	111593	538	121505	0	454	0	5000	0	10332	100	131837	0	0	7989	0	1400	0	10285	101308	4	1231	0	67377	66923	843	0	0	4374	0	10332	
250430																																						482	2860	0	4332	31335	0	3222	160	5459	89541	74071	1634	78705	0	413	0	3000	0	10836	20	89541	0	0	11019	0	480	0	11404	62667	1	1231	0	35254	34841	-683	6850	0	0	0	10836	
250850																																						258	675	0	0	26858	0	373	0	1761	55803	48527	311	50495	0	504	0	1657	0	5308	1000	55803	0	0	2748	0	1000	0	6304	42223	4	1231	0	25984	25480	560	398	0	0	0	5308	
251352																																						10089	9734	87	0	115988	0	3558	0	8947	248859	217182	283	217465	0	1611	1511	0	0	31394	1000	248859	0	0	20105	0	9000	0	46465	170717	4	1231	0	100556	98945	1289	0	0	0	0	31394	
251558																																						28888	3947	688	0	60050	0	5886	233	3295	250917	190739	754	227973	0	1821	0	14021	0	22944	2160	250917	0	0	18179	0	2840	0	43986	146753	6	1231	0	149751	147930	-235	0	0	0	22459	22944	
251745																																						19177	13668	948	34183	100653	0	7233	312	3049	284180	248031	1037	249432	0	2011	0	364	0	34748	1250	284180	0	0	29795	0	2250	698	69193	178838	2	1231	0	99270	97259	1453	7000	0	0	0	34748	
251857																																						4782	6698	0	0	16096	0	223	0	1520	54744	45405	437	47937	0	947	0	0	0	6807	175	54744	0	0	3860	0	2225	0	7617	37788	9	1231	0	26372	25425	547	0	0	0	2095	6807	
252041																																						4846	2944	70	820	24998	0	3281	2192	2530	196184	166417	906	179345	0	1823	842	9896	0	16839	554	196184	0	0	11346	0	4636	1411	24477	141940	4	1231	0	137423	135600	303	16650	0	0	2126	16839	
252256																																						4620	1492	0	0	2080	0	293	0	140	14928	13233	88	13321	0	42	0	0	0	1607	100	14928	0	0	1210	0	244	0	2321	10912	5	1231	0	5664	5622	53	681	0	0	0	1607	
252452																																						0	958	109	0	16349	0	1318	0	570	44642	39243	91	39334	0	355	97	0	0	5308	1	44642	0	0	886	0	4024	0	5931	33312	8	0930	0	22545	22190	397	3051	0	0	0	5308	
252658																																						2282	2949	0	0	17309	0	854	145	2732	73841	59775	262	66830	0	673	0	1292	0	7011	450	73841	0	0	2923	0	3550	0	12942	46832	1	1231	0	48217	47544	88	26	0	2000	3501	7011	
252836																																						41386	7894	0	0	71561	0	895	24543	15741	450476	399201	7918	409870	0	7779	0	2751	0	40606	2591	450476	0	0	33114	0	4668	0	26872	372329	1	1231	0	296215	288436	233	20	0	0	0	40606	
253262																																						1634	6041	0	625	36236	0	8843	1221	5268	220056	203016	472	204454	0	1155	84	0	0	15602	1000	220056	0	0	5821	0	10000	0	36369	166647	4	1231	0	136309	135154	-1219	24950	0	0	966	15602	
253356																																						25702	43692	0	16534	362420	0	32429	2030	9337	905456	792541	6066	832423	0	5207	0	0	0	73033	1500	905456	0	0	69159	0	3500	0	86084	706457	1	1231	0	418065	412858	-1126	454	0	3900	29916	73033	
253440																																						42	5051	301	0	7834	0	6747	1132	3549	192078	175158	718	178876	0	1940	0	0	3000	13202	4000	192078	0	0	4654	0	4250	527	22887	152271	2	1231	0	149205	147265	298	19630	0	0	0	13202	
253468																																						0	40662	0	1198	402794	0	11936	2395	31097	994276	855193	6478	904911	0	28818	0	5707	0	89365	4800	994276	0	0	72437	0	6919	0	170392	684801	2	1231	0	513012	484194	5209	20000	0	0	37533	89365	
253646																																						161	4584	0	0	30844	6	1876	0	4009	121070	103971	1412	111383	0	763	313	6000	0	9687	800	121070	0	0	7183	0	1675	0	16707	87264	5	1231	0	76029	75266	29	4011	0	0	0	9687	
253730																																						1250	5977	0	0	7938	0	3161	809	2913	65959	58587	394	58981	0	403	0	0	0	6978	300	65959	0	0	414	0	6200	0	11502	47085	1	1231	0	44074	43671	64	240	0	0	0	6978	
253776																																						324	326	0	83	2783	0	341	97	632	11429	9530	113	9643	0	90	0	0	0	1786	0	11429	0	0	1795	0	0	0	0	9530	1	0228	0	6933	6843	-9	0	0	0	0	1786	
254317																																						56275	9945	0	680267	24578	0	256	0	17318	835857	742532	2759	745291	0	2445	0	0	0	90566	5000	835857	0	0	4914	0	80000	0	25892	716640	4	1231	0	49663	47218	652	0	0	0	0	90566	
254504																																						168	7620	1624	0	31396	0	6231	0	6090	147915	132103	1722	133825	0	1195	0	0	0	14090	400	147915	0	0	12788	0	400	0	30582	101521	1	1231	0	95981	94786	502	0	0	0	0	14090	
254652																																						9173	2911	51	14170	18693	477	1999	1088	3793	122675	91620	450	113293	0	677	0	20150	0	9382	795	122675	0	0	5172	0	4209	0	12066	79554	1	1209	0	70997	70320	-794	0	0	1073	0	9382	
254670																																						722	94	0	0	14815	0	67	0	530	22722	13735	215	19050	0	7	0	5100	0	3672	0	22722	0	0	3472	0	0	0	16	13719	1	0930	0	6464	6457	200	37	0	0	0	3672	
254849																																						14612	7307	0	0	41346	1994	2474	374	3043	188223	156857	747	173939	61	3255	0	0	0	14223	2281	188223	0	0	1828	0	9772	165	82342	74515	1	1231	0	93060	89805	342	27103	0	0	16335	14284	
255136																																						516	5813	36	0	49443	0	10413	1258	14063	316291	243248	2886	287202	0	2977	1806	41068	0	29089	124	316291	0	0	17217	0	12540	0	34344	208904	2	1231	0	232770	229793	-792	3150	0	0	0	29089	
255350																																						38	2017	20	394	18116	0	3126	575	2556	100852	81488	707	90458	0	1033	0	8263	0	10394	200	100852	0	0	1634	0	8128	0	10161	71327	7	1231	0	73428	72395	432	1615	0	0	0	10394	
255547																																						100	1349	22	0	14585	0	2483	0	644	67497	55128	280	59757	0	669	0	4249	0	7739	270	67496	0	0	6836	0	600	308	5406	49722	4	1231	0	47794	47125	33	881	0	0	100	7739	
255556																																						4522	3625	0	37688	21200	0	3551	0	7311	177473	133397	1702	161104	0	705	0	15000	0	16369	1387	177473	0	0	12392	0	2029	0	30790	102607	5	1231	0	91810	91105	561	8471	0	0	11005	16369	
255574																																						4032	16548	1324	161697	17177	0	34865	303	10339	853233	719023	2369	721392	0	4708	8022	0	0	131841	0	853233	0	0	131791	0	0	7129	689291	29732	1	1231	0	596505	591797	50	0	0	0	0	131841	
255659																																						45	38169	2125	0	407915	0	37118	381	17283	1878362	1522901	6794	1696134	0	22872	27124	78324	0	182228	2996	1878362	0	0	89924	0	84234	12559	99771	1423130	2	0930	0	1315515	1292643	5074	43000	0	0	88115	182228	
255873																																						5357	5266	0	123	12662	0	6209	0	7342	148626	121020	1201	137219	0	1259	0	14998	0	11407	0	148626	0	0	11567	0	0	3468	6300	114720	1	0930	0	109458	108199	-160	0	0	0	0	11407	
256049																																						3	511	0	0	3775	0	83	304	72	8772	7812	104	7916	0	64	0	0	0	855	100	8771	0	0	-121	0	804	0	3134	4678	4	1231	0	3968	3904	72	120	0	0	0	855	
256058																																						0	4121	0	0	73348	0	3844	0	4571	188214	162785	1400	171185	0	1099	0	7000	0	17029	1500	188214	0	0	12287	0	1725	0	20530	142255	1	1231	0	96051	94952	1517	7378	0	0	0	17029	
256179																																						910	1614	0	4505	3782	0	851	809	1247	56692	48984	131	49115	0	650	0	0	0	7577	689	56692	0	0	6103	0	690	0	10660	38324	1	1231	0	37543	36893	95	6081	0	0	0	7577	
256553																																						7580	26181	3441	621	189868	0	38499	498	37052	1568196	1368226	15226	1425710	0	11913	5129	42258	0	142486	10765	1568196	0	0	78918	0	52003	6657	73003	1295224	4	1231	0	1245083	1233170	800	19500	0	0	0	142486	
256964																																						12253	7538	0	0	7613	0	6711	350	2657	241003	204460	1101	217561	0	2084	0	12000	0	23442	1000	241003	0	0	13404	0	9000	0	41063	163397	1	1231	0	190128	188044	38	15837	0	0	0	23442	
257233																																						542	8168	0	0	152048	0	8067	1088	14018	355407	282659	2725	316122	0	1481	0	30738	0	39285	1219	355407	0	0	36968	0	1259	0	30639	252020	4	1231	0	156715	155234	-161	16242	0	0	0	39285	
257345																																						910	10462	0	0	15915	0	5237	268	940	154964	141746	1295	143041	0	979	0	0	0	11923	327	154964	0	0	10341	0	1104	0	21705	120041	4	1231	0	112852	111873	151	9359	0	0	0	11923	
257466																																						0	4525	0	0	52308	0	1292	0	1130	134172	121072	1666	122738	0	481	0	0	0	11434	1500	134172	0	0	8152	0	1500	0	24274	96798	1	1231	0	68348	67867	282	7050	0	0	0	11434	
257653																																						1773	1676	0	0	9730	0	38	0	514	36523	31776	129	31905	0	450	0	0	0	4618	200	36523	0	0	3919	0	300	0	5147	26629	1	1231	0	21742	21292	199	1500	0	0	0	4618	
257756																																						622	1823	0	0	6608	0	1109	49	2492	55998	41420	121	50815	0	707	0	7774	0	5183	400	55998	0	0	3779	0	978	0	10780	30640	4	1231	0	42252	41545	26	1750	0	0	1500	5183	
257868																																						3732	18377	542	17575	195980	0	21909	9052	30125	1066819	816414	2970	941896	0	17439	11662	46000	0	124923	2668	1066819	0	0	47177	0	80863	3545	156321	660093	2	1231	0	740599	723160	-5785	31160	0	0	76512	124923	
258146																																						600	774	0	0	7448	0	178	0	632	31769	27685	193	28678	0	177	167	800	0	3090	270	31768	0	0	2488	0	270	0	4795	22889	8	1231	0	17247	17070	62	4900	0	0	0	3090	
258306																																						1598	9228	632	1658	2046	0	5886	0	16623	356860	274734	4750	321795	0	2946	0	42311	0	35065	0	356860	0	0	33172	0	3888	931	35018	239716	1	1231	0	307732	304786	-1995	13472	0	0	0	35065	
258351																																						16	6758	0	0	13592	219	1259	1206	3443	135164	108966	3219	119668	0	1354	0	7483	0	15496	450	135164	0	0	11974	0	3550	1076	11374	97592	1	1231	0	106349	104995	-478	2600	0	0	0	15496	
258379																																						1325	4497	0	0	9353	0	793	270	6394	87310	75262	3929	79191	0	673	0	0	0	8119	0	87310	0	0	8865	0	0	0	5765	69497	1	0630	0	65351	64678	-746	0	0	0	0	8119	
258445																																						34649	3238	4399	81964	212	0	10186	3255	7410	625624	515876	3924	574074	0	5353	0	25000	0	51550	419	625624	0	0	23895	0	27236	2730	55783	460093	2	1231	0	482934	477581	0	0	0	0	29274	51550	
258539																																						2959	2987	0	0	41317	0	56	0	999	80700	71871	296	72167	0	435	0	0	0	8533	338	80700	0	0	5899	0	1913	0	6304	65567	4	1231	0	32817	32382	383	0	0	0	0	8533	
258632																																						9338	1525	0	0	4430	0	1202	110	887	59377	47783	209	54492	0	372	0	6500	0	4885	200	59377	0	0	1732	0	2900	0	19837	27946	1	1231	0	37907	37535	53	4350	0	0	0	4885	
258771																																						344054	34647	50717	227	137102	2587	8627	37422	79657	3071781	2095988	22217	2833874	0	85459	441	697269	0	237907	10	3071781	0	0	184387	0	51840	67179	60981	2035007	1	1231	0	2394580	2309121	1670	0	0	0	18400	237907	
259031																																						1028085	55149	0	0	1975365	0	32949	499076	214208	7610224	7163779	127529	7291752	0	339272	0	444	0	318472	2327	7610224	0	0	-299121	0	621894	0	202420	6961359	2	1231	0	4144664	3805392	-6628	0	0	0	0	318472	
259059																																						6023	894	1297	0	30865	0	277	0	1291	82121	68789	185	69837	0	423	4332	863	0	12283	500	82120	0	0	315	0	11500	0	11462	57327	3	1231	0	31279	30856	-32	6286	0	0	0	12283	
259330																																						126	13241	0	0	179923	77	9563	30467	26709	676947	495784	11982	598874	-1109	8729	3111	90513	0	79182	25	676947	0	0	67072	0	8816	0	60454	435330	2	1231	0	406364	397635	3269	16095	0	0	595	78073	
259442																																						4327	3527	0	3800	32021	0	4440	756	6974	269392	221316	1973	247226	0	2312	0	23937	0	22166	360	269392	0	0	9333	0	12100	1790	16698	204618	2	1231	0	209772	207460	373	4297	0	0	0	22166	
259518	424157	9911439	2314564	1560	13210966	0	1503391	498066	10559564	146013198	4393448	129668679	254013	2784676	0	12708279	4080006	16090506	7312	146013198	927340	355861	151784	0	15696820	2265838	2	0	96259252	93474576	234590	106924	2656214	16344519	2037787	0	2037787										145310062	103322336		128965542				12708279					927340	355861					17533318	85789018		1231					10814813	106924	114748	2656214		
259657																																						38844	25571	1719	0	108645	0	19473	5479	42903	1093039	738236	9948	983184	0	9521	2677	185000	0	109855	1200	1093039	0	0	19286	0	88826	0	82791	655445	2	1231	0	809154	799633	543	48095	0	0	50000	109855	
259853																																						500	1201	0	9460	686	0	464	570	332	24763	22526	28	22554	0	205	0	0	0	2209	100	24763	0	0	294	0	1800	0	10844	11682	4	1231	0	9960	9755	15	1795	0	0	0	2209	
259956																																						0	2559	373	0	25009	211	1820	942	1540	109514	84729	292	97747	0	885	0	7314	0	11767	500	109514	0	0	6654	0	4500	0	5920	78809	4	1231	0	72945	72060	113	5000	0	0	5412	11767	
260055																																						62731	104629	2585	334777	108	243	86361	17570	61516	2793112	2401653	19338	2474450	1388	20676	17631	14222	0	317274	4410	2793112	0	0	215379	0	97485	6815	426065	1975587	2	1231	0	2079792	2059116	0	39030	0	0	39237	318662	
260354																																						8019	1684	0	0	44121	0	259	0	1159	94105	81613	895	82597	0	1155	0	89	0	11508	1000	94105	0	0	7117	0	2600	0	10589	71024	4	1231	0	39868	38713	791	150	0	0	0	11508	
260831																																						120	5135	0	190	14540	0	1439	1943	1346	47095	42627	367	43494	0	1174	0	500	0	3601	200	47095	0	0	-589	0	4329	0	7322	35305	1	1231	0	23556	22382	-339	0	0	0	0	3601	
260868																																						17188	1371	900	488	443	0	3967	698	1562	67289	55292	222	55514	0	376	1945	0	0	11775	240	67289	0	0	-707	0	12246	0	7958	47334	1	1231	0	33103	32727	-4	6000	0	0	0	11775	
261070																																						4078	5116	21	0	14395	0	5714	1337	5738	156930	126411	1040	141951	0	2063	224	14500	0	14979	1500	156930	0	0	1700	0	11776	1736	16197	110214	1	1231	0	120634	118571	3	0	0	0	0	14979	
261146																																						17	1888	0	0	28884	0	2260	8	2468	119655	92941	507	109784	0	814	0	16336	0	9871	100	119655	0	0	3249	0	6600	2704	9092	83849	2	1231	0	81065	80251	-78	1175	0	0	0	9871	
261258																																						39	4356	0	36640	0	0	1222	2125	1952	154135	120177	662	125839	0	1927	0	5000	0	28296	1200	154135	0	0	22796	0	4300	0	29640	90537	2	1231	0	102728	100801	0	7000	0	0	0	28296	
261360																																						0	10286	0	2687	90552	0	7592	42	6810	293708	266494	2086	268580	0	1205	0	0	0	25128	1000	293708	0	0	17298	0	6000	0	14883	251611	2	1231	0	161394	160189	830	15550	0	0	0	25128	
261940																																						7469	6938	0	34161	25506	303	6037	5958	11751	344244	286419	2190	311022	0	3248	650	22413	0	33222	300	344244	0	0	32015	0	850	0	25323	261096	2	1231	0	239974	236726	57	8745	0	0	0	33222	
262059																																						32637	3927	0	0	77722	0	10586	1486	10999	288894	256841	2395	259236	0	4683	0	0	0	29658	1000	288894	0	0	25582	0	2000	0	41382	215459	4	1208	0	156220	151537	1076	0	0	0	0	29658	
262237																																						4263	7158	0	0	30486	0	1777	0	3048	120819	95102	1964	105937	0	916	0	8871	0	14882	756	120819	0	0	5110	0	9244	0	12719	82383	1	1231	0	75003	74087	-228	0	0	0	0	14882	
262358																																						0	8980	0	24592	29546	0	5516	9	3767	201391	162262	659	181421	0	1136	2052	18500	0	19970	400	201391	0	0	11698	0	7600	0	37716	124546	9	1231	0	119575	118439	272	8490	0	0	0	19970	
262451																																						1196	1793	0	0	32415	0	2501	885	2996	156537	123822	1124	142100	0	1355	0	9546	0	14437	625	156537	0	0	8561	0	4705	636	11928	111894	4	1231	0	109344	107989	546	6126	0	0	7608	14437	
262741																																						63	2966	0	13617	9257	0	2657	36	6057	135483	107984	687	121302	0	1238	0	12631	0	14181	425	135483	0	0	7089	0	6575	0	11846	96139	2	1231	0	98695	97457	92	3373	0	0	0	14181	
262844																																						265	4230	54	0	32192	0	3999	0	12468	338503	267361	1846	305720	0	4389	0	28188	0	32783	750	338503	0	0	27693	0	4250	0	36937	230424	3	1231	0	287388	282999	90	2296	0	0	8325	32783	
262956																																						35	1789	324	285	26032	206	1332	647	5975	112780	84685	1272	99862	0	812	100	13305	0	12919	300	112781	0	0	9153	0	3300	0	9728	74957	1	1231	0	76867	76055	166	0	0	600	0	12919	
263243																																						28	8104	2282	7734	31270	0	10205	199	5965	353037	285733	2765	319784	0	3396	731	28282	0	33253	90	353037	0	0	5695	0	26301	0	44982	240751	2	1231	0	286940	283544	1167	2975	0	0	3004	33253	
263551																																						4895	1017	0	500	1997	0	592	260	660	27692	24081	159	24240	0	732	0	0	0	3452	843	27692	0	0	800	0	1783	0	5073	19008	1	1231	0	15925	15193	26	2578	0	0	0	3452	
263627																																						14482	2411	0	17904	0	0	1570	196	10164	140741	124455	1656	126111	0	674	0	0	0	14630	2500	140741	0	0	9630	0	2500	0	28408	96047	1	1231	0	87224	86550	0	7464	0	0	0	14630	
264156																																						340	1067	0	7409	719	0	205	0	170	17489	15949	48	15997	0	55	0	0	0	1492	100	17489	0	0	1080	0	300	0	1764	14185	4	1231	0	6804	6749	12	830	0	0	0	1492	
264455																																						1243	9202	543	0	118264	1007	5939	514	3134	338688	298052	2246	301255	0	1950	0	213	0	37433	4000	338688	0	0	15499	0	16000	0	66794	231258	4	1231	0	198922	196972	1934	1870	0	0	744	37433	
264558																																						10	11268	0	39707	5996	0	4198	196	7919	337424	301231	6899	315072	0	7655	1596	163	0	22352	1200	337424	0	0	4938	0	17691	1169	57026	244205	1	1231	0	273020	265365	-1477	0	0	0	6779	22352	
264941																																						592	11587	954	0	22608	0	5023	2777	5940	336929	275673	2497	324152	0	12327	0	44153	0	12777	469	336929	0	0	-1294	0	12931	1268	28094	247579	1	1231	0	298441	286114	671	66	0	0	1829	12777	
265340																																						80	1811	0	289	51971	0	2148	0	2027	143038	117242	438	120680	0	682	0	3000	0	22358	180	143038	0	0	20973	0	772	0	11129	106113	1	1231	0	81528	80846	433	3866	0	0	0	22358	
