"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
1418255																																						3978	863	0	25	47	0	72	0	636	61105	49506	361	53867	0	1598	0	4000	0	7238	2000	61105	0	0	2688	0	2550	0	390	49116	2	1231	0	50582	48984	0	6500	0	0	0	7238	
1421040																																						127	7617	0	0	20175	0	5072	1522	5249	240843	211167	920	219111	0	2789	0	7000	0	21732	1875	240843	0	0	17030	0	1875	0	5957	205210	2	1231	0	203870	201081	952	0	0	0	24	21732	
1421095																																						285	1174	933	1013	49361	0	232	0	11618	890481	674378	1903	801281	0	8965	6370	125000	0	89200	1250	890481	0	0	35914	0	51891	0	30	674348	1	1231	0	729746	720781	145	98714	0	0	0	89200	
1421161																																						80893	24592	752	0	48815	0	17633	13351	23080	842283	638156	4725	756694	0	24836	0	88623	0	85589	1290	842283	0	0	20135	0	64019	6763	41605	596551	2	1231	0	635240	610404	145	16000	0	0	25190	85589	
1422980																																						0	280826	0	86023	0	0	2644	0	48142	533406	0	62073	62073	0	0	115771	0	0	471333	425	533406	0	0	448504	0	22404	0	0	0	1	1231	0	0	0	0	0	0	0	0	471333	
1427770																																						5941	882	0	0	5526	0	133	0	170	20236	18299	124	18423	0	69	0	0	0	1813	200	20236	0	0	442	0	1100	0	4386	13913	4	1231	0	7053	6984	71	600	0	0	0	1813	
1429028																																						250	1095	0	0	14732	0	295	70	793	37420	32517	56	32573	0	228	0	0	0	4847	1000	37420	0	0	819	0	2690	0	7426	25091	1	1231	0	18663	18435	338	1750	0	0	0	4847	
1434826																																						21002	9924	0	0	104661	0	9568	0	12149	469582	368995	7042	430333	0	5159	0	40000	0	39249	2500	469582	0	0	14453	0	22458	1565	13682	355313	1	1231	0	269154	263995	-162	46718	0	0	14296	39249	
1435092																																						13120	1719	0	700	40200	0	701	0	832	85679	75583	148	75731	0	600	0	0	0	9948	1000	85679	0	0	4616	0	3350	0	16855	58728	1	1231	0	27007	26407	982	2000	0	0	0	9948	
1436071																																						3043	8284	0	0	62159	455	7517	670	2608	185047	147481	1506	157963	0	1648	0	5000	0	27084	907	185047	0	0	23244	0	2589	0	35346	112136	4	1231	0	101959	100311	344	0	0	0	3976	27084	
1436204																																						15	19571	0	26978	76369	0	8032	0	32558	1074793	860764	11025	975889	0	10289	0	86800	5000	98904	83283	1074793	0	0	14901	0	0	0	219771	640993	1	1231	0	921559	911270	720	0	0	12300	0	98904	
1436473																																						3848	2184	0	0	1437	0	1678	0	5594	243724	165796	898	224694	0	2484	0	55500	0	19030	1800	243724	0	0	7443	0	9789	0	13800	151996	1	1231	0	230484	228000	-2	983	0	2500	0	19030	
1438589																																						57701	46398	26289	266991	120942	0	31566	0	89203	2492145	1784913	59397	1990872	0	9370	225966	146562	0	501273	5329	2492145	0	0	15476	0	480003	0	373393	1411520	2	1231	0	1636343	1626973	465	116	0	0	0	501273	
1439054																																						61	1676	0	0	15708	0	41	0	1207	46611	35625	69	38994	0	303	0	3300	0	7617	1107	46611	0	0	2651	0	3873	0	3969	31656	1	1231	0	28221	27918	-14	0	0	0	0	7617	
1439456																																						9866	3881	0	0	18630	0	6812	5368	11976	351803	278200	2408	310608	0	5544	0	30000	0	41195	1750	351803	0	0	31563	0	7840	1555	44470	233730	2	1231	0	280459	274915	42	18800	0	0	0	41195	
1440117																																						4011	6988	0	11199	160871	0	8677	792	15963	478644	425742	5013	440255	0	5470	0	9500	0	38389	3824	478644	0	0	28520	0	5758	0	46365	379377	2	1231	0	275613	270143	287	0	0	0	0	38389	
1441600																																						11	7467	45	0	16770	0	10357	583	9470	332618	183310	1855	291435	0	5857	1752	69095	0	41183	816	332618	0	0	2856	0	37445	3059	48812	134498	1	1231	0	288961	283104	66	0	0	34210	2965	41183	
1442661																																						110	3168	0	3500	0	0	4738	0	5961	167951	138993	1063	147998	0	1056	0	4000	0	19953	789	167951	0	0	6132	0	13032	0	27974	111019	1	1231	0	148587	147531	0	2943	0	0	3942	19953	
1443266																																						510458	274597	0	0	0	0	0	0	1008521	28137103	500	184690	26525530	0	211491	0	10620000	0	1611573	22200	28137103	0	0	485347	0	1104026	0	0	500	2	1231	0	26529799	26318308	0	25219	0	15720340	0	1611573	
1444021	28470	74	0	709	466176	0	159448	0	647229	1484057	641967	781970	0	0	80542	140000	0	702087	1500	1484057	101409	0	429022	0	310552	0	1	-17850	0	0	-21137	0	0	702087	0	0	0										1484057	3		781968				140000					101409	0					3	0		1231					0	0	0	0		
1444580																																						514	2976	0	130770	4983	0	657	4081	6418	364543	226362	1733	332954	0	1632	0	104850	0	31589	27959	364543	0	9	-3368	0	11498	0	15768	210594	2	1231	0	196296	194664	-4500	71	19409	0	0	31589	
1445121																																						14898	13117	1145	3410	7151	0	10116	563	10247	288145	220214	1533	256747	0	2726	2280	35000	0	31398	2740	288145	0	0	2671	0	25911	37052	61425	158789	1	1231	0	190892	188166	76	0	0	0	0	31398	
1445943																																						1659	23379	3518	0	352180	0	28155	10000	32889	1418103	1160049	7225	1281290	0	15633	13553	65768	0	136813	3250	1418103	0	0	74673	0	67415	752	134340	1025709	2	1231	0	908242	892609	-8525	59409	0	0	48248	136813	
1447639																																						13352	15030	500	65049	125647	0	11280	1512	7445	758262	661526	3934	694785	0	3620	658	29325	0	63477	7110	758262	0	0	16150	0	36890	0	157560	503966	2	1231	0	521409	517789	3327	0	0	0	0	63477	
1450620																																						7562	10856	0	26367	79114	0	4905	2284	24384	660297	531072	8551	603121	0	20975	0	56619	0	57176	11922	660297	0	0	31156	0	14308	0	28432	502640	2	1231	0	525800	504825	-210	0	0	0	6879	57176	
1451636																																						49968	509	0	0	95065	0	677	0	8498	237689	174140	1570	210120	0	1100	449	34410	0	27569	50	237689	0	0	1127	0	25941	0	173311	829	2	1231	0	36138	35038	451	47485	0	0	0	27569	
1456501																																						30007000	11000	0	0	0	0	0	0	1314000	66238000	54102000	1359000	60245000	0	59000	0	382000	1500000	5993000	0	66238000	11673000	5000	75000	0	5918000	9304000	0	54102000	1	1231	0	4034000	3975000	0	154000	9800000	2897000	0	5993000	
1457003																																						359	28552	2274	38808	182	0	46864	9362	49070	1495580	1239943	12681	1252661	0	25659	70437	37	0	242919	5042	1495580	0	0	29438	0	208411	1769	234078	1005865	1	1231	0	1237517	1211858	28	36045	0	0	0	242919	
1458608																																						72229	13606	0	0	69179	0	31835	8761	13865	964951	800250	7160	903203	462	9173	0	95793	0	61286	1017	964951	0	0	45230	625	13386	33361	81789	718461	1	1231	-28	729837	720664	1056	1451	0	0	0	61748	
1459034																																						278	39000	2320	35219	123974	2205	18509	1259	37685	1313851	1100763	9509	1162765	0	10753	15209	6237	20000	151086	1166	1313851	0	0	45103	0	103779	5601	164261	936502	2	1231	0	1026845	1016092	1038	16500	0	0	26256	151086	
1459575																																						0	40	0	0	7657	0	77	0	2417	12582	0	5009	5009	0	0	0	0	0	7573	3139	12582	0	0	-3563	0	9044	0	0	0	2	1231	0	0	0	-1047	0	2391	0	0	7573	
1459717																																						426	7207	400	0	62559	0	13326	1642	6598	594566	519042	2804	546493	0	4100	1709	15000	0	48073	1000	594566	0	0	34227	0	12375	2666	35376	483666	2	1231	0	468968	464868	471	33165	0	0	9647	48073	
1459735																																						239	15763	0	1155	10595	938	6402	474	18784	425900	335684	8478	389162	0	3067	0	45000	0	36738	2366	425900	0	0	26136	0	8178	0	34258	301426	2	1231	0	352903	349836	58	21714	0	0	0	36738	
1459799																																						5	4160	0	0	12124	0	1261	264	3335	79194	62346	455	69301	0	913	0	6500	0	9893	1503	79194	0	0	4733	0	3540	990	12784	49562	2	1231	0	57968	57055	117	0	0	0	0	9893	
1462986																																						0	2166	0	0	17219	0	1154	0	512	46723	38673	228	38901	0	645	0	0	0	7822	3000	46723	0	0	2064	0	2550	0	3258	35415	1	1231	0	21317	20672	208	5000	0	0	0	7822	
1464122																																						0	35173	2777	109564	678685	0	38065	2658	77025	2904537	2249869	66238	2641687	0	26128	33763	289	0	262850	500	2904537	0	0	149307	0	110396	14769	443818	1806051	2	1231	0	1938186	1912058	2647	0	0	143100	182191	262850	
1466489																																						6183	14249	0	0	47250	0	3363	4035	15686	669671	569263	2266	613643	0	9520	0	25167	0	56028	2500	669671	0	0	35895	0	16000	0	20105	549158	2	1231	0	587860	578340	1633	565	0	473	16474	56028	
1469677																																						38	8589	0	0	33001	0	7917	1378	4918	355578	301474	2827	324660	0	3179	0	16000	0	30918	2000	355578	0	0	15832	0	13000	0	34299	267175	1	1231	0	298098	294919	86	4818	0	0	4359	30918	
1470150																																						647	2689	0	0	6903	0	595	458	889	73973	58695	427	64903	0	820	0	4000	0	9070	1445	73973	0	0	4350	0	3176	217	7130	51565	2	1231	0	61096	60276	99	1299	0	0	1781	9070	
1471577																																						5099	9514	327	0	4170	0	4961	2064	5826	423496	367315	1651	368966	0	5680	12226	0	0	54530	8185	423496	0	0	5329	0	40976	0	129952	237363	2	1231	0	363799	358119	40	21190	0	0	0	54530	
1473496																																						29041	967	265	0	404	0	2789	2015	4850	121979	107900	1004	112904	0	3602	1321	4000	0	9075	2425	121979	0	0	-1992	0	8636	271	5409	102491	2	1231	0	83658	80056	6	0	0	0	0	9075	
1474309																																						9821	3120	0	560	18235	0	3057	2035	1407	93865	85338	752	86090	0	863	0	0	0	7775	100	93865	0	0	2902	0	4900	0	10007	75331	2	1231	0	56468	55605	-127	25	0	0	0	7775	
1478222																																						129597	17176	0	0	4228	0	11569	23869	37095	1287023	1110866	4760	1184870	0	32662	2874	69244	0	102153	1875	1287023	0	0	-5976	0	108671	3146	117992	992874	2	1231	0	1090131	1057469	-2417	0	0	0	0	102153	
1478231																																						946	4535	0	0	879	0	2326	0	4300	122740	97322	1292	112266	0	934	0	13652	0	10474	1300	122740	282	0	3874	0	5300	0	10922	86400	8	1231	0	110309	109375	0	97	0	0	0	10474	
1478307																																						2577	544	0	148	1557	0	903	602	1612	24709	20426	198	23424	0	203	0	2800	0	1285	2015	24709	0	0	-2424	325	1370	0	2118	18308	1	1231	0	16969	16766	-1	0	0	0	0	1285	
1479470																																						47	4030	0	115	41102	0	4793	626	9673	253455	193207	3632	235660	0	4395	0	29297	0	17795	7323	253455	0	0	7274	0	3559	180	29783	163424	1	1231	0	196125	191730	-361	1159	0	0	9524	17795	
1479676																																						1955	1478	0	0	4566	0	1596	0	4522	153693	127529	1105	132634	0	3248	0	4000	0	21059	7030	153693	0	0	2078	0	11915	3	8959	118570	1	1231	0	141046	137798	36	1775	0	0	0	21059	
1480207																																						0	112	0	0	2119	0	68	0	557	2856	0	1112	1112	0	0	0	0	0	1744	450	2856	0	0	1288	0	0	0	0	0	2	1231	0	0	0	6	0	0	0	0	1744	
1481745																																						400	5915	256	4020	22218	0	4740	10389	1352	203347	181200	1663	187863	0	4060	0	5000	0	15484	1233	203347	0	0	3448	0	10789	1	18229	162971	4	1231	0	150116	146056	14	8000	0	0	0	15484	
1481754																																						3000	7225	0	535	9310	0	6021	5001	1483	161654	138451	1533	148984	0	2896	0	9000	0	12670	1400	161654	0	0	3584	0	7675	4	6204	132247	4	1231	0	122021	119125	11	9950	0	0	0	12670	
1484595																																						490	16593	4133	1576	229876	0	17197	1770	25547	1311690	1050941	8272	1149138	0	13808	70266	63120	6000	162552	14277	1311690	0	0	34893	0	114773	655	147618	903323	2	1231	0	934472	920664	-1391	22923	0	0	20805	162552	
1492817																																						70	1524	0	0	40573	0	1824	0	655	72969	65849	307	66413	0	503	0	0	0	6556	150	72969	0	0	4814	0	550	0	9641	56208	5	1231	0	19479	18976	1042	9347	0	0	257	6556	
1494240	921070	431370	184035	0	3993693	13826	396971	64990	1865697	29823982	308195	26366097	0	548551	840548	3280945	500000	3457885	173367	29823982	65805	69550	-1949150	0	5577728	361878	2	0	21232650	20684099	-344060	0	895086	3457885	1861727	0	1861727										29823982	19445108		26366097				3280945					65805	69550					527732	18917376		1231					0	0	5486	895086		
1494482																																						3641	4165	0	442	0	0	115	0	2432	50118	44190	124	46314	0	500	0	0	0	3804	247	50118	0	0	1359	0	2198	0	13086	31104	1	1231	0	39258	38758	0	565	0	2000	0	3804	
1494914																																						0	10951	1593	7724	62359	0	11247	3548	17075	945480	809906	20981	830887	0	14217	16702	0	0	114593	63000	945480	0	0	14504	0	36823	0	106011	703896	1	0331	0	797698	783481	266	30800	0	0	0	114593	
1496150																																						1181	282	0	125	0	0	2413	0	1165	5166	0	641	641	0	0	0	0	0	4525	238	5166	0	0	494	0	3793	0	0	0	1	1231	0	0	0	0	0	0	0	0	4525	
1516348																																						165	564	0	0	6056	0	154	0	617	39299	33530	196	35767	0	343	0	2041	0	3532	200	39299	0	0	581	0	2600	0	2669	30861	4	1231	0	30386	30043	151	1700	0	0	0	3532	
1516423																																						5666	3500	0	7327	3725	0	3128	3790	14472	428891	314414	812	378226	0	12406	0	63000	0	50665	2044	428891	0	0	46428	0	2468	0	4931	309483	1	1208	-138	369689	357283	-137	30000	0	0	0	50665	
1629903																																						7218	198	0	0	999	0	2	0	7232	15649	0	3667	3667	0	0	0	0	0	11982	300	15649	0	0	-2205	0	13885	0	0	0	2	1231	0	0	0	2	0	0	0	0	11982	
1718188																																						60345	24236	1712	10649	125496	11507	29551	13737	34665	988928	846360	9747	872701	30	13364	7525	16594	0	116197	6107	988928	0	0	55736	0	53435	4160	241283	605077	2	1231	0	678709	665345	919	0	0	0	0	116227	
1819366																																						103	8422	2275	17708	31875	0	8874	1363	11639	392967	343608	1372	360980	0	8380	0	0	0	31987	9575	392967	0	0	-13830	0	36021	0	34722	308886	2	1231	0	302761	294381	221	16327	0	0	16000	31987	
