"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG167	RCONG168	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	AMT NONINT ACTS GE 250K	NBR NONINT ACT GE 250K	PB/PSA FDIC CERTIFICATE NUMBER	
2333298								0	9674		788	2	165696		260217	840	436375	0			19088	30		
2337335								0	0		0	0	0		0	0	0	0			0	0		
2339535								0	19687		960	3	157758		155848	701	334252	0			9241	14		
2339599								0	3261		836	1	66990		113352	354	184439	0			9631	15		
2339795								0	56317		3649	13	321117		486413	2101	867496	0			39653	51		
2339900								0	17059		0	0	119721		73292	408	210072	0			4090	9		
2339964								0	2938		0	0	49960		27839	101	80737	0						
2340205								0	4934		254	1	96969		73756	351	175913	0	167249	0	3048	7		
2342160								0	6551		270	1	102393		272447	410	381661	0	362328	0	5146	9		
2343167								0	1974		620	2	40768		48051	148	91413	0			7263	6		
2344753								0	9070		528	2	73550		216723	395	299871	0			1043	2		
2347044								0	7208		250	1	101473		46164	200	155095	0			2439	6		
2349301								0	4043		422	1	131218		188953	990	324636	0	305517	0	52654	72		
2349459								0	4714		1510	5	59317		48303	193	113844	0			5944	9		
2352235								0	38396		2007	5	389915		279632	1379	709950	0			21723	40		
2352507								0	1323		0	0	145413		111124	575	257860	0			7618	10		
2353595							515994	0	98139		6610	17	1074781		407997	2019	1587527	0	1678086	0	0	0		
2354314								0	5410		0	0	130130		103169	408	238709	0			0	0		
2354323								0	6154		715	2	80845		48537	224	136251	0			11219	8		
2354387								0	11792		866	3	133865		171263	523	319367	1581			12353	15		
2354985								0	11587		0	0	152165		66062	330	229814	0			3011	7		
