"IDRSSD"	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADB516	RIADB517	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	
	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	CHARGE-OFFS ON: OTHER INDIV LOANS	RECOVERIES ON: OTHER INDIV LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	
5135	0	0	0	0	0	0	0	0	6	0		0	0	0	34	0	0	10		0	0		0	0	0		0	0	0	0	0	0			0	0	22	6	0	0	0	2			0	0	0	0	0	0	0	0	0	0		
5210	0	0	0	0	0	0	0	0	161	160		0	0	0	44	12	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	32	1	0	0	0	0			0	0	0	0	0	0	0	0	0	0		
5331	0	0	0	0	0	0	0	0	15	15		0	0	0	0	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		
5461	0	0	0	0	0	0	0	0	3	3		0	0	0	116	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	12	0	0	0	0	0			104	0	0	0	0	0	0	0	0	0		
5751	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0				
6039	0	0	0	0	0	0	0	0	1	0			0	0	335	1	0	0											0	0	0	0			0	0	35	1	0	0	0	0			0	0	0	0	0	0	299	0				
6141	0	0	0	0	0	0	0	0	1	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	1	0	0	0	0			0	0	0	0	0	0	0	0				
6329	0	0	0	0	0	0	0	0	132	5		0	0	0	2474	669	0	0		0	0		0	0	0		0	0	0	0	155	0			51	3	554	120	1	1	537	0			57	0	96	2	125	0	230	0	0	0		
6972	0	0	0	0	0	0	0	0	63	33		0	0	0	12818	1650	0	0		0	0		0	0	0		0	0	0	0	300	0			0	0	39	0	0	0	0	0			4716	0	6113	0	0	0	0	30	0	0		
7009	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		
7045	0	0	0	0	0	0	0	0	10	0			0	0	60	0	0	0						0				0	0	0	0	0			0	0	60	10	0	0	0	0			0	0	0	0	0	0	0	0				
7157	0	0	0	0	0	0	0	0	0	0			0	0	11	0	0	0						0				0	0	0	0	0			0	0	11	0	0	0	0	0			0	0	0	0	0	0	0	0				
7456	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0				
7634	0	0	0	0	0	0	0	0	5	0			0	0	99	29	0	0											0	0	0	0			0	0	30	5	0	0	0	0			40	0	0	0	0	0	0	0				
8033	0	0	0	0	0	0	0	0	4	1			0	3	6	0	0	1						0				2	0	0	0	0			0	0	1	0	0	0	4	0			0	0	0	0	0	0	0	0				
8462	0	0	0	0	0	0	0	0	26	13			0	1	40	18	0	0						0				1	0	0	0	0			0	0	22	12	0	0	0	0			0	0	0	0	0	0	0	0				
8631	0	0	0	0	0	0	0	0	2	0			0	0	6	0	0	0											0	0	0	0			0	0	6	2	0	0	0	0			0	0	0	0	0	0	0	0				
9357	0	0	0	0	0	0	0	0	5	5		0	0	0	92	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0	92	0			0	0	0	0	0	0	0	0	0	0		
9553	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0				
9807	0	0	0	0	0	0	0	0	36	36		0	0	0	12302	20	0	0		0	0		0	0	0		0	0	0	0	127	0			0	0	1	0	0	0	0	0			130	0	11365	0	0	0	659	0	0	0		
9955	0	0	0	0	0	0	0	0	1	0			0	0	1	0	0	0						0				0	0	0	0	0			0	0	1	1	0	0	0	0			0	0	0	0	0	0	0	0				
10157	0	0	0	0	89	4	0	0	7	0			0	0	665	413	0	0						0				0	413	0	0	0			0	0	3	3	0	0	0	0			0	0	0	0	160	0	0	0				
10250	0	0	0	0	0	0	0	0	24	0		0	0	11	673	308	0	32		0	0		0	0	0		0	0	0	0	50	0			5	0	46	10	0	1	25	112			35	2	1	0	0	0	59	0	0	0		
10849	0	0	217	0	0	0	0	0	0	0		0	0	0	851	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	0	0	0	0			0	0	634	0	0	0	0	0	0	0		
10858	0	0	0	0	0	0	0	0	36	0		0	0	15	1266	291	0	37		0	0		0	0	0		0	0	0	0	0	0			925	0	13	21	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0		
11145	0	0	0	0	0	0	0	0	9	0			0	0	238	135	0	0											0	0	0	0			0	0	29	4	5	0	74	0			0	0	0	0	0	0	0	0				
11640	0	0	0	0	0	0	0	0	37	8		0	0	27	170	0	0	71		0	0		0	0	0		0	1	0	0	0	0			0	0	10	1	1	0	0	0			89	0	0	0	0	0	0	0	0	0		
11837	0	0	0	0	0	0	0	0	3	0			0	0	259	205	0	0											0	0	0	0			2	0	9	3	0	0	0	0			0	0	43	0	0	0	0	0				
12030	158	7	0	0	0	0	0	0	928	154		0	0	144	991	40	0	165		0	0		0	0	0		0	0	0	0	0	0			0	0	0	0	128	1	67	0			0	33	494	372	67	72	0	17	0	0		
12142	0	0	0	0	0	0	0	0	33	0			0	27	85	20	0	36											0	0	0	0			5	3	24	3	0	0	0	0			0	0	0	0	0	0	0	0				
12245	0	0	0	0	0	0	0	0	2	0			0	0	5	0	0	0											0	0	0	0			5	2	0	0	0	0	0	0			0	0	0	0	0	0	0	0				
12311	66	2	7475	64	9068	1200	0	0	11320	1645	1645	0	0	1223	343033	80630	0	124668	80630	0	0	0	0	24	0	0	0	0	22194	42	12363	542	0	0	0	0	24858	5188	327	248	21298	6611		5271	9295	187	15165	84	7454	184	24058	426	3797	711	489	
12647	0	0	0	0	0	0	0	0	0	0			0	0	3	0	0	0						0				0	0	0	0	0			3	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0				
12656	0	0	0	0	0	0	0	0	1	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	1	0	0	0	0			0	0	0	0	0	0	0	0				
12937	0	0	0	0	0	0	0	0	1	0			0	0	16	0	0	0											0	0	0	0			0	0	16	1	0	0	0	0			0	0	0	0	0	0	0	0				
12946	0	0	0	0	0	0	0	0	44	2		0	0	0	464	10	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	107	31	11	0	76	0			250	0	0	0	21	0	0	0	0	0		
12955	0	0	0	0	0	0	0	0	6	5			0	0	26	0	0	0											0	0	0	0			0	0	0	1	0	0	0	0			0	0	26	0	0	0	0	0				
13037	0	0	0	0	0	0	0	0	7	3			0	0	24	21	0	0											0	0	0	0			0	0	3	4	0	0	0	0			0	0	0	0	0	0	0	0				
13103	0	0	0	0	0	0	0	0	11	2		0	0	0	240	49	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	191	9	0	0	0	0			0	0	0	0	0	0	0	0	0	0		
13251	0	0	0	0	0	0	0	0	9	0			0	1	11	0	0	0						0				1	0	0	0	0			0	0	0	6	2	0	11	0			0	0	0	0	0	0	0	0				
13457	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0						0				0	0	0	0	0			0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0				
14052	0	0	0	0	0	0	0	0	29	4			0	0	11	11	0	0											0	0	0	0			0	0	0	0	25	0	0	0			0	0	0	0	0	0	0	0				
14155	0	0	0	0	0	0	0	0	98	5			0	14	245	104	0	6						0				9	0	0	0	0			0	0	19	28	1	0	94	0			0	50	0	0	0	0	22	0				
