"IDRSSD"	RCON9999	RSSD9017	RSSD9050	RSSD9130	RSSD9200	RSSD9220	
	MICR9999REPORT DATE	NM_LGL	ID_FDIC_CERT	CITY	STATE_ABBR_NM	ZIP CODE	
285740	20090331	The Paducah Bank and Trust Company	16664	Paducah	KY	42002	
285759	20090331	OKLAHOMA STATE BANK	15611	VINITA	OK	74301	
285777	20090331	NOKOMIS SAVINGS BANK	29532	NOKOMIS	IL	620751657	
285852	20090331	FIRST OPTION BANK	4746	OSAWATOMIE	KS	66064	
285928	20090331	THE PEOPLES BANK	16968	IVA	SC	296550297	
286251	20090331	Bank of Vici	420	Vici	OK	738590727	
286457	20090331	Park State Bank	8851	Duluth	MN	55808	
286840	20090331	State Savings Bank	8513	Rake	IA	504650139	
287007	20090331	PUTNAM COUNTY NATIONAL BANK	6990	CARMEL	NY	10512	
287342	20090331	Readlyn Savings Bank	9300	Readlyn	IA	50668	
287351	20090331	Community Bank of the Red River Valley	19180	East Grand Forks	MN	56721	
287539	20090331	Chicago Community Bank	14267	Chicago	IL	606091490	
287650	20090331	FARMERS STATE BANK	1123	FAITH	SD	57626	
287856	20090331	THE AMERICAN BANK	2312	WAGONER	OK	74477	
287922	20090331	The Peoples Savings Bank	9439	New Matamoras	OH	45767	
287959	20090331	Kansas State Bank	10505	Ottawa	KS	66067	
288152	20090331	FIRST NATIONAL BANK OF FREDERICK	3985	FREDERICK	SD	57441	
288358	20090331	The First National Bank & Trust Co.	4218	Vinita	OK	74301	
288376	20090331	PINNACLE BANK	29548	JASPER	AL	35502	
288853	20090331	FIRSTBANK OF COLORADO	18714	LAKEWOOD	CO	80215	
289056	20090331	FIRST NATIONAL BANK OF NORWAY	13784	NORWAY	MI	49870	
289225	20090331	THE UNION BANKING COMPANY	15326	WEST MANSFIELD	OH	43358	
289449	20090331	Farmers Savings Bank	09297	Remsen	IA	51050	
289515	20090331	Farmers & Merchants Trust Company of Chambersburg	8405	Chambersburg	PA	17201	
289702	20090331	Norway Savings Bank	17658	Norway	ME	4268	
289739	20090331	GUARANTY BANK & TRUST CO.	17767	NEW ROADS	LA	707600010	
289757	20090331	Merchants State Bank	01125	Freeman	SD	57029	
290052	20090331	Empire Bank	17633	Springfield	MO	65804	
290230	20090331	The First National Bank of Manchester	4951	Manchester	TN	37355	
290249	20090331	WAUKESHA STATE BANK	16160	WAUKESHA	WI	53188	
290838	20090331	The Citizens Bank of Valley Head	15270	Valley Head	AL	35989	
290922	20090331	THE NATIONAL BANK OF ADAMS COUNTY	6728	WEST UNION	OH	45693	
291059	20090331	Bank of Hydro	10674	Hydro	OK	73048	
291152	20090331	FirstBank of Lakewood	23470	Lakewood	CO	80226	
291273	20090331	Geauga Savings Bank	32287	Newbury	OH	44065	
291330	20090331	FIRST BANK	1744	WADLEY	AL	36276	
291611	20090331	HAMLIN BANK AND TRUST COMPANY	11113	SMETHPORT	PA	16749	
291732	20090331	Farmers & Merchants	1745	Waterloo	AL	356770128	
292234	20090331	First Financial Bank	19440	Bessemer	AL	35020	
292467	20090331	Pointwest Bank	13600	West	TX	76691	
292524	20090331	Four Oaks Bank & Trust Company	11506	Four Oaks	NC	27524	
292850	20090331	FIRST NATIONAL BANK OF WAKEFIELD	5076	WAKEFIELD	MI	49968	
292908	20090331	Evans Bank, NA	6947	Angola	NY	14006	
293053	20090331	COMMUNITY NATIONAL BANK	24897	MIDLAND	TX	79701	
293352	20090331	ADRIAN STATE BANK	8822	ADRIAN	MN	561100129	
293437	20090331	The Citizens Bank of Winfield	52	Winfield	AL	355940550	
293651	20090331	CAMPBELL COUNTY BANK, INC.	16161	HERREID	SD	57632	
293754	20090331	State Bank of Southwest Missouri	26358	Springfield	MO	65808	
294023	20090331	First State Bank	9437	Winchester	OH	45697	
294153	20090331	MINER COUNTY BANK	9933	HOWARD	SD	57349	
294256	20090331	METROPOLITAN NATIONAL BANK	24311	SPRINGFIELD	MO	65808	
294564	20090331	First Bank & Trust Co.	14778	Lubbock	TX	79423	
294751	20090331	City National Bank & Trust Company	4132	Lawton	OK	73501	
294779	20090331	TIMBERLAND BANK	28453	HOQUIAM	WA	98550	
294827	20090331	PIONEER COMMUNITY BANK	2448	IAEGER	WV	248440368	
295011	20090331	Greenville National Bank	13703	Greenville	OH	45331	
295057	20090331	SECURITY BANK MINNESOTA	10984	ALBERT LEA	MN	56007	
295637	20090331	CITIZENS NATIONAL BANK	5757	MACOMB	IL	61455	
295646	20090331	Farmers State Bank of Medora	13902	Medora	IL	620630101	
295758	20090331	Farmers & Merchants State Bank	6080	Iroquois	SD	573530099	
296438	20090331	COASTAL COMMUNITY BANK	9619	APALACHICOLA	FL	32320	
296456	20090331	FirstBank	14331	Antlers	OK	745230458	
296559	20090331	Commercial Bank	11777	Parsons	KS	673570648	
296755	20090331	Citizens State Bank	15519	Miles	TX	76861	
296858	20090331	First National Bank of Lindsay	4134	Lindsay	OK	730520278	
297051	20090331	PATRIOTS BANK	18019	Garnett	KS	66032	
297257	20090331	THE BANK	26967	WEATHERFORD	TX	76086	
