"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF588	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF600	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF588	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF600	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RIADG377	
1557																																																										0	7337	0		16433	0			1743	0	1085	0	0	30914	0	0	0	2411	0	0	9388	0	119	567	527	1198	0	4446	4823	3574	7981	6980	699								0	0		0	0	0	0	0	1902	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	3								
1669																																																										0	308	195		1967	0			11228	0	12580	0	2109	84121	0	0	0	42731	1628	26443	10117	197	567	745	2079	18625	20360	3824	7985	9603	10882	8560	214								0	0			0	0	528	1175	7560	2003			0			0	342																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	109								
1829																																																										0	0	17188	0	0	0	24148	0	24148	7266	328	0	145	265115	316	25330	486	96575	14357	13049	39972	2636	970	8147	7322	37353	39802	29817	6668	38643	35099	46131	6313	0	0	0	0	0	0	0	698	1116	0		0	0	1732	6765	37341	32390	0	25330	0			0	593																									0	0	0	0	0	0	0	0	0	0	0	0		36346	52	0	52								
1856																																																										0	5487	0		487	0			26896	0	878	0	0	39659	0	0	0	2109	43	1675	9234	397	96	444	136	914	66	7222	1570	1194	10004	17007	234								0	0			0	0	375	0	2871	513			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	0								
2040																																																										0	5595	9554		1049	1708			13394	2038	3771	0	0	153376	0	0	0	28933	1008	288	67598	3291	10269	13759	649	102	149	19739	34299	54907	6440	4842	258								397	8			0	0	1631	15880	32652	37429			0			266	248																									0	0	0	0	0	0	0	0	0	0	0	0		24947		0	37								
2161																																																										0	73	0		2384	0			13048	0	8401	0	0	59528	1	0	0	31582	0	21030	20154	1769	8662	6867	3985	7061	3238	3549	6174	6338	6226	5538	121								310	0			0	0	805	0	2893	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	33								
2376																																																										0	0	397755	0	0	0	21121	0	21121	2776	464	0	0	1558240	0	0	0	244843	21278	50894	114467	2184	4910	15922	26629	87038	106589	49118	72115	115718	164415	638626	233257	0	0	0	0	0	0	0	0	0	0		0	0	23162	87886	74628	684327	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		1141810	0	0	0								
2554																																																										0	2131	0		1682	0			822	0	356	0	16	5637	0	0	0	485	0	269	986	81	0	144	60	83	117	3198	52	245	794	863	0								0	0			0	0	0	0	99	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	46								
2732																																																										0	157	80446	0	0	489	72356	0	72356	6603	4477	0	0	392513	300	0	0	25202	1529	7640	91095	7522	4043	3195	45	401	8461	88099	71065	113237	16149	5960	68044	0	0	0	0	0	0	0	0	0	0		0	0	9736	7443	102859	81868	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0	137	0	137								
2750																																																										0	8473	447		19240	0			2588	0	1668	0	0	37774	0	0	0	2439	218	250	16266	400	137	1144	675	49	0	14471	4460	4984	8463	354	873								0	139			0	0	275	155	572	1504			0			0	6																									0	0	0	0	0	0	0	0	0	0	0	0		11437		0	56								
3252																																																										0	19852	0		29038	0			9673	0	5232	0	1277	71601	0	122	0	763	0	488	0	82	340	53	67	194	0	24954	30370	8330	2178	2450	7								0	0			0	0	0	697	0	4850			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		22279		0	97								
3458																																																										0	5227	358		987	562			3158	0	829	0	0	14282	0	96	0	2456	28	0	4222	143	444	1449	242	0	178	2591	2122	3789	1474	578	1262								0	0			0	0	0	978	14	151			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	0								
3720																																																										0	6896	259		7297	607			11488	3364	7813	0	1171	114144	0	0	1815	24116	1089	838	34557	1608	2757	8874	8347	2394	0	15216	18883	17659	32601	4175	724								0	268			0	0	2300	7547	29666	10447			0			1941	0																									0	0	0	0	0	0	0	0	0	0	0	0		18471		0	423								
3953																																																										0	9676	1018		10903	0			41404	0	6542	0	0	113922	0	0	0	14539	2536	4365	45434	2861	1209	4254	3439	165	0	45366	21039	13197	786	2627	436								0	0			0	0	5037	472	14824	6643			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	15332		0	328							0	
4138																																																										0	363	1020		0	0			10817	3360	8943	0	144	121921	109	0	0	45464	983	18132	15460	2926	7873	12959	10393	7908	3153	17931	15974	10065	10609	6100	14339								0	42			0	0	2492	8321	14996	24982			0			464	99																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	103								
4156																																																										0	13277	9956		9125	0			15347	2075	3071	0	0	138012	0	969	0	32705	2692	175	32019	2817	3472	3902	4075	16141	2092	19248	13119	27906	21884	20663	571								0	0			0	0	5401	4436	16466	22492			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		28000		0	0								
4231																																																										0	12469	0		1461	0			7446	0	7736	0	1678	84024	0	0	0	14009	0	0	47346	311	2759	7456	3059	353	0	17373	26930	18148	6140	787	0								0	0			0	0	339	205	11898	26756			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	27								
4437																																																										0	7590	1657		333	0			13235	8775	8519	0	375	159097	227	0	0	55882	4985	41497	30211	3968	5534	26826	12651	3553	1518	40364	9161	33626	11135	4131	0								0	3110			0	0	0	12952	35773	6088			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		147270		0	50								
4839																																																										0	0	36096	0	0	6211	9011	0	9011	5913	1522	0	0	238582	0	0	0	26170	1748	3856	109820	7408	5342	8561	3317	1198	0	63745	44123	58550	43140	2230	0	0	0	0	0	0	0	0	0	478	0		0	0	7797	18684	73692	55935	0	0	0			158	196																									0	0	0	0	0	0	0	0	0	0	0	0	3537	59681	1536	0	1536							41	
5005																																																										0	0	13521	0	0	2170	3912	0	3912	5054	293	0	0	260821	0	0	0	124439	6664	38406	25394	4201	10868	18113	6371	17641	64963	18874	10725	29379	32834	27395	10218	0	0	0	0	0	0	0	0	74	0		0	0	15621	10218	46684	34304	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	16099	120820	37	0	37							46	
5069																																																										0	0	656	0	0	2161	2490	0	2490	1984	0	0	0	408069	3031	0	0	49204	1421	16376	262754	6458	3831	0	25000	0	0	88909	169692	52798	21397	2218	0	0	0	0	0	0	0	0	0	0	25051		0	0	16017	30551	268929	39848	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		181902	0	0	0								
5135																																																										0	50480	2149	0	50221	0	25104	0	25104	0	10453	0	6523	249638	0	0	0	52501	1661	15763	173866	11783	16987	19123	1197	2840	263	50486	94610	35665	5443	7279	2908	0	0	0	0	0	0	0	473	0	0		0	0	444	11491	25205	12933	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		20829	0	0	0								
5210																																																										0	15553	31381	0	3079	371	33582	0	33582	48965	11457	0	13816	674704	0	0	0	269767	30557	108925	43016	17744	22595	26562	39847	86879	74672	76105	31244	144616	62146	52126	28940	0	0	0	0	0	0	0	0	2912	0		0	0	8394	25211	94983	82320	0	0	0			0	854																									0	0	0	0	0	0	0	0	0	0	0	0		102597	2727	0	2727								
5331																																																										0	0	64644	0	0	0	2275	0	2275	10700	323	0	0	142660	108	0	496	16307	430	3281	31870	1425	692	8248	3976	369	1299	29263	9989	38617	35666	2745	0	0	0	0	0	0	0	0	0	87	0		0	0	0	16042	5170	24566	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		40953	2224	0	2224								
5461																																																										0	10064	11181	0	5672	0	49283	0	49283	15389	8750	0	0	357957	299	0	25785	28765	2491	5130	116488	3798	2770	5420	12508	2580	811	38829	71096	105222	94766	10786	413	0	0	0	0	0	0	0	0	331	0		0	0	1135	22141	90062	101400	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		92146	11592	0	11592								
5751																																																										0	9377	103		24009	0			7077	0	3686	0	891	56574	0	853	0	9760	0	1859	13905	170	561	861	571	4582	2827	13533	3693	5859	9715	8835	2533								0	9			0	0	14	272	381	136			0			0	158																									0	0	0	0	0	0	0	0	0	0	0	0		9850		0	6								
6039																																																										0	3459	164		5633	455			9023	0	3956	0	1657	59696	29	0	0	7016	1268	461	27180	554	731	2248	897	1732	4	28901	6327	8954	3117	2340	0								503	78			0	0	287	6143	0	20151			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	387								
6141																																																										0	3263	0		2987	0			1379	0	4185	0	254	23068	0	0	0	6907	0	325	8387	323	159	768	2724	2747	139	2599	5306	2081	3617	2080	473								0	0			0	0	0	0	0	4061			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	32								
6329																																																										0	7058	578	0	5323	492	39596	0	39596	6044	89493	0	1753	379727	0	0	0	78872	5684	1674	151466	6359	21833	35415	9028	2165	80	49283	74687	81556	60420	12591	0	0	0	0	0	0	0	0	1144	1481	0		0	0	20233	61432	33017	22445	0	0	0			741	3719																									0	0	0	0	0	0	0	0	0	0	0	0	14100	7841	1080	4494	1080							0	
6972																																																										0	9740	40992	67	4109	99	102254	0	102254	38827	1267	0	12422	591055	0	2128	11293	29634	2928	9308	207100	1917	2643	3235	3088	6346	9696	125624	127599	140512	35958	80466	5880	0	0	0	0	0	0	0	0	1811	0		0	0	14969	107111	63357	151047	0	2128	0			392	0																									0	0	0	0	0	0	0	0	0	0	0	0	95996	290748	8392	0	8459							765	
7009																																																										0	0	0	2980	0	0	66333	0	66333	0	190862	0	0	260175	0	0	0	0	0	0	216357	0	0	0	0	0	0	198350	18007	43819	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	2980								
7045																																																										0	3265	0		4486	0			3448	631	11460	0	1597	69487	0	0	0	26656	344	23570	9289	863	528	5282	8622	5030	5318	1693	6244	11874	13539	4775	3715								430	14			0	0	91	1655	9506	5904			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	0								
7157																																																										0	2610	156		2382	0			6389	0	4035	0	0	25807	0	0	0	8433	0	0	12399	474	1408	6443	12	0	0	3983	6534	5264	1074	48	387								0	0			0	0	0	0	0	1802			0			0	96																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	0								
7456																																																										0	4776	0		7340	0			9024	0	1855	0	0	29916	0	0	0	2511	177	0	12173	195	191	1037	1088	0	0	11929	476	6450	7304	1192	0								0	0		0	0	0	332	805	1038	2021			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	37								
7634																																																										0	3126	373		1217	0			5852	0	4169	0	4	53050	0	0	0	13691	545	304	14240	619	4850	6397	918	412	0	3587	15864	15820	2441	534	0								0	0			0	0	0	3662	226	20185			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		10943		0	0								
8033																																																										0	18713	707		4078	0			20337	0	6606	0	0	122729	0	0	0	28883	877	762	45335	3842	6902	14423	3396	285	35	31370	15448	24289	18046	4526	0								0	0			0	0	8461	16363	13306	3442			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	22944		0	956							0	
8462																																																										0	2728	0		7467	0			10233	0	8113	0	423	32340	0	0	0	1360	41	0	9930	0	0	18	79	394	869	13465	3604	5343	5574	2668	316								0	0			0	0	0	0	1814	161			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	0								
8631																																																										0	80	0		91	12			7086	0	8194	0	0	33778	0	0	0	14080	50	0	3800	41	127	246	418	6915	6242	2091	1541	2932	4806	6862	1307								0	0			0	0	0	339	3831	0			0			41	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	27								
9357																																																										0	0	0	0	5	0	110727	0	110727	4261	5069	0	0	402562	0	0	0	235873	816	0	321080	233975	0	290	0	598	1010	106828	2927	25300	29661	1972	0	0	0	0	0	0	0	0	0	435	0		0	0	0	0	37739	7300	0	0	0			1218	0																									0	0	0	0	0	0	0	0	0	0	0	0		328056	337	0	337								
9553																																																										0	22043	1911		40976	0			3606	0	1761	0	0	79903	0	0	0	6524	107	19	33973	378	728	1333	2430	1655	0	49943	4266	3455	9432	5889	272								0	0			0	0	1050	0	864	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		24316		0	1061								
9807																																																										0	0	58552	0	0	63521	90773	0	90773	92778	700	0	0	1630166	1847	0	0	425087	28667	65556	462564	57870	19386	32629	16126	101161	183039	416370	125749	231258	182481	87468	51381	0	0	0	0	0	0	0	0	156	0		0	0	179910	402970	139797	212132	0	0	0			1362	13843																									0	0	0	0	0	0	0	0	0	0	0	0	129086	325336	491	0	491							371	
9955																																																										0	13744	0		6514	0			7783	1850	2642	0	0	55276	0	1274	0	9831	82	6007	27606	320	3899	2307	804	942	1513	2751	20636	11490	5557	4267	396								0	14			0	0	600	2011	0	8931			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		6289		0	0								
10250																																																										250	718	6078	0	0	12724	62585	0	62585	14516	16694	0	2015	327827	0	449	0	41628	18383	13815	86939	4230	4379	17936	10578	1511	554	30551	54780	95873	74000	8004	392	250	0	250	0	0	0	0	290	1362	0		0	0	1480	32182	88419	40642	0	449	0			871	112																									0	0	0	0	0	0	0	0	0	0	0	0	0	131214	136	0	136							0	
