"IDRSSD"	RCFD0010	RCFD0022	RCFD0073	RCFD0074	RCFD0083	RCFD0085	RCFD0090	RCON0010	RCON0020	RCON0070	RCON0073	RCON0074	RCON0080	RCON0082	RCON0083	RCON0085	RCON0090	
	CASH AND DUE FROM DEPOSITORIES	CASH & CASH ITEMS IN PROCESS OF COLL	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	CASH AND DUE FROM DEPOSITORIES	CASH ITEMS IN PROCESS OF COLLECTION	BALANCES WITH BKS IN FGN COUNTRIES	BAL WITH FGN BRCHS OF OTHER U.S. BKS	BAL WITH OTHER BKS IN FGN COUNTRIES	CURR&COIN (U.S. & FGN) VAULT CASH	BALS DUE FROM DEPOSITORY INSTS IN US	BALS DUE FR US BRNCHS&AGENC OF FGNBK	BALS DUE FR OTH DEPOSITORY INSTS-US	BALANCES WITH F. R. BKS (COML BK BOO	
797775								99417	1567	0	0	0	1985	7993	0	7993	87872	
798512								2216										
798857								20987										
799359								3758										
799612								58028	17170	0	0	0	13298	5113	0	5113	22447	
799751								18483										
799854								4189										
799939								4148										
799948								8655										
800134								4142										
800442								3816										
800479								11186										
800657								437291	0	1872	0	1872	11663	34011	0	34011	389745	
800853								26119										
801047								20543	1	0	0	0	1134	19408	19408	0	0	
801056								4623										
801654								46349										
802110								681958	59791	0	0	0	40217	76426	76426	0	505524	
802174								1962										
802866	3358251	61837	31868	254351	787	83755	2925653	3358251	61053	286219			784	84542			2925653	
803144								13598										
803256								5268										
803265								2202										
803461								14660										
803649								33193										
803658								2144										
803957								3278										
804150								2715										
804338								92263	0	0	0	0	553	22143	0	22143	69567	
804422								1333										
804758								8705										
804815								3574										
804860								1431										
804963	930381	721345	1017	4812	4800	96853	101554	930381	530607	5829			190738	101653			101554	
805045								1812										
805250								24193	2578	0	0	0	2147	12237	0	12237	7231	
805335								10423										
805447								1543	10	0	0	0	643	799	799	0	91	
805670								6480										
805755								4726										
805858								39177										
805876								7334										
806154								29358										
806220								6960										
806846								9684	3449	0	0	0	1568	3632	0	3632	1035	
806958								6625										
807348								1435										
807432								24824										
807656								9537	1548	0	0	0	2307	3145	0	3145	2537	
807946								593										
807955								124506	13577	0	0	0	15749	5424	0	5424	89756	
808167								20890	9237	0	0	0	9814	1828	0	1828	11	
808176								864683	1153	0	0	0	21319	91643	0	91643	750568	
808260								62924	19316	0	0	0	12787	542	0	542	30279	
808345								25358										
808354								5700										
808448								2445										
808653								2776										
809379								3178										
809539								28588										
809650								2366										
809856								5655										
809940								6401										
810151								10229										
810544								12839										
810553								3762										
810900	22014	2067	0	0	43	481	19423	22014	0	0			2067	524			19423	
810919								216611	18146	0	0	0	18698	1824	0	1824	177943	
811046								313755	56903	273	0	273	14571	2475	0	2475	239533	
811279								38935	0	0	0	0	2052	36883	0	36883	0	
811457								2275										
811541								2338										
811550								5845										
811747								10353										
811756								13271										
812164								14298										
812436								26523	2838	0	0	0	1575	2030	0	2030	20080	
812557								8483	4853	0	0	0	1953	1134	0	1134	543	
812614								10911										
813059								5493										
813572								40244	2208	0	0	0	1687	23210	0	23210	13139	
813853								21020										
813947								105972	7770	0	0	0	9279	12012	0	12012	76911	
814216								26521	15660	116	0	116	8891	1171	0	1171	683	
814355								12626										
814430								512664	28738	50	0	50	15167	6793	0	6793	461916	
814458								4206										
814551								19328										
814711								11898										
814953								296										
815053								1823										
815147								9880										
815156								14234	0	0	0	0	2818	6831	0	6831	4584	
815277								12182										
815754								5384										
816210								317767	30013	1817	0	1817	48389	19105	1822	17283	218443	
816256								1021										
816304								21127										
816603								80343	14734	0	0	0	9558	5878	0	5878	50173	
816751								3926										
816948								1239										
817356								2505										
817477								3627										
817824	4066817	3171520	74805	96559	5129	638859	79945	3934729	1509892	39276			1661628	643988			79945	
818401								48150	0	0	0	0	1657	46035	0	46035	458	
818540								3424										
818559								876										
818652								6040										
819154								10625										
819172								8680										
819453								7125										
819556								88076	64	0	0	0	6086	10967	0	10967	70959	
819855								19185										
820048								10719	0	0	0	0	5147	5471	0	5471	101	
820178								15041										
820301								13833										
820655								2254	864	0	0	0	340	1013	0	1013	37	
820842								2076										
821036								6202										
821120								133139	0	0	0	0	2596	275	0	275	130268	
821157								6467										
821278								3552										
821456								3625										
821559								389										
821643								650										
821652								2192										
821906								51351	3145	0	0	0	2135	6952	0	6952	39119	
822042								64411	0	0	0	0	4263	10872	0	10872	49276	
822051								4793										
822145								3173										
822154								116984	21986	0	0	0	22025	38300	0	38300	34673	
822257								6369										
822408								15111										
822556								8202										
822631								1410										
822846								3841										
823133								23875										
823142								3594										
823450								50048										
823553								936										
823638								6207										
823656								6544										
824000								386899	6015	0	0	0	3528	91174	0	91174	286182	
824242								757										
824550								5835	3	0	0	0	3706	2126	0	2126	0	
824653								3658										
824738								3044										
825146								34253	13322	0	0	0	11774	8822	0	8822	335	
825454								13293										
825548								5111										
825753								5167	0	0	0	0	1221	1153	0	1153	2793	
825847								6601										
825940								1558										
825977								5154										
826255								15724										
826451								1196										
826648								2824										
826956								21120	2	212	0	212	1514	7429	0	7429	11963	
827346								1763										
827355								2838										
827458								2424										
827560	131486	139	0	0	0	65726	65621	131486	0	0			139	65726			65621	
827953								9906										
827971								2876										
828053								5617										
828110								5761										
828651								168140	21206	0	0	0	9853	1775	0	1775	135306	
828745								6197										
829032								4575										
829041								5873										
829050								7795	60	0	0	0	3469	2240	0	2240	2026	
829256								31515	4465	0	0	0	1463	2918	0	2918	22669	
829452								871										
830113								3960										
830168								14136										
830252								2716										
830355								7833	1454	0	0	0	2432	452	0	452	3495	
830542								9601										
830645								6269										
830748								2661	0	0	0	0	1371	1282	0	1282	8	
831008								17892	1448	0	0	0	1428	2218	0	2218	12798	
831044								30001										
831053								8051										
831352								1053										
831549								839										
831576								5675										
831642								8652										
831857								6251										
831941								4278										
832470								13660	5442	0	0	0	5943	768	0	768	1507	
832528								1805										
832546								39196	2960	0	0	0	2155	11960	0	11960	22121	
833271								24471	4621	0	0	0	1727	992	0	992	17131	
833404								67152	4249	0	0	0	4968	5877	0	5877	52058	
833646								2536										
833749								33837	5382	0	0	0	1976	1995	0	1995	24484	
833758								4972										
833851								2383										
834045								1209										
834755								6438										
834979								34939	3381	0	0	0	4589	25958	0	25958	1011	
835257								11389										
835378								1849										
835444								24639										
835613								5394										
835659								3563										
835743								7444										
835958								3394										
836151								824										
836544								3179										
836656								6408										
