"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ651	RCONJ652	TEXTA545	
17950																0	8382	375	989	3	136902	14181	90577	114	236850	0	237813	0	0	0	0	0	0	0	0	0	0	4251	10.00		
18050																0	10331	647	546	1	211939	32294	55000	88	277817	0			0	0	0	0	0	0	0	0	0	8425	28.72		
18135																0	3411	252	253	1	139282	5811	48970	83	191916	0			0	0	0	0	0	0	0	0	11254	17612	36.00		
18377																0	4189	368	1022	3	31876	2285	2196	7	39283	0			0	0	0	0	0	0	0	0	0				
18827																0	13318	1598	808	3	191616	21565	155635	131	361377	0			0	0	0	0	0	0	0	0	0	5360	12.00		
18836																0	13820	557	1228	4	115042	12447	7992	23	138082	0			0	0	0	0	0	0	0	0	2676	1277	4.23		
18854																0	2165	80	608	2	86832	3893	30429	53	120034	0			0	0	0	0	0	0	0	0	0	11535	17.00		
18957																0	3297	200	254	1	20874	1847	2841	8	27266	0			0	0	0	0	0	0	0	0	0	0	0.00		
19356																0	3103	97	0	0	56123	4738	5426	9	64652	0			0	0	0	0	0	0	0	0	0				
19730															699140	0	64899	3684	1154	4	1362836	90966	573643	647	2002532	0	2012995	0	0	0	0	0	0	0	0	0	15066	186745	221.00		
19936																0	11273	380	1272	4	136689	11944	59670	90	208904	0			0	0	0	0	0	0	0	0	0	3844	7.66		
19972																0	0	0	0	0	57725	3171	2445	9	60172	0			0	0	0	0	0	0	0	0	0	0	0.00		
20053																0	8203	602	0	0	44644	6885	5940	9	58788	0			0	0	0	0	0	0	0	0	0	5482	8.00		
20370																0	6517	254	0	0	158870	9385	12866	30	178253	0			0	0	0	0	0	0	0	0	0				
20512																0	5690	437	415	1	77417	8708	5400	6	88922	0			0	0	0	0	0	0	0	0	0	0	0.00		
20633																0	18481	781	556	2	215118	13024	56736	79	300420	9529			0	0	0	0	0	0	0	0	0	5714	6.11		
20857																0	929	85	0	0	34448	2757	111760	38	147137	0			0	0	0	0	0	0	0	0	0	106422	12.61		
21256																0	2043	66	0	0	4683	517	1206	2	7932	0			0	0	0	0	0	0	0	0	0				
21359																0	1767	82	392	1	16138	1881	1401	4	19698	0			15	71	78	163	0	0	0	0	0	0	0.00		
21630																0	2418	90	0	0	41610	4522	16262	31	60290	0			0	0	0	0	0	0	0	0	0	2025	6.00		
21658																0	13044	1147	899	3	100738	8486	12235	25	126918	2			0	0	0	0	0	0	0	0	0				
22048																0	6044	324	1080	2	107621	12571	27275	50	142020	0			0	0	0	0	0	0	0	0	0				
22356																0	7307	639	260	1	160431	15882	75901	100	243899	0			0	0	0	0	0	0	0	0	0	8694	22.00		
22459																0	4878	696	0	0	69670	8480	8242	18	82790	0			0	0	0	0	0	0	0	0	0	3884	8.00		
22543																0	3886	187	0	0	50437	6369	15575	20	69898	0			0	0	0	0	0	0	0	0	0	4025	5.30		
22552																0	1952	29	0	0	44126	3657	4025	15	50103	0			0	0	0	0	0	0	0	0	0				
22730																0	4337	270	0	0	76467	9969	12492	25	93296	0			0	0	0	0	0	0	0	0	0	2936	6.16		
22936																0	14504	612	960	3	205983	14205	29073	63	250520	0			0	0	0	0	0	0	0	0	0	6278	10.40		
22954																0	2556	176	0	0	55123	4527	9500	22	67179	0			0	0	0	0	0	0	0	0	5553	2288	6.28		
23045																0	1117	53	0	0	15423	1500	15853	13	32394	0			0	0	0	0	0	0	0	0	0				
23241															252631	0	75430	4615	2044	7	1667776	140849	799649	437	2544899	0	2768015	0	0	50000	0	0	0	0	0	0	0	150155	173.45		
23456																0	7177	747	1037	2	61367	7003	7737	19	77318	0			0	0	26	0	0	0	0	0	0	596	2.07		
23504																0	9100	630	1660	5	406460	26449	515687	504	932907	0	919298	0	0	0	0	0	0	0	0	0	0	128268	185.00		
23540																0	12807	474	1039	3	113853	19707	48752	47	176451	0	176451	0	0	0	0	0	0	0	0	0	0	1774	5.00		
23643																0	8310	285	303	1	100284	10886	31834	52	140731	0			0	0	0	0	0	0	0	0	0				
23755																0	9030	537	535	2	86380	9008	36659	58	132604	0	132518	0	0	0	0	0	0	0	0	0	1012	0	0.00		
23812															193562	0	38453	2372	1223	3	711433	44007	220794	316	971903	0	988781	0	0	0	0	0	0	0	0	0	0	115220	145.00		
24006																0	58984	3639	602	2	642080	48671	134685	241	836351	0			0	0	0	0	0	0	0	0	0	15385	24.00		
24453																0	3232	78	690	2	199272	4082	54732	80	257926	0			0	0	0	0	0	0	0	0	47382	13912	25.00		
24659																0	3034	146	488	1	26720	2685	3690	11	33932	0			0	0	0	0	0	0	0	0	0				
24668																0	10937	543	700	2	117645	13689	27599	47	156881	0			0	0	0	0	0	0	0	0	0				
24855																0	0	0	0	0	9302	890	2431	6	11733	0			0	0	0	0	0	0	0	0	0				
24949																0	39763	2077	861	3	565692	44871	100218	143	706534	0			0	0	0	0	0	0	0	0	46678	62385	55.00		
25357																0	1210	85	0	0	72652	7616	10830	18	84692	0			0	0	0	0	0	0	0	0	0	0	0.00		
25647																0	5562	216	928	2	51003	2492	8946	19	66439	0			0	0	0	0	0	0	0	0	0				
26149																0	2139	92	429	1	70937	4559	7674	17	81179	0	80152	0	0	0	0	0	0	0	0	0	0	556	2		
26242																0	18701	846	757	3	234625	23960	68758	86	322842	0			0	0	0	0	0	0	0	0	0				
26457																0	606	70	0	0	16557	1534	3716	8	20879	0			0	0	0	0	0	0	0	0	0	464	1.00		
26765																0	2004	71	0	0	83248	11003	125337	130	210589	0			0	0	0	0	0	0	0	0	0	7769	13.67		
26859																0	10945	799	331	1	153106	11793	178677	172	343059	0			0	0	0	0	0	0	0	0	0	54494	56.23		
26916																0	14629	1145	763	3	253793	27120	92534	129	361719	0			1009	0	0	0	0	0	0	0	0	0	0.00		
27548																0	19737	1169	1510	4	292393	32270	205884	153	519525	0			0	0	0	0	0	0	0	0	11390	21196	32.00		
27614																0	27936	1702	4262	8	172405	27281	50060	70	254663	0			0	0	0	0	0	0	0	0	0				
27847																0	27693	1335	3757	12	298594	26700	77719	123	407763	0			0	0	0	0	0	0	0	0	0	4809	9.92		
28152																0	6085	508	0	0	45556	6861	10585	19	62227	0	61597	0	0	0	0	0	0	0	0	0	0	1245	3.21		
28255																0	3401	248	463	1	136392	8697	64162	117	204420	0			0	0	0	0	0	0	0	0	0				
28349																0	10607	502	454	1	114056	7690	38346	62	163463	0			0	0	0	0	0	0	0	0	0	2574	7.00		
28406															89192	0	45390	3170	3626	8	628041	41227	90260	225	767317	0			0	0	0	0	0	0	0	0	0				
28572																0	5178	171	0	0	34931	2168	2966	7	43077	0			0	0	0	0	0	0	0	0	0	0	0.00		
28732																0	2625	107	0	0	51265	4366	9777	18	63667	0			0	0	0	0	0	0	0	0	0				
29104															208406	0	19946	931	4454	13	511086	33765	309395	439	844881	0	842880	0	0	0	0	0	0	0	0	0	77289	66342	99.00		
29636																0	25151	1018	2054	5	370313	36431	162766	176	560284	0			0	0	0	0	0	0	0	0	0	14801	27.93		
29953																0	3091	157	0	0	42154	3569	11886	19	57131	0			0	0	0	0	0	0	0	0	1008	4415	7.00		
30052																0	268	11	0	0	11123	2178	2581	7	13971	0			0	0	0	0	0	0	0	0	0	252	1.00		
30258																0	17143	1126	1011	3	308395	29807	74632	96	401181	0			0	0	0	0	0	0	0	0	25	85178	101.51		
30418																0	1526	153	0	0	336314	16466	1029	1	338869	0			0	0	0	0	0	0	0	0	0				
30502																0	29246	1927	1379	5	478437	46608	134936	238	643998	0			0	0	0	0	0	0	0	0	0	14812	29.00		
30650																0	7133	183	0	0	89314	6329	15494	32	111941	0			0	0	0	0	0	0	0	0	0	5478	10.50		
30810	34761629	0	34617450	0	15515	0	422617	0	0	0	0	1195047	0	0	1028420	0	1347360	43418	73171	259	30889849	16038500	2451249	5725													0	136	0.36		
31134																0	5971	367	518	1	58494	7896	10676	15	75749	90			0	0	0	0	0	0	0	0	0	5343	6.42		
31255																0	12044	379	1388	3	193831	6855	121958	152	329221	0			0	0	0	0	0	0	0	0	4738	25082	42.00		
31657																0	5327	165	548	2	72331	5101	13214	24	91420	0			0	0	0	0	0	0	0	0	0				
31826																0	18599	503	1677	5	150455	14753	27645	49	198376	0			0	0	0	0	0	0	0	0	0	7001	17.00		
31835																0	2846	135	274	1	50732	4858	33432	43	87284	0			0	0	0	0	0	0	0	0	0	9826	16.25		
32234																0	3390	140	0	0	44276	4266	25424	18	73089	0			0	0	0	0	0	0	0	0	0	1782	2.92		
32766																0	1854	109	0	0	38151	2967	9315	20	49320	0			0	0	0	0	0	0	0	0	0				
33147																0	17187	831	1125	3	221114	24615	77606	162	317032	0			0	0	0	0	0	0	0	0	2965	7435	14.00		
33259																0	38265	2500	835	3	406836	25442	94505	171	540441	0			0	0	0	0	0	0	0	0	0	27889	39.65		
33268																0	4521	170	1019	2	66615	6504	25817	42	97972	0	100614	0	0	0	0	0	0	0	0	0	0				
33727																0	23233	1390	885	3	219565	23712	47662	106	291345	0			23	0	0	0	0	0	0	0	0	20400	44.00		
33754																0	961	52	0	0	25204	2465	2284	4	28449	0			0	0	0	0	0	0	0	0	0				
33839																0	1463	141	0	0	23181	2045	1144	2	25788	0			0	0	0	0	0	0	0	0	0	298	1.00		
33857																0	4878	296	0	0	67806	3867	11849	21	84533	0			0	0	0	0	0	0	0	0	0	1462	3.38		
34153																0	32921	2153	917	3	399091	25855	42853	51	475782	0			0	0	0	0	0	0	0	0	0	42853	51.00		
34359																0	2186	98	0	0	18549	1575	1174	4	21909	0			0	0	0	0	0	0	0	0	0	397	1.00		
34425																0	11479	628	308	1	224189	18172	33097	71	269073	0			0	0	0	0	0	0	0	0	0	11657	25.00		
34434																0	15077	584	3079	6	134674	11654	58847	100	211677	0			0	0	0	0	0	0	0	0	0	9331	11.70		
34452																0	4717	188	778	1	60072	5942	18464	23	84031	0			0	0	0	0	0	0	0	0	0	1065	2.00		
34537															237967	0	54811	3914	2234	6	1252017	105020	346894	485	1655956	0	1711023	0	0	0	0	0	0	0	0	0	6300	67036	117.00		
34555																0	18265	1049	2162	6	111942	9792	30475	42	162844	0			0	0	0	0	0	0	0	0	3173				
34742																0	12893	527	267	1	186060	15050	47194	88	246414	0			0	0	0	0	0	0	0	0	0	11066	16.00		
34836																0	2512	47	0	0	23729	1995	3015	5	29256	0			0	0	0	0	0	0	0	0	0				
35057																0	2535	136	0	0	81777	7111	17640	38	101952	0			0	0	0	0	0	0	0	0	0	993	3.00		
35301	109363046	82056548	96651559	74282458	0	0	0	0	0	0	0	1076365	82056548	74282458	26332663	0	0	0	0	0	271585	10118	27034913	2865													0				
35570															437980	0	499318	25462	23549	71	4225823	208641	1412604	1625	6161294	0	6119408	0	0	0	0	0	0	0	0	0	0	157924	118.00		
35646																0	1429	150	253	1	31817	3239	2607	6	36106	0			0	0	0	0	0	0	0	0	0	505	1.13		
35842																0	5150	265	252	1	92775	8191	37669	60	135846	0			0	0	0	0	0	0	0	0	0				
36054															344835	0	25175	3038	1789	5	556642	25729	505381	465	1088987	0	1076132	0	0	0	0	0	0	0	0	0	0	89610	130.00		
36344																0	17893	1226	1015	2	234015	20691	65236	97	318159	0			0	0	0	0	0	0	0	0	2201	22982	33.07		
36456																0	4567	192	959	3	62321	4237	16907	26	84754	0			0	0	0	0	0	0	0	0	0	1908	2.00		
36858																0	5179	337	252	1	112983	10218	34477	60	152891	0	161356	0	0	0	0	0	0	0	0	0	0	9236	21.29		
36933																0	6304	269	267	1	67689	8195	9569	16	83829	0			0	0	0	0	0	0	0	0	0	3400	9.00		
37051																0	3157	166	342	1	44128	3760	4444	11	52261	190			0	0	0	0	0	0	0	0	0	468	1.00		
37341																0	2586	139	0	0	23486	3296	1206	4	27277	0			0	0	0	0	0	0	0	0	0	292	1.00		
37378																0	1934	98	0	0	111969	6693	25219	54	139122	0			0	0	0	0	0	0	0	0	0	6866	16.00		
37435																0	83304	4398	5856	17	580637	77761	160204	243	830001	0			0	0	0	0	0	0	0	0	0	34726	39.84		
37640															318016	0	48995	3805	1256	3	722506	73490	331106	318	1108000	4137	1088682	3732	0	0	0	0	0	0	0	0	0	48006	93.55		
37659																0	806	127	548	1	30066	2592	3075	6	34495	0			0	0	0	0	0	0	0	0	0				
37743																0	6719	291	943	2	46163	4664	23801	35	77626	0			0	0	0	0	0	0	0	0	0	1122	2.58		
37949																0	6083	261	0	0	119234	7454	39916	49	165233	0			0	0	0	0	0	0	0	0	0	21619	13.70		
38535																0	27261	1664	840	3	283430	25003	57963	96	369494	0			0	0	0	0	0	0	0	0	0	2863	8.00		
38740																0	13484	801	0	0	104323	11283	24354	31	142161	0			0	0	0	0	0	0	0	0	0	1317	3.64		
39327																0	14418	1113	0	0	265243	27176	55680	119	335341	0			0	0	0	0	0	0	0	0	0	0	0.00		
39420															43788	0	43148	2677	2123	7	739746	71186	198544	218	983561	0	983198	0	0	0	0	0	0	0	0	4000	0	64740	76.51		
39475															169987	0	37529	2539	1072	4	1156219	87658	256422	415	1451241	0	1412248	0	16	0	0	0	0	0	0	0	0	66276	91.00		
39756																0	9569	393	554	2	235259	13217	134155	226	379538	0			0	0	0	0	0	0	0	0	6231	33458	52.00		
40033																0	6222	319	858	3	47572	5788	19474	8	74126	0			0	0	0	0	0	0	0	0	0	0	0.00		
40350																0	3159	235	0	0	26172	2729	5384	11	34715	0			0	0	0	0	0	0	0	0	0	625	1.87		
40707																0	12175	609	905	3	179048	21187	40930	88	233058	0			0	0	0	0	0	0	0	0	0	14901	29.00		
40855																0	2381	123	284	1	41535	2934	10217	21	54417	0			0	0	0	0	0	0	0	0	0				
41245																0	3370	178	0	0	29153	4537	1045	3	33568	0			0	0	0	0	0	0	0	0	0				
41553																0	2212	124	0	0	44612	4424	17796	24	64620	0			0	0	0	0	0	0	0	0	0				
41629																0	6424	526	255	1	107642	10245	17740	25	132061	0	133895	0	0	0	0	0	0	0	0	0	2261	2983	5.00		
41647															19713	0	30048	1650	0	0	588299	43383	47457	83	665804	0			0	0	0	0	0	0	0	0	777	8483	14.66		
41759																0	2342	126	0	0	27167	2800	6086	15	35595	0			0	0	0	0	0	0	0	0	0	743	1.70		
41825																0	5884	484	0	0	101318	12269	17146	22	124348	0			0	0	0	0	0	0	0	0	0				
41937																0	6639	253	504	2	40212	3993	5183	10	52538	0			0	0	0	0	0	0	0	0	0				
41955																0	2607	1318	0	0	21394	2235	2930	5	26931	0			0	0	0	0	0	0	0	0	0	0	0.00		
42037																0	0	0	0	0	40769	4272	16265	19	57034	0			0	0	0	0	0	0	0	0	0	4145	9.00		
42055																0	2544	246	572	1	42052	4649	8902	14	54070	0			0	0	0	0	0	0	0	0	0				
42354																0	2656	102	0	0	67021	5991	25188	47	94865	0			0	0	0	0	0	0	0	0	0	4345	9.00		
42420															995744	0	303883	27278	17035	48	3179596	397805	1253219	1388	4753733	0	4763955	0	0	0	0	0	0	0	0	0	6928	247263	286.00		
42448																0	54250	2263	7091	18	336271	34047	88392	105	486004	0			0	0	0	0	0	0	0	0	0	7312	13.00		
42457																0	1009	64	0	0	14505	1587	5212	8	20727	0			0	0	0	0	0	0	0	0	0				
43052																0	5743	314	261	1	61832	5729	5859	11	73695	0			0	0	0	0	0	0	0	0	0	2385	4.00		
43351																0	298	19	0	0	8220	727	1528	6	10047	0			0	0	0	0	0	0	0	0	0	0	0.00		
