"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3656	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFDG105	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3656	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCON8678	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	RCONG105	
11837																																							196	1354	0	0	39739	0	1043	1174	2066	94045	74751	493	82944	0	1366	0	7000	0	11101	314	94045	0	0	-189	0	0	10686	0	4515	70236			0	49839	48473	290	0	0	700	0	11101	
12030																																							14077	7399	154	999	5723	0	3432	1056	6340	331837	295912	1883	297795	0	7992	721	0	0	34042	300	331837	0	0	33431	0	0	300	0	26339	269573			0	292062	284070	11	7866	0	0	0	34042	
12142																																							352	5999	0	1168	36383	0	6080	0	2771	153556	121787	2096	133925	0	1562	0	4000	0	19631	1250	153556	0	0	5445	0	0	13250	0	32412	89375			0	102090	100528	-314	275	0	0	6042	19631	
12245																																							80	1883	0	0	33568	0	1624	61	1224	121534	98953	1071	108777	0	858	0	7900	0	12757	1419	121534	0	0	7150	0	0	3581	0	14247	84706			0	83952	83094	607	0	0	853	0	12757	
12311	1415681	710948	486706	0	8037808	0	489418	142747	3190647	51988299	650093	48234057	597538	1016249	388300	3259642	1560066	3156704	39999	51988299	338043	215808	-1891478	211786	0	5202261	530860		0	37061604	36045355	-194078	0	799316	3754242	2249262	0	2249262				0	8037808					51988299	39496910		48234057				3259642					338043	215808						2743263	36753647							0	0	2960	799316		
12647																																							436	15878	0	6617	0	0	4266	717	1091	100025	84449	522	91171	0	710	0	6200	0	8854	125	100025	0	0	2564	0	0	6165	0	10710	73739			0	71730	71020	0	0	0	0	0	8854	
12656																																							105	381	0	706	0	0	216	24	191	14264	12962	58	13020	0	201	0	0	0	1244	72	14264	0	0	784	0	0	388	0	1899	11063			0	12261	12060	0	581	0	0	0	1244	
12937																																							18037	4079	0	0	808	0	11733	0	2233	200239	166218	1529	167747	0	1236	0	0	0	32492	750	200239	0	0	26452	0	0	5250	0	22385	143833			0	164585	163349	40	0	0	0	0	32492	
12946																																							2018	8665	2313	0	68195	33	11127	1898	18047	634656	540809	6373	569652	0	6670	9959	19620	0	65004	1	634656	0	0	47519	1118	0	17119	288	54256	486553			0	517665	510995	365	0	0	2850	0	65004	
12955																																							14935	1848	0	3251	8	0	2990	492	1042	127972	108867	415	116232	0	941	0	6950	0	11741	1567	127973	0	0	1941	0	0	8233	986	19693	89174			0	103361	102420	0	0	0	0	0	11741	
