"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF588	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF600	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCON1288	RCON1420	RCON1460	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF588	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF600	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RIADG377	
2643595																																																										0	0	26448		9755		0	3628			0	2186	580	0	0	132665	1155	0	0	47177	1527	36588	16882	2399	11042	17150	5909	0	10523	24656	12698	29428	14574	878	209								0	0			0	0	11241	14194	9656	11056			0			2636	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
2646327																																																										0	0	0		38		0	0			31737	1423	2714	0	5222	115520	0	0	0	2034	223	0	45655	359	223	1172	224	0	0	14230	35425	20053	20188	7922	5106								0	312			0	0	4664	27087	23709	16357			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	33056	0	
2646813																																																										0	1184	0		20		0	0			36525	0	1125	0	0	99560	77	0	0	11500	785	231	37444	1724	5506	3013	935	0	0	25786	16201	10030	16493	6384	4433								0	54			0	0	13862	10491	15964	8127			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	11636	0	20	
2648376																																																										0	19425	8474		2729		6074	0			35917	10658	7300	0	0	190948	0	0	0	34527	2357	4635	88081	9514	6457	15333	1812	409	130	33824	43866	39300	16538	15601	1560								0	132			0	0	2118	8710	39607	12920			0			0	140	1938	228	0	457	0	0	2399	695	0	0	0	12	1938	228	0	615	0	0	2419	695	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0		63845		
2648460																																																										0	0	9578	0	1691	1691	0	0	31363	0	31363	6061	395	0	0	189600	1633	0	0	28053	6086	14312	77956	986	4150	6591	5898	2308	8119	43946	28874	28913	17979	20265	3146	0	0	0	0	0	0	0	679	695	0		0	0	7376	40401	49346	9509	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	26426	22471	164	
2649122																																																										0	24597	13177	0	1887	1887	9193	3518	84035	0	84035	34627	7529	0	0	515259	695	326	0	44869	7515	3818	228345	14058	7234	12593	4049	1752	3691	124844	87962	93111	105636	43965	3317	0	0	0	0	0	0	0	0	134	0		0	0	17730	76455	118829	75051	0	326	0			0	200																									0	0	0	0	0	0	0	0	0	0	0	0	23644	493	2169	
2649177																																																										7655	0	890	0	75	75	678	0	421513	0	421513	0	0	0	0	430928	0	0	0	0	0	0	416647	0	0	0	0	0	0	416364	283	232	35	6	1007	0	0	0	7655	0	0	0	0	0	0		0	0	0	0	0	117	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2650333																																																										0	1959	1799		24		353	1237			6869	2098	2071	0	0	65306	9	0	0	12848	2205	6506	13164	848	807	2509	4396	901	3227	9972	6412	18221	13323	2260	1049								0	358			0	0	2267	8953	13183	10328			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	18729	0	
2651899																																																										0	0	0		0		0	0			0	0	0	0	0	592	0	0	0	0	0	0	592	0	0	0	0	0	0	592	0	0	0	0	0								592	0			0	0	0	0	0	0			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		
2652092																																																										0	0	25936	0	631	631	0	0	300210	0	300210	84569	4481	2017	9944	1316564	0	0	6812	34094	2642	4956	311891	7204	3419	9642	9238	464	2750	685902	107137	266314	187316	14402	0	0	0	0	0	0	0	0	0	738	0		21967	10486	75884	168966	121866	484586	0	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	133395	364474	1937	
2654818																																																										0	0	1193		0		0	0			13592	4540	7598	0	0	144366	117	0	0	33378	1991	870	67880	5622	3410	10689	6645	1595	5134	31656	27277	29465	16423	4483	545								0	44			0	0	7221	32085	28439	14402			0			0	263																									0	0	0	0	0	0	0	0	0	0	0	0	2585	0	0	
