"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2160	RCFD2170	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2160	RCON2170	RCON2200	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	SECURS PURCHSD UDR AGRMNTS TO RESELL	SECURS SOLD UNDR AGRMNTS TO REPURCH	TOTAL DEPOSITS	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	INT-BEARING BALS DUE FRM DEP INSTS	NONINTEREST-BEARING BALS&CURR&COIN	OTHER IDENTIFIABLE INTANGIBLE ASSETS	HELD-TO-MATURITY SECURITIES	AVAILABLE-FOR-SALE SECURITIES	INVEST. IN UNCONSOLIDATED SUBS & CO.	PREMISES&FIXED ASSETS(INCL CAP LSES)	OTHER REAL ESTATE OWNED	OTHER ASSETS	TOTAL ASSETS	TOTAL DEPOSITS	OTHER LIABILITIES, TOTAL	TOTAL LIABILITIES	MINORITY INT. IN CONSOL. SUBSIDIARIE	ALLL_AMT	GOODWILL	OTHER BORROWED MONEY	SUBORDINATED NOTES AND DEBENTURES	TOTAL EQUITY CAPITAL	COMMON STOCK	TOT LIAB, RESERVE & CAPITAL ACCOUNTS	TOTAL TRADING ASSETS	TRADING LIABILITES	UNDIVIDED PROFITS & CAPITAL RESERVES	PERPETUAL PREFERRED STK&REL SURPLUS	SURPLUS	LOANS AND LEASES HELD FOR SALE	NON-INTEREST BEARING DEPOSITS	TOT INT BEAR DEPS IN DOM&FGN OFF	AUDIT INDICATOR	OTHER COMPONENTS OF EQUITY CAPITAL	LOANS & LEASES, NET UNEARNED INCOME	LOANS & LEASES, NET UNEARN INC&ALLOW	ACCUMULATED OTH COMPREHENSIVE INCOME	FEDERAL FNDS SOLD IN DOMESTIC OFFICS	SECURS PURCHSD UDR AGRMNTS TO RESELL	FEDERAL FNDS PURCD IN DOMESTIC OFFCS	SECURS SOLD UNDR AGRMNTS TO REPURCH	
3268249																																					0	28	0	0	55095	0	0	0	3379	59791	52765	493	53258	0	0	0	0	0	6533	1000	59791	0	0	1051	0	3700	0	1467	51298	2	0	0	0	782	1289	0	0	0	
3269590																																					100	14708	0	0	67878	0	14765	4529	8498	632482	504372	1043	576185	0	4979	0	60000	0	56297	4200	632482	0	0	1313	0	49800	0	101155	403217	2	0	526698	521719	984	285	0	10770	0	
3269844																																					47	221	0	0	0	0	1619	0	317	21527	18245	106	18351	0	184	0	0	0	3176	1000	21527	0	0	-1124	0	3300	0	1053	17192	1	0	18275	18091	0	1232	0	0	0	
3269974																																					50	446	94	0	0	0	222	0	1487	55697	39654	102	46029	0	492	2339	6273	0	9668	7575	55697	0	0	93	0	2000	0	1154	38500	1	0	49101	48609	0	2450	0	0	0	
3270046																																					0	2342	175	0	0	0	5376	0	1113	113268	97066	1366	102317	0	802	659	3000	0	10950	1000	113267	0	0	1373	0	8577	0	7009	90057	1	0	104405	103603	0	0	0	885	0	
3271007																																					676	2690	0	0	42326	0	10117	0	2418	124528	89197	333	105530	0	689	0	16000	0	18998	9012	124528	0	0	-1261	0	10981	0	8502	80695	2	0	63280	62591	266	3710	0	0	0	
3271799																																					189	1391	0	6831	34399	0	596	260	4515	200059	115937	2509	180843	0	1497	0	62000	0	19216	1851	200059	0	0	-1002	0	18318	0	7218	108719	1	0	153375	151878	49	0	0	397	0	
3271986																																					3	3925	0	0	4302	0	3352	0	1476	192787	168122	741	174311	0	1119	0	5448	0	18476	50	192787	0	0	895	0	17503	0	18334	149788	1	0	180848	179729	28	0	0	0	0	
3272956																																					387	2023	0	0	5123	0	2416	1407	643	58461	49706	686	51392	0	499	0	1000	0	7070	4566	58462	0	0	-2169	0	4566	0	3852	45854	2	0	42812	42313	107	4149	0	0	0	
3273823																																					553	1882	0	0	411	0	625	0	1445	76819	57154	143	67954	0	716	0	9500	0	8865	514	76819	0	0	198	0	8148	0	5178	51976	1	0	72619	71903	5	0	0	1157	0	
3274709																																					4000	7824	681	0	57034	42	1482	119	11416	387802	290231	1829	359362	0	3656	0	60000	0	28440	8600	387802	0	0	968	0	18800	27867	29651	260580	2	0	280993	277337	72	0	0	7302	0	
3274772																																					33687	10677	0	0	13923	0	2931	0	3029	276781	238613	1305	241257	0	2501	0	0	0	35524	14544	276781	0	0	-39	0	20890	0	65211	173402	1	0	206692	204191	129	8343	0	0	1339	
3275283																																					278	2980	0	0	7129	0	3764	860	926	93209	80172	199	82371	0	1648	0	2000	0	10838	6184	93209	0	0	-2431	0	6902	0	5518	74654	1	0	71531	69883	183	7389	0	0	0	
3275939																																					668	7344	0	0	25598	0	7877	3381	8556	276071	225660	1823	255038	0	2898	0	23200	0	21033	1920	276071	0	0	-1373	0	20665	922	15658	210003	1	0	224619	221721	-179	4	0	4355	0	
3276543																																					3061	1510	0	0	3934	0	3850	811	2148	157227	116535	325	132580	0	1622	0	13000	0	24647	13391	157227	0	0	468	0	10748	0	3698	112837	1	0	130409	128787	40	13126	0	2000	720	
3277241																																					4154	3025	0	4486	6986	0	799	0	1239	102418	91873	317	92190	0	617	581	0	0	10228	8596	102418	0	0	-6708	0	8314	165	9721	82152	2	0	74456	73839	26	7144	0	0	0	
3277876	141902	13489	0	0	352930	0	11482	691	49816	1850387	6364	1676897	0	23520	0	535700	0	173490	65563	1850387	0	0	-4031	0	108770	0	1	0	1303597	1280077	3188	0	112312	0	0	0											1022521						535700					0	0					83049	939472						0	0	0	112312	
3277988																																					12635	6242	0	0	4677	0	8995	0	2284	295820	246559	2737	259183	0	3000	0	5000	0	36637	43	295820	0	0	-6661	0	43232	0	28511	218048	1	0	250978	247978	23	13009	0	0	4887	
