"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIREMT DEP ACCTS $250,000 OR L	NMBR RETIREMT DEP ACCTS $250,000 OR 	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIREMT DEP ACCTS MOR THAN $250	AMT OF DEPOSIT ACCOUNTS $100,000 OR 	NBR OF OTH DEP ACCTS OF $100,000 OR 	AMT OF OTH DEP ACCTS MORE THAN $100,	NBR OF DEP ACCTS OF MOR THN $100,000	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	PB/PSA FDIC CERTIFICATE NUMBER	
681043								0	3294		0	0	42625		27140	136	73059	0				
681249								0	3251		0	0	17055		2848	18	23154	0				
682143								0	11653		0	0	165405		69571	279	246629	0				
682545								0	2195		0	0	31947		19257	86	53400	0	52952	0		
682563							4048153	0	123962		2541	8	4087275		6633129	18819	10846907	0	10638527	0		
682611							739201	0	290856		7274	20	2896710		1285249	5283	4480089	0	4461314	0		
682648								0	16436		965	3	53072		22318	103	92791	0				
683449								0	16067		368	1	83175		105748	347	205358	0				
683814								0	4846		1622	5	56711		33897	147	97076	0				
684325								0	5356		0	0	78338		60156	258	143850	0				
684455								0	2115		0	0	58781		27844	113	88958	218				
685023								0	5544		1516	2	32283		15119	80	54462	0				
685368								0	9379		0	0	79325		53606	299	142310	0				
685407								0	91029		6554	18	390790		198949	1084	687322	0				
685555								0	2916		0	0	51263		30072	128	84251	0				
685649								0	10404		660	2	90081		86167	332	187312	0				
685658								0	6574		1438	2	90894		115319	431	214225	0	212776	0		
685733								0	1950		0	0	21934		8760	52	32644	0				
686271							181763	0	30055		2332	6	489340		323389	1173	845116	0	839566	0		
686440								0	3705		253	1	52074		25326	123	81358	0				
686459								0	2428		255	1	32347		8667	43	43697	0				
686655								0	8695		0	0	107958		75480	163	192133	0				
686758								0	60		0	0	45516		29630	119	75206	0				
686963								0	3335		0	0	60987		71532	311	135854	0				
687009							704521	0	64561		2497	7	990691		889915	3020	1947664	0	1987530	0		
687054								0	1522		0	0	17869		20816	93	40207	0				
687250								0	3132		0	0	16926		4113	26	24171	0				
687474								0	16314		0	0	149738		92645	462	258697	0				
687830								0	3871		0	0	26434		8841	49	39146	0				
687858								0	17425		0	0	326547		140661	424	484633	0				
687951								0	23052		2234	5	201805		156205	571	383617	321				
688079	10551000	896000	10656000	815000	896000	815000	130000	0	0		0	0	9512000		143000	131						
688257								0	2994		0	0	88330		65019	214	156343	0				
688453								0	1019		0	0	22464		14113	60	37596	0				
688556								0	2564		899	3	31489		36293	97	71245	0				
689209							159709	0	85411		4972	13	405849		233790	1114	730022	0	709147	0		
689302								0	19100		966	3	250683		388597	1034	659346	0				
689357								0	9560		356	1	153855		110908	369	274679	0				
689740								0	15882		800	2	223143		139490	493	379315	0				
689759								0	2126		0	0	14898		34254	89	51278	0				
691042								0	525		0	0	16481		14876	48	31882	0				
691079								0	8112		0	0	163000		144243	693	315355	0				
691556								0	12324		258	1	84534		47011	167	144126	0				
691743								0	4198		0	0	34112		11289	58	49599	0				
691958								0	1699		0	0	16535		4480	27	22714	0				
692450								0	4783		252	1	64007		21255	101	90297	0				
692478								0	9276		1901	4	55506		54355	204	121038	0				
692704								0	0		0	0	0		0	0	0	0				
692946								0	13811		583	2	164877		104356	399	285134	1507				
693224							475412	0	50098		4815	10	632764		560758	2426	1248435	0	1144306	0		
693345							427357	0	93565		4914	12	886981		570368	1781	1589126	33298	1554378	29384		
693662								0	1406		0	0	156650		485040	1020	643096	0				
693952								0	3792		0	0	63628		22822	130	90242	0	88239	0		
694146								0	843		0	0	12458		4486	21	17787	0				
694771								0	0		0	0	10265		3041	19	13306	0				
694847								0	8754		818	3	102126		94010	258	205708	0				
694904							4180778	0	830458		44130	106	6741109		5186889	15325	12802587	0	12247229	0		
695134								0	7174		1035	2	115740		122729	395	246678	0				
695228								0	23043		287	1	207631		197043	368	428004	0				
695349								0	11360		322	1	108943		51563	232	172188	0				
695648								0	2351		288	1	18513		5723	22	26875	0				
695705								0	10200		266	1	173504		161222	591	345192	0				
695732								0	1140		0	0	35955		24186	97	61281	0				
695947								0	3218		1494	3	24637		8849	30	38198	0				
696047								0	4807		659	2	37678		21881	115	65025	0				
696168								0	0		0	0	109796		67163	488	176959	0				
696430								0	25940		708	2	225657		334991	811	587296	0				
696551								0	1802		481	1	22711		20660	54	45654	0				
696645								0	1155		0	0	32019		22040	83	55214	0				
697035								0	3440		0	0	36469		12280	65	52189	0				
697147								0	7805		0	0	85596		82112	231	175513	0				
697156								0	6306		0	0	57781		27826	110	91913	0				
697231								0	10439		2359	4	135574		118594	400	266966	0				
697455								0	1336		0	0	34210		61243	186	96789	0				
697633	38807630	609777	26746617	908731	604833	903787	15214570	0	553717		15193	45	15571823		22057120	51816						
697754								0	18236		2906	6	194932		567029	1379	783103	0				
697763							1574371	0	46182		1252	4	1377355		1786403	4689	3211192	0	3223931	0		
697857								0	5773		0	0	36712		7893	47	50378	0				
697950								0	1269		0	0	25344		12707	94	39320	0	38195	0		
697978								0	24346		1663	5	247531		189002	847	462542	0				
698144								0	21697		919	2	204945		83994	413	311557	2				
698322								0	19382		894	3	146005		95429	491	261710	0				
698546								0	4321		0	0	46193		22201	87	72715	0				
698649								0	17517		1822	3	96818		48814	207	164971	0				
698957								0	5541		267	1	91212		33631	163	130651	0				
699105								0	12470		693	2	163857		86663	425	263683	0				
699132								0	1580		0	0	28602		56888	85	87070	0				
699253								0	2235		0	0	43890		14123	58	60248	0				
699534								0	13957		0	0	131131		85815	311	230903	0				
699552								0	9921		0	0	170430		56720	231	237071	0				
700140								0	399		0	0	20330		8250	44	28979	0				
700252								0	2191		0	0	36540		34499	154	73230	0				
700337								0	7350		591	2	111640		64459	182	184040	0				
700430								0	4901		0	0	71514		39208	184	115623	0				
700458								0	1058		0	0	23612		12005	55	36675	0				
700672								0	28133		267	1	203098		94580	382	326078	0				
700739								0	11808		933	3	61173		30432	226	104346	0				
701062							1576281	0	64014		3721	8	1725153		2199725	5422	4009407	16794	4062542	12048		
701222								0	20981		477	1	175727		123011	420	320196	0				
701259								0	11896		817	2	148987		113528	391	275227	0				
701736								0	34869		3742	7	384200		447190	1104	870392	390	845586	1277		
701745								0	3		0	0	7053		6461	31	13517	0				
701839								0	6891		283	1	154634		75982	394	237790	0				
701857								0	879		0	0	13516		7624	43	22019	0				
701950								0	6362		412	1	66724		59474	171	132972	0				
702050								0	138		0	0	5134		2514	11	7786	0				
702117							1151857	0	127230		2498	8	1867057		1876006	5177	3872791	0	3897828	0		
702359								0	1794		0	0	40398		22192	113	64384	0				
702612								0	38831		5522	12	352455		247515	949	644323	0				
702751								0	3381		0	0	55662		35757	202	95110	310				
702836								0	5005		1621	3	42274		33399	195	82299	0				
702911								0	21726		744	2	170701		85222	250	278393	0	267837			
702966								0	0		0	0	8739		11042	51	19781	0				
703039								0	644		0	0	18375		19518	83	38538	0				
703141								0	31056		0	0	249200		258966	574	539222	0				
703310								0	9473		253	1	135327		77582	454	222635	0				
703552								0	766		0	0	24229		71035	275	96030	0				
703767								0	9113		1097	2	169788		232486	799	412484	0				
704326								0	1790		0	0	43773		5400	50	50963	0				
704447								0	2841		388	1	46790		19367	105	69386	0				
704559								0	21994		298	1	231713		89922	357	343927	0				
704737								0	6049		936	2	175499		189238	531	371722	0				
704755								0	2285		0	0	34615		27030	64	63930	0				
705444								0	4793		617	2	62567		43588	197	111565	0				
705453								0	1223		0	0	4052		6939	35	12214	0				
705556								0	13990		3083	8	79862		42598	135	139533	0				
705565								0	1746		320	1	38307		18648	107	59021	0				
705958								0	7332		602	2	53056		39699	117	100689	0				
706030								0	2191		386	1	13946		7891	31	24414	0				
706058								0	3362		0	0	33839		12870	60	50071	0				
706151								0	2830		0	0	25119		135939	167	163888	0				
706236								0	8341		1866	2	64676		20241	126	95124	0				
706254								0	4052		0	0	75640		38790	163	118482	0				
706450								0	1115		0	0	19196		12827	55	33138	0				
706656								0	3418		0	0	50902		20704	111	75024	0				
707354								0	35468		1579	5	436082		335639	1035	808768	0				
708052								0	8732		0	0	39772		29594	141	78098	0				
708137								0	7566		415	1	167031		107813	391	282825	0				
708164								0	2022		0	0	52901		45197	191	100120	0				
708333								0	5494		932	3	63189		26269	155	95884	0				
708379								0	17112		1299	4	71709		40855	151	130975	0				
708454								0	13834		1387	4	125515		83866	376	224602	0				
708753								0	1624		0	0	16226		6479	38	24329	0				
709031								0	17025		2295	7	134660		71297	407	225277	0				
709143								0	7611		252	1	130338		94946	437	233147	0				
709358								0	6933		0	0	89999		67574	239	164506	0				
709451								0	6164		0	0	50574		27985	109	84723	0				
709554								0	2686		589	2	41272		93127	205	137674	0	117014	0		
709602								0	17774		1833	4	216823		356087	778	592517	0				
709639								0	26536		2223	7	158033		72774	324	259566	0				
709648								0	8138		0	0	104185		90978	332	203301	0				
709675								0	48		0	0	41917		49917	137	91882	0				
709956								0	0		0	0	22853		16078	37	38931	0				
710176								0	6319		0	0	43322		39015	150	88656	0				
710251								0	10298		550	2	142678		127557	494	281082	0	275440	0		
710859								0	5000		0	0	89440		78657	280	173097	0				
711472	759249	0			0			0	1348		286	1	254290		503326	1135						
711520								0	2498		0	0	38618		37676	81	78792	0				
711548								0	7993		0	0	94263		70919	268	173175	0				
711753								0	1704		0	0	24048		23578	67	49330	0				
711801								0	35831		1544	4	197993		94132	434	329500	0				
711959								0	71		0	0	6335		1203	9	7609	0				
712031								0	28895		1956	5	187103		245837	543	463791	0				
712059								0	15117		576	1	286247		137639	596	439579	0				
712648								0	3431		0	0	45040		18253	106	66724	0				
712750								0	3944		278	1	33087		43733	204	81042	0				
712956								0	2976		0	0	78761		49691	199	131428	0				
713038								0	946		0	0	20997		12164	54	34107	0				
713047								0	2412		0	0	14079		13419	48	29910	0				
713140								0	4976		0	0	25592		12456	61	43024	0				
713252								0	1541		327	1	17129		9394	36	28391	0				
713926								0	25874		800	2	205807		68569	357	302696	1646				
714165								0	997		0	0	22858		25550	66	49405	0				
714437								0	2880		1512	4	54953		30249	164	89594	0				
714839								0	4497		1591	3	113771		84854	275	204713	0				
714978								0	7069		368	1	99522		94568	386	201527	0				
715032								0	3356		0	0	32013		18199	57	53568	0				
715144								0	5432		0	0	118624		59986	265	184042	0				
715340								0	1937		0	0	74292		66602	152	142831	0				
715630								0	9147		0	0	80932		42501	153	132580	0				
715751								0	598		0	0	32112		21607	98	54333	14				
716413							581404	0	6229		0	0	243620		625741	1033	875590	0	944899	1		
716655								0	16116		261	1	307051		156672	550	480100	0				
716833							270291	0	91682		3855	7	791987		423118	2148	1310642	0	1289853	0		
716851								0	6143		291	1	71361		25441	115	103236	0				
716954								0	6320		329	1	92471		12671	88	111791	0				
717232								0	2324		0	0	27794		14852	78	44970	0				
717513								0	7530		0	0	93505		52458	233	153493	0	157128	0		
717737								0	19172		1436	5	310386		204706	645	535700	0				
717867								0	1422		387	1	24381		18350	94	44540	0				
717924							360967	0	64154		3280	9	623557		354377	1521	1045368	0	1053081	0		
718079								0	6886		317	1	52074		26370	124	85647	0				
718145								0	14790		287	1	194834		202504	512	412415	0				
718275								0	0		0	0	23523		35852	113	59375	0				
718538								0	17103		707	2	129659		57208	319	204677	0				
718547								0	5545		0	0	70369		27127	143	103041	0				
718556								0	2421		0	0	32253		24157	81	58831	0				
718930								0	11031		0	0	168312		95743	400	275087	0				
719030								0	3629		251	1	30820		6094	33	40794	0				
719441								0	2738		0	0	80982		67236	228	150956	0				
719610								0	9390		1166	3	56202		59930	231	126688	0				
719656								0	9989		0	0	140402		92588	400	242979	0				
719955								0	4776		0	0	83401		113481	315	201658	0				
719964								0	1517		0	0	28081		21384	104	50983	0				
720045								0	5114		0	0	20025		7428	45	32567	0				
720157								0	1251		0	0	11023		4574	26	16848	0				
720166								0	955		0	0	25759		11671	66	38385	0				
720344								0	9272		0	0	62781		26288	110	98341	0				
720465								0	31813		1685	6	207830		646882	1128	888210	0				
720746								0	8338		310	1	120137		41541	171	170326	0				
720858								0	3853		0	0	38581		13838	55	56272	0				
720951								0	4480		949	2	66397		61182	239	133008	0				
721350								0	6254		392	1	79241		71490	198	157377	0	153188			
721659								0	6883		449	1	46584		45973	142	99889	0				
721752								0	3963		333	1	21576		13240	48	39112	0				
721949								0	19477		1998	3	245212		103077	456	369764	0				
722227								0	950		0	0	19544		5425	25	25918	0				
722432								0	21660		2340	6	109070		33573	174	166643	0				
722544							344909	0	55508		2548	7	404640		359834	1088	822531	0	843334	0		
722816								0	24913		1712	5	229335		194213	612	450173	0				
723112	35831826	7228345	37003436	9574393	7228345	9574393	12192731	0	663470		32005	80	14469112		13438894	30544						
723158								0	2849		289	1	53970		13699	80	70807	0				
723550								0	2636		798	2	26452		10406	49	40292	0				
723653								0	2956		0	0	40918		60005	172	103879	0				
723710								0	28201		3224	4	243609		110997	458	386031	0				
723747								0	2507		274	1	20518		7176	34	30475	0				
723756								0	2839		0	0	23402		6593	30	32834	0				
723822								0	12496		0	0	92814		21558	119	126868	0				
723868								0	3157		294	1	56286		52170	193	111907	0				
724230								0	9445		0	0	103251		70034	392	182730	0				
724351								0	6055		0	0	95852		98708	315	200615	0				
724548								0	6296		1966	5	23589		17901	71	49752	0				
724744								0	7739		0	0	76051		36657	119	120447	0				
724753								0	0		0	0	18731		5454	31	24185	0				
724847								0	22849		507	2	233121		136757	699	393234	0				
724940								0	2761		398	1	17166		8449	37	28774	0				
