"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	
571265	30683	77	5756	86586	0	94788	0	0	0	0	0	0	96489	0	2889	30241		14922	20643	4333	11916	24433	0	0	7328	5762	1704	128	7435	17348	4158	1300	88955	93600	0	0	
571443	3425	2	3761	5787	0	15178	0	0	0	0	0	0	22063	0	1	4145		10494	3999	3036	5983	1852	0	0	1127	4856	3389	1122	577	1275	1405	888	11415	22062	0	0	
571920	6391	0	786	8841	0	21874	0	0	0	100	100	0	57782	0	11550	16616		29559	5217	5218	18159	14124	0	0	4421	14707	9388	1043	8294	5830	2194	298	21088	46232	0	0	
571957	1227	0	1821	3283	0	5370	0	0	0	0	0	0	15527	0	2315	1437		10671	2192	1705	8096	988	0	0	2577	5519	1817	758	614	374	450	0	3549	13212	0	0	
572338	5805	7	1568	12481	0	23190	0	0	0	0	0	0	29120	0	1345	4757		14556	4002	3388	10537	3495	0	0	4173	6449	2860	1074	1932	1563	946	316	21615	27775	0	0	
572347	2356	0	1406	3459	0	12139	0	0	0	0	0	0	14538	0	459	2647		9535	0	606	7330	2534	0	0	1706	5624	1965	240	330	2204	0	113	10733	14079	0	0	
572374	28	0	106048	304543	0	395082	0	0	0	582477	582477	0	1120410	0	20798	692702		253415	174265	23722	204526	187257	0	92037	74248	133111	38405	7651	160498	194133	135667	202404	289034	1099612	0	0	
572459	4820	50	2173	14337	0	33004	0	0	0	0	8567	0	135401	0	18602	42346		73812	14422	18585	57638	31352	0	1220	11973	45665	9543	6631	9470	21882	8185	2809	30781	116799	0	0	
572655	5915	13	352	23063	0	32190	0	0	0	0	0	0	24942	0	98	5912		9259	3856	1305	8698	5104	0	0	3358	5340	503	58	1119	3985	502	306	31759	24844	66	0	
572776	4483	0	0	0	0	0	0	0	0	0	0	0	6442	0	0	0		1959	0	0	1408	0	0	0	251	1157	334	217	0	0	0	0	0	6442	0	0	
573036	49635	0	18044	34196	0	78519	0	0	5022	0	5022	0	168841	0	7117	30346		69489	19370	11037	33318	19475	0	0	6111	27325	34540	1513	2883	16592	9988	883	60475	161724	0	0	
573335	6137	0	12972	23921	0	55220	0	0	0	0	0	0	73656	0	8394	25376		39627	2516	7029	23609	19049	0	0	6446	17163	12560	3458	5262	13787	5172	1155	42248	65262	0	0	
573559	1583	0	125	5698	0	8905	0	0	0	0	0	0	18164	0	2331	6956		6614	3011	1014	4721	6514	0	0	1493	3228	1265	628	1930	4584	0	442	8780	15833	0	0	
574051	1379	0	802	5388	0	8030	0	0	0	0	0	0	8145	0	1005	1755		5011	0	400	4883	1755	0	0	1728	3155	47	81	600	1155	0	0	7228	7140	0	0	
574471	4259	0	0	9312	0	21933	0	0	8907	4608	13515	0	82768	0	0	20833		52924	4752	5535	22005	11091	1344	4103	5243	16762	25087	5833	2329	8762	8481	1262	21933	82768	0	0	
574556	1322	0	218	3589	0	4222	0	0	0	0	0	0	16392	60	1394	4199		9047	1825	1196	8062	3988	0	0	2710	5391	844	101	1837	2259	102	0	4004	14938	0	0	
574949	10033	0	2822	8308	0	15121	0	0	0	0	10267	0	84506	0	7777	33139		32655	8679	7108	20801	19342	0	3767	5265	15536	8942	2912	8694	10648	12742	1055	12299	76729	0	0	
574976	225591	83	12127	40249	0	83637	0	0	0	0	0	0	529593	0	86746	71500		113053	119449	21085	48672	16067	0	0	23134	27933	37400	24587	4245	11928	38715	16612	70531	442847	896	0	
575133	3995	4	940	6943	0	11376	0	0	0	0	0	0	28507	0	4820	10018		12379	2116	2220	11250	7865	0	0	2390	8860	624	504	3042	4823	1295	858	10432	23687	0	0	
575254	241108	4	12140	66654	0	98668	0	0	0	129170	129170	0	685019	0	110324	224690		63518	155703	10508	50926	151855	0	79839	15035	35891	6348	6243	87136	64719	43105	29730	69427	568695	17097	6000	
575348	6549	0	212	17804	0	30301	0	0	0	0	0	0	55040	0	1294	11815		36676	0	4504	18374	5054	0	0	8588	10786	12893	4408	2936	2118	4843	1919	30089	53746	0	0	
575375	9815	0	0	1520	0	7767	0	0	0	0	0	0	46344	0	0	9499		20741	6289	5167	17510	8284	0	0	4280	13230	2758	473	1940	6344	1011	204	7197	46344	570	0	
575647	3092	0	803	2058	0	5115	0	0	0	0	0	0	13692	0	1204	2560		6799	1241	1410	4393	2138	0	0	1112	3281	1975	431	619	1519	422	0	4312	12488	0	0	
575656	2508	0	1182	8374	0	14483	0	0	0	0	0	0	19747	0	1062	6401		2544	8294	1228	2502	6401	0	0	737	1765	41	0	977	5424	0	0	13301	18685	0	0	
575759	20668	22	13355	15041	0	48193	0	0	1287	0	1287	0	110822	7	10866	20173		50809	19173	15589	25352	11573	594	0	11609	16758	18584	3858	5881	5915	6163	2214	34457	99058	359	891	
575834	19917	9	5567	43683	0	63923	0	0	0	0	0	0	73131	0	2632	13952		17161	22101	3521	14178	11750	0	0	4118	10060	2669	313	4903	6847	1869	333	58087	70499	260	0	
575955	6759	2	4573	8598	0	29605	0	0	0	0	0	0	39130	0	675	10209		21249	913	3721	17695	9557	0	0	5427	12268	2471	1083	5653	3904	520	131	24928	38455	102	0	
576037	1830	1	1586	9054	0	15763	0	0	0	0	0	0	32924	0	4091	10602		13483	7009	2977	10762	8223	0	0	2465	8297	2269	452	1338	6885	2379	0	14176	28833	0	0	
