"IDRSSD"	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	
924348	66570	0	0	0	0	0	46473	0	0	0	0	0	0	0	0	0	0	0	461	0	0	0	0	0	0	447	1095	0	0	0	0	0	0	-122	37	15188	1814	0	0	0	0	170	0	0	0	821	9604	36048	0	0	0	0	0	4748	461	0	0	0	-63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3609	0	0	0	3608	0	0	0	484	17104	11588	43943	0	3421	5794	43943	53158	0	0	0	5351	0	0	
924357	133553	0	0	0	0	0	98503	0	0	0	435	435	0	0	0	435	0	0	110	0	0	0	0	0	0	1811	2159	0	0	0	4161	2200	0	-288	2080	20375	0	200	0	0	0	0	0	0	0	1390	24340	72773	0	0	0	0	0	3525	110	60	0	0	-1231	79	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	235	0	0	0	235	0	0	0	3951	29685	26540	77077	0	5937	13270	77077	96284	0	1600	1600	14584	0	0	
924553	49141	0	0	0	0	0	12015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1407	0	0	0	0	2837	0	575	1863	21548	6408	1155	0	0	0	0	0	0	0	0	60	11955	0	0	0	0	0	1200	0	0	0	0	343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1863	23255	9305	14310	0	4651	4653	14310	23614	0	300	300	8263	0	0	
924656	44949	0	0	0	0	0	13159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2097	0	0	0	0	3979	2554	0	3759	5519	0	11247	0	0	0	0	0	0	0	0	674	12485	0	0	0	0	0	816	0	0	0	0	-406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3759	9961	4653	27102	0	1992	2327	27102	31421	0	2345	2345	8919	0	0	
924759	214599	0	0	0	0	0	157964	28	350	350	698	698	0	0	0	698	0	0	0	0	0	0	0	0	0	6111	655	0	0	0	0	0	0	-471	1004	37625	690	0	0	0	0	0	0	0	0	1019	42759	114186	0	0	0	0	0	10201	0	0	1106	1270	-2511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3384	0	0	0	3384	0	0	0	7115	46661	44719	126443	0	9332	22360	126443	158135	0	6256	6256	20795	0	0	
924843	173153	0	0	0	0	0	98759	0	0	0	48	48	0	0	0	48	0	0	0	0	0	0	0	0	0	2186	2381	0	0	0	3312	850	0	-677	2201	52472	2230	1297	0	0	0	0	0	0	0	0	20166	78593	0	0	0	0	0	11633	0	0	0	0	-2128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4387	58555	23246	91571	0	11711	11623	91571	114905	0	390	390	15126	0	0	
924937	63437	0	0	0	0	1450	31315	0	0	0	166	166	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0	2232	0	0	0	0	10566	286	0	0	0	16172	0	0	0	0	0	0	0	0	0	31315	0	0	0	0	0	2519	0	0	0	0	-124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64420	0	0	0	64420	64420	0	0	1450	8227	0	0	
925037	380509	0	0	0	0	0	294232	4426	4426	4426	83	83	0	0	0	83	0	0	959	69	0	0	0	0	0	3374	17303	0	0	0	0	0	0	-502	1697	30040	0	0	0	0	0	1281	0	0	1686	3051	29328	260167	0	0	0	0	0	24612	1028	844	675	119	-2835	984	0	0	0	984	450	0	0	0	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9543	0	0	0	9543	0	0	0	7601	51069	30728	297599	0	10214	15364	297599	323177	0	0	0	29195	0	0	
925055	51440	0	0	0	0	0	30473	0	0	0	116	116	0	0	0	116	0	0	0	0	0	0	0	0	0	622	1733	0	0	0	8101	1854	0	61	1999	5444	0	497	0	0	0	0	0	0	0	415	2097	27961	0	0	0	0	0	1794	0	20	497	50	-454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	794	0	0	0	794	0	0	0	2641	16190	4001	30595	0	3238	2001	30595	35834	0	0	0	7745	0	0	
925354	75763	0	0	0	0	1500	47820	0	0	0	1573	1573	0	0	0	1573	0	0	0	0	0	0	0	0	0	922	0	1455	0	0	222	204	0	0	874	12689	2111	206	0	0	0	0	0	0	0	0	16487	31333	0	0	0	0	0	7560	0	0	0	0	-522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1796	12911	18802	43627	0	2582	9401	43627	55610	0	0	1500	6952	0	0	
925411																																																																																																																							
