"IDRSSD"	RCFD0426	RCFD2130	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5372	RCFD5374	RCFD5375	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB565	RCFDB566	RCFDB567	RCFDB568	RCFDB569	RCFDB570	RCFDB571	RCFN5513	RCON0426	RCON2130	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5372	RCON5374	RCON5375	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB565	RCONB566	RCONB567	RCONB568	RCONB569	RCONB570	RCONB571	TEXT4087	
3252																								0	0	96	500	0	3054	false	0	0	0	0	0	0	0	0	96	237	0	0	0	1450	1000	0	0	false	0	104	CONF	
3458																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	CONF	
3506																								3847	4	0	58047	565	93047	true	0	2	2	3282	0	0	0	0	0	16320	4	565	0	35000	0	0	0	true	0	0	CONF	
3720																								0	0	9	0	0	4873	true	0	0	0	0	0	0	0	0	9	681	1	0	0	2000	2000	0	0	true	0	873	CONF	
3953																								0	0	233	0	0	413	true	0	0	0	0	0	188	0	0	45	2165	1	0	0	0	413	0	0	false	0	0	CONF	
4138																								0	23	1344	0	0	2779	true	0	0	23	0	399	0	55	890	0	5315	3	0	0	0	2779	0	0	true	0	0	CONF	
4147																								0	0	0	500	0	12500	true	0	0	0	0	0	0	0	0	0	3200	2	0	0	4000	8000	0	0	false	0	0	CONF	
4156																								0	0	140	10500	0	18000	true	0	0	0	0	0	0	140	0	0	603	1	0	0	500	7000	0	0	false	0	0	CONF	
4231																								0	0	130	0	0	0	false	0	0	0	0	0	0	60	0	70	664	1	0	0	0	0	0	0	false	0	0	CONF	
4437																								0	0	0	4042	0	10368	true	0	0	0	0	0	0	0	0	0	19022	5	0	0	139	6187	0	0	false	0	0	CONF	
4839																								0	85	0	5000	0	29900	true	0	0	85	0	0	0	0	0	0	14530	5	0	0	12000	12900	0	0	false	0	0	CONF	
5005																								0	0	0	2500	0	25018	true	0	0	0	0	0	0	0	0	0	130	0	0	0	3096	19422	0	0	true	0	0	CONF	
5050																								0	0	0	3900	0	3900	true	0	0	0	0	0	0	0	0	0	4366	5	0	0	0	0	0	0	false	0	0	CONF	
5069																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	150	0	0	0	0	0	0	0	false	0	0	CONF	
5135																								0	0	46	3000	0	15000	false	0	0	0	0	0	0	35	0	11	12106	4	0	0	9000	3000	0	0	false	0	0	CONF	
5210																								144	0	0	84545	0	149995	true	0	0	0	144	0	0	0	0	0	1237	0	0	0	45000	20000	0	0	false	0	450	CONF	
5247																								0	0	0	0	0	2604	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	false	0	604	CONF	
5274																								0	0	0	0	0	10455	true	0	0	0	0	0	0	0	0	0	2367	2	0	0	9500	955	0	0	false	0	0	CONF	
5331																								0	0	101	7750	0	25190	true	101	0	0	0	0	0	0	0	0	2851	2	0	0	17250	0	0	0	false	0	190	CONF	
5461																								1034	707	0	0	0	409	true	0	707	0	1034	0	0	0	0	0	987	1	0	0	0	0	0	0	false	0	409	CONF	
5751																								0	0	0	4925	0	4925	true	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	true	0	0	CONF	
6039																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	true	0	0	CONF	
6057																								0	0	68	0	0	500	false	0	0	0	0	0	0	51	0	17	0	0	0	0	500	0	0	0	false	0	0	CONF	
6141																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	false	0	0	CONF	
6329																								0	0	40	0	0	0	true	0	0	0	0	0	0	0	0	40	1131	1	0	0	0	0	0	0	false	0	0	CONF	
6972																								6	0	159	18200	0	20217	true	0	0	0	6	0	0	0	0	159	3491	1	0	0	2000	0	0	0	false	0	17	CONF	
7009																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	false	0	0	CONF	
7045																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1750	0	0	0	0	0	0	0	false	0	0	CONF	
7157																								0	0	73	0	0	0	false	0	0	0	0	0	0	0	0	73	190	0	0	0	0	0	0	0	false	0	0	CONF	
7166																								52	0	0	36000	0	38000	true	0	0	0	52	0	0	0	0	0	1223	3	0	0	2000	0	0	0	true	0	0	CONF	
7456																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	169	0	0	0	0	0	0	0	false	0	0	CONF	
7634																								0	0	5	0	0	0	false	0	0	0	0	0	0	5	0	0	743	2	0	0	0	0	0	0	false	0	0	CONF	
8033																								0	0	0	6732	0	16500	false	0	0	0	0	0	0	0	0	0	1665	1	0	0	3000	6768	0	0	true	0	0	CONF	
8417																								65625	0	0	0	0	1629602	true	0	0	0	65625	0	0	0	0	0	0	0	0	0	0	0	0	0	true	0	1629602	CONF	
8462																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	337	0	0	0	0	0	0	0	false	0	0	CONF	
8631																								0	0	361	0	0	0	false	0	0	0	0	0	0	41	0	320	600	1	0	0	0	0	0	0	false	0	0	CONF	
9357																								0	0	0	10200	0	10200	true	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	true	0	0	CONF	
9553																								0	0	0	10650	0	12981	false	0	0	0	0	0	0	0	0	0	1809	1	0	0	666	1665	0	0	false	0	0	CONF	
9807																								0	10	550	0	0	502377	true	0	0	10	0	0	0	0	0	550	50089	4	0	0	20000	482377	0	0	true	0	0	CONF	
9955																								2155	0	0	993	0	2561	true	0	0	0	2155	0	0	0	0	0	1305	2	0	0	1000	568	0	0	true	0	0	CONF	
10157																								0	0	0	0	0	3670	false	0	0	0	0	0	0	0	0	0	397	0	0	0	0	3000	0	0	false	0	670	CONF	
10250																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	1140	0	0	0	0	0	0	0	false	0	0	CONF	
10849																								0	0	0	14000	0	33290	true	0	0	0	0	0	0	0	0	0	4941	3	0	0	9000	10290	0	0	true	0	0	CONF	
10858																								181	0	0	155	0	10107	true	0	0	0	181	0	0	0	0	0	2244	1	0	0	0	8780	0	0	true	0	1172	CONF	
11145																								78	0	222	2000	0	15018	false	0	0	0	78	0	0	191	0	31	1661	1	0	0	1643	11375	0	0	false	0	0	CONF	
11640																								0	0	0	22000	0	28530	true	0	0	0	0	0	0	0	0	0	7404	1	0	0	6480	50	0	0	false	0	0	CONF	
11837																								0	0	177	5250	0	11750	false	0	0	0	0	177	0	0	0	0	0	0	0	0	0	6500	0	0	false	0	0	CONF	
12030																								0	0	0	2000	0	4000	true	0	0	0	0	0	0	0	0	0	2919	2	0	0	2000	0	0	0	false	0	0	CONF	
12058																								0	0	431	0	0	2022	false	0	0	0	0	0	280	151	0	0	446	0	0	0	0	2000	0	0	false	0	22	CONF	
12142																								0	0	23	0	0	0	true	0	0	0	0	23	0	0	0	0	333	0	0	0	0	0	0	0	false	0	0	CONF	
12245																								0	0	0	2000	0	5000	true	0	0	0	0	0	0	0	0	0	1965	2	0	0	2000	1000	0	0	false	0	0	CONF	
12311	98554	8724	12091	158953	85940	3853549	true	0	8717	7	130	275434	9	100242	12484	995000	1703	1027941	575436	true	3482263	1094516	0						3853549						29	0	11116	0	946												CONF	
12647																								0	0	285	0	0	0	false	0	0	0	0	255	0	30	0	0	1187	1	0	0	0	0	0	0	false	0	0	CONF	
12656																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	486	3	0	0	0	0	0	0	false	0	0	CONF	
12937																								0	0	0	0	0	287	true	0	0	0	0	0	0	0	0	0	5216	5	0	0	0	0	0	0	false	0	287	CONF	
12946																								3628	1011	36	11000	0	19366	true	0	980	31	3628	0	0	36	0	0	3092	2	0	0	3000	4146	0	0	false	0	1220	CONF	
12955																								0	0	20	4000	0	8500	true	0	0	0	0	0	0	0	0	20	928	1	0	0	500	4000	0	0	false	0	0	CONF	
13037																								0	0	666	0	0	0	true	0	0	0	0	0	0	0	0	666	6199	3	0	0	0	0	0	0	false	0	0	CONF	
13103																								0	0	0	26040	0	99265	true	0	0	0	0	0	0	0	0	0	1639	7	0	0	32600	40625	0	0	false	0	0	CONF	
13251																								0	0	100	0	0	0	false	0	0	0	0	0	0	100	0	0	65	0	0	0	0	0	0	0	false	0	0	CONF	
13457																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	false	0	0	CONF	
14052																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	3472	3	0	0	0	0	0	0	false	0	0	CONF	
14155																								0	0	0	5410	0	9830	false	0	0	0	0	0	0	0	0	0	354	0	0	0	3520	900	0	0	false	0	0	CONF	
14258																								0	0	236	7000	0	13000	true	0	0	0	0	0	0	236	0	0	36557	10	0	0	6000	0	0	0	true	0	0	CONF	
14409	112766	0	35623	1761386	601	2276251	true	33617	0	0	112165	28147	4	601	0	250000	162429	14	1997	true	0	100425	0						2276251						0	0	2	0	2004												CONF	
14454																								0	0	0	0	0	30	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	30	CONF	
14650																								0	0	30	0	0	0	false	0	0	0	0	0	0	30	0	0	134	0	0	0	0	0	0	0	false	0	0	CONF	
14753																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	605	0	0	0	0	0	0	0	false	0	0	CONF	
14865																								1575	0	208	0	0	6312	true	0	0	0	1575	0	0	98	0	110	1400	1	0	0	0	0	0	0	true	0	6312	CONF	
15536																								0	0	2504	0	0	0	true	0	0	0	0	0	0	0	0	2504	3158	1	0	0	0	0	0	0	false	0	0	CONF	
16337																								0	0	160	12000	0	29000	true	0	0	0	0	0	0	160	0	0	1411	1	0	0	0	17000	0	0	false	0	0	CONF	
16458																								0	0	0	0	0	6587	true	0	0	0	0	0	0	0	0	0	6086	2	0	0	3753	2834	0	0	true	0	0	CONF	
16551																								0	0	0	6000	0	22688	true	0	0	0	0	0	0	0	0	0	428	0	0	0	7000	9688	0	0	false	0	0	CONF	
16748																								323	0	153	0	319	2000	false	0	0	0	4	153	0	0	0	0	1301	2	362	0	0	2000	0	0	false	0	0	CONF	
16944																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	687	2	0	0	0	0	0	0	false	0	0	CONF	
16953																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	false	0	0	CONF	
17110																								456	0	0	0	0	0	false	0	0	0	456	0	0	0	0	0	4820	3	0	0	0	0	0	0	false	0	0	CONF	
17147																								496	0	287	13000	496	58182	true	0	0	0	0	0	0	287	0	0	10959	7	496	0	4595	40587	0	0	true	0	0	CONF	
17259																								0	0	83	1000	0	2750	true	0	0	0	0	0	0	83	0	0	1015	1	0	0	0	1750	0	0	false	0	0	CONF	
17464																								4928	2363	0	0	4531	69284	true	0	2363	0	397	0	0	0	0	0	2201	1	4531	0	20000	46326	0	0	true	0	2958	CONF	
17549																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	CONF	
17839																								0	0	647	5000	0	10000	false	0	0	0	0	296	0	343	0	8	10508	3	0	0	5000	0	0	0	true	49	0	CONF	
17950																								0	0	65	8750	0	11394	true	0	0	0	0	0	0	24	0	41	498	0	0	0	2200	444	0	0	false	0	0	CONF	
18050																								1153	0	93	247	0	4309	true	0	0	0	1153	37	0	56	0	0	2236	2	0	0	114	3948	0	0	true	0	0	CONF	
18135																								0	0	0	8879	0	13618	false	0	0	0	0	0	0	0	0	0	593	0	0	0	4739	0	0	0	true	10130	0	CONF	
18368																								0	0	0	1297	0	49609	true	0	0	0	0	0	0	0	0	0	0	0	0	0	5213	43099	0	0	false	0	0	CONF	
18377																								0	0	0	2500	0	2500	false	0	0	0	0	0	0	0	0	0	224	1	0	0	0	0	0	0	false	0	0	CONF	
18827																								0	0	32	0	0	757	false	0	0	0	0	0	0	32	0	0	2318	1	0	0	0	0	0	757	false	0	0	CONF	
18836																								0	0	0	2300	0	7747	true	0	0	0	0	0	0	0	0	0	2155	1	0	0	1300	4147	0	0	false	0	0	CONF	
18854																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	CONF	
18957																								0	0	25	69	0	4782	false	0	0	0	0	0	0	0	0	25	368	0	0	0	500	4213	0	0	false	0	0	CONF	
19356																								0	0	175	0	0	0	true	0	0	0	0	0	0	0	0	175	0	0	0	0	0	0	0	0	false	0	0	CONF	
19730																								10653	0	20	13105	876	51443	true	0	0	0	9777	0	0	20	0	0	45245	4	876	0	24399	13939	0	0	true	0	0	CONF	
19936																								0	0	0	140	0	140	false	0	0	0	0	0	0	0	0	0	2701	2	0	0	0	0	0	0	false	0	0	CONF	
19972																								0	0	68	0	0	0	false	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	false	0	0	CONF	
20053																								0	0	82	3600	0	4775	true	0	0	0	0	0	0	0	0	82	296	0	0	0	1000	175	0	0	false	0	0	CONF	
20147																								0	0	223	0	0	4781	true	0	0	0	0	0	0	223	0	0	556	6	0	0	0	381	0	4400	false	0	0	CONF	
20259																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	564	0	0	0	0	0	0	0	false	0	0	CONF	
20370																								0	0	0	3600	0	3600	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	CONF	
20512																								0	0	165	1806	0	12806	false	0	0	0	0	0	0	0	0	165	617	0	0	0	0	11000	0	0	false	0	0	CONF	
20633																								0	0	0	0	0	1240	true	0	0	0	0	0	0	0	0	0	4851	3	0	0	1240	0	0	0	false	0	0	CONF	
20754																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	false	0	0	CONF	
20839																								0	0	700	3000	0	12000	true	0	0	0	0	0	0	700	0	0	859	0	0	0	5000	4000	0	0	false	0	0	CONF	
20857																								0	0	0	5100	0	7842	true	0	0	0	0	0	0	0	0	0	832	2	0	0	1708	882	0	0	false	0	152	CONF	
20866																								0	0	0	0	0	410	false	0	0	0	0	0	0	0	0	0	1486	2	0	0	410	0	0	0	false	0	0	CONF	
21256																								0	0	133	0	0	0	false	0	0	0	0	0	0	133	0	0	42	0	0	0	0	0	0	0	false	0	0	CONF	
21359																								0	0	0	0	0	386	false	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	386	false	0	0	CONF	
21630																								0	0	86	0	0	6489	false	0	0	0	0	0	0	0	0	86	1392	2	0	0	0	6489	0	0	false	0	0	CONF	
21658																								0	0	425	1000	0	2000	true	0	0	0	0	0	0	109	0	316	1219	1	0	0	0	1000	0	0	true	0	0	CONF	
22048																								0	395	369	5000	0	11833	true	0	0	395	0	0	0	258	0	111	6567	4	0	0	0	6146	0	0	false	0	687	CONF	
22235																								482	0	364	0	0	10000	true	0	0	0	482	0	0	151	0	213	816	0	0	0	4000	6000	0	0	false	0	0	CONF	
22356																								0	0	0	0	0	356	true	0	0	0	0	0	0	0	0	0	3240	2	0	0	0	0	0	0	true	0	356	CONF	
22459																								0	0	0	1500	0	2504	true	0	0	0	0	0	0	0	0	0	3508	4	0	0	500	0	0	0	false	0	504	CONF	
22543																								0	11	51	0	0	0	true	0	0	11	0	0	0	51	0	0	263	0	0	0	0	0	0	0	true	0	0	CONF	
22552																								0	0	0	1800	0	1800	false	0	0	0	0	0	0	0	0	0	726	2	0	0	0	0	0	0	true	0	0	CONF	
22730																								0	0	65	21	0	1248	true	0	0	0	0	0	0	65	0	0	770	0	0	0	44	1183	0	0	false	0	0	CONF	
22936																								0	0	0	11000	0	14408	true	0	0	0	0	0	0	0	0	0	3400	1	0	0	1000	2397	11	0	false	0	0	CONF	
22954																								0	0	78	4232	0	8905	true	0	0	0	0	0	78	0	0	0	691	1	0	0	1898	2775	0	0	false	0	0	CONF	
23036																								0	0	0	0	0	109	true	0	0	0	0	0	0	0	0	0	12632	8	0	0	0	0	0	0	true	0	109	CONF	
23045																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	339	0	0	0	0	0	0	0	false	0	0	CONF	
23241																								10679	14556	422	152503	2681	267157	true	0	0	14556	7998	0	0	403	0	19	2029	1	2681	0	104932	2773	0	6949	true	0	0	CONF	
23456																								0	0	0	1200	0	3202	true	0	0	0	0	0	0	0	0	0	493	0	0	0	1400	551	0	51	true	0	0	CONF	
23504																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	2527	2	0	0	0	0	0	0	false	0	0	CONF	
23540																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	473	0	0	0	0	0	0	0	false	0	0	CONF	
23643																								0	0	835	50	0	451	false	0	0	0	0	150	0	203	0	482	860	1	0	0	110	291	0	0	false	0	0	CONF	
23755																								934	0	91	0	934	3000	true	0	0	0	0	0	0	0	0	91	1707	1	1245	0	0	0	2000	0	true	0	1000	CONF	
23812																								0	0	0	9822	0	65973	true	0	0	0	0	0	0	0	0	0	22103	3	0	0	39202	16949	0	0	true	0	0	CONF	
24006																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	CONF	
24266																								9018	0	0	0	2317	23681	true	0	0	0	6701	0	0	0	0	0	14936	3	2317	0	0	22000	0	0	false	0	1681	CONF	
24453																								745	0	0	0	0	0	true	0	0	0	745	0	0	0	0	0	260	0	0	0	0	0	0	0	false	0	0	CONF	
24659																								0	0	373	0	0	0	false	0	0	0	0	0	0	373	0	0	205	0	0	0	0	0	0	0	false	0	0	CONF	
24668																								517	0	370	0	150	440	true	0	0	0	367	0	0	120	0	250	332	0	150	0	0	440	0	0	false	0	0	CONF	
24855																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	318	3	0	0	0	0	0	0	false	0	0	CONF	
24949																								824	0	472	12200	85	25800	true	0	0	0	739	0	0	183	0	289	1225	1	85	0	5900	7700	0	0	true	0	0	CONF	
25357																								0	0	0	1500	0	4500	true	0	0	0	0	0	0	0	0	0	89	0	0	0	2000	1000	0	0	false	0	0	CONF	
25647																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	613	1	0	0	0	0	0	0	false	0	0	CONF	
25852																								1691	0	1145	9000	1611	24000	true	0	0	0	80	0	0	0	0	1145	4201	1	1776	0	6000	9000	0	0	true	0	0	CONF	
26149																								0	807	120	0	0	0	true	0	0	807	0	0	0	120	0	0	1016	1	0	0	0	0	0	0	false	0	0	CONF	
26233																								413	0	2023	0	0	1000	true	0	0	0	413	0	0	0	0	2023	1719	1	0	0	0	0	0	0	true	0	1000	CONF	
26242																								0	0	315	0	0	13427	true	0	0	0	0	0	0	175	0	140	3340	2	0	0	7531	5896	0	0	true	0	0	CONF	
26457																								0	0	279	0	0	0	false	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	false	0	0	CONF	
26756																								0	0	8	100	0	700	false	0	0	0	0	0	0	7	0	1	20	0	0	0	300	300	0	0	true	0	0	CONF	
26765																								0	0	0	0	0	0	false	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	false	0	0	CONF	
26859																								0	0	1524	25000	0	28484	true	0	0	0	0	912	0	372	0	240	459	0	0	0	2356	1018	0	0	false	0	110	CONF	
26916																								1918	192	0	0	245	34000	true	0	192	0	1673	0	0	0	0	0	10500	5	245	0	2000	32000	0	0	true	0	0	CONF	
27548																								1726	0	186	5200	29	44185	true	0	0	0	1697	0	0	0	0	186	9064	2	29	0	18985	20000	0	0	true	0	0	CONF	
27614																								0	0	200	1855	0	4855	true	0	0	0	0	0	0	50	0	150	554	0	0	0	0	3000	0	0	true	0	0	CONF	
27838																								0	0	0	2000	0	7100	true	0	0	0	0	0	0	0	0	0	1481	1	0	0	5000	0	0	0	true	0	100	CONF	
27847																								14	0	269	0	0	9405	true	0	0	0	14	0	0	89	0	180	368	0	0	0	437	8968	0	0	false	0	0	CONF	
28013																								1826	0	0	27700	0	50350	true	0	0	0	1826	0	0	0	0	0	1310	0	0	0	10000	10000	0	2650	true	0	0	CONF	
28152																								0	0	0	86	0	2248	true	0	0	0	0	0	0	0	0	0	133	0	0	0	1458	704	0	0	false	0	0	CONF	
28255																								0	0	84	0	0	0	true	0	0	0	0	0	0	0	0	84	477	0	0	0	0	0	0	0	true	0	0	CONF	
28349																								0	0	117	5750	0	5750	true	0	0	0	0	40	0	55	0	22	982	0	0	0	0	0	0	0	false	0	0	CONF	
28406																								0	0	0	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	0	0	CONF	
28572																								115	0	102	305	115	12433	false	0	0	0	0	0	0	0	96	6	924	0	115	0	4508	7620	0	0	false	0	0	CONF	
28732																								109	0	0	0	0	0	false	0	0	0	109	0	0	0	0	0	1591	1	0	0	0	0	0	0	true	0	0	CONF	
29104																								634	0	0	24700	3	179659	true	0	0	0	631	0	0	0	0	0	4679	3	3	0	49268	105691	0	0	true	0	0	CONF	
