"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFDB989	RCFDB995	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	RCONB987	RCONB989	RCONB993	RCONB995	
623922																																							1533	21636	7460	3624	126659	0	22325	498	0	39882	1226641	986050	0	3851	1116822	0	13347	7232	117261	0	109819	1000	1226641	0	0	63864	0	45228	75	102035	884015		0	1005795	992448	-273	3269	0	0	9660	
624152																																							97	1034	0	30	13997	0	292	0	0	2363	37026	33142	0	168	33930	0	465	0	620	0	3096	100	37026	0	0	1626	0	1479	0	4105	29037		0	19678	19213	-109	0	0	0	0	
624246																																							161	3225	0	0	33106	0	3564	1078	0	1905	116857	91900	0	413	106020	0	581	618	11407	0	10838	250	116858	0	0	5861	0	5186	0	14780	77120		0	73781	73200	-459	0	0	2300	0	
624563																																							2000	1014	0	151	15133	0	276	0	0	430	29882	24476	0	165	24641	0	47	0	0	0	5241	210	29882	0	0	5012	0	210	0	6792	17684		0	9445	9398	-191	1480	0	0	0	
624648																																							0	900	0	2112	7097	0	1302	0	0	1094	52585	38078	0	188	44930	0	862	0	6600	0	7655	120	52585	0	0	5751	0	1880	0	4725	33353		0	40942	40080	-96	0	0	64	0	
624956																																							2443	4346	94	549	0	0	723	0	0	1765	48592	38483	0	117	43650	0	588	0	5050	0	4942	400	48592	0	0	1342	0	3200	2035	11882	26601		0	37225	36637	0	0	0	0	0	
625056																																							0	3158	0	0	9474	0	644	0	0	1609	39887	32603	0	549	35656	0	316	0	104	0	4231	360	39887	0	0	1076	0	2890	0	7416	25187		0	25318	25002	-95	0	0	2400	0	
625065																																							842	5202	1119	0	51610	0	616	719	0	3458	113909	92377	0	527	102170	0	913	0	7071	0	11739	3000	113909	0	0	4145	0	5000	0	16932	75445		0	51256	50343	-406	0	0	2195	0	
625140																																							2040	5251	0	0	6940	0	1669	0	0	2406	117260	86227	0	481	105204	0	982	0	15480	0	12057	475	117261	0	0	9612	0	2025	0	17462	68765		0	98585	97603	-55	1351	0	0	3016	
625159																																							3	3169	707	200	288432	0	15277	285	0	15063	470261	321508	0	2978	426652	0	2536	7094	85076	0	43609	1000	470261	0	0	20334	0	23000	0	39104	282404		0	142567	140031	-725	0	0	725	16365	
