"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1583	RCFD1594	RCFD1597	RCFD1658	RCFD1659	RCFD1661	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD5612	RCFD5613	RCFD5614	RCFD5615	RCFD5616	RCFD5617	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDB578	RCFDB579	RCFDB580	RCFDC226	RCFDC240	RCFDC241	RCFDC410	RCFDC411	RCFDC866	RCFDC867	RCFDC868	RCFDF166	RCFDF167	RCFDF168	RCFDF169	RCFDF170	RCFDF171	RCFDF664	RCFDF665	RCFDF666	RCFDF667	RCFDF668	RCFDF669	RCFNB572	RCFNB573	RCFNB574	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON1658	RCON1659	RCON1661	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3505	RCON3506	RCON3507	RCON3529	RCON3530	RCON5380	RCON5381	RCON5382	RCON5389	RCON5390	RCON5391	RCON5398	RCON5399	RCON5400	RCON5459	RCON5460	RCON5461	RCON5612	RCON5613	RCON5614	RCON5615	RCON5616	RCON5617	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB578	RCONB579	RCONB580	RCONB834	RCONB835	RCONB836	RCONC226	RCONC229	RCONC230	RCONC236	RCONC237	RCONC238	RCONC239	RCONC240	RCONC241	RCONC410	RCONC411	RCONC866	RCONC867	RCONC868	RCONF166	RCONF167	RCONF168	RCONF172	RCONF173	RCONF174	RCONF175	RCONF176	RCONF177	RCONF178	RCONF179	RCONF180	RCONF181	RCONF182	RCONF183	RCONF661	RCONF662	RCONF663	RCONF664	RCONF665	RCONF666	RCONF667	RCONF668	RCONF669	
2732																																																																							0	0	0	0	0	0	0	0	0	0	0	0	1037	10	0	0	1318	862	0	0	0	542	1745	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	19	199	0	0	0	0	0	0	0	0	0	178	0	0	1311	0	0	0	0	0	0	0	0	0	0	0	1524	5269	53	508	0	0	862	956	0	0	0	0	0	0	0	0	0	
2750																																																																							0	0	0							1297	14	0	98	0	38	0	0	0	0	0	0	0	0	0	0	0	22						0	0	0	0	0	0	30	0	1297	0	0	0	0	0	0	0	0	0	0	0	0	94	0	25	0	0	0	0	136	10	0	0	21	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	
2938																																																																							0	0	0	0	0	0	0	0	0	0	0	0	178	0	294	0	0	4828	596	0	418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	0	253	80	0	62	0	0	0	0	0	0	0	0	0	0	0	0	40	0	17	0	0	0	0	3545	10	334	0	94	0	0	0	3834	0	0	0	0	0	0	0	0	3863	0	0	1857	4753	528	293	0	380	1993	3021	0	0	824	0	0	0	0	0	0	
3252																																																																							0	0	0							342	333	177	975	0	198	0	0	0	20	0	134	0	0	0	0	0	0						0	0	0	0	0	0	333	177	342	0	166	36	0	149	33	0	0	0	0	0	0	399	5	128	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0				0	158	0	0	0	0	0	29	0	0	0	277	0	0	0	0	0	0	0	0	0	
3458																																																																							80	21	5										0	0	2	0	0	5	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3720																																																																							0	0	0							0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	244	14	7	0	0	0	0	0	0	382	0	49	78	0	0	0	0	0	0	0				19	0	0	0	90	1	0	100	0	0	0	681	0	0	0	0	0	0	0	0	0	
3953																																																																							0	0	0							0	78	0	15	0	2956	0	0	0	0	0	1304	0	0	0	0	0	0						0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	23	0	0	0	0	202	59	448	0	136	70	0	0	0	0	0	0	0				0	0	0	0	0	0	0	0	0	0	1040	0	0	0	0	0	0	0	0	0	0	
4138																																																																							0	0	0										422	0	117	0	0	0	12	0	0	0	0	0	0	0	0						0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	0	473	0	0	0	0	610	0	1069	0	0	0	0	0	2253	0	0	0	0				0	401	0	0	905	15	0	142	0	0	0	430	0	0	0	0	0	0	0	0	0	
4156																																																																							0	0	0							0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	67	0	0	13	0	14	0	0	0	0	0	0	0	0	0	0	0	0	20	1	16	0	0	0	0	144	0	495	183	0	0	0	0	0	0	0	0	0				0	181	0	0	633	624	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4231																																																																							0	0	0										239	0	613	0	0	0	154	0	8	0	0	0	0	0	0						0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	0	62	0	0	0	0	189	0	1518	0	0	0	0	0	0	0	0	0	0				0	0	0	0	0	0	202	351	0	0	0	1546	0	0	0	0	0	0	0	0	0	
