"IDRSSD"	RCFD0426	RCFD2150	RCFD2651	RCFD3164	RCFD3190	RCFD4088	RCFD5507	RCFD6164	RCFD6165	RCFDA590	RCFDB026	RCFDB569	RCFDB570	RCFDB571	RCFDF055	RCFDF056	RCFDF057	RCFDF058	RCFDF059	RCFDF060	RCFDF061	RCFDF062	RCFDF063	RCFDF065	RCFN5513	RCON0426	RCON2150	RCON2651	RCON3164	RCON3190	RCON4088	RCON5507	RCON5508	RCON5509	RCON5510	RCON5511	RCON5512	RCON6164	RCON6165	RCONA590	RCONB026	RCONB569	RCONB570	RCONB571	RCONC979	RCONF055	RCONF056	RCONF057	RCONF058	RCONF059	RCONF060	RCONF061	RCONF062	RCONF063	RCONF064	RCONF065	RCONG463	RCONG464	TEXT4087	
	OTHER IDENTIFIABLE INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	ALL OTHR IDENTIFIABLE INTANGBL ASSET	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	ALL OTHR RE OWNED IN FOREIGN OFFICES	OTHER IDENTIFIABLE INTANGIBLE ASSETS	OTHER REAL ESTATE OWNED	FHLB ADVANCES MATURING <= 1 YEAR	MORTGAGE SERVICING ASSETS	OTHER BORROWED MONEY	IS CU WEB SITE INTERACTIVE?	ALL OTHR IDENTIFIABLE INTANGBL ASSET	CONSTRCTN&LAND DEVLPMNT IN DOMS OFFC	FARMLAND IN DOMESTIC OFFICES	1-4 FMLY RESDTL PROPTS IN DOMS OFFCS	MULTIFMLY RESDTL PROPTS IN DOMS OFFC	NONFRM NONRESDTL PROPTS IN DOMS OFFC	AGGREG AKT OF EXT OF CREDIT TO EXECS	NBR OF EXEC OFFCRSEPRIN SHAREHOLDERS	ESTMTD FAIR VAL OF MTG SERVNG ASSETS	PURCD CRD CD RLSHPS&NONMTG SRVG ASTS	DOES RPRTNG BANK SELL MUTUAL FUNDS?	ASSETS MANAGED: MUTUAL FUNDS&ANNUITY	OTHER BORR0WINGS MATURING <= 1 YEAR	FORECLOSED PROPERTIES FROM	FHLB ADVS:RMNG MAT/REPRNG DT 1 YR LE	FHLB ADVS:RMNG MAT/REPRNG DT 1-3 YRS	FHLB ADVS:RMNG MAT/REPRNG DT 3-5 YRS	FHLB ADVS:RMNG MAT/REPRNG DT OVR 5 Y	FHLB ADVANCES: STRUCTURED ADVANCES	OT BRWD MNY:WT RMNG MAT/REPR DT 1 YR	OT BRWD MNY:WT RMNG MAT/REPR DT 1-3 	OT BRWD MNY:WT RMNG MAT/REPR DT 3-5 	OT BRWD MNY:WT RMNG MAT/REPR DT OV 5	SECURED LIBLTIES:AMT OF	SECURED LIBLTIES:AMT OF	BK ACT AS TR CUST IRA, HSA, & OTHR?	BK CUST OTHR SRVC SL PRCH SCTY?	URL	
541035																										0	320	0	0	26	true	0	0	0	0	0	320	1804	2	0	0	false	0	0	0	0	0	26	0	0	0	0	0	0	0	0	false	false	http://www.citysavingsbank.com	
541101	1471000	4000	0	0	1249000	true	1471000	3000	2	0	0	false	0	970000	0	0	0	0	0	1044000	0	0	205000	49000	0					401000			0	0	4000	0	0								0										0		true	true	www.bnymellon.com	
541231																										0	0	2000	0	9152	true	0	0	0	0	0	0	160	0	0	0	false	0	152	0	2000	2000	1000	4000	0	152	0	0	0	0	152	false	false	http://www.fcbl.com	
541437																										69	6356	0	0	0	true	69	6356	0	0	0	0	8561	2	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://www.firstchoicecommunitybank.com	
541642																										0	517	0	0	4785	true	0	0	0	517	0	0	970	0	0	0	false	0	0	0	0	2887	1898	0	0	0	0	0	0	0	0	true	false	http://www.cwcbank.com	
541754																										226	244	100	0	2712	true	226	0	0	0	0	244	710	1	0	0	false	0	0	0	100	360	1770	482	0	0	0	0	0	0	0	true	false	http://www.wraystatebank.com	
541857																										636	987	0	0	2369	true	636	0	0	99	0	888	404	0	0	0	true	0	0	0	1000	471	0	898	0	0	0	0	0	0	0	true	false	http://www.carrollbank.com	
542153																										0	0	240	0	4443	true	0	0	0	0	0	0	1235	2	0	0	true	0	0	0	1240	60	280	2863	1000	0	0	0	0	0	0	true	false	www.fmbankne.com	
542340																										620	0	0	0	0	true	620	0	0	0	0	0	61	0	0	0	true	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	true	http://www.southstorybank.com	
542528																										6513	1834	0	21	87759	true	6492	0	0	0	0	1834	12415	6	21	0	true	0	0	0	35040	32566	10259	7500	0	2394	0	0	0	0	0	true	false	http://www.citizensbankco.com	
542649																										5408	17248	40000	3077	90000	true	2331	5515	0	7483	247	4003	19976	6	4775	0	true	0	0	0	40000	25000	25000	0	30000	0	0	0	0	0	0	true	true	http://chemicalbankmi.com	
542667																										0	161	0	0	1000	true	0	40	0	121	0	0	259	0	0	0	false	0	0	0	0	0	0	0	0	1000	0	0	0	0	0	false	false	www.mtmckinleybank.com	
542854																										0	150	0	0	0	false	0	0	0	0	0	150	600	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false		
543253																										40366	17265	0	0	2990	true	40366	11080	0	65	667	5453	50365	9	0	0	true	0	2990	0	0	0	0	0	0	2990	0	0	0	0	2990	false	false	http://www.mysouthwestbank.com	
543262																										0	8820	0	0	16000	true	0	4768	0	3300	0	752	3411	3	0	0	true	0	0	0	0	8000	8000	0	0	0	0	0	0	0	0	false	false	dlevans.com	
543459																										76	1105	0	44	2306	true	32	0	0	0	0	1105	7983	6	44	0	true	0	113	0	0	1843	350	0	0	113	0	0	0	0	0	false	false	www.fnb-windmill.com	
543945																										0	721	14000	0	15675	true	0	721	0	0	0	0	1487	1	0	0	true	0	0	0	14000	1000	0	675	3000	0	0	0	0	0	0	true	false	www.farmerstrust.com	
544335																										0	522	0	0	0	true	0	510	0	12	0	0	2806	2	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	http://www.unitedmsbk.com	
544447																										0	0	1000	0	8000	false	0	0	0	0	0	0	328	0	0	0	false	0	0	0	1000	3000	4000	0	6000	0	0	0	0	0	0	true	false		
544652																										0	172	0	0	6001	true	0	0	0	172	0	0	44	0	0	0	true	0	0	0	0	0	5000	1001	0	0	0	0	0	0	0	false	false	http://cornhuskerbank.com	
544951																										0	891	0	0	0	true	0	0	0	0	0	891	475	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://www.cowboystatebank.com	
545042																										462	17117	0	0	0	true	462	1838	0	1526	0	13753	492	0	0	0	false	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	http://norstatesbank.com	
