"IDRSSD"	RCFD1578	RCFD1752	RCFD2148	RCFD2160	RCFD2166	RCFD2168	RCFD3549	RCFD3550	RCFD3551	RCFDA519	RCFDA520	RCFDB556	RCFDC009	RCFDC010	RCFDC436	RCFDJ448	RCFDJ449	RCON1578	RCON1752	RCON2148	RCON2160	RCON2166	RCON2168	RCON3549	RCON3550	RCON3551	RCONA519	RCONA520	RCONB556	RCONC009	RCONC010	RCONC436	RCONJ448	RCONJ449	TEXT3549	TEXT3550	TEXT3551	
	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	REPOSSESSED PERSONAL PROPERTY	HISTCL COST OF ALL OTH AVL-FOR-SALE	NET DEFERRED TAX ASSETS	OTHER ASSETS	PREPAID EXPENSES	ALL OTHER ASSETS	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	INT-ONLY STRIPS RCVBL ON:MORTG LOANS	INT-ONLY STRPS RCVBL ON:OT FIN ASSTS	ACCRUED INTEREST RECEIVABLE	CASH SURRENDER VAL OF LIFE INSURANCE	DERIVATIVES W/POSITIVE FAIR VALUE	RETAINED INT IN ACCURED INTEREST	FDIC LOSS-SHARING INDEMINIFICATION A	PREPAID DEPOSIT INSURANCE ASSESSMENT	1ST ITM AMT FOR OTH AS OV25% OF 2160	2ND ITM AMT FOR OTH AS OV25% OF 2160	3RD ITM AMT FOR OTH AS OV25% OF 2160	
12030																	CONF	0	4311	2685	13541	326	3269	1203	0	0	0	0	2856	420	0	0	0	CONF	Reclassified NSFs			
12142																	CONF	318	739	0	3709	170	1913	0	0	0	0	0	1057	0	0	0	0	CONF				
12245																	CONF	0	416	0	1618	0	768	0	0	0	0	0	434	0	0	0	0	CONF				
12311	0	304915	322113	3300172	0	1068311	247793	0	0	0	0	170115	1434718	0	0	0	CONF		304915															CONF	Income tax receivable			
12647																	CONF	0	310	0	1477	0	553	0	0	0	0	0	614	0	0	0	0	CONF				
12656																	CONF	0	29	0	270	48	112	0	0	0	0	0	129	0	0	0	0	CONF				
12937																	CONF	0	862	0	2485	261	883	0	0	0	0	0	740	0	0	0	0	CONF				
12946																	CONF	0	2541	0	20299	0	3654	0	0	0	0	0	3245	10859	0	0	0	CONF				
12955																	CONF	0	449	0	1604	102	703	0	0	0	0	0	452	0	0	0	0	CONF				
13037																	CONF	0	545	2543	4421	0	790	0	0	0	0	0	543	0	0	0	0	CONF				
13103																	CONF	0	12036	12168	39318	0	7304	0	0	0	0	0	3747	4063	0	0	0	CONF				
13251																	CONF	0	144	0	976	0	169	0	0	0	0	0	370	293	0	0	0	CONF				
13457																	CONF	0	0	0	1631	0	41	0	0	0	0	0	294	1296	0	0	0	CONF				
14052																	CONF	0	247	0	2239	55	410	0	0	0	0	0	294	1288	0	0	0	CONF				
14155																	CONF	38	559	0	4038	179	791	0	0	0	0	0	1103	1585	10	0	0	CONF				
14454																	CONF	0	122	0	413	0	133	0	0	0	0	0	158	0	0	0	0	CONF				
14650																	CONF	0	68	100	1644	55	151	0	0	0	0	0	116	1209	0	0	0	CONF				
14753																	CONF	0	9	0	674	46	198	0	0	0	0	0	467	0	0	0	0	CONF				
14865																	CONF	0	560	1347	8544	632	2972	0	0	0	0	0	2453	1212	0	0	0	CONF				
14977																	CONF	0	186	15	782	42	167	0	0	0	0	0	297	117	0	0	0	CONF				
16337																	CONF	0	2358	6465	11760	436	826	345	0	0	0	0	2048	63	0	0	0	CONF	portion of dd unposted unable to be posted to deposit accounts			
16458																	CONF	0	797	0	3122	0	936	0	0	0	0	0	1389	0	0	0	0	CONF				
