"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG167	RCONG168	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	AMT NONINT ACTS GE 250K	NBR NONINT ACT GE 250K	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	
644440																0	1246	56	0	0	15787	1253	7404	17	24437	0					0	0	0	0	0	0	0	0	0		
644459																0	430	40	0	0	13221	948	3311	5	16962	0			2077	1	0	0	0	0	0	0	0	0	0		
644646																0	9060	429	417	1	81039	9196	8778	18	99294	0			1182	2	0	0	0	0	0	0	0	0	0		
644776																0	6844	635	576	2	71583	4701	6069	10	85072	0			3779	3	0	0	0	0	0	0	0	0	0		
644842																0	3828	195	291	1	56466	5867	19217	24	79802	0	79802	0	2735	6	0	0	0	0	0	0	0	0	0		
644963																0	1385	98	0	0	21999	2781	16657	55	40040	0			0	0	0	0	0	0	0	0	0	0	0		
645054																0	33662	1575	1620	5	254980	30381	105054	217	395316	0			9677	13	0	0	0	0	0	0	0	0	0		
645157																0	2182	130	0	0	62138	6330	16604	23	80924	0					0	0	0	0	0	0	0	0	0		
645317																0	23207	1512	518	2	269421	39011	417081	974	710227	0			54941	67	0	0	0	0	0	0	0	0	0		
645465																0	3572	209	261	1	117708	8542	40820	81	162361	0			9860	24	0	0	0	0	0	0	0	0	0		
645540																0	18895	1419	847	3	157043	11875	32854	68	209639	0			3233	4	0	0	0	0	0	0	0	0	0		
645625															354409	0	249943	17637	7818	21	3182178	319830	674639	984	4119888	5310	4112737	5358	124076	206	0	0	0	0	0	0	0	0	52701		
645661																0	1630	158	0	0	48705	1228	59582	63	109917	0			3815	5	0	0	0	0	0	0	0	0	0		
646042																0	4291	371	528	2	52216	5515	7992	21	65027	0			659	2	0	0	0	0	0	0	0	0	0		
646145																0	11920	481	281	1	90590	10045	20708	31	123499	0			2939	8	4	0	0	0	0	0	0	0	0		
646444																0	9621	512	251	1	285025	11636	15866	39	310763	0			0	0	0	0	0	0	0	0	0	0	0		
646453																0	315	15	0	0	16771	545	5110	12	22197	0			1511	3	0	0	0	0	0	0	0	0	0		
646471																0	3769	202	726	1	7547	712	0	0	12042	0					0	0	0	0	0	0	0	0	0		
646556																0	5252	177	0	0	38774	4696	25587	33	69613	0			1871	4	0	0	0	0	0	0	0	0	0		
646743																0	15534	1922	1029	2	157762	14959	63505	74	237830	0			3227	8	0	0	0	0	0	0	0	0	200		
646837																0	1716	103	842	3	108076	3813	205966	230	316600	0			35350	55	0	0	0	0	0	0	0	0	0	false	
646958																0	3354	236	0	0	50304	6664	6286	13	59944	0			2887	6	0	0	0	0	0	0	0	0	0		
647218																0	28670	1976	1584	4	240904	29802	65803	114	336961	0			19107	31	28	0	0	0	0	0	0	0	0		
