"IDRSSD"	RCON5562	RCON5563	RCON5564	RCON5565	RCON5566	RCON5567	RCON5568	RCON5569	RCON5570	RCON5571	RCON5572	RCON5573	RCON5574	RCON5575	RCON5576	RCON5577	RCON5578	RCON5579	RCON5580	RCON5581	RCON5582	RCON5583	RCON5584	RCON5585	RCON5586	RCON5587	RCON5588	RCON5589	RCON6860	RCON6999	
	# OF LNS SECD BY NONFM NONRES PROPS	# OF C&I LNS TO U.S. ADDRESSEES	# PERMNT MTG LNS AMTS $100,000 OR LS	OTSTG BAL PRMT MTG LS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTD BAL > $250,000 THRU $1 MILLION	# NONMTG CML LNS AMTS $100,000 OR LS	OTSTG BAL NONMTGE LNS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LNS > $250,000 THRU $1 MILLION	OTSTG BAL > $250,000 THRU $1 MILLION	NO OF LNS RPTD ON LINES: ITEM NO 260	# OF LS RPTD LINES: ITMS 300,303&306	# LS SCD PRIM BY FRMS $100,000 OR LS	OTST BL SCD PR BY FMS $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	# LNS TO FIN AGR PRDT $100,000 OR LS	OTST BAL FIN AGR PRDT $100,000 OR LS	NO OF LOANS > $100,000 THRU $250,000	OTSTDG BAL > $100,000 THRU $250,000	NO OF LOANS > $250,000 THRU $500,000	OTSTDG BAL > $250,000 THRU $500,000	AGRICLTRL LNS TO SMALL FARMS INDCTR	LOANS TO SMALL BUSINESSES INDICATOR	
257233	226	129	0	0	0	0	0	0	0	0	0	0	0	0	112	29	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
257345	137	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	136	4	560	1	359	7	101	1	225	0	0	false	true	
257466	0	0	31	1027	5	623	4	1323	95	2775	7	962	3	1449	0	0	16	512	4	513	2	794	72	1564	11	1528	2	623	false	false	
257653	0	0	12	191	3	459	0	0	108	1253	4	510	1	318	0	0	59	2104	5	611	2	546	180	2511	15	1928	3	451	false	false	
257756	0	0	26	1272	25	3133	3	781	101	2078	8	964	4	767	12	62	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
257840	0	0	7	282	3	479	4	2052	47	1279	17	2233	10	3498	0	0	10	511	9	1162	3	1097	41	666	10	1461	10	2637	false	false	
257868	0	0	173	8159	150	21007	76	28685	629	13740	129	11173	75	21940	0	0	13	505	19	2945	8	2907	198	5867	91	9675	68	14631	false	false	
258146	17	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	612	9	1621	2	662	114	1506	4	538	2	518	false	true	
258306	0	0	19	1152	30	4040	37	14446	234	5700	50	4280	21	5196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
258351	338	337													2	0													true	true	
258379	157	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	75	0	0	0	0	0	0	0	0	false	true	
258445	0	0	103	5361	102	15044	168	69056	243	7211	53	5794	58	21615	0	0	14	684	11	1509	12	3276	3	39	1	123	0	0	false	false	
258539	0	0	10	440	3	429	3	2033	107	1488	2	103	2	845	0	0	20	974	16	2127	5	1960	109	1676	4	640	4	723	false	false	
258632	0	0	49	1467	15	2325	6	2079	123	1722	7	883	1	320	0	0	8	207	2	381	0	0	1	3	0	0	0	0	false	false	
258771	0	0	8	265	21	3667	66	39459	12	419	12	1479	9	2758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
259031	0	0	7	360	32	3798	39	14404	54	2061	68	7671	79	22019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
259059	35	73	0	0	0	0	0	0	0	0	0	0	0	0	95	126	0	0	0	0	0	0	0	0	0	0	0	0	true	true	
259330	0	0	169	7528	75	11911	55	24785	888	16797	46	6609	14	6344	6	5	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
259442	0	0	122	12184	29	3669	29	14997	102	2530	38	4730	18	9883	0	0	45	2402	30	2768	16	5358	205	4289	61	6666	21	6311	false	false	
259518	0	0	1683	75549	1711	237302	1868	788829	107750	474161	2179	238052	2382	739429	0	0	71	2460	23	3254	12	3941	159	3213	24	2913	3	421	false	false	
259554	0	0	31	1179	18	2937	12	3668	68	1787	21	2194	12	4409	2	0	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
259657	0	0	106	4957	170	18985	311	100648	473	11445	125	9683	36	6270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
259853	0	0	14	596	21	2888	10	1700	26	560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	false	false	
259956			35	1898	15	1960	7	3980	148	3935	33	4482	28	8966			2	20	0	0	0	0	0	0	0	0	0	0	false	false	
260055	0	0	138	6697	226	33997	201	86043	2068	21292	105	9210	46	10382	0	0	29	1104	18	2692	10	2790	12	230	3	405	0	0	false	false	
260149	0	0	0	0	0	0	0	0	17	111	2	215	0	0	0	0	0	0	0	0	0	0	54	243	1	80	0	0	false	false	
260354	0	0	31	154	12	64	2	188	101	2024	12	1450	12	3427	0	0	83	3220	20	2074	7	1861	138	2853	21	2456	6	1514	false	false	
260831	0	0	21	368	3	538	6	2488	26	391	5	570	3	1171	12	2	0	0	0	0	0	0	0	0	0	0	0	0	true	false	
260868			17	692	8	1148	9	2648	31	768	5	638	1	122			4	207	1	16	0	0	20	241	2	282	0	0	false	false	
