"IDRSSD"	RCFD0071	RCFD0081	RCFD0426	RCFD1350	RCFD1754	RCFD1773	RCFD2130	RCFD2145	RCFD2150	RCFD2155	RCFD2160	RCFD2170	RCFD2800	RCFD2920	RCFD2930	RCFD2948	RCFD3000	RCFD3123	RCFD3163	RCFD3190	RCFD3200	RCFD3210	RCFD3230	RCFD3300	RCFD3545	RCFD3548	RCFD3632	RCFD3838	RCFD3839	RCFD5369	RCFD6724	RCFDA130	RCFDB528	RCFDB529	RCFDB530	RCFN2200	RCFN6631	RCFN6636	RCON0071	RCON0081	RCON0426	RCON1350	RCON1754	RCON1773	RCON2130	RCON2145	RCON2150	RCON2155	RCON2160	RCON2170	RCON2200	RCON2800	RCON2920	RCON2930	RCON2948	RCON3000	RCON3123	RCON3163	RCON3190	RCON3200	RCON3210	RCON3230	RCON3300	RCON3545	RCON3548	RCON3632	RCON3838	RCON3839	RCON5369	RCON6631	RCON6636	RCON6724	RCONA130	RCONB528	RCONB529	RCONB530	
294751																																							42	6652	0	18399	18616	14618	0	2716	371	0	8503	146394	126317	0	0	880	127197	0	1927	0	0	0	19197	800	146394	0	0	17046	0	1150	0	25111	101206	4	0	78404	76477	201	
294779																																							2613	9875	405	0	0	17353	40	9881	1881	0	7331	364004	225241	0	0	1768	303988	0	2833	0	76979	0	60016	1	364004	0	0	34004	0	26008	24630	16159	209082	1	0	292828	289995	3	
294809																																							800	11282	0	0	1250	53199	0	5014	0	0	18468	443797	383273	6993	0	2907	406244	0	4832	0	13071	0	37553	345	443797	0	0	13307	0	23647	9171	26367	356906	2	0	349445	344613	254	
294827																																							126	1491	0	0	0	7486	0	1475	20	0	1008	43051	34816	0	0	226	36612	0	420	875	1570	0	6439	500	43051	0	0	4903	0	1000	0	10186	24630	1	0	30990	30570	36	
294872																																							0	53231	0	355152	0	35871	0	13496	771	0	33084	1168727	1000565	21163	0	23314	1075547	0	6837	1077	1742	20000	93180	28282	1168727	8763	8763	-23788	0	88636	0	247276	753289	2	0	674119	667282	50	
295011																																							603	7974	0	12700	5486	32171	0	2690	121	0	3818	261725	219849	3111	0	3166	236494	0	1951	0	10368	0	25231	1150	261725	0	0	21511	0	2150	0	28607	191242	2	0	198113	196162	420	
295057																																							35	2018	0	4423	621	6194	0	2241	0	0	2021	82610	73777	566	0	1236	75579	0	550	0	0	0	7031	100	82610	0	0	708	0	6150	0	12655	61122	4	0	65607	65057	73	
295356																																							37	564	0	825	1707	0	0	506	0	0	357	17632	15233	0	0	90	16323	0	186	0	1000	0	1309	220	17632	0	0	649	0	440	0	2978	12255	4	0	13822	13636	0	
295552																																							5828	1705	0	0	0	7637	0	305	0	0	602	47775	43439	0	0	292	43731	0	364	0	0	0	4044	879	47775	0	0	317	0	2832	0	5617	37822	1	0	32062	31698	16	
295628																																							55	16749	252	13545	0	86868	86	6671	0	0	6233	416252	339922	27143	0	2147	378329	0	3965	0	2867	6250	37923	840	416252	0	0	34155	0	1990	0	53981	285941	1	0	289758	285793	938	
295637																																							168	7758	0	10400	962	48597	0	5811	88	0	4707	207245	167127	4720	0	1972	190122	0	924	5206	16303	0	17123	1280	207245	0	0	12707	0	2563	0	24600	142527	2	0	124472	123548	573	
295646																																							0	896	0	300	8428	0	0	302	0	0	261	17282	14791	0	0	200	14991	0	59	0	0	0	2291	75	17282	0	0	1591	0	625	0	1284	13507	8	0	7154	7095	0	
295758																																							0	1089	0	2380	371	4094	0	238	24	0	869	31914	28979	200	0	295	29477	0	381	0	3	0	2437	200	31914	0	0	326	0	1900	0	3049	25930	4	0	23230	22849	11	
296102																																							542	2596	12	1410	0	20878	0	1735	0	0	1363	98018	85222	0	0	496	86733	0	1108	0	1015	0	11285	152	98018	0	0	9765	0	1193	0	8046	77176	2	0	70590	69482	175	
296438																																							3638	2310	0	4475	859	4027	0	1742	0	0	1021	62530	54006	0	0	338	57344	0	431	0	3000	0	5186	300	62530	0	0	4471	0	400	0	8326	45680	4	0	44889	44458	15	
