"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1257	RCFD1258	RCFD1259	RCFD1271	RCFD1272	RCFD1583	RCFD1594	RCFD1597	RCFD1658	RCFD1659	RCFD1661	RCFD1791	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD5612	RCFD5613	RCFD5614	RCFD5615	RCFD5616	RCFD5617	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDB578	RCFDB579	RCFDB580	RCFNB572	RCFNB573	RCFNB574	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1271	RCON1272	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON1658	RCON1659	RCON1661	RCON1791	RCON2759	RCON2769	RCON3492	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3502	RCON3503	RCON3504	RCON3505	RCON3506	RCON3507	RCON3529	RCON3530	RCON5380	RCON5381	RCON5382	RCON5389	RCON5390	RCON5391	RCON5398	RCON5399	RCON5400	RCON5401	RCON5402	RCON5403	RCON5459	RCON5460	RCON5461	RCON5612	RCON5613	RCON5614	RCON5615	RCON5616	RCON5617	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB578	RCONB579	RCONB580	RCONB834	RCONB835	RCONB836	
1463086																																																									0	0	0									0	0	0	313	556	12	0	0	0		0	83	0	0	0	0	0	0	0	1030	0	446	0	0	285						0	0	0	128	0	0	840	100	406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	23	0	0	0	
1463705																																																									0	0	0									0	0	0	0	74	251	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	31	0	0	0	0	0	153	0	0	146	0	0	0	0	1	0	7	0	30	0	0	0	
1463983																																																									0	0	0									105	153	75	256	0	0	0	0	0		0	0	0	15	10	0	0	0	0	12	36	0	0	0	0						0	0	0	0	0	0	627	39	42	153	75	105	0	0	0	0	0	0	0	0	0	27	5	0	470	115	14	0	0	0	
1464122																																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	2387	1775	1177	0	0	0	0	95	0	0	4	0	0	4213	699	553	3270	1462	2615	0	0	0	0	0	0	0	0	0	0	0	29	0	0	1688	447	0	568	185	0	158	643	46	126	519	39	35	0	0	9	0	0	3281	510	12	0	0	0	
1464177																																																									0	0	0									0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1466078																																																									0	0	0									0	0	0	1069	0	912	0	0	0		1220	0	0	0	0	0	200	0	0	0	0	49	0	0	0						0	0	0	32	0	0	121	0	78	0	0	0	0	0	160	0	0	142	0	0	0	0	0	0	112	2	37	0	0	0	
1466489																																																									0	0	0									0	0	0	0	0	6	0	0	258		69	0	0	0	0	0	0	117	0	0	0	0	0	0	0						0	0	0	17	0	0	17	160	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	28	69	0	0	0	
1469211																																																									0	0	0									0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	71	334	749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
1469677																																																									0	0	0									0	0	0	713	0	0	0	0	0		1382	0	0	0	0	0	0	0	0	79	158	291	0	0	0						0	0	0	181	0	0	1812	0	66	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	416	13	8	0	0	0	
1470150																																																									0	0	0									188	110	118	277	0	0	0	0	0		0	0	0	0	0	12	0	0	0	328	0	988	0	0	0						0	0	0	0	0	0	267	9	0	110	118	188	0	0	821	0	0	657	0	0	0	7	6	0	98	2	0	0	0	0	
