"IDRSSD"	RIAD3123	RIAD4230	RIAD4605	RIAD4635	RIAD4815	RIADB522	
	ALLL_AMT	PROVISION FOR CREDIT LOSSES	RECOVERIES CREDITED TO RESERVES	LOSSES CHARGED TO RESERVE	CHG IN ALLOW FOR LN&LS LOSS/ADJUSTMT	BEGIN BALANCE (MOST RECENT) IN ALLL	
33754	60	0	0	0	0	60	
33772	7473	150	21	120	2597	4825	
33839	199	0	1	0	0	198	
33857	824	45	26	32	0	785	
34032	549	15	24	2	0	512	
34153	985	60	0	4	0	929	
34359	327	0	24	34	0	337	
34425	1455	100	1	16	0	1370	
34434	886	82	4	13	0	813	
34452	367	0	1	3	0	369	
34537	7224	0	63	57	0	7218	
34555	811	15	4	11	0	803	
34742	1072	50	8	18	0	1032	
34836	99	15	1	12	0	95	
34863	184	6	8	12	0	182	
35057	402	10	17	1	0	376	
35244	3305	280	23	163	0	3165	
35301	57674	1000	0	0	-394	57068	
35570	3412	100	7	4	0	3309	
35646	222	0	0	0	0	222	
35842	382	0	0	7	0	389	
35851	173	15	3	1	0	156	
35936	29	0	0	2	0	31	
36054	5173	530	59	488	0	5072	
36344	2155	15	52	101	0	2189	
36456	474	0	2	0	0	472	
36830	328	12	7	8	0	317	
36858	1576	71	0	235	0	1740	
36933	598	45	26	33	0	560	
37051	322	0	0	0	0	322	
37341	322	15	1	3	0	309	
37350	503	220	12	1	0	272	
37378	541	68	0	9	0	482	
37435	5608	327	54	184	0	5411	
37640	3341	0	9	107	0	3439	
37659	458	50	3	53	0	458	
37743	648	15	0	0	0	633	
37949	1109	45	4	8	0	1068	
38441	302	3	4	0	0	295	
38478	1445	-30	76	182	0	1581	
38526	1668	55	7	96	0	1702	
38535	3048	0	211	0	0	2837	
38740	1200	45	25	79	0	1209	
39327	2137	0	0	0	0	2137	
39420	5045	450	36	691	0	5250	
39475	4943	411	16	108	3626	998	
39756	650	255	21	354	0	728	
39934	1289	30	27	84	0	1316	
40033	1105	0	228	151	0	1028	
40051	3336	89	6	45	0	3286	
40305	29226	1425	715	3094	0	30180	
40350	253	0	0	0	0	253	
40707	1509	60	45	113	0	1517	
40855	374	15	1	0	0	358	
41245	147	6	0	0	0	141	
41553	659	36	42	87	0	668	
41629	1081	158	72	141	0	992	
41647	3971	90	0	46	0	3927	
41759	243	56	0	110	0	297	
41825	2309	0	5	3	0	2307	
41937	368	3	0	0	0	365	
41955	319	0	3	14	0	330	
42037	170	0	1	3	0	172	
42055	299	8	13	17	0	295	
42354	565	0	2	1	0	564	
42420	26567	1995	149	1412	0	25835	
42448	1623	146	17	95	0	1555	
42457	582	30	20	0	0	532	
42541	159736	8601	6362	14963	0	159736	
43052	409	260	0	390	0	539	
43155	910	79	21	38	0	848	
43173	29683	753	29	0	0	28901	
43324	811	15	72	32	0	756	
43351	45	0	0	0	0	45	
43454	279	2	1	4	0	280	
43511	1887	113	30	43	0	1787	
43641	493	2	1	2	0	492	
43669	7940	1125	124	15	0	6706	
43744	411	15	1	20	0	415	
43856	241	0	1	2	0	242	
43959	747	170	5	65	0	637	
44040	1198	45	26	56	0	1183	
44134	11796	450	42	113	0	11417	
44433	2298	-97	355	2	0	2042	
44451	465	24	22	32	0	451	
44602	5983	-25482	51	40	0	31454	
