RCFD1578,RCFD1752,RCFD2148,RCFD2160,RCFD2166,RCFD2168,RCFD3549,RCFD3550,RCFD3551,RCFDA519,RCFDA520,RCFDB556,RCFDC009,RCFDC010,RCFDFT33,RCFDFT34,RCFDFT35,RCFDHT80,RCFDK201,RCFDK202,RCFDK270,RCON1578,RCON1752,RCON2148,RCON2160,RCON2166,RCON2168,RCON3549,RCON3550,RCON3551,RCONB556,RCONC010,RCONFT33,RCONFT34,RCONFT35,RCONHT80,RCONK201,RCONK202,RCONK270,IDRSSD,RCON9999
0,332786,1061,2984499,0,774944,0,0,0,0,0,170874,,0,,,,,325251,530159,849424,,332786,,,,,,,,,,,,,,,,,12311,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,310,0,1038,142,181,0,0,0,547,0,,,,,0,0,0,12647,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,29,47,190,40,45,0,0,0,69,0,,,,,0,0,0,12656,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,607,0,1320,181,181,0,0,0,532,0,,,,,0,0,0,12937,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,3982,0,24128,1366,2062,0,0,0,5797,0,,,,,1293,10994,0,12946,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,226,0,643,140,140,0,0,0,277,0,,,,,0,0,0,12955,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,8218,6349,28492,1707,3217,889,0,0,3509,0,,,,,7199,0,0,13103,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,331,0,947,47,47,0,0,0,177,0,,,,,392,0,0,13251,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,0,0,1601,0,0,0,0,0,296,0,,,,,1305,0,0,13457,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,152,169,2160,51,126,0,0,0,177,0,,,,,1168,368,0,14052,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,959,0,7136,273,273,0,0,0,1643,0,,,,,4261,0,0,14155,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,48,208,1826,48,48,0,0,0,119,0,,,,,1403,0,0,14650,2015-12-31
,,,,,,,,,,,,,,,,,,,,,180,9,0,892,0,302,0,0,0,581,0,,,,,0,0,0,14753,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,581,1004,10580,440,1252,0,0,0,3063,0,,,,,3067,0,1613,14865,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,294,77,1068,31,31,0,0,0,554,0,,,,,0,112,0,14977,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1963,0,8402,256,560,263,0,0,1643,0,,,,,4236,0,0,16551,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,209,24,2604,0,52,0,0,0,626,0,,,,,1693,0,0,16748,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,219,0,3617,0,3282,1402,0,0,116,0,,,,,0,0,0,17110,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,37633,39205,322930,7858,22230,0,0,0,24363,4938,,,,,85158,100982,13359,17147,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,267,0,2468,98,101,0,0,0,340,0,,,,,1760,0,0,17259,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,3000,46049,136127,1921,27450,8595,8646,0,5374,0,,,,,25656,28598,0,17464,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,864,129,4262,94,112,0,0,0,2512,0,,,,,0,0,645,17950,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,3355,2323,7039,225,404,72,14,93,957,0,,,,,0,0,0,17978,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,491,0,9043,1278,2167,0,0,0,1958,0,,,,,4427,0,0,18050,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1126,0,7499,163,293,0,0,0,1042,0,,,,,5038,0,0,18135,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,119,37,425,25,158,9,124,0,111,0,,,,,0,0,0,18377,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,3621,5967,32363,1578,3112,0,0,0,2328,0,,,,,7822,0,9513,18827,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,393,760,5968,0,817,263,319,0,474,0,,,,,3524,0,0,18836,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,1006,0,5333,224,657,414,0,0,3670,0,,,,,0,0,0,18854,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,111,0,1903,378,378,0,0,0,461,0,,,,,953,0,0,19356,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,3247,21224,94316,1735,10217,6754,0,0,5687,0,,,,,49849,0,4092,19730,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,466,445,6209,178,361,170,0,0,1249,0,,,,,3688,0,0,19936,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,31,433,3563,0,23,0,0,0,234,0,,,,,2842,0,0,19972,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,214,796,2744,107,152,0,0,45,501,0,,,,,1081,0,0,20053,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,803,1451,11114,521,619,0,0,0,864,0,,,,,7377,0,0,20633,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,463,0,2479,61,61,0,0,0,1955,0,,,,,0,0,0,20857,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,56,0,644,0,0,0,0,0,17,0,,,,,571,0,0,21256,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,323,0,946,55,56,0,0,0,437,0,,,,,130,0,0,21359,2015-12-31
,,,,,,,,,,,,,,,,,,,,,0,339,0,872,65,121,0,0,0,412,0,,,,,0,0,0,21630,2015-12-31
