"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	RCONF233	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	IRA KEOGH IN MEM ITEM 2.C	
139843	96463	19	1599	32413	0	39312	0	0	0	48970	48970	0	443832	0	71746	100802		97720	148847	14416	68701	74483	0	33620	26719	42258	26619	2122	30585	43898	25562	757	37694	372086	0	0	1643	
139955	3832	1	3348	6542	0	17720	0	0	0	0	0	0	54798	0	9781	14503		28089	8374	2435	25699	13836	0	0	11952	13747	2188	202	5839	7997	667	0	14371	45017	0	0	114	
140018	114613	1	60800	76055	0	159859	0	0	0	0	0	0	768064	0	76448	91017		224931	337504	32140	167724	81087	0	0	35801	140137	43700	5293	33792	47295	9624	306	98981	691616	77	0	3085	
140157	5722	0	979	12667	0	25135	0	0	0	100	1245	0	61116	0	3570	8442		38879	8074	4878	32364	7159	0	100	8441	24726	4277	1435	1386	5773	1141	141	24135	56301	21	1245	433	
140362	83481	15	0	23890	0	26895	0	0	0	0	0	0	195106	0	0	8849	0	4956	97820	1285	4461	8314	0	0	1738	2723	495	0	2960	5354	535	0	26880	195106	0	0	168	
140634	2357	0	1691	10605	0	15773	0	0	0	0	0	0	27950	0	13186	4615		17270	3708	0	13874	4615	0	0	4347	9531	2559	833	1785	2830	0	0	14082	14764	0	0	0	
141211	16458	0	4952	18618	0	46344	0	0	0	0	0	0	118397	0	188	32018		67929	1992	7999	44864	25610	0	0	14436	31018	20453	2022	8980	16631	5383	1024	41392	118209	0	0	2296	
141341	11938	13	5267	19359	0	51766	0	0	0	0	0	0	83057	0	10307	11304		34997	24818	1634	31907	10635	0	0	9676	22231	2555	535	2511	8124	304	365	46486	72750	0	0	247	
141350	6398	0	2445	11277	0	12960	0	0	0	0	0	0	24592	0	3786	8473		9721	0	526	9681	8373	0	0	3606	6075	40	0	1637	6736	100	0	10515	20806	0	0	115	
141453	1979	0	860	3165	0	5270	0	0	0	0	0	0	16296	0	930	4041		10045	231	2367	8778	4041	0	0	3404	5374	1140	127	2056	1985	0	0	4410	15366	0	0	888	
141556	67989	15	841	52714	0	53385	0	0	238255	18600	258368	0	670248	0	24394	84050		312311	205898	11020	134643	78231	69522	19602	44890	89753	161513	16155	39402	38829	3304	2515	50695	622010	1834	23844	2824	
141734	245478	0	1405	38644	0	49708	0	0	118983	390228	509211	0	1283195	0	100700	276115		638913	122689	53084	361177	245225	115091	161010	102560	258617	125122	152614	135473	109752	19843	11047	48126	1155605	177	26890	10081	
141958	21020	0	392	10977	0	17784	0	0	0	0	0	0	59357	0	3756	14511		19669	4157	15271	18015	13899	0	0	6047	11968	1423	231	4044	9855	612	0	17392	55601	0	0	0	
142049	4659	7	2323	10624	0	22573	0	0	0	0	0	0	51709	0	1712	9095		31768	6187	7104	25662	8574	0	0	11703	13960	4565	1540	5594	2980	415	106	20243	49997	0	0	0	
142571	7481	0	0	1236	0	4016	0	0	0	0	0	0	32544	0	0	4647		18413	2004	1981	15935	4319	0	0	6094	9843	2477	0	2402	1917	328	0	4016	32544	0	0	0	
142656	5381	0	4023	9105	0	26483	0	0	0	0	0	0	51195	0	10037	15193		27412	3210	4887	24134	13533	0	0	12728	11406	2932	346	4109	9424	1660	0	22453	41158	7	0	1429	
142955	189512	31	29286	60870	0	68937	0	0	288670	0	288670	0	925856	0	31558	128759		422228	185357	20848	276012	113612	154411	0	100100	175912	144593	1623	36934	79962	9790	2073	39574	884080	46	10218	6332	
143158	3039	0	2084	5237	0	9064	0	0	0	0	0	0	19987	0	1554	2173		10598	4177	1895	8962	1976	0	0	2748	6239	1570	41	732	1244	197	0	6980	18433	0	0	0	
143653	3482	0	899	3721	0	6820	0	0	0	0	0	0	20363	0	977	2137		12191	2553	2158	9715	2023	0	0	3558	6157	2451	24	408	1615	114	0	5921	19386	0	0	106	
143662	1712708	13	27591	521379	0	665357	0	0	9643	0	9643	0	5732073	0	886896	1152784		783331	2083250	115940	687553	1066761	0	0	307284	380851	73479	21717	516246	550851	73495	12192	637230	4841153	523	4024	31783	
143859	2332	0	432	3221	0	9327	0	0	0	0	0	0	28503	0	2085	8572		17013	586	4733	14443	5741	0	0	4716	9727	1296	1274	2363	3378	1756	1074	8895	26418	0	0	1768	
143952	23122	0	1748	22428	0	34429	0	0	0	0	0	0	111171	0	2312	27751		45521	14776	13172	38955	25569	0	0	17446	23237	4610	228	8565	17680	1506	0	32681	108859	0	0	3216	
144034	75163	0	3953	9763	0	18676	0	0	2500	0	2500	0	193085	0	46921	53238		41088	23596	14674	38825	51106	2500	0	19815	19011	2262	0	27418	23688	2132	0	14723	145091	0	1073	6527	
144052	19532	10	19711	38937	0	72003	0	0	0	0	0	0	89678	0	4827	18511		44213	7422	9524	35641	16369	0	0	12188	23453	7377	1195	6586	9783	2042	100	51482	84546	800	305	1272	
144155	44174	0	1088	14391	0	23426	0	0	0	0	0	0	187284	0	1444	28265		34907	79938	4346	28837	8184	0	0	7922	20915	4224	1846	1187	6997	2148	17933	22027	185840	311	0	656	
144436	13783	0	7789	37842	0	61587	0	0	0	0	7000	0	133186	0	14461	43982		68827	6594	7009	50354	32602	0	7000	11508	38846	14826	3647	12535	20067	9387	1993	53798	118625	0	100	905	
144856	14716	0	681	27973	0	46954	0	0	0	0	0	0	116084	0	6581	41276		40051	20041	12420	30876	31430	0	0	11229	19647	7736	1439	11480	19950	6936	2910	46273	109503	0	0	5710	
144913	41555	0	1975	16636	0	22764	0	0	0	0	0	0	164906	0	1507	39112		77767	6472	33076	44630	16957	0	0	11917	32713	23690	9447	4097	12860	9507	12648	20789	163399	0	0	7823	
145059	7415	1	727	6250	0	10998	0	0	0	0	0	0	34828	0	6572	15835		11579	0	3103	8766	15065	0	0	3450	6086	1907	136	2678	12387	770	0	10270	27754	0	502	714	
145545	29749	0	3270	22074	0	47618	0	0	0	0	0	0	159718	0	4970	30387		86908	12674	20168	65897	26597	0	0	30976	37776	15026	3130	10434	16703	2939	310	44348	154748	0	0	4901	
145554	8259	12	9878	39889	0	67888	0	0	0	0	0	0	103073	0	0	21887		41439	31488	12884	32396	18689	0	0	20466	14788	3856	2329	12157	7006	1284	1440	57976	103073	22	0	2368	
145741	9853	0	3282	19346	0	34135	0	0	0	0	0	0	86043	0	6055	14311		40689	21190	4782	25445	11520	0	0	5124	20329	8099	7137	4603	6917	1583	1208	30853	79988	0	0	375	
145750	5518	0	4695	9400	0	22913	0	0	0	0	0	0	59850	0	11193	6301		23293	24738	4139	18774	5569	0	0	7266	11508	2832	1687	1824	3745	732	0	18218	48657	0	0	110	
145844	17939	3	3419	24958	0	49639	0	0	0	0	0	0	115717	0	4077	22503		61119	14156	10090	45684	17738	0	0	17039	28895	12900	2285	8267	9473	4017	746	46217	111640	0	0	1562	
145956	1896	0	1326	3370	0	5852	0	0	1342	0	1342	0	36753	100	554	1155		33385	317	2091	26544	730	1243	0	10006	18008	5046	325	203	532	0	420	4526	23627	0	12472	200	
146056	705	5	239	2334	0	10400	0	0	0	0	0	0	4831	0	216	749		3191	186	929	3154	749	0	0	1684	1470	37	0	649	100	0	0	10156	4615	0	0	106	
146533	918	0	1292	3063	0	4405	0	0	0	0	0	0	3431	0	826	500		1663	350	0	1569	500	0	0	594	975	94	0	200	300	0	0	3113	2605	0	0	0	
146618	8386	12	1451	28258	0	37644	0	0	0	0	0	0	73724	0	3826	34153		13240	17945	2749	11261	32240	0	0	3857	7404	1603	376	15145	17095	1320	593	36136	69898	45	0	0	
146654	14703	5	3642	53540	0	77901	0	200	0	0	8377	0	320260	0	22884	118366		131445	55747	15284	100707	100200	0	0	44107	58094	16522	12721	46462	54344	16116	1443	74254	284590	0	12586	4409	
146663	84584	0	3334	81739	0	149776	0	0	0	0	0	0	473516	0	1742	120684		174281	93967	87909	102820	64931	0	0	34008	68812	37889	33572	23009	41922	25939	29814	146420	471774	22	0	32966	
146850	8216	0	527	8639	0	11657	0	0	2450	500	2950	0	64697	0	13271	22833		28658	4990	1552	18181	17664	1659	100	5699	13942	7543	1474	10342	7322	4364	805	11130	50210	0	1216	508	
147053	2088	0	256	6437	0	7642	0	0	0	0	0	0	36322	0	2383	9232		19763	5239	2274	18004	8787	0	0	6302	11702	1463	296	2985	5802	141	304	7386	33939	0	0	763	
147174	3012	13	0	24921	0	41910	0	0	15549	28503	44052	0	278185	2000	21485	81035		97349	96789	9055	57313	45313	5823	10265	12189	45124	28831	11205	7421	37892	30188	5534	41897	252748	0	1952	2563	
147633	10201	1	10614	15411	0	43659	0	0	0	0	0	0	137358	0	13011	54622		55290	17244	17760	41866	42903	0	0	14912	26954	8717	4707	18356	24547	5756	5963	32997	124218	47	129	7793	
147651	3464	0	1456	4445	0	9220	0	0	0	0	0	0	16750	0	1162	4115		7599	1572	719	6973	3782	0	0	2725	4249	599	26	1464	2318	333	0	7764	15588	0	0	286	
147679	23887	0	0	3182	0	9753	0	0	0	0	0	0	102831	0	0	17702		56171	5072	8987	39262	13289	0	0	10490	28923	15251	1507	4053	9236	3956	457	9753	102831	0	0	0	
147839	20419	0	16169	23069	0	66427	0	0	986	116296	117282	0	675506	0	39284	249242		171762	234084	55726	127352	136232	689	44222	41048	86412	33383	10919	40232	96000	91565	21445	50258	636222	0	0	21884	
147857	5133	0	15146	11726	0	39268	0	0	23969	0	23969	0	94831	0	7599	16392		57226	16080	5785	48946	13913	23077	0	13750	35196	6486	1794	5173	8740	1791	688	24122	87232	0	0	1773	
