RIAD0497,RIAD4042,RIAD4136,RIAD4141,RIAD4146,RIAD4461,RIAD4462,RIAD4463,RIAD4464,RIAD4467,RIAD4468,RIAD4486,RIAD4487,RIAD4488,RIAD4489,RIAD4491,RIAD4498,RIAD4499,RIAD4521,RIAD4522,RIAD4769,RIAD8403,RIADB526,RIADB527,RIADC013,RIADC014,RIADC015,RIADC016,RIADC017,RIADC018,RIADF555,RIADF556,RIADF557,RIADF558,RIADF559,RIADFT29,RIADFT30,RIADFT31,RIADFT32,RIADJJ26,RIADJJ27,RIADJJ28,RIADT047,RIADY923,RIADY924,IDRSSD,RCON9999
135,42,37,54,,44,,,55,103,41,,,,,,0,0,0,0,false,53,0,0,,6,23,11,18,69,863,22,89,284,195,0,0,0,0,,,,,,,10250,2017-06-30
0,0,0,0,,0,0,0,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,17,0,58,208,25,0,60,0,0,83,0,0,0,0,,,,0,0,0,10849,2017-06-30
34,31,54,6,,11,104,0,94,0,0,,,,,,0,0,0,0,false,51,0,0,21,0,10,299,256,44,0,90,23,117,52,0,0,0,0,,,,9,0,23,11145,2017-06-30
34,0,92,0,,0,0,0,57,30,0,,,,,,0,0,0,0,false,30,0,0,0,50,16,27,0,27,65,25,32,0,61,0,0,0,0,,,,0,0,0,11640,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,11837,2017-06-30
46,51,0,50,,0,0,0,310,118,120,,,,,,0,0,0,0,false,0,0,0,39,0,0,0,347,99,296,73,0,0,63,0,0,0,0,,,,0,0,0,12030,2017-06-30
36,0,58,2,,,,,148,,,,,,,,0,0,0,0,false,30,0,0,14,85,33,45,0,53,93,26,60,9,14,0,0,0,0,,,,10,0,23,12142,2017-06-30
,,,,,,,,,,,,,,,,0,0,0,0,false,,0,0,,,,,112,,,,,,,0,0,0,0,,,,,,,12179,2017-06-30
43265,,,10372,,6900,19995,9386,-12520,,,,,,,,-331000,-2,0,0,true,10364,0,0,7153,31822,,8519,143335,,91462,,14674,,13354,0,0,0,0,,,,,,,12311,2017-06-30
0,0,0,0,,0,0,112,0,0,0,,,,,,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,12647,2017-06-30
