RIAD3582,RIAD3583,RIAD3584,RIAD3585,RIAD3588,RIAD3589,RIAD3590,RIAD3591,RIAD4266,RIAD4267,RIAD4608,RIAD4617,RIAD4618,RIAD4627,RIAD4628,RIAD4635,RIAD4638,RIAD4643,RIAD4644,RIAD4645,RIAD4646,RIAD4652,RIAD4653,RIAD4654,RIAD4655,RIAD4658,RIAD4659,RIAD4662,RIAD4663,RIAD4664,RIAD4665,RIAD4668,RIAD4669,RIAD5409,RIAD5410,RIAD5411,RIAD5412,RIADB512,RIADB513,RIADB514,RIADB515,RIADB516,RIADB517,RIADC217,RIADC218,RIADC234,RIADC235,RIADC388,RIADC880,RIADC891,RIADC892,RIADC893,RIADC894,RIADC895,RIADC896,RIADC897,RIADC898,RIADF185,RIADF187,RIADF188,RIADK129,RIADK133,RIADK205,RIADK206,IDRSSD,RCON9999
,,0,0,0,0,,,0,0,0,,,0,1,10,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,0,11,0,0,0,,,0,0,10,0,0,0,0,0,,,,,,,,12647,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,5,2,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,3,3,4,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,12656,2010-06-30
,,0,0,0,0,,,0,0,13,,,0,0,80,80,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,12937,2010-06-30
,,0,0,181,0,,,0,0,10,,0,0,0,1251,298,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,160,75,28,0,328,0,,,104,0,0,0,180,0,0,0,0,0,,,,,,12946,2010-06-30
,,0,0,0,0,,,0,0,35,,,0,0,579,559,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,2,0,0,0,20,,,0,0,0,0,0,0,0,0,,,,,,,,12955,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,5,117,61,0,5,,,,,,,,,,,,,,,0,0,0,0,,,0,8,10,3,1,0,24,0,0,,0,0,0,0,17,0,0,0,,,,,,,,13037,2010-06-30
,,0,0,0,0,,,0,0,3,,0,0,0,3277,2295,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,371,107,0,0,84,0,,,0,0,267,0,0,0,260,0,0,0,,,,,,13103,2010-06-30
,,0,0,0,0,,,0,0,4,,,0,4,0,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,13251,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,13457,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,82,35,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,7,0,0,0,25,0,0,,0,0,0,0,0,0,15,5,,,,,,,,14052,2010-06-30
,,0,0,0,0,,,0,0,51,,,0,5,201,122,0,18,,,,,,10,,,,,,0,,,0,0,0,0,,,0,0,47,26,104,10,14,0,,,0,0,0,0,0,0,0,15,,,,,,,,14155,2010-06-30
,,0,0,0,0,,,33,0,1,,,0,0,361,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,150,0,0,0,178,0,,,,,,,,14454,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,68,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,17,10,0,0,0,48,,,0,0,3,0,0,0,0,0,,,,,,,,14650,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,12,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,12,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,14753,2010-06-30
,,0,0,0,0,,,0,0,2,,,0,0,591,67,0,80,,,,,,78,,,,,,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,140,0,304,0,0,0,0,0,,,,,,,,14865,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,14977,2010-06-30
,,0,0,90,0,,,0,0,55,,0,0,10,7998,891,0,16,,0,0,,0,0,,,0,,0,0,,,0,0,4,0,,,0,0,443,57,753,1,1296,386,,,66,0,1713,9,2509,0,584,0,0,0,,,,,,16337,2010-06-30
,,0,0,0,0,,,0,0,6,,,0,8,57,28,0,12,,,,,,,,,,,,,,,0,0,0,0,,,0,0,4,1,2,0,0,0,,,13,0,0,0,0,0,0,0,,,,,,,,16458,2010-06-30
,,0,0,0,0,,,0,0,6,,,0,0,591,11,0,0,,,,,,,,,,,,,,,0,0,11,0,,,0,0,20,1,1,0,207,0,,,0,30,342,6,0,0,0,0,,,,,,,,16551,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,21,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,21,6,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,16748,2010-06-30
,,0,0,0,0,,,0,0,1,,,0,0,80,14,0,0,,,,,,,,,,,,,,,0,0,0,0,,,2,0,51,0,2,0,2,0,,,0,0,11,0,0,0,0,0,,,,,,,,16944,2010-06-30
,,0,0,0,0,,,0,0,6,,,0,0,0,0,0,0,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,16953,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,17110,2010-06-30
,,115,43,763,136,,,54,0,1318,,0,0,261,37157,15435,0,903,,0,0,,0,903,,,0,,0,254,,,0,0,507,78,,,2,3,1107,456,334,57,2717,409,,,429,0,2544,142,6645,155,5527,129,0,0,,,,,,17147,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,30,69,0,0,33,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,0,0,36,0,,,0,0,0,0,0,0,0,0,,,,,,,,17259,2010-06-30
,,681,0,0,0,,,0,0,3696,,0,0,23,24115,6674,0,110,,0,0,,0,0,,,0,,0,0,,,1615,0,747,3,,,87,6,1708,185,29,5,314,27,,,414,6,12644,3276,154,0,555,30,0,0,,,,,,17464,2010-06-30
,,0,0,0,0,,,0,0,1,,,0,0,20,0,0,9,,,,,,0,,,,,,0,,,0,0,0,0,,,0,0,11,3,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,17950,2010-06-30
,,0,0,0,0,,,0,0,6,,,0,28,174,17,0,63,,,,,,,,,,,,,,,0,0,0,0,,,0,0,76,13,0,0,0,0,,,18,0,0,0,0,0,0,0,,,,,,,,18050,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,166,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,22,0,0,2,140,4,,,0,0,0,0,0,0,0,0,,,,,,,,18135,2010-06-30
,,0,0,0,0,,,0,0,0,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,,,,,,18377,2010-06-30
,,0,0,0,0,,,0,0,0,,0,0,0,257,29,0,0,,0,0,,0,0,,,0,,0,0,,,0,0,0,0,,,0,0,48,13,0,0,131,0,,,0,0,0,0,29,0,20,0,0,0,,,,,,18827,2010-06-30
