"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	
1557																																	0	0	4725	0	2192		3		7814	0			916	0	926	0	0	18924	0	0	0	2348	0	0	7187	63	283	802	831	369	0	2301	4540	2695	5167	1003	870								0	0		0	0	0							0			
1632																																	0	202505	9845	14490	134927	1049	1383	334	5692	220	77240	0	77240	30032	12484	0	2214	580962	0	0	2718	77598	10372	15996	269970	22172	15993	26421	4463	7198	1351	270254	54214	91427	35084	50504	1825	0	0	0	0	0	0	0	0	2180	0		0	0	48499	154006	52014	82913	0	0	0			
1669																																	0	840	56	207	7378		116		1789	7			10039	0	10322	0	0	72877	0	604	0	39640	1886	23188	9012	1798	6011	2717	1453	16074	11494	3944	8726	8667	5957	5662	251								0	0			0	0							0			
1829																																	0	3245	0	17955	45892	0	56	56	0	0	22191	0	22191	5776	849	0	0	244900	285	25508	0	102806	18367	0	25426	980	1940	3116	8143	49451	39130	17356	5150	23265	26248	57419	6626	0	0	0	0	0	0	0	641	1899	0		0	0	0	3245	0	45892	0	25508	0			
1856																																	0	92	1702	1553	5844		15		998	0			5545	0	734	0	0	18458	0	0	0	1975	0	1629	6430	1558	160	0	35	30	0	14638	541	839	309	0	0								0	0			0	0							0			
2040																																	0	17669	3724	3719	58118		39		1062	0			15518	1650	5214	0	80	139542	0	0	0	30994	1311	775	68703	4202	7392	17646	858	375	197	33209	23899	37455	12350	996	0								444	0			0	0							0			
2161																																	0	387	370	0	3134		127		3080	230			10913	0	9562	0	0	58464	4	0	0	30523	0	22819	19887	1623	8010	8760	5993	4987	1150	4565	5689	8331	5996	3360	0								372	0			0	0							0			
2376																																	0	74117	0	192327	233550	0	0	0	0	0	3693	0	3693	6916	392	0	0	781462	0	0	2000	226159	44308	21315	56184	4000	991	5667	23096	109706	82699	64371	17301	23521	44540	234215	170801	0	0	0	0	0	0	0	0	0	0		0	0	45625	28492	68515	165035	0	0	0			
2451																																	0	2781	6568	400	3044		654		4091	0			4118	316	1135	0	0	33902	0	0	0	10485	310	6998	8301	2296	4737	489	127	342	2494	17200	4916	358	123	787	33								0	0			0	0	1236	1545		3044			0			
2554																																	0	0	520	0	0		0		1254	0			467	0	345	0	0	2843	0	0	0	257	0	0	0	0	0	0	18	119	120	404	717	352	513	480	120								0	0			0	0							0			
2732																																	0	71170	170	88571	163481	0	192	192	0	0	66694	0	66694	6378	4664	0	0	413912	832	0	0	12379	1045	3107	87011	2641	3394	2593	1775	464	1283	150890	43259	123504	56856	6766	20027	0	0	0	0	0	0	0	0	0	0		0	0	19443	51727	71866	91615	0	0	0			
2750																																	0	115	7416	483	2771		223		17649	0			1687	0	1914	0	49	35729	0	0	0	3120	62	378	16068	363	625	1806	258	0	0	12808	7755	5288	5237	1116	20								0	240			0	0							0	0	0	
2938																																	0	59064	4915	18104	84252	513	2725	2212	1863	0	64941	0	64941	20146	7046	0	0	324100	0	0	2510	57875	2849	23148	159938	23254	7528	19722	3572	1241	29	141649	24322	65839	25764	6654	449	0	0	0	0	0	0	0	0	320	0		0	0	14030	45034	40451	43801	0	0	0			
3252																																	0	569	13408	32	5115		4		22435	0			7028	0	3785	0	980	54238	0	77	0	805	0	690	0	139	390	233	5	23	0	20133	27980	2791	1279	830	0								0	0			0	0							0			
3458																																	0	355	3044	324	689		4		833	0			3739	0	513	0	0	11680	0	572	0	1603	4	0	4319	109	462	825	148	23	0	3084	1732	3907	812	520	22								0	0			0	0							0			
3720																																	0	12800	7107	299	30002		301		5497	0			9686	3172	7984	0	1323	107317	0	0	0	28095	869	1921	29948	3069	3577	10259	8444	2381	365	30427	9226	14738	19426	4725	674								0	182			0	0	3884	8916	22207	7795			0			
3953																																	0	3642	7136	2085	17650		71		15291	0			24619	0	4793	0	0	86536	0	19	0	9214	2016	290	43856	2188	1724	3776	1323	29	0	54680	9984	7522	2170	814	287								0	0			0	0	1714	1928	13597	4053			0			
4138																																	0	21523	730	2297	30924		132		0	197			15217	2767	15373	0	218	140401	913	0	0	51173	919	33939	30823	2678	10055	23563	3068	6589	5220	27310	22536	4375	12256	5954	15875								0	41			0	0	6331	15192	14005	16919			0			
4156																																	0	23713	6899	679	15565		68		13125	0			17659	2445	4751	0	0	111065	0	940	0	24236	985	979	46155	4663	2620	1861	2056	11704	1257	35739	17955	11802	9227	9274	619								0	0			0	0	3198	20515	0	15565			0			
4231																																	0	336	13039	0	29597		269		1881	0			4584	0	7934	0	4715	74352	0	0	0	11997	0	11	31090	364	2111	6107	2712	561	0	18798	17313	15443	8367	2096	0								0	0			0	0							0			
4437																																	0	27876	1519	1374	48944		53		1232	0			16173	7990	11909	0	695	170219	222	0	0	40170	5707	34618	60438	1949	5239	16170	9385	3349	3890	60351	17059	18397	21582	10776	1831								0	6799			0	0	7855	20021	40172	8772			0	0	0	
4839																																	0	34069	0	26994	103504		1002		0	0			10514	4818	2515	0	0	195871	0	0	0	10842	1435	1342	76204	2729	1708	3677	2333	42	0	57649	21980	56365	39980	2927	0								0	178			0	0	12257	21812	55171	48333			0			
5005																																	0	60522	0	21458	71947	0	80	80	0	0	15969	0	15969	4114	313	0	0	288951	0	0	0	102959	11499	32892	62197	225	3186	10368	14753	24993	49111	74757	11374	24526	12576	57281	5478	0	0	0	0	0	0	0	0	90	0		0	0	46322	14200	43139	28808	0	0	0			
5069																																	0	56839	0	1726	140874	0	20	20	0	0	3436	0	3436	761	32	0	0	235393	1639	0	0	24344	9000	21588	134119	21588	131	2625	0	0	0	164550	17991	2470	20798	5052	127	0	0	0	0	0	0	0	0	0	264		0	0	33104	23735	0	140874	0	0	0			
5135																																	0	12899	48995	829	38184		134		21685	137			35103	1227	12911	0	6733	223021	0	0	0	41577	2241	27743	123000	23843	8715	8065	207	370	357	123329	40272	13247	3434	487	657								503	0			0	0							0			
5210																																	0	34356	5126	24714	122691	0	4187	4187	3486	0	51514	0	51514	46975	8057	0	8560	552332	0	0	0	218416	22985	1795	48447	15830	21418	21602	36146	62465	60954	92850	26589	81250	87930	31252	9995	0	0	0	0	0	0	0	0	1265	0		0	0	5120	29236	79630	43061	0	0	0			
5331																																	0	20511	0	76568	30872	0	2251	2251	0	0	3564	0	3564	7660	223	0	0	154993	295	0	552	12999	546	871	45119	2478	5074	2908	1767	74	698	34769	15433	60243	26378	5259	0	0	0	0	0	0	0	0	0	94	0		0	0	7888	12623	6842	24030	0	0	0			
5461																																	0	48159	5785	10281	164983	0	10946	10946	2299	0	41012	0	41012	8832	4976	0	0	310125	415	0	22752	11003	2062	2000	100233	1691	2097	2415	4800	0	0	37789	58846	68236	116403	16101	1907	0	0	0	0	0	0	0	0	202	0		0	0	13249	34910	83327	81656	0	0	0			
5751																																	0	332	6241	135	427		6		32181	0			3723	0	1783	0	374	54821	0	0	0	9505	98	3221	17851	306	1151	2363	484	3164	1919	19550	3434	4022	10250	4279	39								0	16			0	0							0			
6039																																	0	3565	2156	0	16578		21		2172	499			13563	0	4247	0	2348	50880	39	0	0	5053	646	117	19009	559	1416	1912	395	650	80	30287	4668	3994	2837	3698	354								514	56			0	0	338	3227	0	16578			0			
6057																																	0	213	2610	0	794		0		1762	0			1768	0	640	0	0	12711	0	0	0	4433	491	0	5704	344	685	3219	130	30	0	1398	3295	2377	963	245	0								0	0			0	0							0			
6141																																	0	0	2422	0	3766		9		2581	0			665	0	3875	0	162	18410	0	0	0	4930	0	600	7777	425	463	1256	1752	1034	0	2171	4718	2010	2684	1138	586								0	0			0	0							0			
6329																																	0	74983	7130	102	34978	0	4358	4358	5323	0	39120	0	39120	3523	64931	0	663	295918	1	0	0	54040	4384	4113	135100	8399	10856	21432	9930	2832	126	70153	54025	67252	41979	6602	581	0	0	0	0	0	0	0	1032	1352	0		0	0	32162	42821	24095	10883	0	0	0			
6972																																	0	285108	1509	40542	154234	1	11174	11173	1402	0	121321	0	121321	14487	2316	0	10609	673386	0	0	9340	17350	9903	3885	365299	1524	1209	1919	2235	5644	4819	455746	39751	49657	71251	20679	9950	0	0	0	0	0	0	0	0	3431	0		0	0	42624	242484	44159	110075	0	0	0			
7009																																	0	0	0	0	0	2746	10419	7673	0	0	46303	2622	48925	0	154517	0	0	213861	0	0	0	0	0	0	201091	0	0	0	0	0	0	184319	16772	12770	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0			
7045																																	0	0	3767	0	11174		10		5084	0			3471	557	12578	0	686	58506	0	0	0	20638	0	17569	9938	146	1084	126	5399	3801	10042	4077	4631	9819	11551	3388	4044								528	13		0	0	0							0			
7157																																	0	0	2151	297	731		0		2581	0			4022	0	3909	0	0	20942	0	0	0	7251	0	0	9737	570	1980	4460	118	81	0	3568	3619	4521	1377	74	426								0	0			0	0							0			
7456																																	0	383	2372	0	1604		0		7590	0			8393	35	2075	0	0	24846	0	0	0	2103	291	0	10211	13	316	1147	627	0	0	8498	1541	6479	5452	688	0								0	0		0	0	0							0			
7634																																	0	3914	1560	0	8119		745		1864	0			18035	0	4383	0	0	50650	0	0	0	11600	430	0	23417	1700	3015	6154	565	166	0	8845	9858	16101	2912	724	0								0	0			0	0							0			
8033																																	0	12739	4927	186	474		894		6730	0			33877	2305	8212	0	0	84334	0	0	0	13950	40	2323	31161	3880	1701	5075	2772	484	38	38270	5747	15852	8518	1704	112								0	0			0	0							0			
8462																																	0	97	1914	0	1589		0		7746	0			8452	0	7589	0	690	29923	0	0	0	1493	353	0	9047	0	34	52	18	587	802	14438	2806	4896	3890	1857	151								0	0			0	0							0			
8631																																	0	373	54	0	3761		77		44	65			7958	0	7702	0	0	34211	0	0	0	13806	436	0	3210	5	286	155	424	8166	4770	2379	542	3273	6083	7836	262								0	0			0	0							0			
9357																																	0	0	0	0	42034	0	269	269	0	0	128426	0	128426	3680	5256	0	0	235721	0	0	0	54462	1304	0	164080	54462	0	0	0	0	0	124741	5173	25507	20524	3844	0	0	0	0	0	0	0	0	0	290	0		0	0	0	0	35218	6816	0	0	0	0	0	
9553																																	0	2658	16815	193	910		864		37425	0			3782	0	1316	0	0	68323	0	0	0	4321	39	128	33898	599	648	1223	1829	22	0	56033	1280	2451	2100	2138	0								0	0			0	0							0			
9807																																	0	1052308	0	41250	379177	0	690	690	0	6261	87860	0	87860	65803	421	0	0	2080579	3707	0	0	393310	63254	26397	832298	42816	10391	18038	55047	120664	132782	1022584	77666	152651	105623	168149	2915	0	0	0	0	0	0	0	0	213	0		0	0	476258	576050	114885	264292	0	0	0			
9955																																	0	63	9503	133	4342		56		8161	0			6247	913	2700	0	0	42337	0	1460	0	8727	15	6847	18989	350	289	3994	1911	1604	578	9226	9124	7225	6559	1209	203								0	17			0	0							0			
10157																																	0	5961	5540	850	3877		34		9614	908			4341	63	1516	0	597	34477	0	448	0	1624	12	1120	14701	148	833	31	159	355	37	16982	6144	3631	2606	1759	469								0	0			0	0							0			
10250																																	0	65460	375	10023	80885	0	910	910	31	0	72543	0	72543	9886	26034	0	3138	334546	0	0	0	34193	29453	14136	106249	3198	6937	9980	9979	4099	0	92631	30497	72320	71990	28504	0	0	0	0	0	0	0	0	357	1258	0		0	0	1667	63793	55501	25384	0	0	0			
10849																																	0	54602	16679	35123	71461		2822		7705	0			16321	1678	2179	0	2266	243609	98	0	0	29074	3797	19489	127527	4711	7607	11511	2675	2522	47	97966	33833	42396	21784	15471	1770								0	0			0	0	11228	43374	33958	37503			0			
10858																																	0	13820	25120	6620	54555	0	796	796	47272	0	70062	1	70063	3926	28943	0	4085	330924	0	0	0	16309	8925	3764	162148	1287	5944	2603	2731	1992	1752	90368	113837	40668	50658	14930	527	0	0	0	0	0	0	0	49498	992	0		0	0	4248	9572	22792	31763	0	0	0			
11145																																	0	2682	0	0	34290		345		96	0			1533	1979	6850	0	1864	126654	0	0	0	73629	3386	2323	13062	1931	3945	18715	16481	31338	370	8508	4180	18994	13743	3994	99								0	0			0	0	1781	901	28662	5628			0			
11640																																	0	11443	25282	1630	29175		208		32752	567			26045	0	18468	0	79	163871	0	0	0	17547	1242	12391	81334	5230	6791	2843	1549	809	325	54549	58353	18181	8999	3598	2483								0	0			0	0							0			
11837																																	0	12367	2216	233	13567		199		1606	0			6962	482	1140	0	2200	48746	28	0	0	7667	0	1751	18751	3171	1475	2450	166	405	0	23644	4857	8991	900	429	2286								135	0			0	0	1727	10640	9195	4372			0			
12030																																	0	48282	43392	839	68601	0	0	0	5104	0	33117	0	33117	0	24430	0	917	276593	0	0	0	49543	2291	623	184417	8716	13390	23193	2339	1905	0	112405	53824	44278	13357	2759	0	0	0	0	0	0	0	0	0	77	0		0	0	0	48282	0	68601	0	0	0			
12058																																	0	6848	9426	826	13933		405		5245	0			11871	0	4096	0	7	71675	0	0	0	18015	976	1139	25312	947	4859	9592	1884	363	225	9313	13931	20418	6956	2862	0								0	27		0	0	0	3157	3691	986	12947			0			
12142																																	0	6635	4640	448	20173		0		4179	0			7997	380	11905	0	0	82257	0	81	0	23444	2099	18088	25637	3231	5132	12876	1975	195	35	11184	15811	19619	10060	1653	34								276	0			0	0							0			
12245																																	0	7846	306	1308	27651		231		0	0			3354	206	2723	0	1352	75668	0	0	0	29764	824	4609	31089	2130	5345	5993	1509	14625	0	12323	11291	12425	5939	3896	0								79	24			0	0	1246	6600	21763	5888			0	0	0	
12311	25557231	702357	56833	0	7804280	0	3816877	0	45779	40237706	0	963769	11755061	18561514	2083191	4111497	4176219	3401300	930763	0	102	148	0	0	0	102456	0		4263	3063	1265198	886445	250	2984773	93879	1013184	7554105	5148	702357	697209	56833		7804280	0	7804280	3904138	3816877	0	45779	40237706	0	2151643		6658719	3348433	3173537		717682	957710	1414818	1109679	636586	1784887							102			148	0			0	102456					749472	2235301	2650441	4903664			0			
12647																																	0	6926	4481	0	13602		4		5375	0			11724	753	1478	0	17	56273	0	0	0	10796	1085	0	38404	3131	3737	3290	106	0	0	14364	17776	10282	2346	32	0								0	32			0	0	4929	1997	7027	6575			0			
12656																																	0	7	620	0	653		0		1009	0			1011	0	1207	0	0	10491	0	39	0	5937	8	5155	1881	499	1433	2930	625	450	0	651	1402	1345	522	634	0								0	0			0	0							0			
12937																																	0	657	353	25723	41855		452		0	0			10880	14216	2290	0	0	123976	27	0	0	26519	1058	0	66714	3811	5741	9819	6052	606	490	38235	18954	21211	13136	4132	1816								0	0			0	0	657	0	0	41855			0			
12946																																	1650	62071	15251	2088	109529	0	88	88	1484	95	34366	0	34366	130	22386	0	0	359240	0	59	0	103205	6933	814	134185	3861	10403	33888	45965	8068	273	114052	47738	53312	28615	10623	0	0	0	0	1650	0	0	0	0	0	358		0	0	3346	58725	15165	94364	0	59	0			
12955																																	0	17452	1520	2901	42283		0		0	0			14425	2144	1088	0	585	94153	0	49	0	8456	3170	3947	26994	1589	475	4241	1922	229	0	16623	15178	35070	14427	4378	0								45	35			0	0	3475	13977	32154	10129			0			
13037																																	0	1889	134	0	10155		0		0	738			16061	178	5072	0	0	56362	0	0	1889	22150	435	19753	10081	4157	8040	1512	6318	1699	48	15094	3946	4034	6178	3283	78								288	0			0	0	1889	0	10155	0			0			
13103																																	0	45411	0	16506	254492	0	643	643	0	18	56967	0	56967	10922	199211	0	0	835057	0	0	0	232824	17938	8939	49307	2486	5587	13708	23529	43818	143221	72267	38966	132862	245579	100701	10701	0	0	0	0	0	0	0	0	143	0		0	0	31530	13881	149217	105275	0	0	0			
13251																																	0	50	1725	0	5107		0		1728	0			4189	0	2856	0	2	21122	0	0	0	5465	0	0	10353	469	1280	3308	70	0	0	3314	5882	5959	196	14	0								0	0			0	0							0			
13457																																	0	0	3071	0	439		9		6167	0			1655	0	442	0	0	12305	0	46	0	476	0	77	5225	77	90	253	39	17	0	9329	1301	316	160	629	0								0	0			0	0							0			
14052																																	0	1949	3054	0	13575		82		608	0			8144	789	3544	0	148	48636	0	0	0	14428	2315	3702	29258	4696	6038	3351	154	26	0	6642	11882	8455	3913	2435	775								0	0			0	0	1949	0	2621	10954			0			
14155																																	0	9543	11290	346	5175		24		15237	0			14950	0	6066	0	120	93085	0	0	6840	28805	1529	13608	31615	3477	6666	9437	7524	1316	217	11759	17709	15519	12622	4714	765								0	0			0	0							0			
14258																																	0	325459	18641	4225	172001	14	585	571	1655	0	129779	0	129779	25435	8150	0	1055	845014	1750	135	38866	136060	17043	78654	335593	12589	45488	47537	23407	3518	3521	385037	89195	162903	46993	25727	805	0	0	0	0	0	0	0	0	6541	2012		0	0	64117	261342	19877	152124	0	135	0			
14454																																	0	3360	543	0	3730		14		1852	0			3364	188	368	0	0	19026	0	4613	0	918	76	300	6624	349	87	149	333	0	0	6947	2845	5291	2925	100	0								0	0			0	0	13	3347	0	3730			0			
14650																																	0	848	9	0	650		20		340	0			3322	74	4319	0	5	15616	57	93	0	5993	0	4965	3255	72	16	5211	309	368	0	2631	1478	4195	1314	62	0								0	0			0	0							0			
14753																																	0	17	2979	0	353		7		6279	234			1958	0	596	0	0	13019	0	0	0	798	0	68	6218	176	218	404	0	0	0	3752	6700	1296	281	10	0								0	32			0	0							0			
14865																																	0	20476	24752	4070	22913		60		29984	157			16833	70	2904	0	7893	136698	297	0	0	4152	1276	71	60182	149	136	576	279	1996	1016	48948	22794	11217	14704	12577	22603								596	1016			0	0	9637	10839	16914	5999			0			
15536																																	0	662612	6493	543345	1113497	225	3329	3104	0	0	156056	0	156056	140464	6762	0	0	3154406	0	187853	0	311861	21317	255787	759190	23690	45911	92590	119458	13287	14540	1095233	265694	593910	445377	385465	32786	0	0	0	0	0	0	0	0	817	9317		8899	4716	109697	552915	160989	952508	0	187853	0			
16337																																	0	121439	732	8104	73998	0	282	282	25	10	44466	0	44466	2262	29928	0	584	354681	0	0	0	63084	6684	60315	140161	17260	13248	21060	446	5722	4287	151991	69506	30641	20418	12176	4028	0	0	0	0	0	0	0	0	3093	0		0	0	23713	97726	45425	28573	0	0	0			
16458																																	0	10896	1075	7194	56978		35		690	0			19290	2051	2829	0	0	114024	15	101	1478	9827	2954	2990	35742	1216	3227	3261	863	155	1105	27764	15500	29450	26016	5430	0								0	119			0	0	1724	9172	204	56774			0			
16551																																	0	50795	3143	1104	19665		224		1074	237			11627	3649	5477	0	462	137672	0	216	0	39484	648	2822	44636	2753	8837	15229	4401	7595	454	22413	21975	27602	11618	12120	409								0	104			0	0	11466	39329	15317	4348			0			
16748																																	0	1531	1522	0	1179		39		1462	0			3613	3872	7042	0	0	32578	4	0	0	11765	557	4210	3781	936	1451	1639	1793	3129	2512	5529	2642	3362	6214	3026	0								0	0			0	0							0			
16944																																	0	315	1862	0	1495		10		79	0			1561	27	1271	0	334	14603	0	0	0	7534	115	0	1993	8	251	1987	2840	2448	0	1431	439	1532	3055	607	0								0	0			0	0							0			
16953																																	0	0	928	0	1950		11		4203	0			2322	0	2242	0	0	12905	0	0	0	1249	0	0	6395	98	42	296	814	0	0	1696	4559	2604	2613	183	0								0	0			0	0							0			
17110																																	0	0	0	0	0		4280		0	0			5039	55	65511	0	0	75449	0	0	0	564	0	564	61563	564	0	0	0	0	0	74239	0	0	0	0	0								0	0			0	0							0			
