"IDRSSD"	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	RIADF184	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	NONINT INC FOR QTR FROM SALE 1-4 MTG	
201254										
201441										
201638										
201647										
201834										
202251										
202514										
202541										
202550										
202907	0	0	26503	0	24213	0	3011	0	266	
203052										
203418										
203575										
203753										
204004	48	0	0	0	48	0	0	0	0	
204237										
204826										
205159										
205243										
205346										
205458										
205542										
205654	23135	0	0	0	25454	0	4638	0	357	
206156										
206174										
206772										
206950										
207041										
207050										
207452										
207555										
207564										
207845										
207872										
207957										
208057										
208169										
208244	53832	338	0	0	60007	449	13245	68	880	
208347										
208440										
208459										
208655										
208972										
209148										
209335	24331	236	0	0	32792	520	6204	699	440	
209362										
209447										
209559										
209830	0	0	0	0	0	0	0	0	0	
209858										
210238										
210256										
210434	5141	0	0	0	1799	0	0	0	16	
210452										
210555										
211114										
211338										
211851										
211954										
212018										
212335										
212344										
212465	8687	0	0	0	5285	0	6034	0	-2	
212522	20078	1042	0	0	18771	0	1105	0	68	
213538										
213912										
213958										
214414	7899	0	0	0	8066	0	0	0	240	
214722										
214807	0	0	0	0	0	0	0	0	0	
214843										
215130										
215251										
215345										
215354										
215653										
215662										
215710										
215756	0	0	0	0	0	0	0	0	0	
215952										
216164										
216230										
216445										
216632										
216922	17882	0	0	0	17892	0	4136	0	230	
217059										
217620										
218131	0	0	0	0	0	0	0	0	0	
218261										
218757										
218775										
218850										
218878										
219044										
219138										
219259										
219343	20406	0	0	0	21668	0	2474	0	496	
219651										
219857										
220059										
220527										
220545										
220844										
221476										
222053										
222147	106139	0	0	0	111608	522	35713	0	1724	
222156										
222446										
222558										
222754										
223238										
223322										
223331										
223452										
223751										
223845										
224178	0	0	0	0	0	0	0	0	0	
224552										
224637	6028	397	0	0	5616	378	1006	91	0	
224655	12727	0	0	0	13127	0	2090	0	273	
224749										
224954										
225054										
225157										
225241										
225250										
225335	0	0	0	0	0	0	0	0	0	
225559										
225942										
226659										
226734										
226752										
226949										
227151										
227179										
227357										
227656										
228000										
228055										
228158										
228345										
228952										
229342										
229454										
229801	4026	0	0	0	7486	0	2734	0	60	
229913	0	0	0	0	0	0	0	0	0	
229940	0	0	0	0	0	0	0	0	0	
229959										
230254										
230357										
230423										
230535										
230610										
230740										
230759										
231149										
231242	12066	0	0	0	13541	0	918	0	0	
231279										
231336										
232258										
232744										
232847										
232856										
233022										
233031	1118432	0	0	0	1757472	0	727341	0	-24566	
233246										
233358										
233442										
233451										
233527										
233554										
234056										
234355	27929	0	70819	0	106628	0	16271	0	532	
234506										
234645										
234739	9698	0	0	0	9809	0	1920	0	0	
234841										
235017										
235231										
235316										
235446										
235521										
235530										
235558										
235950										
236050										
236153										
236256										
236452										
236519										
236603										
236706	765	0	0	0	765	0	0	0	14	
236751	69887	3511	0	0	73645	6021	16075	463	1023	
236957										
237066										
237150										
237619										
237936										
237954										
238045										
238139										
238241										
238250										
238737										
238755										
238812										
239015										
239042										
239275	14595	0	0	0	15434	0	623	0	287	
239556										
239613	0	0	0	0	0	0	0	0	0	
239640										
239659										
239752										
240356										
240459										
240468										
240954										
241009										
241157										
241559										
241607										
242248										
242257										
242444										
242949										
242958										
243375										
243414										
243647										
243955										
244037										
244149	50124	1707	0	0	53732	1801	8363	191	1357	
244158										
244251										
245016										
245276	17883	1000	0	0	63046	0	20606	1000	0	
245351										
245557										
245856										
246022	9083	192	0	0	11262	226	1012	0	0	
246134										
246237										
246451										
246657										
246947										
246956										
247140										
247355										
247449										
247476										
247551										
247645										
247908										
248147										
248240	17331	0	0	0	16366	0	1858	0	157	
248352										
248455										
248633										
248745										
248950	0	0	0	0	0	0	0	0	0	
248969										
249153										
249256										
249304										
249416										
249546										
249555										
249564										
249612	324	0	0	0	544	0	0	0	0	
249658										
249872	0	0	0	0	0	0	0	0	0	
249957										
250047										
250430										
250850										
251352										
251558	0	0	0	0	0	0	0	0	59	
251736	9330	0	0	0	10238	0	1491	0	142	
251745										
251857										
252041										
252256										
252452										
252658										
252706	12188	0	0	0	14201	0	0	0	0	
252836										
253262										
253356										
253440										
253468										
253646										
253730										
253776										
254317										
254504										
254652										
254670										
254849										
255136										
255350										
255547										
255556										
255574										
255659	21175	360	2570	481	26276	964	3330	0	525	
255873										
256049										
256058										
256179										
256553	15425	0	0	0	15994	0	4845	0	0	
256964										
257233										
257345										
257466										
257653										
257756										
257868										
258146										
258306										
258351	0	0	0	0	0	0	0	0	0	
258379										
258445	20872	485	0	0	20821	360	1400	126	407	
258539										
258632										
258771	166279	968	96674	502	279990	2610	59911	1617	715	
259031	0	0	0	0	0	0	0	0	0	
259059										
259330										
259442										
259518	5201913	702721	5426151	184244	10127529	452905	8118924	1471502	68508	
259657										
259853										
259956										
260055	60359	0	0	0	64942	0	11470	0	842	
260149										
260354										
260831										
260868	0	0	0	0	0	0	0	0	0	
261070										
261146										
261258										
261360										
261940										
262059										
262237										
262358										
262451										
262741										
262844										
262956										
263243										
263551										
263627										
264156										
264455										
264558	0	0	0	0	0	0	0	0	0	
264941										
265340										
265407										
265452	0	0	0	0	0	0	0	0	0	
265676										
266066										
266244										
266253										
266271	0	0	0	0	0	0	568	0	0	
266655										
266851										
266879										
266945										
267652										
267737	17071	392	0	0	17071	392	0	0	287	
268042	0	0	0	0	0	0	0	0	0	
268136										
268257	0	0	0	0	0	0	0	0	0	
268341										
268556	15727	0	0	0	15965	0	2568	0	0	
268734										
268828										
268976	0	0	0	0	0	0	0	0	32	
269049										
269058										
269478										
269759										
270036	0	0	0	0	0	0	0	0	0	
270148										
270335										
270353										
270504										
270531										
270652										
271136										
271154										
271275										
271341										
271529	0	0	9556	248	11318	578	545	70	176	
271631										
271743										
271752										
271855										
272030										
272058										
272151										
272218	20565	0	0	0	21122	0	3379	0	313	
272245										
272272										
272302										
272870										
273149										
273251										
273336										
273523										
273550										
273653										
273662										
273840										
273859										
274025										
274052										
274164										
274548										
274641										
274753										
274829										
274856										
275116										
275255										
275358										
275509										
275657										
275750										
275769										
276159										
276355										
276551										
276579	59613	0	9787	0	65366	0	17069	0	1562	
276645										
276654										
276711										
276775										
276850	4007	77	11609	716	18173	787	1980	96	77	
276953										
277053										
277240										
277277										
277558										
277567										
277736										
277820										
277950										
278078										
278153										
278256										
278555										
278733										
278751										
278818										
278957										
279105										
279338										
279673										
279842										
279954										
280044	7266	0	0	0	7157	0	506	0	115	
280110	124474	0	0	0	126746	34	37105	0	2269	
280138										
280352										
280558										
280950										
281144										
281210										
282048										
282226										
282329	9633	30	188216	812	202157	1372	36007	43	1303	
282824										
283157										
283438										
283652										
283737										
283858										
283867										
284154										
284239										
284248										
284332										
284408										
284556										
284819	7862	0	0	0	7408	0	1933	0	270	
284958										
285151										
285348										
285544										
285553										
285740										
285759										
285777										
285852										
285928										
286251										
286457										
286840										
286952										
287007										
287342										
287351										
287539										
