"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFNF234	RCFNF235	RCON0030	RCON0031	RCON0032	RCON2211	RCON2229	RCON2314	RCON2315	RCON2351	RCON2383	RCON3510	RCON3512	RCON3514	RCON3520	RCON5514	RCON5515	RCON5516	RCON5517	RCON5597	RCON8432	RCON8785	RCONA181	RCONA182	RCONA527	RCONA528	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	UNPOSTED DEBITS	UNPOSTED DEBITS FOR DEMAND DEPOSITS	UNPOSTED DEBITS FOR TIME&SAVING DEPS	DEMAND DEPS OF CONSOL SUBS	DEM DEP OF INSURED BR-PR,US TERR&POS	RES BALS PASSED THRU AS DEMAND DEPS	RES BALS PASSED THRU AS TIME&SVG DEP	TIME & SVG DEPS OF CONSOL SUBS	TIM&SAV DEP OF INS BR-PR,US TERR&POS	UNPOSTED CREDITS	UNPOSTED CREDITS-DEMAND DEPOSITS	UNPOSTED CREDITS-TIME & SAVINGS DEPS	UNINVESTED TRUST FUNDS HELD	INT ACCRD&UNPD ON DEPS OF CNSLD SUBS	INT ACCRD&UNPD ON DEPS IN INSRD BRCH	UNAMORTZD PREMIUMS ON TIME&SVGS DEPS	UNAMORTZD DISCOUNT ON TIME&SVGS DEPS	ESTIMATE OF UNINSURED DEPOSITS	BENFT-RESPNSV DEPSTRY INSTN INVSTMT	AMT DEM DEP REDUC IF BALS REP NET BS	INCR IN DEM DEP IF RECIP BAL GROSS	DECR IN DEM DEP IF CIPC INCLUDED	AMT OF ASSETS NETTED AGST DMND DEPS	AMT OF ASSETS NETTED AGST SVGS DEPS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	PB/PSA FDIC CERTIFICATE NUMBER	
10250							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	38397		5104	12	198578		131487	420						
10849							0	31	0	0		0	0	0		0	0	1	0	0		0	0		0	0	0	0	0	0	0	7322		0	0	132942		116754	525						
10858							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	10687		363	1	206213		112009	479						
11145							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	5568		805	2	81186		39010	117						
11640							52	0	0	0		0	0	0		3	0	0	0	0		0	0		0	0	0	0	0	0	0	8972		1259	4	95146		120066	301						
11837							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	4238		0	0	41462		29047	115						
12030							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	20140		1333	4	170475		100850	488						
12058							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	5076		621	1	56698		22889	94						
12142							73	0	0	0		0	0	0		7	0	0	0	0		0	0		0	0	0	0	0	0	0	7151		0	0	62845		60318	210						
12245							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	4625		399	1	54034		32993	136						
12311							0	0	0	478378	0	0	0	0	0	0	0	0	142319	0	0	5700	0	11587417	0	0	0	0	0	0	0	775542		25260	71	18125042		18021706	45004						
12647							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3935		479	1	27318		26420	88						
12656							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	405		0	0	6929		3829	19						
12937							19	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3507		1698	2	41222		86445	190						
12946							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	25128		1790	4	205099		193802	620						
12955							0	0	0	0		0	0	0		1	0	0	0	0		0	0		0	0	0	0	0	0	0	6006		0	0	61927		49694	145						
13037							0	67	31	0		0	0	0		0	58	0	0	0		0	0		0	0	0	0	0	0	0	2909		2400	6	60885		26967	201						
13103							0	0	0	38		0	0	0		0	0	0	0	0		0	0	155461	0	0	0	0	0	0	0	48074		3528	10	385422		296836	1123						
13251							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1969		560	1	14861		11911	55						
13457							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1084		0	0	9554		4732	33						
14052																															0	2550		500	1	39191		19062	109	62399	0				
14155							0	15	3	0		0	0	0		0	2	0	0	0		14	0		0	0	0	0	0	0	0	4406		0	0	52851		30046	114						
14258							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	22732		2917	9	197843		716652	1422						
14454							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1424		0	0	13338		6483	46						
14650							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1324		0	0	15499		5337	22						
14753							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3541		0	0	18712		5348	24						
14865							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	6563		290	1	97664		65279	272						
15536																								844908							0	186619		12141	30	1613195		1280818	6244	3114093	0				
16337							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	23767		1596	4	236903		135295	544						
16458							2700	0	0	0		0	0	0		4	0	0	0	0		0	0		0	0	0	0	0	0	0	6669		1623	5	96816		66279	245						
16551							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	11342		1423	4	62582		45872	141						
16748							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3768		0	0	30569		8818	44						
16944							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	760		0	0	21324		4864	30						
16953							5	0	0	0		0	0	0		1	0	0	0	0		0	0		0	0	0	0	0	0	0	478		0	0	18898		6020	26						
17110																															0	2477		840	2	12227		85680	187	101731	0				
17147							0	0	0	0		0	0	0		0	0	0	0	0		0	0	363977	0	0	0	0	0	0	0	69313		3517	10	671900		660004	1549						
17259							0	9	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	4946		0	0	31791		13702	69						
17464							0	0	0	0		0	0	0		16	0	0	0	0		0	0	1125498	0	0	0	0	0	0	0	16426		1992	3	693309		1079465	2505						
17839							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	9719		1224	4	63280		99317	327						
17950							0	3	1	0		0	0	0		0	39	2	0	0		0	0		0	0	0	0	0	0	0	5805		0	0	85612		78991	229						
18050							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	9334		480	1	152795		91440	398						
18135							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2348		0	0	68375		84383	298						
18377							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2135		770	2	16278		2051	17						
18827							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	7291		0	0	84308		45099	154						
18836							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	11131		967	3	78842		28952	191						
18854							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1594		0	0	37840		28906	146						
18957							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	4394		0	0	25317		16320	87						
19356							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2878		0	0	49141		17330	88						
19730																								578752							0	60268		863	3	1001777		719038	2683	1786331	0	1717515	0		
19936							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	7645		501	1	75223		131112	356						
19972							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	0		0	0	33814		7835	55						
20053							0	0	0	0		0	0	5792		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1964		434	1	44727		19085	94						
20147																															0	2209		0	0	41658		6373	34	50402	0				
20259							0	0	0	0		0	0	0		21	0	0	0	0		0	0		0	0	0	0	0	0	0	693		0	0	31050		54850	135						
20370							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3671		0	0	75850		44928	175						
20512							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	5391		739	2	41393		19607	75						
20633																															0	12270		272	1	113528		81917	467	221020	12430				
20839							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	7323		252	1	97376		77394	509						
20857							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	738		0	0	19479		103603	67						
20866							80	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	0		0	0	91207		82980	418						
21256							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1887		0	0	4112		2038	7						
21359							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1106		268	1	9257		6645	39						
21630							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2288		0	0	25749		30834	105						
21658																															0	8568		357	1	81505		22694	127	113509	0				
22048							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	6502		471	1	80816		65654	336						
22235							0	0	0	3		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	15317		508	2	176593		96655	566						
22356							1	0	0	0		0	0	0		6	0	0	0	0		0	0		0	0	0	0	0	0	0	5614		0	0	112332		102349	274						
22459							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	5320		0	0	57785		24529	115						
22543																															0	3390		0	0	38445		25245	109	67180	274				
22552							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1018		0	0	26686		12963	46						
22730							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	3747		0	0	53400		20352	104						
22936							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	11043		1199	4	149438		79632	440						
22954							0	20	0	0		0	0	0		0	0	1	0	0		0	0		0	0	0	0	0	0	0	1950		0	0	24001		32092	79						
23036							0	0	0	0		0	0	0		0	0	0	0	0		75	0		0	0	0	0	0	0	0	22092		330	1	316621		197843	737						
23045							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	975		0	0	10481		13461	30						
23241							0	0	0	293		0	0	15526		0	0	0	1141	0		0	0	1047905	0	0	0	0	0	0	0	120612		1987	7	1297310		969817	2756						
23456							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	6062		0	0	50820		13680	85						
23504							0	0	0	2121		0	0	50811		0	0	0	0	0		0	0		0	0	0	0	0	0	0	5193		0	0	140660		452883	902						
23540																															0	11498		286	1	69539		61000	196	144249	0	130442	0		
23643							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	10023		683	2	74494		60895	323						
23755							246	0	0	0		0	0	0		1	0	0	0	0		0	0		0	0	0	0	0	0	0	8363		254	1	55999		56528	185						
23812							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	29957		1906	3	340882		372665	852						
24006							0	5	0	1858		0	0	4612		0	7	19	0	0		0	0		0	0	0	0	0	0	0	51267		311	1	494619		232972	1260						
24453							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	1161		0	0	96289		108484	266						
24659							0	0	0	0		0	0	0		0	0	0	0	0		0	0		0	0	0	0	0	0	0	2681		411	1	16603		4999	31						
