"IDRSSD"	RIAD3582	RIAD3583	RIAD3584	RIAD3585	RIAD3588	RIAD3589	RIAD3590	RIAD3591	RIAD4266	RIAD4267	RIAD4481	RIAD4482	RIAD4605	RIAD4608	RIAD4617	RIAD4618	RIAD4627	RIAD4628	RIAD4635	RIAD4638	RIAD4643	RIAD4644	RIAD4645	RIAD4646	RIAD4652	RIAD4653	RIAD4654	RIAD4655	RIAD4662	RIAD4663	RIAD4664	RIAD4665	RIAD5409	RIAD5410	RIAD5411	RIAD5412	RIADB512	RIADB513	RIADB514	RIADB515	RIADB516	RIADB517	RIADC217	RIADC218	RIADC234	RIADC235	RIADC388	RIADC880	RIADC891	RIADC892	RIADC893	RIADC894	RIADC895	RIADC896	RIADC897	RIADC898	RIADF185	RIADF187	RIADF188	
	CHG-OFFS ON CONSTRCTN&LAND DEVLPMT	RECVRS ON CONSTRCTN&LAND DEVLPMT LNS	CHG-OFFS ON LNS SECURED BY FARMLAND	RECVRS ON LNS SECURED BY FARMLAND	CHG-OFFS ON LNS SECD BY MULTI-FAMILY	RECVRS ON LNS SECD BY MULTI-FMLY RES	CHG-OFFS ON LNS SECD BY NONFARM NONR	RECVRS ON LNS SECD BY NONFARM NONRES	CHG-OFF ON LS FINANCING RECEIVABLES	RECOV ON LEASE FINANCING RECEIVABLES	CHG-OFF ON LOANS TO DEPOSITORY INST	RECOV ON LOANS TO DEPOSITORY INST	RECOVERIES CREDITED TO RESERVES	RECOVERIES ON C&I LOANS	RECOV ON C & I LNS-U.S. ADDRESSES	RECOV ON C & I LNS-NON-U.S. ADDRES	RECOV ON LNS TO FGN GOVTS & INST	RECOV ON ALL OTHER LOANS	LOSSES CHARGED TO RESERVE	CHARGE-OFFS ON C&I LOANS	CHG-OFFS ON LNS TO FGN GOVTS & INST	CHG-OFFS ON ALL OTHER LOANS	CHG-OFFS ON C&I LNS-U.S. ADDRESSES	CHG-OFFS ON C&I LNS-NON-U.S. ADDRES	CHRGE-OFFS ON R.E. LNS-NON U.S. ADDR	CHRGE-OFFS ON LNS TO U.S. DEP INST	CHRGE-OFFS ON INS TO FOREIGN BANKS	CHARGE-OFFS ON LOANS TO FARMERS	RECOV ON R.E. LOANS-NON U.S. ADDRESS	RECOV ON LOANS TO U.S. DEPOSITORY IN	RECOVERIES ON LOANS TO FOREIGN BANKS	RECOVERIES ON LOANS TO FARMERS	CHG-OFFS OF LNS TO FINC COMMCL RE,CO	RECOVERS OF LNS TO FINC COMMCL RE,CO	CHG-OFFS OF RVLVG,OPEN-END LNS SECD	RECOVERS OF RVLVG,OPEN-END LNS SECD	CHRG-OFF ON LOANS IN FOREIGN OFFICES	RECVRS ON LOANS IN FOREIGN OFFICES	CHARGE-OFFS ON: CREDIT CARDS LOANS	RECOVERIES ON CREDIT CARDS LOANS	CHARGE-OFFS ON: OTHER INDIV LOANS	RECOVERIES ON: OTHER INDIV LOANS	RCVRS ON CLSD-ED LNS:SECD FRST LIENS	RCVRS ON CLSD-ED LNS:SECURD JR LIENS	CHRG-OFFS CLSD-END:SECURED 1ST LIENS	CHRG-OFFS CLSD-END:SECURED JR LIENS	UNCOLLBLE CRED CRD FEE&FIN CHGS	CHARGE-OFFS ALL OTHR LEASE FNC RECVB	1-4 FAM RES CNSTRTN LN CHARGE-OFFS	1-4 FAM RES CNSTRTN LN RECOVERIES	OTHR CNSTRCTN LN & LAND DEV CHARGE-O	OTHR CNSTRCTN LN & LAND DEV RECOVERI	LN SCD BY OWNER-OCCPD NONFARM CHARGE	LN SCD BY OWNER-OCCPD NONFARM RECOVE	LN SCD BY OTHR NONFARM NONRES CHARGE	LN SCD BY OTHR NONFARM NONRES RECOVE	CHG-OFF LEASE TO IND FOR HOME & FAM 	LEASE TO IND FOR HOUSE & OTHR EXP RE	RECOVERIES ALL OTHR LEASE FNC RCVBL	
1842065	175	0	0	0	0	0	0	0	0	0	0	0	129	127		0	0	0	1295	771	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	349	2	0	0	0	0			0	0	175	0	0	0	0	0	0	0		
1852381	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	1	0	0	0		0	0		0	0	0		0	0	0	0	0	0			1	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		
1852569	0	0	0	0	0	0	0	0	0	0	0	0	167	100			0	0	128	99	0	0											0	0	0	0			9	17	20	50	0	0	0	0			0	0	0	0	0	0	0	0				
1857377	0	0	0	0	0	0	0	0	0	0	0	0	4	0			0	0	31	0	0	0											0	0	28	0			0	0	3	4	0	0	0	0			0	0	0	0	0	0	0	0				
1861927	0	0	0	0	0	0	0	0	0	0	0	0	482	414		0	0	57	833	641	0	141		0	0		0	0	0		0	0	0	0	0	0			0	0	51	7	0	4	0	0			0	0	0	0	0	0	0	0	0	0		
1862719	951	2	0	0	0	0	0	38	0	0	0	0	1022	895		0	0	0	1174	167	0	0		0	0		0	0	0		0	0	0	0	0	4			46	19	4	15	3	46	0	6			951	2	0	0	0	38	0	0	0	0		
1863097	0	0	0	0	0	0	0	0	0	0	0	0	9	7		0	0	0	11	2	0	0		0	0		0	0	0		0	0	0	0	0	0			2	2	7	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		
1864197	0	0	0	0	0	0	0	0	0	0	0	0	2	0		0	0	0	32	0	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	32	2	0	0	0	0			0	0	0	0	0	0	0	0	0	0		
1864601	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0											0	0	0	0			0	0	0	0	0	0	0	0			0	0	0	0	0	0	0	0				
1865680	0	0	0	0	0	0	0	0	0	0	0	0	19	19		0	0	0	231	207	0	0		0	0		0	0	0		0	0	0	0	0	0			0	0	24	0	0	0	0	0			0	0	0	0	0	0	0	0	0	0		
1866762	0	0	0	0	0	0	103	0	0	0	0	0	37	34		0	0	0	679	290	0	0		0	0		0	0	0		0	0	0	0	0	0			2	0	0	3	0	0	284	0			0	0	0	0	103	0	0	0	0	0		
1867983	0	0	0	0	0	0	0	0	0	0	0	0	29	0		0	0	18	137	8	0	33		0	0		0	0	0		0	0	0	0	0	0			72	7	3	4	0	0	21	0			0	0	0	0	0	0	0	0	0	0		
1871122	0	0	0	0	0	0	0	0	0	0	0	0	8	0			0	0	59	46	0	0											0	0	0	0			0	0	9	8	0	0	4	0			0	0	0	0	0	0	0	0				
1872941	49	69	0	0	0	0	0	0	0	0	0	0	91	13			0	0	65	0	0	0						0				0	0	0	0	0			0	0	16	9	0	0	0	0			49	69	0	0	0	0	0	0				
1872996	0	0	0	0	0	0	0	0	0	0	0	0	5	0		0	0	0	14	3	0	0		0	0		0	0	0		0	0	0	0	0	0			6	2	5	2	1	0	0	0			0	0	0	0	0	0	0	0	0	0		
1877665	0	0	0	0	0	0	0	0	0	0	0	0	7	0			0	0	46	46	0	0											0	0	0	0			0	0	0	7	0	0	0	0			0	0	0	0	0	0	0	0				
1879016	0	0	0	0	0	0	0	6	0	0	0	0	19	0			0	0	147	12	0	0											0	0	0	0			0	0	44	13	0	0	88	3			0	0	0	0	0	0	0	6				
1879043	0	0	0	0	0	0	0	0	0	0	0	0	1	0			0	0	98	98	0	0											0	0	0	0			0	0	0	1	0	0	0	0														
1882070	0	0	0	10	0	0	0	7	0	0	0	0	95	0			0	1	848	6	0	0											0	0	62	2			0	0	780	75	0	0	0	0			0	0	0	0	0	0	0	7				
1885848	0	0	0	0	0	0	0	0	0	0	0	0	0	0			0	0	0	0	0	0											0	0	0	0			0	0	0	0	0	0	0	0														
