"IDRSSD"	RCFD1248	RCFD1249	RCFD1250	RCFD1251	RCFD1252	RCFD1253	RCFD1254	RCFD1255	RCFD1256	RCFD1257	RCFD1258	RCFD1259	RCFD1271	RCFD1272	RCFD1583	RCFD1594	RCFD1597	RCFD1658	RCFD1659	RCFD1661	RCFD1791	RCFD3505	RCFD3506	RCFD3507	RCFD3529	RCFD3530	RCFD5377	RCFD5378	RCFD5379	RCFD5380	RCFD5381	RCFD5382	RCFD5389	RCFD5390	RCFD5391	RCFD5459	RCFD5460	RCFD5461	RCFD5612	RCFD5613	RCFD5614	RCFD5615	RCFD5616	RCFD5617	RCFD6558	RCFD6559	RCFD6560	RCFDB575	RCFDB576	RCFDB577	RCFDB578	RCFDB579	RCFDB580	RCFDC226	RCFDC240	RCFDC241	RCFDC410	RCFDC411	RCFDC866	RCFDC867	RCFDC868	RCFNB572	RCFNB573	RCFNB574	RCON1226	RCON1227	RCON1228	RCON1248	RCON1249	RCON1250	RCON1254	RCON1255	RCON1256	RCON1271	RCON1272	RCON1583	RCON1594	RCON1597	RCON1606	RCON1607	RCON1608	RCON1658	RCON1659	RCON1661	RCON1791	RCON2759	RCON2769	RCON3492	RCON3493	RCON3494	RCON3495	RCON3499	RCON3500	RCON3501	RCON3502	RCON3503	RCON3504	RCON3505	RCON3506	RCON3507	RCON3529	RCON3530	RCON5380	RCON5381	RCON5382	RCON5389	RCON5390	RCON5391	RCON5398	RCON5399	RCON5400	RCON5459	RCON5460	RCON5461	RCON5612	RCON5613	RCON5614	RCON5615	RCON5616	RCON5617	RCON6558	RCON6559	RCON6560	RCONB575	RCONB576	RCONB577	RCONB578	RCONB579	RCONB580	RCONB834	RCONB835	RCONB836	RCONC226	RCONC229	RCONC230	RCONC236	RCONC237	RCONC238	RCONC239	RCONC240	RCONC241	RCONC410	RCONC411	RCONC866	RCONC867	RCONC868	
75455																																																																	0	0	0									0	31	4	47	0	3	0	0	0		0	0	0	11	0	15	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	31	4	0	0	0	0	0	0	0	0	0	0	0	0	0	37	15	15	0	0	0	0	37	0	49	0	0	0	0	0	14	0	0	0	0	
75558																																																																	0	0	0									33	160	0	1284	16	883	0	0	0		635	60	581	62	0	0	0	0	0	164	0	316	0	0	0						0	0	0	0	0	0	160	0	33	0	0	174	0	0	148	0	0	0	0	0	0	648	59	37	0	0	0	0	193	0	462	0	60	0	0	0	1255	7	0	0	0	
75633	0	0	0	15354	3059	99737	0	0	0	21	17	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10797	513	518	0	0	0	0	0	0	0	0	0	0	0	0	49954	8217	1977	0	0	0	47586	0	0	0	0	0	0	0																						47709	1435	17705	93	0	0	26274	99	10264	32401	6110	21794												13161	12182	828																							1941	4131	22337	4693	8408	1831								
75651																																																																	0	0	0									0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	9	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	
76050																																																																	0	0	0												12	237	198	0	0	198		115	0	0	0	0	0	0	0	0	0	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	237	0	0	178	0	0	0	0	0	0	0	93	19	13	0	0	0	0	0	0	388	32	29	0	0	0	13	0	0	0	0	
76135																																																																	66	0	0												121	0	27	0	0	0		620	0	0	0	0	0	0	0	0	743	0	0	0	0	0						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	37	0	0	0	0	171	0	276	62	30	0	0	0	0	0	0	0	0	
76153																																																																	0	0	0									0	23	0	204	0	6	0	0	0		0	0	0	65	0	216	0	0	0	129	0	0	0	0	0						0	0	0	0	0	0	23	0	0	65	0	0	58	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	344	0	182	67	0	0	0	0	116	0	0	0	0	
76443																																																																	0	0	0												0	7	0	0	0	0		154	0	0	33	0	0	0	0	0	0	0	0	0	0	0						0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	5	0	0	0	0	0	0	0	418	129	1	41	0	0	0	0	0	0	0	
76854																																																																	591	0	0												55	0	65	0	0	0		485	23	0	39	0	0	0	0	0	0	266	0	0	0	0						0	0	0	0	0	45	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	144	0	83	0	0	0	0	0	45	0	0	0	0	
77150																																																																	0	0	0									0	215	39	0	0	36	0	0	0		0	0	0	0	0	0	0	0	0	78	0	0	0	0	0						0	0	0	0	0	0	215	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
