"IDRSSD"	RCON0352	RCON2202	RCON2203	RCON2210	RCON2213	RCON2215	RCON2216	RCON2236	RCON2343	RCON2344	RCON2365	RCON2377	RCON2385	RCON2520	RCON2530	RCON2604	RCON5590	RCON6648	RCON6810	RCON6835	RCONA241	RCONA242	RCONA243	RCONA244	RCONA579	RCONA580	RCONA581	RCONA582	RCONA584	RCONA585	RCONA586	RCONA587	RCONB549	RCONB550	RCONB551	RCONB552	
	OTH NONTRANSACTION SAVINGS DEPOSITS	TOT TRANSACTION ACCTS-US GOVERNMENT	TOT TRANSACT ACCTS-STS&POL SUB IN US	TOTAL DEMAND DEPOSITS	TOT TRANS ACCTS-BKS IN FGN COUNTRIES	TOTAL TRANSACTIONS ACCOUNTS	TOT TRANS ACCTS-FGN GOVTS&OFFCL INST	NONTRANS DPS OF BKS IN FGN COUNTRIES	BROKERED DEPS LT 100000	BROKERED DEPS/PARTICIPATNS LE 100000	TOTAL BROKERED DEPOSITS	TOT NONTRANS ACCTS-FGN GOVTS&OFFCL I	TOTAL NONTRANSACTION ACCOUNTS	TOT NONTRANSACTION ACCTS-US GOVT	TOT NONTRANSACTION ACCTS-STS&POL SUB	TIME DEPOSITS GE 100000	PREFERRED DEPOSITS	TIME DEPOSITS LT 100000	AMT OUTSTDG IN MONEY MARKET DEP ACCT	IRA AND KEOGH PLAN ACCOUNTS	TM DEPS LT 100000 MAT LESS 1 YR	TIME DEPS GE 100000 MAT LESS 1 YR	BROKERED DEPS LT 100000 MAT LE 1 YR	BROKERED DEPS GE 100000 MAT LE 1 YR	TM DEPS LT 100000 MAT/REPRCE LE 3 MO	TM DEPS LT 100000 MAT/REPRCE 3-12 MO	TM DEPS LT 100000 MAT/REPRCE 1-3 YR	TM DEPS LT 100000 MAT/REPRCE GT 3 YR	TM DEPS GE 100000 MAT/REPRCE LE 3 MO	TM DEPS GE 100000 MAT/REPRCE 3-12 MO	TM DEPS GE 100000 MAT/REPRCE 1-3 YR	TM DEPS GE 100000 MAT/REPRCE GT 3 YR	TRANSACTION ACCTS: IPC DEPOSITS	NONTRANSACTION ACCTS: IPC DEPOSITS	TRANSACTION ACCT: CB'S & DI'S IN U.S	NONTRANSACT ACCT: CB'S & DI'S IN U.S	
609010	76029	74	1750	10988	0	14643	0	0	0	0	0	0	176761	0	17962	22824	18514	61599	16309	15762	31204	11329	0	0	10992	21989	15466	13152	2254	9075	3875	7620	12819	158799	0	0	
609373	6116	0	919	6592	0	19058	0	0	195	0	195	0	57867	0	0	7171	0	28925	15655	6383	22701	5440	0	0	5142	17559	5157	1067	791	4649	1529	202	18139	57867	0	0	
609467	1263	0	0	8249	0	11135	0	0	0	0	0	0	87683	0	0	43088	0	36324	7008	91	35528	41839	0	0	10202	25326	577	219	10979	30860	1249	0	11135	87683	0	0	
609609	6301	0	0	40499	0	41432	0	0	0	0	0	0	218296	2565	0	77404	0	82942	51649	9825	68969	72694	0	0	28765	40322	12162	1693	40478	32216	4206	504	41432	215632	0	99	
609645	3726	0	1266	4920	0	7377	0	0	0	0	0	0	10317	0	639	927	1274	5093	571	1264	3592	527	0	0	1126	2466	1171	330	0	527	300	100	6111	9678	0	0	
609832	7242	1	2200	7241	0	18680	0	0	0	3000	3000	0	65643	0	9166	16864	5623	33372	8165	4802	31125	13600	0	0	7979	23146	2210	37	3399	10201	3264	0	16327	56477	152	0	
610128	34463	0	21219	37269	0	60023	0	0	0	0	0	0	321925	0	8484	34425	29703	122791	130245	24801	74625	24696	0	0	22331	53549	35437	11474	6717	17979	5617	4112	38804	313441	0	0	
610155	2847	16	0	12918	0	21684	0	0	0	0	0	0	60166	0	0	21725	0	26404	9190	2731	21831	18210	0	0	5123	16708	4350	221	6339	11871	3316	200	21668	49359	0	10807	
610164	7594	2	5178	43010	0	70875	0	0	0	0	0	0	227671	0	16834	73989	21913	92422	53666	12087	81904	65290	0	0	26836	56151	7405	2030	29162	36358	5361	3108	65546	210837	149	0	
610539	5746	0	1351	4322	0	9422	0	0	0	0	0	0	21696	0	320	6449	1435	8165	1336	3708	7739	6137	0	0	2632	5107	426	0	1866	4271	312	0	8071	21376	0	0	
610557	13562	908	1	18778	0	28507	0	0	318	7165	7483	0	54953	0	470	21586	470	13519	6286	3801	8405	13489	94	4693	1769	6636	4282	832	5102	8387	6664	1433	27598	54483	0	0	
610623	96548	127	3302	59493	0	69369	0	0	0	0	0	0	707487	0	30488	143338	30815	148598	319003	38078	101941	99580	0	0	19919	82717	37746	8216	13482	86098	38469	5289	65940	650999	0	26000	
610847	20463	0	1969	9277	0	11455	0	0	0	0	0	0	36022	0	3013	3747	0	9939	1872	1745	7392	3031	0	0	1564	5828	2304	243	413	2618	416	300	9486	33009	0	0	
610913	18762	7	17870	27383	0	60833	0	0	0	0	0	0	95361	0	3072	33614	20115	39776	3209	9282	32607	28923	0	0	10727	22803	5928	318	11575	17348	4691	0	42956	90203	0	2086	
611031	9658	19	19064	21017	0	61896	0	0	0	0	0	0	68829	0	2112	15579	20111	31283	12310	8627	23939	11518	0	0	6615	17324	4552	2792	3434	8084	2206	1855	42813	66717	0	0	
611246	1934	0	247	4690	0	7054	0	0	0	750	750	0	25853	0	2474	4172	2395	15381	4366	3186	11552	3951	0	750	3180	8462	3221	518	2366	1585	121	100	6807	23379	0	0	
611451	13878	111	1523	12415	0	16836	0	0	277	712	989	0	225786	0	42359	28009	42116	79975	103924	19812	52887	23743	217	711	15543	38723	18904	6805	7073	16670	2409	1857	15135	183427	67	0	
612159	5220	11	5059	6724	0	20670	0	0	0	0	0	0	27836	0	4253	7031	8180	15382	203	1893	14950	6831	0	0	7784	7166	430	0	3399	3432	200	0	15600	23583	0	0	
612346	7281	1	834	16128	0	31882	0	0	0	0	1065	0	60031	0	2379	11620	2474	29729	11401	5187	26923	11212	0	1065	10693	17367	1669	0	4758	6762	100	0	31022	57652	25	0	
612364	0	0	0	0	0	0	0	0	65	551327	551392	0	1162741	0	0	842514	0	320227	0	0	214062	265442	0	88321	52244	161818	66237	39928	57173	208269	275054	302018	0	1137690	0	25051	
612551	11972	0	1319	20417	0	47892	0	0	0	0	0	0	57980	0	8926	23586	9451	15843	6579	5375	12339	20643	0	0	6029	6910	1887	1017	8255	12773	2210	348	46573	49054	0	0	
613008	226964	0	105728	83685	0	266443	0	0	0	0	0	0	1863020	0	52431	179154	17321	384129	1072773	85905	347118	172372	0	0	126921	223545	30082	3581	65523	107372	6259	0	156810	1810589	3905	0	
613156	77256	42	1409	8410	0	18737	0	0	0	0	0	0	206014	0	2240	30813	2965	50517	47428	10659	43673	26911	0	0	11641	32032	6844	0	8494	18417	3902	0	17153	203774	133	0	
