"IDRSSD"	RCFDF066	RCFDF067	RCFDF068	RCFDF069	RCFDF070	RCFDF071	RCFDF072	RCFDF073	RCONF066	RCONF067	RCONF068	RCONF069	RCONF070	RCONF071	RCONF072	RCONF073	
	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	RETAIL ORGTNS CLSD-END 1-4 FAM:1ST L	RETAIL ORGTNS CLSD-END 1-4 FAM: JR L	WHSL ORG PRCH 1T4 FIRST	WHSL ORG PRCH 1T4 JR	CLSD-END 1-4 FAM RESDTL MTGS:FIRST L	CLSD-END 1-4 FAM RESIDTL MTGS:JR LIE	CLOSED-END 1-4 FAM RESDTL MTGS:FST L	CLOSED-END 1-4 FAM RESDTL MTG:JR LIE	
107150																	
107226																	
107244									44753	0	0	0	43973	0	6686	0	
107431																	
107459																	
107758																	
108269																	
108652																	
108746																	
108951																	
109136																	
109154																	
109453																	
109574																	
109659																	
109855																	
110057																	
110404																	
110413									45610	6632	0	0	42883	5917	17413	2511	
110655																	
110936																	
110945																	
111157																	
111205																	
111559																	
111661																	
111942																	
111979																	
112163																	
112332																	
112444																	
112510																	
112556																	
112837	152397	0	0	0	242903	0	1556788	27254	152397	0	0	0	242903	0	1556788	27254	
113003																	
113030																	
113151																	
113441																	
113601																	
113740									0	0	0	0	0	0	0	0	
113759																	
113937																	
114149																	
114158																	
114251																	
114260									35119	25	0	0	32244	50	15580	0	
114457																	
114756																	
114774																	
114840																	
114859																	
115100																	
115146																	
115155																	
115221																	
115575																	
115641									16296	33	0	0	14376	76	4358	33	
116077																	
116358																	
116554																	
116639																	
116732																	
116741																	
117038																	
117458																	
117672																	
117841																	
118156																	
118174																	
118660																	
118736																	
119153																	
119274																	
119528																	
119779																	
120542																	
120609																	
120953																	
121576																	
121642									44377	539	0	0	35480	488	13118	51	
121651																	
121914																	
122153																	
122546																	
122658																	
122751																	
122854																	
123178																	
123440																	
123646																	
124344																	
124353																	
124773																	
124830																	
125154																	
125855									13822	0	0	0	11779	0	5717	0	
125958																	
126012																	
126049																	
126254									16510	0	0	0	15777	0	4246	0	
126553									18107	0	0	0	18997	0	2519	0	
126740																	
126834																	
127055																	
127224																	
127260									0	0	0	0	0	0	0	0	
127701																	
128164																	
128258																	
128511																	
128904									99146	1631	11587	24	118043	2213	19169	331	
128959																	
129349																	
129358																	
129394																	
129479																	
129732																	
129853																	
129910																	
130345																	
130541									42702	0	367157	300097	409758	283835	59191	63751	
130635																	
130813																	
130943	23902	4714	34486	76228	46937	28740	30565	162055	23902	4714	34486	76228	46937	28740	30565	162055	
131034																	
131155																	
131173																	
131351																	
131360									360924	42	0	0	425569	0	73231	5307	
131418									8537	0	0	0	7077	0	5208	0	
131436																	
131650									29366	0	0	0	30894	158	5943	0	
131717																	
131940																	
132107																	
132152																	
132219																	
132451																	
132554																	
132778																	
132853																	
132938																	
133243																	
133850																	
133971																	
134156																	
134437																	
134455																	
134848																	
135359																	
135751																	
135836																	
135854																	
136048																	
136338									0	0	0	0	0	0	0	0	
136459																	
136655																	
137120																	
137205																	
137447																	
137456																	
137559																	
137643																	
137652																	
137821																	
137915									4497	0	0	0	4162	0	1476	0	
