"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2182	RCFD2183	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCON1288	RCON1415	RCON1420	RCON1460	RCON1480	RCON1545	RCON1563	RCON1564	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2182	RCON2183	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	
601041																																	0	788	1343	0	6608		141		2323	0			4212	489	6728	0	0	32872	0	0			0	8665	1575	0	14151	384	1890	5861	174	6	260	5438	6439	8606	3542	99	0								0	0			0	0	
601050																																	300	763052	104597	143505	1636364	17680	150376	132696	100737	0	2070469	0	2070469	412698	1352889	0	81544	9403366	0	287137	287137	0	30390	1541949	123612	942083	2809923	94240	188078	354485	281953	513371	109372	5045498	255901	773952	1027590	639233	104344	0	0	0	300	0	0	0	608324	25813	0	6553	0	0	
601153																																	0	232	1930	0	6470		75		28306	0			6335	0	5079	0	26	52262	0	0			0	3697	0	3245	21178	193	213	1409	1708	35	0	18318	12076	7268	6744	2342	261								112	0			0	0	
601416																																	0	13668	35078	13211	229779	0	4975	4975	21159	0	83381	0	83381	96540	149239	0	206	927174	0	0	0	0	0	240445	36017	50645	66670	8099	18926	10919	12939	133723	52147	249360	15712	103234	154011	138482	13785	0	0	0	0	0	0	0	0	3476	0		0	0	
601434																																	0	0	2180	0	865		0		3647	0			3682	0	4068	0	0	21683	0	0			0	6915	326	373	8361	207	1281	4751	429	0	0	5090	1783	4588	3139	111	0								0	0			0	0	
601443																																	0	17070	81	3689	71390		77		182	0			8159	1455	8105	0	1492	155672	0	116			0	36416	7440	20077	55718	10118	16020	7773	594	865	623	32249	23744	45451	10799	3896	1130								0	0		0	0	0	
601564																																	0	10852	204	950	11319		0		3739	0			23468	1182	2982	0	0	68869	170	0			0	11095	206	803	31981	4888	2394	1976	472	840	465	52811	2141	934	1788	226	0								0	3042			0	0	
601658																																	0	276	784	0	2173		227		3051	0			893	0	2215	0	0	12171	0	0			0	2552	0	0	5084	53	195	284	637	1383	0	2662	3412	2458	734	346	0								0	0			0	0	
601733																																	0	6475	1128	1327	16748		250		177	0			6637	1820	6580	0	0	53353	0	0			192	12001	210	2	18806	1131	1588	3100	3539	2586	57	9890	10089	12583	6937	1514	335								0	0			0	0	
602048																																	0	46880	0	3634	102235	0	0	0	4	0	54163	0	54163	17426	23319	0	2493	287528	0	0	0	0	0	33308	3883	5219	82963	160	3188	7866	5425	5710	10959	94446	17113	47990	62513	30853	211	0	0	0	0	0	0	0	0	183	0		0	0	
