"IDRSSD"	RCON8774	RCON8775	RCON8776	RCON8777	RCON8778	RCON8779	RCONA000	RCONA001	RCONA002	RCONA167	RCONA221	RCONA222	RCONA223	RCONA224	RCONA250	RCONB503	RCONB504	RCONB505	RCONB520	RCONB528	RCONB541	RCONB542	RCONB543	RCONB546	RCONB547	RCONB548	RCONB581	RCONB582	RCONB583	RCONB588	RCONB589	RCONB590	RCONB591	RCONB592	RCONB593	RCONB594	RCONB595	RCONB596	RCONB600	RCONB601	RCONB602	RCONB603	RCONB604	RCONB605	RCONB606	RCONB607	RCONB608	RCONB609	RCONB610	RCONB611	RCONB612	RCONB617	RCONB618	RCONB619	RCONB620	RCONB621	RCONB622	RCONB623	RCONB624	RCONB625	RCONB626	RCONB627	RCONB628	RCONB629	RCONB630	RCONB631	RCONB639	RCONB640	RCONB641	RCONB642	RCONB643	RCONB644	RCONB650	RCONB651	RCONB652	RCONB653	RCONB654	RCONB655	RCONB656	RCONB657	RCONB658	RCONB659	RCONB660	RCONB661	RCONB662	RCONB663	RCONB664	RCONB665	RCONB666	RCONB667	RCONB668	RCONB669	RCONB670	RCONB671	RCONB672	RCONB673	RCONB675	RCONB676	RCONB677	RCONB678	RCONB679	RCONB680	RCONB681	RCONB682	RCONB683	RCONB684	RCONB685	RCONB686	RCONB687	RCONB688	RCONB689	RCONB690	RCONB691	RCONB693	RCONB694	RCONB695	RCONB696	RCONB697	RCONB698	RCONB699	RCONB700	RCONB701	RCONB702	RCONB703	RCONB704	RCONC063	RCONC064	RCONC225	RCONC227	RCONC228	RCONC869	RCONF264	RCONG591	RCONG592	RCONG593	RCONG594	RCONG595	RCONG596	RCONG597	RCONG598	RCONG599	RCONG600	RCONG601	RCONG602	
3287503	0	0	0	0	0	0	0	0	0	0	0	1302	152715	215448	0	0	0	0	4476	144972	0	0	0	2618	2618	0	0	0	2618	0	0	0	0	0	0	0	0	0	809	10097	0	0	0	0	0	0	115	10007	24799	0	2413	0	0	0	0	0	0	13402	2215	11453	117902	0	0	0	0	0	12244	0	0	0	0	-3112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1215	0	0	0	1215	0	0	0	24218	37111	11453	140868	0	7422	5727	140868	154017	0	0	4476	17306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3287660	0	0	0	0	0	0	0	0	0	0	0	30692	605687	845141	0	0	0	0	0	764114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37324	11760	0	0	0	0	0	0	-63	6060	10764	0	0	0	0	0	0	0	0	0	0	352433	411680	0	0	0	0	0	26497	0	2480	0	1043	-38709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20482	0	0	0	20482	0	0	0	45864	22524	353476	455136	0	4505	176738	455136	636379	0	0	0	124468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3288452	0	0	0	0	0	0	0	0	0	528	0	1161	185842	252802	0	0	0	0	0	184193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1138	2859	0	0	0	0	0	0	550	9994	36200	505	0	0	0	0	2336	0	0	2347	0	42023	139823	378	0	0	0	0	12260	0	798	1528	0	-2571	305	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6128	0	0	0	6128	0	0	528	14277	40587	45392	156190	0	8117	22696	156190	187003	0	0	0	24053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3288742	0	0	0	0	0	0	0	0	0	0	0	894	73845	110227	0	0	0	0	0	83158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20847	704	0	0	0	2752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28715	54443	0	0	0	0	0	2678	0	0	471	0	-1828	449	0	0	0	449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2231	0	0	0	2231	0	0	0	20847	5253	28715	59330	0	1051	14358	59330	74739	0	1326	1326	10750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3290231	0	0	0	0	0	0	0	0	0	0	0	1042	105137	131585	0	0	0	0	0	100512	0	0	0	6	6	0	0	0	6	0	0	0	0	0	0	0	0	0	4118	573	0	0	0	0	0	0	80	4214	10937	105	0	0	0	0	0	0	0	1016	0	12269	87227	0	0	0	0	0	10989	0	706	633	0	-2286	69	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	0	0	0	437	0	0	0	10054	13013	12374	97389	0	2603	6187	97389	106179	0	870	870	11523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3290240	0	0	0	0	0	0	0	0	0	0	0	225	157019	227034	0	0	0	0	0	151518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	310	28156	0	0	0	0	0	0	0	491	13807	0	3527	0	0	0	0	0	0	0	0	42672	108845	0	0	0	0	0	3453	0	0	1360	0	-2191	0	0	0	0	0	269	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11019	0	0	0	11019	0	0	0	801	50774	42672	125753	0	10155	21336	125753	157244	0	7451	7451	22675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3293540	0	0	0	0	0	0	0	0	0	0	0	2716	138677	173696	0	0	0	0	0	129375	0	0	0	350	350	0	0	0	350	0	0	0	0	0	0	0	0	0	613	2645	0	0	0	0	0	0	408	905	9758	0	0	0	0	0	0	0	0	0	2818	9642	116915	0	0	0	0	0	5093	0	0	0	0	-4028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5579	0	0	0	5579	0	0	0	1518	43176	9642	127937	0	8635	4821	127937	141393	0	27955	27955	17919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3293746	0	0	0	0	0	0	0	0	0	0	0	1350	83885	135566	0	0	0	0	0	71197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2751	4913	0	0	0	0	0	0	138	33397	6289	297	0	0	0	0	0	0	0	0	0	10097	61100	0	0	0	0	0	15780	0	0	1203	0	-2279	60	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1170	0	0	0	1170	0	0	0	36148	15654	10394	76907	0	3131	5197	76907	85235	0	3249	3249	3045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3294583	0	0	0	0	0	0	0	0	0	0	0	1037	185316	238274	0	0	0	0	0	188408	0	0	0	0	0	0	0	0	0	0	0	9729	0	0	0	0	0	0	19420	562	0	0	0	0	0	0	104	7581	1344	756	0	0	0	0	0	0	0	0	0	34744	153664	0	0	0	0	0	26734	13969	1008	5	123	10707	197	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1998	0	0	0	1998	0	0	0	28009	5267	35623	167488	0	1053	17812	167488	186353	0	3356	3356	26308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3295320	0	0	0	0	0	0	0	0	0	0	0	2336	272582	328381	0	0	0	0	0	257810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1068	850	0	0	0	0	0	0	-894	13491	32786	0	5170	0	0	0	0	0	0	0	0	23326	234484	0	0	0	0	0	18196	0	52	5739	0	-6632	375	0	0	0	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2946	0	0	0	2946	0	0	0	14611	39375	23326	255380	0	7875	11663	255380	274918	0	0	0	34988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3296149	0	0	0	0	0	0	0	0	0	0	0	0	23369	47474	0	0	0	0	0	5332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45932	0	0	0	9413	0	0	0	0	0	0	4040	0	0	0	0	0	0	0	0	0	5332	0	0	0	0	0	3264	0	336	0	0	-130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	336	55345	0	12300	0	11069	0	12300	23369	0	0	0	15058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3296859	0	0	0	0	0	0	0	0	0	0	0	2060	78585	95560	0	0	0	0	0	71747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6568	2648	0	0	0	0	0	0	56	1869	4371	0	0	0	0	0	0	0	0	265	890	0	70592	0	0	0	0	0	6588	0	6	412	0	-3012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1780	0	0	0	1780	0	0	0	8708	10514	0	78542	0	2103	0	78542	80645	0	2193	2193	12013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3297490	0	0	0	0	0	0	0	0	0	0	0	79	58716	88438	0	0	0	0	0	62790	0	0	0	20	20	0	0	0	20	0	0	0	0	0	0	0	0	0	8356	3777	0	0	0	0	0	0	42	0	7019	502	0	0	0	0	0	0	0	0	1486	17282	44022	0	0	0	0	0	3677	0	400	178	0	-772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	0	0	270	0	0	0	8756	12460	17784	47411	0	2492	8892	47411	58795	0	0	0	8280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3299159	0	0	0	0	0	0	0	0	0	0	0	6693	230979	373193	0	0	0	0	0	216752	0	0	0	450	450	0	0	0	450	0	0	0	0	0	0	0	0	0	1245	6530	0	0	0	0	0	0	-2039	29517	49495	0	0	0	0	0	0	0	0	0	0	32577	184175	0	0	0	0	0	18455	0	0	1485	0	-11691	431	0	0	0	431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1719	0	0	0	1719	0	0	0	30762	88192	32577	203745	0	17638	16289	203745	237672	0	30682	30682	-2344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
