"IDRSSD"	RCFDF236	RCFDF237	RCFDF238	RCFDF239	RCFDG465	RCFDG466	RCFDG467	RCFDG468	RCFDG469	RCFDG470	RCFDG471	RCFDG472	RCFNF234	RCFNF235	RCON5597	RCONA545	RCONF045	RCONF046	RCONF047	RCONF048	RCONF049	RCONF050	RCONF051	RCONF052	RCONF236	RCONF237	RCONF238	RCONF239	RCONG465	RCONG466	RCONG467	RCONG468	RCONG469	RCONG470	RCONG471	RCONG472	RCONG803	RCONJ651	RCONJ652	RCONJ944	RCONJ945	TEXTA545	
	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	TOTAL FOR DEP INCLUDED IN B	TOTAL DAILY AVG FOR DEP INCLUDED IN 	ESTIMATE OF UNINSURED DEPOSITS	PB/PSA FDIC CERTIFICATE NUMBER	AMT RETIRE DEP ACCNT $250K OR LESS	NBR RETIRE DEP ACCNT $250K OR LESS	AMT RETIREMT DEP ACCTS MOR THAN $250	NBR RETIRE DEP ACCNT MOR THAN $250K	AMT OF DEP ACCNT $250K OR LESS	NBR OF DEP ACCNTS OF $250K OR LESS	AMT OF DEP ACCNT MORE THAN $250K	NBR OF DEP ACCNT GT $250K	TOTAL DEP LIABILITIES BEFORE EXCLUSI	TOTAL ALLOWABLE EXCLUSIONS INCLD FOR	TOTAL DAILY AVG FOR DEP LIABILITY EX	TOTAL DAILY AVG ALLOWABLE EXCLS	UNSECURED OTHR BRW MAT LE 1 YR	UNSECURED OTHR BRW MAT 1 TO 3 YR	UNSECURED OTHR BRW MAT 3 TO 5 YR	UNSECURED OTHR BRW MAT GT 5 YR	SUB NOTES & DBNTR MAT LE 1 YR	SUB NOTES AND DBNTR MAT 1 TO 3 YR	SUB NOTES AND DBNTR MAT 3 TO 5 YR	SUB NOTES & DBNTR MAT GT 5 YR	RECIPROCAL BROKERED DEPOSITS	AVG DAILY AMT NONINT ACTS GT 250K	AVG DAILY NBR NONINT ACT GT 250K	AMT NONINT ACTS GT 250K DODD FRANK A	NBR NONINT ACT GT 250K DODD FRANK AC	PB/PSA FDIC CERTIFICATE NUMBER	
195111																0	15825	1064	822	3	346279	30619	76868	127	439794	0			0	0	0	0	0	0	0	0	35631	24004	36.28	22648	35		
195157																0	4077	161	841	3	32044	3421	10852	10	47814	0			0	0	0	0	0	0	0	0	0			1208	3		
195456																0	3115	202	0	0	57122	6446	8080	17	68317	0			0	0	0	0	0	0	0	0	0	657	2.00	2305	4		
196257																0	0	0	0	0	15164	1015	1456	4	16620	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
196743																0	5736	202	0	0	159893	4811	33690	68	199439	120			0	0	0	0	0	0	0	0	0	19965	16.39	10925	14		
196752																0	0	0	0	0	3537	1191	602	2	4139	0			0	0	0	0	0	0	0	0	0			0	0		
196800																0	17589	1506	2924	6	174647	28022	220165	768	415325	0			0	0	0	0	0	0	0	0	0			3676	10		
197142																0	13846	1122	1882	6	130564	10689	29541	37	175833	0			0	0	0	0	0	0	0	0	0			3207	7		
197254																0	1335	35	0	0	20741	1453	3801	9	25878	0			0	0	0	0	0	0	0	0	0			589	1		
197302																0	34511	1744	3941	10	272223	18979	56347	130	367022	0			0	0	0	0	0	0	0	0	0	7463	18.00	6692	19		
197478	15762973	741566	15593978	725638	0	0	0	0	0	0	0	75000	741566	725638	4373384	0	224800	16252	5559	18	8899577	558122	5891471	5953													414926			1680036	1613		
197759																0	10604	989	0	0	132203	13873	17278	31	160085	0			0	0	0	0	0	0	0	0	0	3532	5.79	2407	5		
198046																0	4743	328	0	0	40365	2922	7340	21	52448	0			0	0	0	0	0	0	0	0	0	2617	7.07	992	3		
198103																0	4022	318	712	2	44100	4449	11605	21	60439	0			0	0	0	0	0	0	0	0	0			0	0		
198149																0	29030	1073	2076	5	181973	13211	50310	109	263389	0	261470	0	0	0	0	0	0	0	0	0	0			5561	9		
198251																0	4317	564	258	1	49991	6975	9758	18	64324	0	66362	0	0	0	0	0	0	0	0	0	0	2656	6.73	2650	7		
198831																0	23574	752	4467	11	250223	15906	79192	84	357456	0			0	0	0	0	0	0	0	0	0	26367	28.00	17944	15		
198859																0	2655	114	269	1	38501	3222	12347	19	53772	0			0	0	0	0	0	0	0	0	0	4006	6.25	3085	6		
198961																0	4117	375	0	0	73190	8395	9955	26	87262	0			0	0	0	0	0	0	0	0	0	0	0.00	0	0		
199052																0	6001	296	601	2	62261	4474	18968	23	87831	0			0	0	0	0	0	0	0	0	0	1372	2.57	1637	4		
199137																0	1063	45	344	1	43496	4301	11792	22	56695	0			0	0	0	0	0	0	0	0	0			0	0		
199351																0	276	23	306	1	14393	640	2193	7	17169	0			0	0	0	0	0	0	0	0	0	468	1.52	341	1		
