"IDRSSD"	RCFD1410	RCFD1563	RCFD1590	RCFD1616	RCFD1763	RCFD1764	RCFD2011	RCFD2081	RCFD2107	RCFD2122	RCFD2123	RCFD2746	RCFDA247	RCFDA570	RCFDA571	RCFDA572	RCFDA573	RCFDA574	RCFDA575	RCFDB532	RCFDB533	RCFDB534	RCFDB536	RCFDB537	RCFDB538	RCFDB539	RCFDB837	RCFDC391	RCFDC779	RCFDC780	RCFDF162	RCFDF163	RCFDF585	RCFDF586	RCFDF587	RCFDF588	RCFDF589	RCFDF597	RCFDF598	RCFDF599	RCFDF600	RCFDF601	RCFDF608	RCFDF609	RCFDG091	RCFDG092	RCFDG093	RCFDG094	RCFDG095	RCFDG096	RCFDG097	RCFDG098	RCFDG099	RCFDG100	RCFDG101	RCFDG102	RCFDG378	RCON1288	RCON1420	RCON1460	RCON1545	RCON1590	RCON1616	RCON1763	RCON1764	RCON1766	RCON1797	RCON2011	RCON2081	RCON2107	RCON2122	RCON2123	RCON2165	RCON2746	RCON5367	RCON5368	RCON5370	RCONA247	RCONA564	RCONA565	RCONA566	RCONA567	RCONA568	RCONA569	RCONA570	RCONA571	RCONA572	RCONA573	RCONA574	RCONA575	RCONB531	RCONB532	RCONB533	RCONB534	RCONB535	RCONB536	RCONB537	RCONB538	RCONB539	RCONB837	RCONC391	RCONC779	RCONC780	RCONF158	RCONF159	RCONF160	RCONF161	RCONF162	RCONF163	RCONF230	RCONF231	RCONF232	RCONF576	RCONF577	RCONF578	RCONF579	RCONF580	RCONF581	RCONF582	RCONF583	RCONF584	RCONF585	RCONF586	RCONF587	RCONF588	RCONF589	RCONF590	RCONF591	RCONF592	RCONF593	RCONF594	RCONF595	RCONF596	RCONF597	RCONF598	RCONF599	RCONF600	RCONF601	RCONG091	RCONG092	RCONG093	RCONG094	RCONG095	RCONG096	RCONG097	RCONG098	RCONG099	RCONG100	RCONG101	RCONG102	RCONG376	RCONG378	RCONJ451	RCONJ454	RCONJ464	RCONJ466	RCONJ467	RCONJ468	RCONJ469	RCONJ470	RCONJ471	RIADG377	
701950																																																										0	2021	3247		418	0			13708	1407	1400	0	100	94974	0	0	0	23118	1079	459	21129	1050	3995	13733	1561	1123	1419	10359	10379	22542	15099	7612	3407								0	29			0	0	3981	3657	20581	20210			0			100	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	18	0	0	0	0	0	0		
702050																																																										0	16	0		45	0			1457	0	1724	0	0	7393	0	0	0	2708	0	1585	1445	619	51	13	641	431	955	1239	315	793	943	1104	291								0	0			0	0	0	0	140	1196			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	107	0	0	0	0	0	0		
702117																																																										0	33101	13798	0	79637	0	549504	0	549504	230127	849683	0	52981	3610006	1055	30645	0	545415	345551	77946	550150	47944	119070	202157	102560	61806	3227	1079098	354392	737603	477831	340261	42644	0	0	0	0	0	0	0	0	21796	0		0	0	2979	47186	170798	635107	30645	0	0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		905850	2753	0	2753	0	0	0	0	0	0		
702359																																																										0	1826	187		2469	184			5830	0	5704	0	107	68286	170	0	0	17034	341	4173	11001	780	2330	4765	395	4446	3987	5465	7841	11362	6759	12833	6548								0	0			0	0	1675	6895	16553	9835			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0	0	62645		0	0	0	0	0	0	0	0	0	
702612																																																										0	44795	7372	10	6414	0	28783	0	28783	18068	14429	0	2718	375674	0	0	0	122601	4632	50578	134166	10480	37173	47982	12669	11996	1371	71077	73791	59213	26688	19013	1958	0	0	0	0	0	0	0	0	985	0		0	0	2681	13553	56011	51823	0	0	0			1050	588																									0	0	0	0	0	0	0	0	0	0	0	0		122601	799	0	809	0	0	0	0	0	0		
702751																																																										0	1793	4420		38	0			12164	2273	9583	0	3585	89855	0	0	0	19855	1021	0	25357	797	4057	10227	3121	1534	0	11243	11257	23427	11111	9524	2995								0	0			0	0	1730	7155	18832	7406			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0		
702836																																																										0	3026	1579		1360	0			5362	0	5196	0	853	59127	0	0	0	18407	268	504	33505	3640	8299	3999	1892	577	0	9211	12859	10054	5509	1229	0								0	0			0	0	1166	3170	12110	6630			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	0	0	0	0	0	0	0		
702911																																																										0	34898	5517	358	5719	914	19972	0	19972	9351	8648	0	2747	192959	0	0	0	61460	2007	57810	18481	5346	24139	16030	11077	4061	623	9670	32327	30414	45240	13124	580	0	0	0	0	0	0	0	835	0	0		0	0	2943	4066	29287	5108	0	0	0			0	411																									0	0	0	0	0	0	0	0	0	0	0	0		64403	43	0	401	0	0	0	0	0	0		
702966																																																										0	1343	0		3773	0			2689	0	2591	0	0	13843	0	0	0	2674	0	493	5301	598	145	834	1074	23	0	2048	3249	1893	2591	961	226								0	0			0	0	0	0	0	744			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	29	0	0	0	0	0	0		
703039																																																										0	8023	0		15186	0			7197	0	4016	0	850	40709	137	0	0	3015	0	2861	16770	174	285	1828	534	104	49	6670	9779	8042	4221	3180	3999								0	0			0	0	735	0	0	1806			0			0	0																									0	0	0	0	0	0	0	0	0	0	0	0		0		0	18	0	0	0	0	0	0		
