"IDRSSD"	RCFDF240	RCFDF241	RCFDF242	RCFDF243	RCFDF244	RCFDF245	RCFDF246	RCFDF247	RCFDF248	RCFDF249	RCFDF250	RCFDF251	RCFDF252	RCFDF253	RCFDF254	RCFDF255	RCFDF256	RCFDF257	RCFDF258	RCFDF259	RCFDF260	RCFDF261	RCFDF262	RCFDF263	RCFDF682	RCFDF683	RCFDF684	RCFDF685	RCFDF686	RCFDF687	RCFDF688	RCFDF689	RCFDF690	RCFDF691	RCFDF692	RCFDF693	RCFDF694	RCFDF695	RCFDF696	RCFDF697	RCONF240	RCONF241	RCONF242	RCONF243	RCONF244	RCONF245	RCONF246	RCONF247	RCONF248	RCONF249	RCONF250	RCONF251	RCONF252	RCONF253	RCONF254	RCONF255	RCONF256	RCONF257	RCONF258	RCONF259	RCONF260	RCONF261	RCONF262	RCONF263	RCONF682	RCONF683	RCONF684	RCONF685	RCONF686	RCONF687	RCONF688	RCONF689	RCONF690	RCONF691	RCONF692	RCONF693	RCONF694	RCONF695	RCONF696	RCONF697	
760434																																																																																	
760649																																																																																	
760854																																																																																	
760939																																																																																	
760957																																																																																	
761178																																																																																	
761244																																																																																	
761347																																																																																	
761459																																																																																	
761543																																																																																	
761806							48512	48512								45805	45805																																																																
761833																																																																																	
761851																																																																																	
761954																																																																																	
762045																																																																																	
762054																																																																																	
762353																																																																																	
762447																																																																																	
762625																																																																																	
763211																																																																																	
763556																																																																																	
763752																																																																																	
763930																																																																																	
764030																																																																																	
764058																																																																																	
764067																																																																																	
764142																																																																																	
764151																																																																																	
764441																																																																																	
764647																																																																																	
764816																																																																																	
764843																																																																																	
764982																																																																																	
765019																																																																																	
765046																																																																																	
765130																																																																																	
765318																																																																																	
765354																																																																																	
765505																																																																																	
765662																																																																																	
766052																																																																																	
766164																																																																																	
766258																																																																																	
766735																																																																																	
767040																																																																																	
767152																																																																																	
767246																																																																																	
767255																																																																																	
767554																																																																																	
767611																																																																																	
767705																																																																																	
767732																																																																																	
767769																																																																																	
767817																																																																																	
768074																																																																																	
768252																																																																																	
768458																																																																																	
768953																																																																																	
769156																																																																																	
769334																																																																																	
770068																																																																																	
770367																																																																																	
770433																																																																																	
770451																																																																																	
770545																																																																																	
770639																																																																																	
770657																																																																																	
770853																																																																																	
771047																																																																																	
771140																																																																																	
771458																																																																																	
771609																																																																																	
771636																																																																																	
771748																																																																																	
772008																																																																																	
772240																																																																																	
772446																																																																																	
772558																																																																																	
772745																																																																																	
772754																																																																																	
773032																																																																																	
773247																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
773443																																																																																	
773546																																																																																	
773742																																																																																	
774105																																																																																	
774132																																																																																	
774235																																																																																	
774253																																																																																	
774262																																																																																	
774347																																																																																	
774655																																																																																	
774851																																																																																	
775054																																																																																	
775214																																																																																	
775241																																																																																	
775456																																																																																	
775540																																																																																	
775755																																																																																	
776248																																																																																	
776275																																																																																	
776350																																																																																	
776369																																																																																	
776547																																																																																	
776659																																																																																	
776734																																																																																	
776752																																																																																	
777254																																																																																	
777366																																																																																	
777441																																																																																	
777553																																																																																	
777870																																																																																	
777964																																																																																	
778466																																																																																	
778738																																									0	0	0	7983	0	7983	0	0	0	438	438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
779016																																									0	0	0	0	0	0	1835	1835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
779351																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
779360																																																																																	
779539																																																																																	
779641																																																																																	
779650																																																																																	
779968																																																																																	
780049																																																																																	
780218																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
780263																																																																																	
780562																																																																																	
780722																																																																																	
780955																																																																																	
781028																																																																																	
782016																																																																																	
782351																																																																																	
782548																																																																																	
782650																																									0	0	0	0	0	0	0	0	0	292	292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
783161																																																																																	
783246																																																																																	
783349																																																																																	
783648																																																																																	
783844																																																																																	
783910																																																																																	
783956																																																																																	
783965																																																																																	
784159																																																																																	
784430																																																																																	
784944																																																																																	
785062																																									0	0	0	0	0	0	213939	213939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
785147																																																																																	
785259																																									0	0	0	0	0	0	0	0	0	790	790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
785857																																																																																	
785923																																																																																	
785932																																																																																	
785950																																																																																	
786210																																																																																	
786256																																																																																	
786340																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
786443																																																																																	
786555																																																																																	
786612																																																																																	
786733																																																																																	
786742																																																																																	
786948																																																																																	
787141																																																																																	
787253																																																																																	
787440																																																																																	
787459																																																																																	
787842																																																																																	
788559																																																																																	
788652																																																																																	
789051																																																																																	
790150																																																																																	
790271																																																																																	
790534																																																																																	
790543																																																																																	
790703																																																																																	
790721																																																																																	
790851																																																																																	
790918																																																																																	
791072																																																																																	
791205																																																																																	
791353																																																																																	
791474																																																																																	
791746																																																																																	
791821																																																																																	
791942																																																																																	
792248																																																																																	
792453																																																																																	
792640																																																																																	
792659																																																																																	
792743																																																																																	
793571																																																																																	
794149																																																																																	
794251																																																																																	
794336																																																																																	
794345																																																																																	
794608																																																																																	
794653																																																																																	
795249																																																																																	
795548																																																																																	
795959																																									21178	21178	0	0	0	0	21178	21178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
795968	0	0	0	0	0	0	126161	91914	34247	2542402	2463299	78526	0	0	0	34454	0	34454	120862	1587	119275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	577	0	0	0	0																																									
796125																																																																																	
796152																																																																																	
796451																																																																																	
796657																																																																																	
796769																																																																																	
797140																																																																																	
797159																																																																																	
797319																																									0	0	0	0	0	0	5574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5574	0	0	0	0	0	0	
797467																																																																																	
797775																																																																																	
798512																																																																																	
798857																																																																																	
799359																																																																																	
799612																																																																																	
799751																																																																																	
799854																																																																																	
799939																																																																																	
799948																																																																																	
800134																																																																																	
800442																																																																																	
800479																																																																																	
800657																																																																																	
800853																																																																																	
801047																																																																																	
801056																																																																																	
801654																																																																																	
802110																																									0	0	0	3606	0	0	0	0	0	1510853	1489840	1016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3606	0	0	19997	0	0	0	0	
802174																																																																																	
802352																																																																																	
802866	0	0	0	0	0	0	50462	50462	0	0	0	0	0	0	0	50136	50136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																									
803144																																																																																	
803256																																																																																	
803265																																																																																	
803461																																																																																	
803649																																																																																	
803658																																																																																	
803957																																																																																	
804150																																																																																	
804338																																																																																	
804422																																																																																	
804758																																																																																	
804815																																																																																	
804860																																																																																	
804963	0	0	0	0	0	0	526981	521836	0	0	0	0	0	0	0	462487	462487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5145	0	0	0	0	0	0																																									
805045																																																																																	
805250																																																																																	
805335																																																																																	
805447																																																																																	
805670																																																																																	
805755																																																																																	
805858																																																																																	
805876																																																																																	
806154																																																																																	
806220																																																																																	
806846																																																																																	
806958																																																																																	
807348																																																																																	
807432																																																																																	
807656																																																																																	
807665																																																																																	
807946																																																																																	
807955																																																																																	
808167																																																																																	
808176																																																																																	
808260																																																																																	
808345																																																																																	
808354																																																																																	
808448																																																																																	
808653																																																																																	
809379																																																																																	
809539																																																																																	
809650																																																																																	
809856																																																																																	
809940																																																																																	
810151																																																																																	
810544																																																																																	
810553																																																																																	
810834																																																																																	
810900																																																																																	
810919																																																																																	
811046																																																																																	
811279																																																																																	
811457																																																																																	
811541																																																																																	
811550																																																																																	
811747																																																																																	
811756																																																																																	
812164																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
812436																																																																																	
812557																																																																																	
812614																																																																																	
813059																																																																																	
813572																																																																																	
813853																																																																																	
813947																																																																																	
814177																																																																																	
814216																																																																																	
814355																																																																																	
814430																																																																																	
814458																																																																																	
814551																																																																																	
814711																																																																																	
814748																																																																																	
814953																																																																																	
815053																																																																																	
815147																																																																																	
815156																																																																																	
815277																																																																																	
815754																																																																																	
816210																																									0	0	0	0	0	0	191781	190783	643	93	0	93	101401	101401	0	191807	190669	644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355	0	0	0	494	0	0	
816256																																																																																	
816304																																																																																	
816603																																																																																	
816751																																																																																	
816948																																																																																	
817356																																																																																	
817477																																																																																	
817824	0	0	0	1399500	0	1399500	4578745	4382121	114610	1077658	1071748	5910	0	0	0	4641213	4514612	20202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82014	0	0	0	106399	0	0																																									
818401																																																																																	
818540																																																																																	
818559																																																																																	
818652																																																																																	
819154																																																																																	
819172																																																																																	
819453																																																																																	
819556																																																																																	
819855																																																																																	
820048																																																																																	
820178																																																																																	
820301																																																																																	
820459																																																																																	
820655																																																																																	
820842																																																																																	
821036																																																																																	
821120																																																																																	
821157																																																																																	
821278																																																																																	
821456																																																																																	
821559																																																																																	
821643																																																																																	
821652																																																																																	
821906																																																																																	
822042																																																																																	
822051																																																																																	
822145																																																																																	
822154																																																																																	
822257																																																																																	
822408																																																																																	
822529																																									0	0	0	1777	1777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
822556																																																																																	
822631																																																																																	
822846																																																																																	
823133																																																																																	
823142																																																																																	
823450																																																																																	
823553																																																																																	
823638																																																																																	
823656																																																																																	
824000																																																																																	
824242																																																																																	
824550																																																																																	
824653																																																																																	
824738																																																																																	
825146																																																																																	
825454																																																																																	
825548																																																																																	
825753																																																																																	
825847																																																																																	
825940																																																																																	
825977																																																																																	
826255																																																																																	
826451																																																																																	
826648																																																																																	
826956																																																																																	
827346																																																																																	
827355																																																																																	
827458																																																																																	
827560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																																									
827953																																																																																	
827971																																																																																	
828053																																																																																	
828110																																																																																	
828651																																																																																	
828745																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
829032																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
829041																																																																																	
829050																																																																																	
829256																																																																																	
829452																																																																																	
830113																																																																																	
830168																																																																																	
830252																																																																																	
830355																																																																																	
830542																																																																																	
830645																																																																																	
830748																																																																																	
831008																																																																																	
831044																																																																																	
831053																																																																																	
831352																																																																																	
831549																																																																																	
831576																																																																																	
831642																																																																																	
831857																																																																																	
831941																																																																																	
832377																																									0	0	0	0	0	0	13179	13179	0	0	0	0	14393	14393	0	13254	13254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
832470																																																																																	
832528																																																																																	
832546																																																																																	
833271																																																																																	
833404																																																																																	
833646																																																																																	
833749																																																																																	
833758																																																																																	
833851																																																																																	
834045																																																																																	
834353																																																																																	
834755																																																																																	
834979																																																																																	
835257																																																																																	
835378																																																																																	
835444																																																																																	
835613																																																																																	
835659																																																																																	
835743																																																																																	
835958																																																																																	
836151																																																																																	
836544																																																																																	
836656																																																																																	
836843																																																																																	
836852																																																																																	
837000																																																																																	
837037																																																																																	
837046																																																																																	
837149																																																																																	
837158																																																																																	
837260																																																																																	
837354																																																																																	
837448																																																																																	
837541																																																																																	
837550																																																																																	
837653																																																																																	
837840																																									0	0	0	0	0	0	2089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2089	0	0	0	0	0	0	
837952																																																																																	
838155																																																																																	
838632																																																																																	
839068																																																																																	
839246																																																																																	
839255																																																																																	
839817																																																																																	
840019																																																																																	
840251																																																																																	
840354																																																																																	
840363																																																																																	
840578																																																																																	
840747																																																																																	
841052																																																																																	
841436																																																																																	
841472																																																																																	
841539																																																																																	
841753																																																																																	
841838																																																																																	
841865																																																																																	
842004																																																																																	
842031																																																																																	
842116																																																																																	
842358																																																																																	
842376																																																																																	
842460																																																																																	
842853																																																																																	
843159																																																																																	
843270																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
843542																																																																																	
843935																																																																																	
843953																																																																																	
844053																																																																																	
844138																																																																																	
844343																																																																																	
844455																																																																																	
844567																																																																																	
845247																																																																																	
845443																																																																																	
845452																																																																																	
845751																																									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
846132																																																																																	
846356																																																																																	
846619																																																																																	
846945																																																																																	
847157																																																																																	
847540																																																																																	
848248																																																																																	
848453																																																																																	
848752																																																																																	
849348																																																																																	
849357																																																																																	
849432																																																																																	
849450																																																																																	
